gen_name,hematopoietic stem cell,hematopoietic stem cell and thrombocyte,marrow-derived B cell,mature T cell,neutrophil and myeloid cell,thymic T cell
ENSDARG00000000001,87.15580541532813,52.01927489674163,0.0,0.0,72.71110601193207,0.0
ENSDARG00000000018,93.43735658558971,83.97200550711335,67.88090867370353,33.55323542909592,93.36278109224415,95.71477742083525
ENSDARG00000000019,88.99150986691143,77.66177145479578,90.8501606241395,53.93529141808169,80.4841670491051,95.80656264341441
ENSDARG00000000068,73.7207434603029,81.64869206057824,88.22854520422212,85.73313446535109,95.49105094079853,92.04910509407985
ENSDARG00000000069,67.26135842129418,91.48692060578247,35.07342817806333,71.52937127122533,96.30564479118861,41.53854979348325
ENSDARG00000000086,68.18494722349702,61.89765947682423,74.04199173932997,0.0,77.43230839834787,72.99793483249198
ENSDARG00000000103,74.83937586048646,49.598439651216154,34.00642496558054,44.10853602569986,20.68609453877926,0.0
ENSDARG00000000142,30.83409821018816,0.0,77.88549793483249,0.0,52.810922441486916,25.923588802202847
ENSDARG00000000151,62.64341441027994,51.692290041303345,39.48485543827444,0.0,69.51009637448371,0.0
ENSDARG00000000183,72.08581918311152,27.8740247820101,39.438962826984856,94.84281780633317,0.0,95.04359798072511
ENSDARG00000000189,24.827902707664066,21.626893070215694,41.85406149609913,48.39949518127582,34.44240477283157,39.95525470399266
ENSDARG00000000229,53.401789811840295,31.22992198256081,37.2418540614961,34.08673703533731,45.86966498393758,33.874483708122995
ENSDARG00000000241,67.04910509407985,89.5766406608536,48.23313446535108,85.06769160165213,92.77765029830198,0.0
ENSDARG00000000324,0.0,0.0,0.0,0.0,66.20582836163378,46.21385956860946
ENSDARG00000000370,41.60165213400642,0.0,0.0,79.79577787976136,0.0,0.0
ENSDARG00000000394,94.7739788893988,94.14869206057824,82.54359798072511,70.76067003212484,85.61266636071593,87.01812758145938
ENSDARG00000000423,43.586507572280865,74.70169802661772,55.7193666819642,74.97131711794401,79.49173932996787,82.93368517668655
ENSDARG00000000442,0.0,46.03602569986232,0.0,0.0,0.0,0.0
ENSDARG00000000460,0.0,0.0,0.0,90.93620927030747,0.0,87.67209729233593
ENSDARG00000000476,67.81206975676916,53.837769619091326,61.36989444699403,74.15098669114273,80.29486002753556,71.95387792565397
ENSDARG00000000489,82.2911886186324,81.07503441945848,70.24437815511703,83.93184947223496,82.15924736117485,85.71018815970629
ENSDARG00000000503,15.396971087654887,12.872877466727855,25.390087195961453,32.43460302891235,37.87287746672786,28.09775126204681
ENSDARG00000000529,22.751262046810464,28.212482790270766,69.95181275814593,0.0,72.07434603028912,67.04336851766865
ENSDARG00000000540,84.68334098210188,84.21294171638365,41.114043139054615,84.95296007342817,72.03418999541074,66.09109683340982
ENSDARG00000000542,66.125516291877,60.80197338228545,34.49977053694355,72.24070674621386,63.280174391922905,80.54153281321707
ENSDARG00000000551,30.168655346489214,25.98669114272602,77.0766406608536,54.910509407985316,33.81138136759982,47.716842588343276
ENSDARG00000000563,63.274437815511696,43.838916934373565,0.0,0.0,0.0,0.0
ENSDARG00000000567,67.36461679669573,23.267553923818266,62.746672785681504,75.10899495181276,53.64846259752179,25.338458008260673
ENSDARG00000000568,79.45731987150069,72.1661312528683,81.61427260211106,82.75585130793942,70.15259293253786,76.20468104635154
ENSDARG00000000588,63.71041762276274,74.93689765947681,89.94951812758146,83.08283616337769,92.67439192290041,93.67255621844883
ENSDARG00000000606,11.547728315741166,0.0,73.14134924277191,77.85681505277651,0.0,37.11564938044975
ENSDARG00000000631,67.28430472693896,75.94079853143644,40.04703992657182,0.0,78.97544745296007,40.672326755392376
ENSDARG00000000651,35.87654887563102,34.08673703533731,0.0,0.0,0.0,0.0
ENSDARG00000000656,78.56241395135383,90.79853143643874,92.58834327673245,89.47338228545205,63.85383203304268,97.09155575952272
ENSDARG00000000666,37.94745296007343,11.622303809086738,0.0,65.15029830197338,0.0,78.132170720514
ENSDARG00000000690,94.36094538779255,92.77765029830198,94.87150068838916,83.56470858191831,95.852455254704,96.97108765488757
ENSDARG00000000729,65.30518586507571,76.85865075722809,0.0,0.0,81.20697567691602,0.0
ENSDARG00000000730,0.0,25.06883891693437,0.0,0.0,72.72257916475448,63.5383203304268
ENSDARG00000000747,39.570904084442404,42.995640201927486,24.2198256080771,0.0,0.0,75.03441945846718
ENSDARG00000000760,47.77994492886645,53.728774667278564,0.0,0.0,60.76755392381826,72.87746672785681
ENSDARG00000000767,84.01216154199173,98.51422670949978,98.95020651675081,93.41441027994493,99.34603028912346,28.32721431849472
ENSDARG00000000779,71.8907755851308,78.13790729692519,85.82491968793025,92.4678751720973,92.98990362551629,92.26135842129418
ENSDARG00000000796,36.197797154658105,54.560578246902246,42.272831574116566,73.75516291877008,98.07251032583754,85.58972005507114
ENSDARG00000000830,52.48393758604865,18.844653510784763,68.764341441028,53.86645250114731,0.0,61.1977971546581
ENSDARG00000000837,61.41578705828362,38.14249655805415,40.901789811840295,58.822854520422204,57.65832950894906,35.70445158329509
ENSDARG00000000853,51.22189077558513,39.74300137677834,65.65511702615879,56.63148233134465,63.469481413492424,64.39880679210647
ENSDARG00000000857,84.13836622303809,92.54245066544287,90.29371271225332,95.94997705369435,92.74896741624599,36.7140890316659
ENSDARG00000000861,58.66796695731987,62.20743460302891,65.56333180357963,65.83868747131712,34.281780633318036,68.42014685635613
ENSDARG00000000887,30.684947223497016,47.86025699862322,82.33134465351078,0.0,0.0,0.0
ENSDARG00000000906,92.73175768701239,96.95961450206518,97.6881597062873,97.75126204681047,98.984625975218,79.60073428178063
ENSDARG00000000935,74.15098669114273,66.83685176686554,58.62207434603028,46.66704910509408,51.60050481872418,86.87471317117944
ENSDARG00000000943,13.836622303809087,0.0,72.70536943552088,0.0,0.0,0.0
ENSDARG00000000966,92.33019733822854,94.83134465351078,83.76548875631023,92.45640201927489,90.48301973382286,88.80220284534191
ENSDARG00000001014,94.10853602569986,75.64249655805415,91.53854979348324,92.81780633318036,73.6805874254245,77.30036714089032
ENSDARG00000001015,61.404313905461215,75.91211564938045,67.27856815052776,71.98829738412115,68.08742542450665,65.55759522716843
ENSDARG00000001057,90.81574116567232,89.0488756310234,90.42565396971088,77.3290500229463,85.36599357503441,94.91739329967875
ENSDARG00000001129,76.98485543827444,79.98508490133088,96.42037631941257,73.37081229921982,80.35222579164754,91.4066085360257
ENSDARG00000001162,77.98875631023405,90.24208352455256,77.09958696649839,93.89054612207434,90.28797613584213,72.01698026617714
ENSDARG00000001169,37.57457549334557,51.319412574575495,38.997246443322624,35.52088113813676,61.80587425424506,67.89238182652593
ENSDARG00000001210,76.22189077558514,61.98944469940339,77.11679669573198,33.5819183111519,82.07319871500688,62.01812758145938
ENSDARG00000001220,96.3630105553006,84.87838458008261,85.75608077099587,96.30564479118861,91.18861863240019,95.22716842588343
ENSDARG00000001241,96.82767324460761,96.27696190913262,93.4775126204681,74.07641119779716,95.94997705369435,95.16406608536026
ENSDARG00000001244,91.9458467186783,93.43735658558971,94.41831115190455,90.95915557595227,93.2021569527306,93.01284993116109
