gen_name,dormant hematopoietic stem cell,hematopoietic stem cell
ENSMUSG00000000001,93.23691846859496,93.75643545820462
ENSMUSG00000000028,98.9984086866985,98.41804736497238
ENSMUSG00000000037,64.14864738369373,51.55387063558925
ENSMUSG00000000056,68.11756997098193,63.689974726200504
ENSMUSG00000000058,76.59833380136666,60.666479453337075
ENSMUSG00000000078,93.9108864551156,78.38622109894224
ENSMUSG00000000085,73.50463352990732,79.54694374239446
ENSMUSG00000000088,90.60189085462885,87.64860058036132
ENSMUSG00000000094,35.38331929233362,27.73565477862024
ENSMUSG00000000120,28.882336422353273,22.3064682205373
ENSMUSG00000000127,74.07095385191425,61.17663577646728
ENSMUSG00000000131,90.02152953290275,84.8544416362445
ENSMUSG00000000134,41.7345314986427,58.04549283909014
ENSMUSG00000000142,39.31947954694374,3.884676588973135
ENSMUSG00000000148,56.64607320041187,73.54675652906487
ENSMUSG00000000149,72.44219788448937,68.48263596368062
ENSMUSG00000000154,58.96283815407657,55.789572217541895
ENSMUSG00000000167,42.591032481512684,38.24768323504634
ENSMUSG00000000168,63.75549939155668,76.64981746700366
ENSMUSG00000000171,92.29617148740991,96.02639707947206
ENSMUSG00000000182,24.590470841523917,13.413835065056631
ENSMUSG00000000183,21.9554432275578,24.478142843770474
ENSMUSG00000000184,99.59281100814378,99.16222035008893
ENSMUSG00000000194,60.95666011420013,61.42001310493307
ENSMUSG00000000197,40.63465318730694,39.63774220724516
ENSMUSG00000000204,16.896002995413273,31.957315360853695
ENSMUSG00000000223,24.59983150800337,27.581203781709256
ENSMUSG00000000244,96.33997940653374,97.99681737339698
ENSMUSG00000000248,12.276514087803053,10.619676120939811
ENSMUSG00000000253,41.551998502293365,63.29682673406346
ENSMUSG00000000266,76.68257979968173,44.205747449218386
ENSMUSG00000000275,81.7841430309838,81.77478236450435
ENSMUSG00000000276,93.8406814565197,75.61546382102405
ENSMUSG00000000278,79.23336141533277,57.28259852101469
ENSMUSG00000000282,70.87896658242066,65.98333801366657
ENSMUSG00000000290,37.180567256388656,60.3014134606384
ENSMUSG00000000295,78.69044275952449,80.94636338107273
ENSMUSG00000000301,23.523354862866235,55.19516989609661
ENSMUSG00000000303,20.34540859309183,26.59365346812693
ENSMUSG00000000305,27.899466442010674,24.08031451839371
ENSMUSG00000000308,16.357764672844706,18.57624262847515
ENSMUSG00000000317,17.1112983244407,39.40372554525882
ENSMUSG00000000320,55.71000655246654,40.57380885519049
ENSMUSG00000000325,47.61303004773939,38.65019189366283
ENSMUSG00000000326,80.1319853973603,89.72198820556024
ENSMUSG00000000339,58.85519048956286,59.84274080314519
ENSMUSG00000000340,70.35476925957128,56.76776186464476
ENSMUSG00000000346,98.48357203032856,98.60526069456145
ENSMUSG00000000355,86.17429560984742,89.56285687540952
ENSMUSG00000000365,62.68370307965927,63.84910605635121
ENSMUSG00000000374,63.41383506505663,55.73340821866517
ENSMUSG00000000378,86.93250959468314,71.30019657399606
ENSMUSG00000000384,58.770944491247775,75.74183281849668
ENSMUSG00000000386,48.12786670410934,33.82944865674436
ENSMUSG00000000392,37.65328091360105,51.731723298698874
ENSMUSG00000000399,83.98389965365534,83.38949733221006
ENSMUSG00000000402,39.78283253767668,32.921464008237386
ENSMUSG00000000409,59.229617148740985,68.47327529720117
ENSMUSG00000000420,87.20864925582703,88.41149489843677
ENSMUSG00000000435,7.633623513994197,5.050079565665076
ENSMUSG00000000439,72.84002620986614,80.82467471683984
ENSMUSG00000000440,9.529158476083497,6.402695871946082
ENSMUSG00000000441,78.9946644201067,84.16643265000468
ENSMUSG00000000486,78.4845080969765,61.91144809510437
ENSMUSG00000000489,57.78339417766545,49.5974913413835
ENSMUSG00000000531,47.823645043527094,30.941683047833006
ENSMUSG00000000532,55.29345689413086,61.16727510998783
ENSMUSG00000000538,70.23776092857813,65.5667883553309
ENSMUSG00000000552,48.8767200224656,51.521108302911166
ENSMUSG00000000555,55.26069456145277,73.60760086118133
ENSMUSG00000000560,44.332116446691,40.6814565197042
ENSMUSG00000000561,81.61097070111391,97.8236450435271
ENSMUSG00000000562,45.343068426471966,49.75662267153421
ENSMUSG00000000563,97.7206777122531,97.68791537957503
ENSMUSG00000000567,36.10877094449125,31.16165871010016
ENSMUSG00000000568,95.91874941495834,95.2447814284377
ENSMUSG00000000579,71.66994289993448,76.54685013572966
ENSMUSG00000000581,95.72685575212955,96.5786764017598
ENSMUSG00000000594,97.85640737620518,97.15435739024618
ENSMUSG00000000600,99.05457268557521,98.24019470186278
ENSMUSG00000000605,87.90133857530657,85.37395862585416
ENSMUSG00000000606,37.77496957783394,41.26181784143031
ENSMUSG00000000617,26.70598146588037,18.38902929888608
ENSMUSG00000000627,41.275858841149486,32.968267340634654
ENSMUSG00000000628,93.99045212019097,95.51624075634186
ENSMUSG00000000631,66.51221566975569,76.1490218103529
ENSMUSG00000000632,33.06187400542919,34.64850697369653
ENSMUSG00000000673,16.78835533089956,46.64420106711598
ENSMUSG00000000682,66.55433866891323,34.4332116446691
ENSMUSG00000000686,54.55396424225405,54.221660582233454
ENSMUSG00000000690,43.70963212580736,40.12917719741645
ENSMUSG00000000693,46.26509407469812,50.196573996068516
ENSMUSG00000000706,33.35205466629224,32.233455021997564
ENSMUSG00000000708,89.15566788355332,74.01947018627726
ENSMUSG00000000711,84.19919498268277,76.64513713376392
ENSMUSG00000000724,43.87812412243752,28.943180754469715
ENSMUSG00000000731,35.17738462978564,28.36749976598334
ENSMUSG00000000732,32.12580735748386,35.54713095572405
ENSMUSG00000000738,66.66666666666666,57.109426191144806
ENSMUSG00000000739,56.48226153702144,48.31976036693813
ENSMUSG00000000740,99.58345034166433,99.58813067490405
ENSMUSG00000000743,83.08995600486755,75.12402883085275
ENSMUSG00000000751,78.0960404380792,87.42862491809417
ENSMUSG00000000753,77.88074510905176,68.79153795750257
ENSMUSG00000000759,73.73396985865394,76.10221847795563
ENSMUSG00000000766,18.211176635776464,29.68267340634653
ENSMUSG00000000776,42.979500140409996,57.87700084245998
ENSMUSG00000000787,98.97968735373959,98.1231863708696
ENSMUSG00000000791,52.81288027707573,46.90161939530095
ENSMUSG00000000804,97.62239071421885,92.98886080688945
ENSMUSG00000000811,63.301507067303184,57.722549845549
ENSMUSG00000000823,97.7534400449312,96.00299541327342
ENSMUSG00000000826,92.10427782458112,95.787700084246
ENSMUSG00000000827,94.98736310025274,93.37264813254704
ENSMUSG00000000838,92.93737714125245,91.46307217073856
ENSMUSG00000000861,99.81746700365066,99.17158101656838
ENSMUSG00000000869,75.4656931573528,59.880183469063
ENSMUSG00000000876,81.80286436394272,80.81999438360012
ENSMUSG00000000881,63.46531873069362,72.63409154731816
ENSMUSG00000000884,50.0,50.33698399326032
ENSMUSG00000000902,79.59842740803144,87.23205092202565
ENSMUSG00000000915,69.43274361134513,53.004773939904524
ENSMUSG00000000916,74.05691285219508,73.79013385753066
ENSMUSG00000000934,64.34522137976224,56.60395020125433
ENSMUSG00000000938,72.95235420761958,62.271833754563325
ENSMUSG00000000942,26.921276794907794,45.82514275016381
ENSMUSG00000000948,43.43349246466349,48.296358700739496
ENSMUSG00000000957,57.90508284189835,54.82074323691847
ENSMUSG00000000958,56.716278199007775,43.78919779088271
ENSMUSG00000000959,87.55967424880652,80.46896939062061
ENSMUSG00000000976,82.35514368623046,74.15988018346906
ENSMUSG00000000982,61.84124309650847,65.71187868576243
ENSMUSG00000001014,51.989141626883836,54.58672657493213
ENSMUSG00000001016,94.09809978470467,92.62379481419077
ENSMUSG00000001017,79.31760741364785,82.49087335018254
ENSMUSG00000001018,85.8373116165871,85.22886829542263
ENSMUSG00000001020,51.6147149677057,55.424506224843206
ENSMUSG00000001023,17.14874099035851,35.44884395768978
ENSMUSG00000001025,59.5993634746794,70.8134419170645
ENSMUSG00000001027,24.43133951137321,0.0
ENSMUSG00000001029,74.68407750631845,79.95881306749041
ENSMUSG00000001034,46.13404474398577,48.343162033136764
ENSMUSG00000001036,35.94963961434054,32.16793035664139
ENSMUSG00000001039,44.655059440232144,32.64064401385379
ENSMUSG00000001052,79.68735373958626,82.59852101469625
ENSMUSG00000001053,20.52326125620144,18.309463633810726
ENSMUSG00000001054,72.91959187494149,66.83515866329682
ENSMUSG00000001056,77.67949077974352,81.72797903210709
ENSMUSG00000001062,51.24964897500702,54.39015257886361
ENSMUSG00000001065,45.93747074791725,43.35392679958813
ENSMUSG00000001082,61.63998876720023,65.19236169615277
ENSMUSG00000001089,83.30993166713469,71.4967705700646
ENSMUSG00000001098,73.2378545352429,72.96639520733876
ENSMUSG00000001100,72.43283721800992,67.05045399232425
ENSMUSG00000001105,84.93868763455959,76.23794814190771
ENSMUSG00000001120,43.859402789478615,59.4589534774876
ENSMUSG00000001123,94.92651876813629,98.40868669849293
ENSMUSG00000001127,83.60479266123748,91.22437517551249
ENSMUSG00000001128,33.478423663764865,45.84386408312272
ENSMUSG00000001134,59.63212580735748,71.62781990077693
ENSMUSG00000001138,75.73247215201722,65.83824768323505
ENSMUSG00000001143,61.78507909763176,74.14583918374989
ENSMUSG00000001150,63.04408873911822,68.89918562201629
ENSMUSG00000001151,82.3083403538332,89.82963587007396
ENSMUSG00000001155,25.498455490030892,22.737058878592155
ENSMUSG00000001156,58.87391182252176,65.39361602546101
ENSMUSG00000001157,63.85378638959094,78.69044275952449
ENSMUSG00000001158,78.9759430871478,73.73865019189367
ENSMUSG00000001166,56.440138537863895,47.74407937845175
ENSMUSG00000001168,37.00271459327904,3.9221192548909483
ENSMUSG00000001173,97.02798839277357,95.79238041748572
ENSMUSG00000001175,97.87980904240382,98.50697369652718
ENSMUSG00000001211,55.607039221192544,52.56950294860994
ENSMUSG00000001225,58.078255171768234,55.349620893007575
ENSMUSG00000001227,20.064588598708227,35.49096695684732
ENSMUSG00000001228,73.15828887016755,94.76738743798559
ENSMUSG00000001229,66.73687166526257,65.52466535617336
ENSMUSG00000001240,35.809229617148745,45.60516708789666
ENSMUSG00000001247,57.909763175138075,49.293269680801274
ENSMUSG00000001248,69.94758026771505,79.28484508096977
ENSMUSG00000001249,14.654123373584198,32.83721800992231
ENSMUSG00000001260,22.989796873537397,13.956753720864926
ENSMUSG00000001270,31.386314705607038,24.63259384068146
ENSMUSG00000001280,97.59898904802023,98.3852850322943
ENSMUSG00000001281,51.06711597865768,47.051390058972196
ENSMUSG00000001285,63.79294205747449,78.12412243751756
ENSMUSG00000001288,52.73331461200037,48.745670691753254
ENSMUSG00000001289,94.76270710474586,93.74707479172517
ENSMUSG00000001300,72.26902555461949,52.99073294018534
ENSMUSG00000001305,72.71833754563325,65.31873069362538
ENSMUSG00000001313,56.62267153421323,52.11551062435645
ENSMUSG00000001323,50.53823832256856,69.13320228400262
ENSMUSG00000001333,24.93681550126369,37.43330525133389
ENSMUSG00000001334,47.116914724328375,27.36590845268183
ENSMUSG00000001348,21.506131236544043,34.905925301881496
ENSMUSG00000001366,93.2228774688758,92.26808948797154
ENSMUSG00000001376,76.5374894692502,88.45829823083403
ENSMUSG00000001380,71.37040157259197,79.12571375081906
ENSMUSG00000001383,87.89197790882712,86.3802302723954
ENSMUSG00000001403,34.66722830665543,47.62239071421885
ENSMUSG00000001415,61.012824113076846,65.02855003276234
ENSMUSG00000001416,95.97491341383505,96.58335673499954
ENSMUSG00000001418,81.16633904333989,80.72170738556585
ENSMUSG00000001419,80.79191238416176,81.45183937096321
ENSMUSG00000001420,17.981840307029863,21.220630908920715
ENSMUSG00000001424,88.19151923616961,81.00252737994946
ENSMUSG00000001435,46.25573340821866,51.633436300664606
ENSMUSG00000001436,59.44023214452869,76.31283347374334
ENSMUSG00000001440,85.4675652906487,92.97481980717028
ENSMUSG00000001441,73.84161752316764,83.16016100346346
ENSMUSG00000001445,75.32996349340073,75.62950482074324
ENSMUSG00000001467,61.20003744266592,76.97276046054479
ENSMUSG00000001472,94.32275578021155,95.00608443321164
ENSMUSG00000001473,52.66310961340448,49.859590002808204
ENSMUSG00000001482,93.3305251333895,94.25255078161565
ENSMUSG00000001496,31.42375737152485,18.45923429748198
ENSMUSG00000001497,34.06814565197042,29.415894411682114
ENSMUSG00000001506,32.57511934849761,41.40222783862211
ENSMUSG00000001507,34.582982308340355,27.92754844144903
ENSMUSG00000001510,11.728915098755031,14.134606383974537
ENSMUSG00000001517,52.246559955068804,71.78695123092764
ENSMUSG00000001518,84.60638397453899,80.10858373116166
ENSMUSG00000001520,39.00589721988206,37.817092576991485
ENSMUSG00000001521,82.66872601329214,72.85406720958532
ENSMUSG00000001524,61.916128428344095,46.115323411026864
ENSMUSG00000001525,99.3681550126369,99.5600486754657
ENSMUSG00000001542,86.0151642796967,73.34550219975662
ENSMUSG00000001552,57.16090985678181,50.38846765889732
ENSMUSG00000001555,31.367593372648134,29.874567069175324
ENSMUSG00000001569,77.01020312646261,73.26125620144154
ENSMUSG00000001576,71.44996723766732,65.94121501450904
ENSMUSG00000001583,35.397360292052795,49.583450341664324
ENSMUSG00000001588,87.18992792286811,76.9587194608256
ENSMUSG00000001622,41.88430216231396,40.82654685013573
ENSMUSG00000001627,91.25245717495085,81.50332303660021
ENSMUSG00000001630,82.01347935973041,76.91191612842835
ENSMUSG00000001632,74.13647851727043,57.75063184498737
ENSMUSG00000001642,92.68463914630722,93.56922212861556
ENSMUSG00000001655,6.538425535898155,5.644481887110362
