gen_name,epithelial cell,not applicable
ENSG00000000003,95.41577825159915,83.81751954513147
ENSG00000000419,87.68212508884152,82.44936034115139
ENSG00000000457,69.7316986496091,60.7498223169865
ENSG00000000460,86.07853589196873,75.94616204690831
ENSG00000000938,16.497867803837956,36.65600568585643
ENSG00000000971,92.51510305614784,93.21250888415068
ENSG00000001036,75.58191186922531,89.60554371002132
ENSG00000001084,79.71304193319119,88.97476901208245
ENSG00000001167,74.9955579246624,80.97459132906894
ENSG00000001460,66.52452025586354,61.09630419331912
ENSG00000001461,90.12526652452026,89.20575692963753
ENSG00000001497,88.34399431414357,84.39498933901919
ENSG00000001561,74.06716417910447,76.27487562189054
ENSG00000001617,6.671997157071783,10.509950248756219
ENSG00000001626,35.55881307746979,45.251421464108034
ENSG00000001629,86.27842928216063,94.64285714285714
ENSG00000001630,92.93710021321961,97.37917555081734
ENSG00000001631,71.19758351101635,80.89463397299218
ENSG00000002016,60.52327647476902,67.88823738450604
ENSG00000002079,27.389836531627576,41.05366027007818
ENSG00000002330,63.87704335465529,67.30632551528075
ENSG00000002549,93.41240227434258,90.29850746268657
ENSG00000002586,83.5820895522388,89.0636105188344
ENSG00000002587,67.86158493248045,68.21695095948827
ENSG00000002726,26.26599147121535,22.91222459132907
ENSG00000002745,10.558813077469793,29.23773987206823
ENSG00000002746,39.721037668798864,36.003020611229566
ENSG00000002822,59.1862117981521,57.169509594882726
ENSG00000002834,85.89196872778963,86.35838663823738
ENSG00000002919,65.68052594171996,63.09968017057569
ENSG00000002933,30.4681947405828,45.83333333333333
ENSG00000003056,92.3729566453447,91.72441364605544
ENSG00000003096,58.09790334044065,54.77523098791755
ENSG00000003137,0.0,25.35536602700782
ENSG00000003147,63.68603411513859,66.07142857142857
ENSG00000003249,34.45717839374556,41.924307036247335
ENSG00000003393,77.28322672352523,76.72352523098792
ENSG00000003400,69.34523809523809,72.2547974413646
ENSG00000003402,92.55063965884861,95.28695806680881
ENSG00000003436,97.21926083866383,98.2364960909737
ENSG00000003509,75.79957356076758,71.6773276474769
ENSG00000003756,88.97476901208245,93.61673773987206
ENSG00000003987,48.169864960909734,30.721393034825873
ENSG00000003989,34.14179104477612,37.38894811656006
ENSG00000004059,65.93816631130063,71.94829424307036
ENSG00000004139,52.340973702914006,51.954513148543
ENSG00000004142,81.45877754086709,84.7770078180526
ENSG00000004399,33.04904051172708,66.75106609808103
ENSG00000004455,95.24697938877044,92.60394456289978
ENSG00000004468,53.97121535181236,75.71073205401564
ENSG00000004478,71.17537313432835,68.9498933901919
ENSG00000004487,90.8137882018479,83.43994314143568
ENSG00000004534,82.79140014214641,92.5550817341862
ENSG00000004660,52.3365316275764,36.5316275764037
ENSG00000004700,82.67146410803127,86.49164889836531
ENSG00000004766,72.17484008528785,82.78695806680881
ENSG00000004776,0.0,10.607675906183369
ENSG00000004777,13.890369580668088,21.090973702914003
ENSG00000004779,89.17910447761194,92.98596304193319
ENSG00000004799,29.344349680170577,60.056858564321246
ENSG00000004809,60.23009950248757,43.75444207533759
ENSG00000004846,37.882018479033405,51.92341862117982
ENSG00000004848,21.74395877754087,62.28233830845771
ENSG00000004864,84.1640014214641,85.57213930348259
ENSG00000004866,66.85323383084577,81.6409026297086
