gen_name,protoplast
AT1G01010,54.67541940189643
AT1G01020,68.21298322392414
AT1G01030,33.941162168733285
AT1G01040,65.96158521760273
AT1G01050,96.12934597617311
AT1G01060,50.12885971310479
AT1G01070,29.23413566739606
AT1G01080,21.88670070508145
AT1G01090,90.71723802577193
AT1G01100,98.93508388037928
AT1G01110,39.10527595429127
AT1G01120,62.86408947240457
AT1G01130,11.130561633843909
AT1G01140,51.48067104303428
AT1G01160,66.36032093362509
AT1G01170,13.445173839046925
AT1G01180,31.2472647702407
AT1G01200,50.58108436664235
AT1G01210,52.12740092389983
AT1G01220,48.30537320690493
AT1G01225,37.58327255044979
AT1G01230,85.0814490639436
AT1G01240,61.011427182105514
AT1G01260,50.47896912229516
AT1G01290,45.42183321176756
AT1G01300,73.41599805494774
AT1G01310,16.89277899343545
AT1G01320,26.316557257476298
AT1G01340,22.23194748358862
AT1G01350,69.45781667882325
AT1G01360,81.40530026744469
AT1G01370,40.88986141502553
AT1G01380,35.03039144177
AT1G01430,76.56212010697787
AT1G01440,58.26404084609774
AT1G01453,39.21225382932166
AT1G01470,93.7563822027717
AT1G01480,42.78142475079017
AT1G01490,75.85703865791393
AT1G01500,38.82810600534889
AT1G01510,81.85752492098224
AT1G01520,11.154874787259908
AT1G01540,83.60320933625091
AT1G01550,88.88402625820568
AT1G01560,18.823243374665694
AT1G01570,35.613907123753954
AT1G01580,28.708971553610503
AT1G01600,6.355458302941891
AT1G01610,14.553853634816436
AT1G01620,99.80063214198881
AT1G01630,86.2825188426939
AT1G01640,31.89399465110625
AT1G01650,75.44371504984197
AT1G01660,21.560904449307074
AT1G01670,5.168976416241187
AT1G01690,26.301969365426697
AT1G01710,44.64867493313883
AT1G01715,23.112083637247753
AT1G01720,98.7114028689521
AT1G01725,30.658886457573548
AT1G01730,70.33309020179918
AT1G01740,8.076829564794554
AT1G01750,95.26866034524679
AT1G01760,15.774373936299538
AT1G01770,35.83272550449793
AT1G01780,83.52054461463652
AT1G01790,51.850230974957455
AT1G01800,92.05932409433504
AT1G01810,19.37758327255045
AT1G01820,78.62873814733771
AT1G01830,67.69268174082178
AT1G01840,27.546802820325794
AT1G01860,20.316070994407976
AT1G01880,4.463894967177243
AT1G01900,51.54388524191587
AT1G01910,87.62460491125698
AT1G01920,44.35205446146365
AT1G01930,34.30099683929006
AT1G01940,85.43155847313396
AT1G01950,65.67469000729395
AT1G01960,88.7284220763433
AT1G01970,24.52224653537564
AT1G01990,50.36712861658157
AT1G02000,77.12132263554582
AT1G02010,34.60247994164843
AT1G02020,31.34451738390469
AT1G02030,20.821784585460733
AT1G02040,6.180403598346706
AT1G02050,12.983223924142962
AT1G02060,5.99076100170192
AT1G02070,19.708242159008023
AT1G02080,85.63092633114515
AT1G02090,89.56479455385363
AT1G02100,74.43228786773645
AT1G02110,43.25309992706054
AT1G02120,69.69122295161682
AT1G02130,89.85655239484561
AT1G02140,95.0984682713348
AT1G02145,47.551665451008994
AT1G02150,29.428640894724044
AT1G02160,84.28884026258206
AT1G02170,81.3469486992463
AT1G02180,15.662533430585949
AT1G02190,10.99927060539752
AT1G02205,31.325066861171898
AT1G02220,20.53488937515196
AT1G02230,65.63092633114515
AT1G02260,41.1670313639679
AT1G02270,60.846097738876736
AT1G02280,48.48042791150012
AT1G02290,37.86530513007537
AT1G02305,88.19839533187455
AT1G02310,29.51616824702164
AT1G02330,60.875273522975924
AT1G02335,43.53026987600292
AT1G02340,34.20860685630927
AT1G02350,14.972039873571601
AT1G02360,56.644784828592265
AT1G02370,17.330415754923415
AT1G02380,28.772185752492096
AT1G02390,42.912715779236564
AT1G02400,59.27060539752006
AT1G02405,11.767566253343059
AT1G02410,58.06467298808655
AT1G02420,10.51300753707756
AT1G02430,49.311937758327254
AT1G02440,24.809141745684414
AT1G02450,22.207634330172624
AT1G02460,43.7977145635789
AT1G02475,15.079017748601995
AT1G02490,3.2774130804765376
AT1G02500,99.05178701677607
AT1G02510,5.261366399221979
AT1G02520,73.57646486749331
AT1G02530,8.87430099683929
AT1G02560,77.82154145392659
AT1G02570,56.32385120350109
AT1G02575,22.416727449550205
AT1G02580,16.00778020909312
AT1G02610,58.19110138584974
AT1G02640,78.33698030634574
AT1G02650,17.875030391441772
AT1G02660,43.35521517140773
AT1G02670,11.631412594213469
AT1G02680,51.41745684415269
AT1G02690,59.26574276683686
AT1G02700,36.717724288840266
AT1G02705,41.39071237539509
AT1G02720,68.49501580354972
AT1G02730,50.13372234378799
AT1G02740,28.553367371748116
AT1G02750,49.161196207148066
AT1G02770,7.332847070265014
AT1G02780,99.24629224410407
AT1G02810,72.5066861171894
AT1G02816,88.57281789448092
AT1G02840,87.02163870654024
AT1G02850,32.234378798930216
AT1G02860,34.592754680282034
AT1G02870,55.25407245319718
AT1G02880,78.57038657913932
AT1G02890,54.90396304400681
AT1G02900,91.31534159980549
AT1G02910,46.40894724045709
AT1G02920,40.42791150012157
AT1G02930,54.38366156090445
AT1G02950,13.474349623146123
AT1G02960,46.934111354242646
AT1G02970,27.994164843180158
AT1G02980,39.74714320447362
AT1G02990,48.27619742280574
AT1G03000,45.18842693897398
AT1G03010,40.46681254558716
AT1G03030,52.550449793338196
AT1G03040,59.91247264770241
AT1G03060,82.59664478482858
AT1G03070,96.75176270362266
AT1G03080,81.15244347191832
AT1G03090,33.98978847556528
AT1G03100,13.547289083394116
AT1G03106,12.560175054704596
AT1G03110,50.34767809384877
AT1G03120,13.790420617554098
AT1G03130,23.403841478239727
AT1G03140,78.7697544371505
AT1G03150,81.69705810843666
AT1G03160,19.795769511305615
AT1G03165,4.87235594456601
