gen_name,mesenchymal stem cell of the bone marrow
ENSG00000000003,90.62064323830586
ENSG00000000419,86.6737176097303
ENSG00000000457,65.70837940483631
ENSG00000000460,60.75188692851305
ENSG00000000971,96.13960867265997
ENSG00000001036,82.741214364694
ENSG00000001084,69.96779001009567
ENSG00000001167,70.01105716071343
ENSG00000001460,63.81904716119418
ENSG00000001461,90.96678044324791
ENSG00000001497,65.37666458343348
ENSG00000001561,41.17109754338733
ENSG00000001617,27.003509446661216
ENSG00000001626,35.63770972549396
ENSG00000001629,92.58208739964425
ENSG00000001630,91.82250853324359
ENSG00000001631,81.24128647661169
ENSG00000002016,77.4962742175857
ENSG00000002330,56.55497331859045
ENSG00000002549,82.94312773424355
ENSG00000002586,96.42805634344502
ENSG00000002587,22.575837700110572
ENSG00000002726,11.884044036344408
ENSG00000002745,9.860102879669247
ENSG00000002746,32.70515840584587
ENSG00000002822,54.83870967741935
ENSG00000002834,85.75549252439787
ENSG00000002919,60.444209413008984
ENSG00000002933,26.840055766549686
ENSG00000003056,90.17835680976876
ENSG00000003096,61.56915532907071
ENSG00000003137,17.744339214460844
ENSG00000003147,34.38296235757896
ENSG00000003249,31.940772078265468
ENSG00000003393,78.66929474544493
ENSG00000003400,49.507235229075526
ENSG00000003402,89.97644344021923
ENSG00000003436,97.29820681697994
ENSG00000003509,71.88596702081631
ENSG00000003756,91.35618479880775
ENSG00000003987,48.675544444978605
ENSG00000003989,23.758473150329312
ENSG00000004059,67.84289216864575
ENSG00000004139,53.56473246478535
ENSG00000004142,78.40007691937888
ENSG00000004399,65.10744675736744
ENSG00000004455,85.58723138310657
ENSG00000004468,51.78597182827749
ENSG00000004478,55.49733185904524
ENSG00000004487,82.683524830537
ENSG00000004534,93.5195423296957
ENSG00000004660,38.344310369693765
ENSG00000004700,95.3127253497428
ENSG00000004766,83.84693043603673
ENSG00000004776,41.56530936012692
ENSG00000004777,11.513869525503582
ENSG00000004779,88.20249026489111
ENSG00000004799,18.801980674006057
ENSG00000004809,50.20431710013942
ENSG00000004838,7.715975193500313
ENSG00000004846,28.3880582664295
ENSG00000004848,9.023604634392578
ENSG00000004864,73.1118696216528
ENSG00000004866,81.03456564588241
ENSG00000004897,95.24542089322628
ENSG00000004939,28.455362722946013
ENSG00000004961,68.67458295274265
ENSG00000004975,46.07951540791308
ENSG00000005007,49.48319792317677
ENSG00000005020,84.10172587856353
ENSG00000005022,97.58665448776502
ENSG00000005059,58.37219364453632
ENSG00000005073,34.02721023027739
ENSG00000005075,80.51535983846931
ENSG00000005100,86.6160280755733
ENSG00000005108,39.685592038844284
ENSG00000005156,60.424979568289984
ENSG00000005175,80.78457766453536
ENSG00000005187,51.54079130811019
ENSG00000005189,55.103120042305655
ENSG00000005194,82.62102783520024
ENSG00000005206,37.82510456228066
ENSG00000005238,63.99692322484496
ENSG00000005243,65.00168261141292
ENSG00000005249,14.86466996779001
ENSG00000005302,72.63593096485745
ENSG00000005339,88.78900052882072
ENSG00000005379,28.311138887553483
ENSG00000005421,12.29748569780299
ENSG00000005436,69.94856016537666
ENSG00000005448,63.35753088793808
ENSG00000005469,72.64073842603722
ENSG00000005483,93.96663621941252
ENSG00000005486,58.708715927118895
ENSG00000005700,96.41844142108552
ENSG00000005801,85.13052257103024
ENSG00000005810,91.5965578577953
ENSG00000005812,80.76534781981636
ENSG00000005844,30.25816066535263
ENSG00000005882,54.30988894764675
ENSG00000005884,65.77087640017308
ENSG00000005889,92.45709340897072
ENSG00000005893,98.46641988365944
ENSG00000005961,24.570934089707226
ENSG00000005981,67.10735060814383
ENSG00000006007,79.76539589442815
ENSG00000006015,57.02610451420605
ENSG00000006016,61.323974808903415
ENSG00000006025,36.68092880149993
ENSG00000006042,84.33729147637132
ENSG00000006062,44.90168741887409
ENSG00000006071,35.09446661218211
ENSG00000006116,8.432286909283206
ENSG00000006118,30.945627614057013
ENSG00000006125,89.41397048218835
ENSG00000006194,60.56439594250277
ENSG00000006210,29.883178693332052
ENSG00000006282,62.7373683957502
ENSG00000006283,29.81587423681554
ENSG00000006327,77.19340416326138
ENSG00000006377,57.84337291476371
ENSG00000006432,26.960242296043457
ENSG00000006451,76.15018508725542
ENSG00000006453,58.24719965386279
ENSG00000006459,62.86236238642373
ENSG00000006468,57.949137060718236
ENSG00000006530,85.15936733810875
ENSG00000006534,55.47810201432624
ENSG00000006555,26.46988125570886
ENSG00000006576,86.38526993894524
ENSG00000006606,46.13239748089034
ENSG00000006607,59.59809624537282
ENSG00000006625,88.30825441084563
ENSG00000006634,76.06365078601989
ENSG00000006638,39.68078457766453
ENSG00000006652,89.1255228114033
ENSG00000006659,18.84524782462382
ENSG00000006695,87.48137108792847
ENSG00000006704,59.02600836498245
ENSG00000006712,57.7856833806067
ENSG00000006715,89.04379597134752
ENSG00000006740,33.41185519926926
ENSG00000006744,65.54492572472476
ENSG00000006747,50.99754819479833
ENSG00000006756,61.280707658285664
ENSG00000006757,69.04475746358348
ENSG00000006831,84.33248401519158
ENSG00000006837,52.90130282197971
ENSG00000007001,34.53199365415124
ENSG00000007047,41.42589298591414
ENSG00000007062,20.768232296524207
ENSG00000007080,60.95380029806259
ENSG00000007168,91.49560117302052
ENSG00000007174,31.585019950963893
ENSG00000007202,72.28498629873565
ENSG00000007237,31.176385750685064
ENSG00000007255,45.156482861400896
ENSG00000007264,33.334935820393255
ENSG00000007306,4.004615162732561
ENSG00000007341,69.88125570886015
ENSG00000007372,48.13230133166675
ENSG00000007376,39.89231286957357
ENSG00000007384,60.44901687418874
ENSG00000007392,77.63088313061873
ENSG00000007402,10.037978943320033
ENSG00000007516,8.129416854958896
ENSG00000007520,47.9015431950387
ENSG00000007541,31.032161915292534
ENSG00000007545,42.32488822652757
ENSG00000007866,60.34325272823422
ENSG00000007923,66.49199557713571
ENSG00000007933,62.7181385510312
ENSG00000007944,39.74808903418105
ENSG00000007952,15.994423345031489
ENSG00000007968,36.17133791644632
ENSG00000008018,97.5578097206865
ENSG00000008056,3.99980770155281
ENSG00000008083,63.381568193836834
ENSG00000008086,85.12571510985049
ENSG00000008128,59.574058939474064
ENSG00000008130,54.67525599730783
ENSG00000008226,41.32974376231912
ENSG00000008256,54.37719340416326
ENSG00000008277,8.211143695014663
ENSG00000008282,96.20691312917648
ENSG00000008283,72.15999230806212
ENSG00000008294,93.88490937935676
ENSG00000008300,18.701023989231285
ENSG00000008311,88.13999326955435
ENSG00000008323,18.052016729964908
ENSG00000008324,76.64054612759001
ENSG00000008382,38.74813710879285
ENSG00000008394,95.22138358732754
ENSG00000008405,65.10263929618768
ENSG00000008441,60.15095428104418
ENSG00000008513,78.2895053122446
ENSG00000008516,7.21119176962646
ENSG00000008517,56.03576751117735
ENSG00000008710,47.757319359646175
ENSG00000008735,25.239171193692613
ENSG00000008838,49.32935916542474
ENSG00000008853,42.63256574203163
ENSG00000008869,79.40964376712658
ENSG00000008952,94.28392865727609
ENSG00000008988,97.25013220518244
ENSG00000009307,98.22604682467188
ENSG00000009335,81.99605788183261
ENSG00000009413,94.53872409980289
ENSG00000009694,12.119609634152203
ENSG00000009724,21.715302148935148
ENSG00000009765,54.968511129272635
ENSG00000009780,95.50983125811258
ENSG00000009790,43.829623575789626
ENSG00000009830,46.10836017499159
ENSG00000009844,96.12999375030047
ENSG00000009950,28.51785971828277
ENSG00000009954,92.15903081582616
ENSG00000010017,79.81347050622566
ENSG00000010030,37.80587471756166
ENSG00000010072,66.1410509110139
ENSG00000010165,70.02547954425268
ENSG00000010219,70.58795250228354
ENSG00000010244,97.41839334647374
ENSG00000010256,90.37546271813855
ENSG00000010270,84.80842267198693
ENSG00000010278,80.25575693476276
ENSG00000010292,67.97750108167877
ENSG00000010295,56.45882409499543
ENSG00000010310,44.6853516657853
ENSG00000010318,37.78664487284265
ENSG00000010319,11.441757607807316
ENSG00000010322,69.43416181914331
ENSG00000010327,7.2688813037834725
ENSG00000010361,27.27753473390702
ENSG00000010379,32.41671073506082
ENSG00000010404,82.75563674823326
ENSG00000010438,35.599250036055956
ENSG00000010539,68.29960098072209
ENSG00000010610,37.07514061823951
ENSG00000010626,47.964040190375464
ENSG00000010671,4.115186769866833
ENSG00000010704,63.27580404788231
ENSG00000010803,65.20359598096246
ENSG00000010810,72.22248930339887
ENSG00000010818,74.76563626748714
ENSG00000010932,18.100091341762415
ENSG00000011007,93.92336906879477
ENSG00000011009,64.64593048411133
ENSG00000011021,50.752367674631024
ENSG00000011028,67.64578626027595
ENSG00000011052,74.68871688861113
ENSG00000011105,27.806355463679633
ENSG00000011114,83.6354021441277
ENSG00000011132,44.940147108312104
ENSG00000011143,61.74222393154175
ENSG00000011198,85.1449449545695
ENSG00000011201,41.747992884957455
ENSG00000011243,60.0211528291909
ENSG00000011258,50.22354694485842
ENSG00000011260,66.52084034421422
ENSG00000011275,83.76520359598096
ENSG00000011295,93.27436180952839
ENSG00000011304,58.47795779049084
ENSG00000011332,32.25806451612903
ENSG00000011347,23.119080813422432
ENSG00000011376,64.7084274794481
ENSG00000011405,88.04384404595933
ENSG00000011422,92.06288159223114
ENSG00000011426,81.35185808374598
ENSG00000011451,50.76679005817029
ENSG00000011454,83.96711696553051
ENSG00000011465,98.50968703427719
ENSG00000011478,37.36839575020432
ENSG00000011485,55.16561703764242
ENSG00000011523,68.1890293735878
ENSG00000011566,81.64992067689053
ENSG00000011638,72.90514879092352
ENSG00000012048,77.64530551415797
ENSG00000012061,85.03437334743522
ENSG00000012124,29.78222200855728
ENSG00000012171,29.085140137493386
ENSG00000012174,80.60670160088458
ENSG00000012211,42.98351040815345
ENSG00000012223,32.18595259843276
ENSG00000012232,57.36743425796836
ENSG00000012504,17.994327195807895
ENSG00000012660,90.56295370414884
ENSG00000012817,71.20811499447142
ENSG00000012822,70.64564203644056
ENSG00000012963,79.66443920965338
ENSG00000012983,90.96197298206818
ENSG00000013016,64.71804240180761
ENSG00000013275,86.48622662372001
ENSG00000013288,75.71270611989807
ENSG00000013293,60.660545166097776
ENSG00000013297,91.63982500841306
ENSG00000013306,62.24219989423585
ENSG00000013364,73.8570261045142
ENSG00000013374,88.39478871208115
ENSG00000013375,98.60102879669247
ENSG00000013392,80.84226719869237
ENSG00000013441,95.86558338541417
ENSG00000013503,71.43887313109947
ENSG00000013523,49.66588144800731
ENSG00000013561,93.23590212009037
ENSG00000013563,61.6893418585645
ENSG00000013573,45.887216960723045
ENSG00000013583,69.19378876015575
ENSG00000013588,88.4188260179799
ENSG00000013619,59.463487332339795
ENSG00000013725,31.887890005288206
ENSG00000013810,51.584058458727945
ENSG00000014123,90.70237007836161
ENSG00000014138,49.555309840873036
ENSG00000014164,12.210951396567472
ENSG00000014216,67.76597278976972
ENSG00000014257,24.10941781645113
ENSG00000014641,98.09143791163886
ENSG00000014824,91.01004759386568
ENSG00000014914,67.81885486274697
ENSG00000014919,87.98615451180231
ENSG00000015133,11.994615643478678
ENSG00000015153,65.9343300802846
ENSG00000015171,85.75068506321811
ENSG00000015285,12.042690255276188
ENSG00000015413,17.076102110475457
ENSG00000015475,67.21311475409836
ENSG00000015479,97.66357386664103
