gen_name,adipocyte,preadipocyte
ENSMUSG00000000001,92.49477951111656,84.89129099619211
ENSMUSG00000000028,95.98329443557303,92.29824345903451
ENSMUSG00000000037,0.8598452278589854,80.5552143471318
ENSMUSG00000000056,19.57990418867461,93.18265569340376
ENSMUSG00000000058,59.55656553248987,99.61921139909103
ENSMUSG00000000078,96.83085616017688,81.66072964009335
ENSMUSG00000000085,78.33190025795356,36.08279081193956
ENSMUSG00000000088,69.78258199238422,92.34737747205503
ENSMUSG00000000094,30.370961798304876,23.952831347500307
ENSMUSG00000000120,43.81525611104287,38.349097162510745
ENSMUSG00000000126,49.68062891536667,0.0
ENSMUSG00000000127,84.71932195062031,72.14101461736887
ENSMUSG00000000131,81.30450804569463,66.69328092371944
ENSMUSG00000000134,82.27490480284978,82.79081193956517
ENSMUSG00000000142,41.10674364328706,0.0
ENSMUSG00000000148,68.11816730131433,77.19567620685419
ENSMUSG00000000149,73.45534946566761,42.242967694386444
ENSMUSG00000000154,34.16656430413954,0.0
ENSMUSG00000000167,22.067313597838105,0.0
ENSMUSG00000000168,57.449944724235344,99.47180936002948
ENSMUSG00000000171,54.44662817835647,87.9621668099742
ENSMUSG00000000182,2.3522908733570813,0.0
ENSMUSG00000000183,13.536420587151454,27.238668468247145
ENSMUSG00000000184,87.77177250951972,92.02186463579413
ENSMUSG00000000194,78.51001105515293,66.25721655816238
ENSMUSG00000000197,10.557671047782828,0.0
ENSMUSG00000000204,24.20464316423044,21.25660238299963
ENSMUSG00000000223,33.87176022601646,32.83380420095811
ENSMUSG00000000244,7.46222822749048,0.0
ENSMUSG00000000248,5.435450190394301,30.90529418990296
ENSMUSG00000000263,18.468247144085492,0.0
ENSMUSG00000000266,56.08647586291611,36.35302788355239
ENSMUSG00000000275,81.64844613683823,82.60041763911067
ENSMUSG00000000276,53.26127011423658,64.5252425991893
ENSMUSG00000000278,96.08156246161406,76.9561478933792
ENSMUSG00000000282,44.66281783564673,37.64279572534087
ENSMUSG00000000290,20.5073086844368,41.0146173688736
ENSMUSG00000000295,37.655079228595994,21.25660238299963
ENSMUSG00000000301,48.49527085124677,54.14568234860582
ENSMUSG00000000305,5.380174425746223,41.0146173688736
ENSMUSG00000000320,17.411865864144456,31.58088686893502
ENSMUSG00000000325,50.93354624738976,0.0
ENSMUSG00000000326,86.62326495516521,69.56762068541948
ENSMUSG00000000339,56.29529541825329,78.26434099005036
ENSMUSG00000000340,38.975555828522296,97.46345657781599
ENSMUSG00000000346,91.51824100233387,96.46235106252303
ENSMUSG00000000355,56.510256725218035,62.07468369979118
ENSMUSG00000000365,11.116570445891167,0.0
ENSMUSG00000000374,67.92777300085984,47.297629283871764
ENSMUSG00000000378,55.38017442574622,79.5786758383491
ENSMUSG00000000381,94.11006018916595,0.0
ENSMUSG00000000384,56.479547967080215,41.45068173443066
ENSMUSG00000000385,27.103549932440735,0.0
ENSMUSG00000000386,25.930475371575973,24.689841542808008
ENSMUSG00000000392,85.9415305245056,55.386316177373786
ENSMUSG00000000399,55.52757646480776,93.95037464684928
ENSMUSG00000000402,27.650165827293943,24.689841542808008
ENSMUSG00000000416,40.019653605208205,0.0
ENSMUSG00000000420,94.09777668591082,23.952831347500307
ENSMUSG00000000439,46.259673258813415,88.134135855546
ENSMUSG00000000440,68.16730131433485,98.29259304753715
ENSMUSG00000000441,72.4112516889817,95.6270728411743
ENSMUSG00000000486,25.34086721532981,0.0
ENSMUSG00000000489,70.37219014863038,0.0
ENSMUSG00000000530,86.13192482496008,0.0
ENSMUSG00000000531,45.04974818818327,23.025426851738114
ENSMUSG00000000532,45.15415796585186,46.26581501044098
ENSMUSG00000000538,81.07726323547476,60.90775089055399
ENSMUSG00000000552,96.17368873602751,80.53064734062154
ENSMUSG00000000555,89.43004544896205,87.67964623510626
ENSMUSG00000000560,53.163002088195555,49.92015722884167
ENSMUSG00000000561,65.86414445399828,93.13352168038324
ENSMUSG00000000562,23.897555582852227,44.52155754821275
ENSMUSG00000000563,87.13303034025304,98.73479916472178
ENSMUSG00000000567,74.25377717725095,81.90639970519592
ENSMUSG00000000568,65.2254022847316,47.77668591082176
ENSMUSG00000000579,54.035130819309664,57.25340867215329
ENSMUSG00000000581,90.01351185358064,81.18781476477092
ENSMUSG00000000594,89.56516398476846,87.3787004053556
ENSMUSG00000000600,91.81918683208451,93.87667362731851
ENSMUSG00000000605,84.47979363714532,70.74069524628423
ENSMUSG00000000606,20.2677803709618,39.80469229824346
ENSMUSG00000000617,4.280800884412234,0.0
ENSMUSG00000000627,21.465421938336814,0.0
ENSMUSG00000000628,80.53678909224911,46.210539245792894
ENSMUSG00000000631,35.204520329197884,71.07849158580028
ENSMUSG00000000632,17.66981943250215,29.504974818818326
ENSMUSG00000000673,23.44306596241248,42.242967694386444
ENSMUSG00000000686,21.655816238791303,86.34688613192483
ENSMUSG00000000690,25.697088809728534,40.23461491217295
ENSMUSG00000000693,79.32686402161897,74.1063751381894
ENSMUSG00000000708,64.64193588011301,85.19837857757032
ENSMUSG00000000711,87.19444785652868,60.94460140031938
ENSMUSG00000000724,16.441469106989313,30.899152438275397
ENSMUSG00000000730,29.62166809974205,36.15035007984277
ENSMUSG00000000731,11.95799041886746,63.389018548089915
ENSMUSG00000000732,61.78602137329566,28.87851615280678
ENSMUSG00000000738,36.50042992261393,64.96130696474634
ENSMUSG00000000739,67.2828890799656,37.268148876059456
ENSMUSG00000000740,99.28755681120256,95.43667854071981
ENSMUSG00000000743,84.07443802972607,63.997051959218766
ENSMUSG00000000751,61.89657290259182,96.52376857879868
ENSMUSG00000000753,99.37968308561602,0.0
ENSMUSG00000000759,74.64684928141506,72.93944232895223
ENSMUSG00000000766,2.548826925439135,25.948900626458666
ENSMUSG00000000776,58.26679769070139,19.309667117061785
ENSMUSG00000000787,95.11116570445891,61.34995700773861
ENSMUSG00000000791,11.478933791917454,33.374278344183764
ENSMUSG00000000794,78.03095442820293,24.689841542808008
ENSMUSG00000000804,69.22368259427589,59.458297506448844
ENSMUSG00000000805,54.428202923473776,0.0
ENSMUSG00000000811,42.90627687016337,54.91340130205135
ENSMUSG00000000823,63.364451541579655,68.35155386316177
ENSMUSG00000000826,77.51504729148753,93.61872005896082
ENSMUSG00000000827,84.85444048642672,76.69205257339394
ENSMUSG00000000838,83.37427834418376,92.75273307947427
ENSMUSG00000000861,10.569954551037956,28.79867338164845
ENSMUSG00000000869,8.647586291610368,24.689841542808008
ENSMUSG00000000876,45.95872742906277,69.56147893379192
ENSMUSG00000000881,12.191376980714901,0.0
ENSMUSG00000000884,32.92593047537158,0.0
ENSMUSG00000000901,30.26041026900872,44.25132047659993
ENSMUSG00000000902,80.57978135364206,64.37784056012775
ENSMUSG00000000915,38.90185480899152,31.955533718216433
ENSMUSG00000000916,53.00945829750645,63.2539000122835
ENSMUSG00000000934,20.44589116816116,73.6641690210048
ENSMUSG00000000938,73.971256602383,0.0
ENSMUSG00000000948,17.854071981329074,18.947303771035497
ENSMUSG00000000957,96.37636653973713,65.62461614052327
ENSMUSG00000000958,36.402161896572906,0.0
ENSMUSG00000000959,69.27895835892397,87.02862056258445
ENSMUSG00000000976,55.963640830364824,72.9087335708144
ENSMUSG00000000983,28.000245670065105,0.0
ENSMUSG00000001016,87.5015354379069,94.8040781230807
ENSMUSG00000001017,94.67510133890185,94.88392089423904
ENSMUSG00000001018,75.50669450927404,86.47586291610368
ENSMUSG00000001020,62.87311141137452,53.857020022110305
ENSMUSG00000001025,98.26188428939933,59.151209925070624
ENSMUSG00000001034,66.93280923719445,49.12787126888588
ENSMUSG00000001036,65.28681980100724,67.63911067436433
ENSMUSG00000001039,44.82250337796339,26.698194325021497
ENSMUSG00000001052,93.2440732096794,90.37587519960692
ENSMUSG00000001053,18.812185235229087,72.21471563689964
ENSMUSG00000001054,55.417024935511606,68.038324530156
ENSMUSG00000001056,57.39466895958727,63.13106497973222
ENSMUSG00000001062,41.3585554600172,49.066453752610244
ENSMUSG00000001065,61.48507554354502,72.55251197641567
ENSMUSG00000001082,52.32772386684682,44.34344675101339
ENSMUSG00000001089,85.43790689104533,86.75224173934406
ENSMUSG00000001098,63.272325267166195,87.71649674487165
ENSMUSG00000001100,73.78086230192851,96.82471440854931
ENSMUSG00000001105,81.9801007247267,85.13696106129468
ENSMUSG00000001119,99.59464439258076,99.41039184375384
ENSMUSG00000001120,49.08487900749294,56.22773615035008
ENSMUSG00000001123,95.09274044957621,42.98611964132171
ENSMUSG00000001127,81.02198747082669,0.0
ENSMUSG00000001128,8.997666134381525,0.0
ENSMUSG00000001131,54.065839577447484,40.89792408794988
ENSMUSG00000001134,25.457560496253535,64.75862916103672
ENSMUSG00000001138,58.58616877533473,40.449576219137704
ENSMUSG00000001143,51.9715022724481,89.27035990664538
ENSMUSG00000001150,55.74867952340007,66.33705932932072
ENSMUSG00000001151,54.864267289030835,78.63898783933178
ENSMUSG00000001155,17.927773000859844,56.510256725218035
ENSMUSG00000001156,44.83478688121853,57.750890553986004
ENSMUSG00000001157,63.78823240388159,53.63591696351799
ENSMUSG00000001158,79.57253408672153,55.11607910576096
ENSMUSG00000001173,77.50890553985997,39.01240633828768
ENSMUSG00000001175,98.29873479916472,91.19272816607297
ENSMUSG00000001211,67.22761331531753,84.6026286696966
ENSMUSG00000001225,29.76907013880359,45.098882201203786
ENSMUSG00000001227,18.75690947058101,0.0
ENSMUSG00000001228,34.94656676084019,96.50534332391598
ENSMUSG00000001229,63.37059329320722,79.91033042623756
ENSMUSG00000001240,91.27871268885886,0.0
ENSMUSG00000001247,13.849649920157228,0.0
ENSMUSG00000001248,52.524259918928884,50.54661589485321
ENSMUSG00000001249,12.52917332023093,0.0
ENSMUSG00000001270,93.22564795479671,0.0
ENSMUSG00000001280,89.89681857265693,85.01412602874339
ENSMUSG00000001281,87.02247881095688,0.0
ENSMUSG00000001285,50.79228595995578,83.63223191254146
ENSMUSG00000001288,91.29713794374156,84.97113376735045
ENSMUSG00000001289,86.86279326864022,75.8567743520452
ENSMUSG00000001300,35.79412848544405,76.27441346271956
ENSMUSG00000001305,47.702984891290996,67.52855914506817
ENSMUSG00000001313,43.80911435941531,33.638373664169016
