gen_name,hepatocyte,not applicable
ENSG00000000003,97.828447339848,96.45313065508505
ENSG00000000005,12.90063135882897,22.230265009852417
ENSG00000000419,75.27647082478786,84.843366710902
ENSG00000000457,84.31254272730928,69.85965335585314
ENSG00000000460,50.01005348453774,72.70277878312623
ENSG00000000938,52.09313548075764,81.96404873929303
ENSG00000000971,99.44504765351671,98.46784895644831
ENSG00000001036,94.15289339284996,90.95186391603329
ENSG00000001084,92.00144770177343,86.4680098122009
ENSG00000001167,62.51256685567218,77.6410503880645
ENSG00000001460,60.18015844291631,56.07833675151808
ENSG00000001461,63.83962681465396,70.6679535126875
ENSG00000001497,88.20123054650742,88.08058873205454
ENSG00000001561,66.31680540475328,61.756544818434065
ENSG00000001617,33.44995375397113,37.14963606385973
ENSG00000001626,95.10194233321269,48.85993485342019
ENSG00000001629,70.68403908794788,66.58221739654965
ENSG00000001630,96.16761169421322,94.67969598262758
ENSG00000001631,67.72429324003699,72.401174246994
ENSG00000002016,58.05284111473037,63.461615796034906
ENSG00000002079,26.5009852414847,21.373708127236902
ENSG00000002330,84.81521695419633,71.37974021795954
ENSG00000002549,95.16226324043913,91.67973619656573
ENSG00000002586,92.5845498049624,96.82712027988902
ENSG00000002587,74.50436321228938,65.01789520247718
ENSG00000002726,36.884224072063375,21.99702416857683
ENSG00000002746,44.979289821852255,41.24743636144287
ENSG00000002822,62.68950818353641,84.85140949853219
ENSG00000002834,88.78835404351149,83.99887400973178
ENSG00000002919,60.69087545743355,63.67474966823501
ENSG00000002933,99.54960389270921,97.02416857682873
ENSG00000003056,91.46258093055053,94.85663731049182
ENSG00000003096,45.546306349780835,63.767241725982224
ENSG00000003137,17.412635219367033,19.033256926850846
ENSG00000003147,74.31937909679495,68.92668999075079
ENSG00000003249,79.88498813688824,52.59178831382957
ENSG00000003393,80.99891422366993,73.67193469256445
ENSG00000003400,69.83552499296256,64.87714641894881
ENSG00000003402,97.90083242851972,96.27216793340571
ENSG00000003436,98.66489725338803,97.89278964088953
ENSG00000003509,63.336952587766916,63.425423251699044
ENSG00000003756,93.70249728555918,97.1568745727269
ENSG00000003987,32.62556802187638,37.390919692765515
ENSG00000003989,92.07785418426026,73.02851168214903
