gen_name,mesenchymal stem cell of adipose
ENSMUSG00000000001,95.75182481751825
ENSMUSG00000000028,97.27980535279805
ENSMUSG00000000037,40.56934306569343
ENSMUSG00000000056,61.469586374695865
ENSMUSG00000000058,54.59367396593674
ENSMUSG00000000078,99.67396593673966
ENSMUSG00000000085,79.73236009732359
ENSMUSG00000000088,74.74939172749392
ENSMUSG00000000093,15.644768856447689
ENSMUSG00000000094,26.64720194647202
ENSMUSG00000000120,41.35766423357664
ENSMUSG00000000126,37.83941605839416
ENSMUSG00000000127,88.24817518248175
ENSMUSG00000000131,86.72506082725062
ENSMUSG00000000134,71.76642335766424
ENSMUSG00000000142,44.74452554744526
ENSMUSG00000000148,53.065693430656935
ENSMUSG00000000149,85.00243309002433
ENSMUSG00000000154,49.79562043795621
ENSMUSG00000000167,39.81995133819951
ENSMUSG00000000168,64.72506082725062
ENSMUSG00000000171,92.37956204379562
ENSMUSG00000000182,6.618004866180048
ENSMUSG00000000183,20.763990267639905
ENSMUSG00000000184,96.30170316301702
ENSMUSG00000000194,80.81751824817518
ENSMUSG00000000197,35.104622871046224
ENSMUSG00000000204,19.37226277372263
ENSMUSG00000000215,18.846715328467152
ENSMUSG00000000223,54.65693430656934
ENSMUSG00000000244,34.880778588807786
ENSMUSG00000000248,22.909975669099758
ENSMUSG00000000253,23.600973236009732
ENSMUSG00000000263,11.435523114355231
ENSMUSG00000000266,50.978102189781026
ENSMUSG00000000275,76.91970802919708
ENSMUSG00000000276,70.84184914841849
ENSMUSG00000000278,98.04379562043796
ENSMUSG00000000282,57.742092457420924
ENSMUSG00000000295,66.94403892944038
ENSMUSG00000000301,41.78102189781022
ENSMUSG00000000303,20.83698296836983
ENSMUSG00000000305,30.93917274939173
ENSMUSG00000000308,8.282238442822385
ENSMUSG00000000317,9.094890510948906
ENSMUSG00000000320,36.399026763990264
ENSMUSG00000000325,67.8345498783455
ENSMUSG00000000326,95.21167883211679
ENSMUSG00000000339,65.90754257907543
ENSMUSG00000000340,66.74939172749392
ENSMUSG00000000346,96.28223844282239
ENSMUSG00000000355,76.39902676399026
ENSMUSG00000000359,42.0632603406326
ENSMUSG00000000365,37.21167883211679
ENSMUSG00000000374,52.540145985401466
ENSMUSG00000000378,69.42092457420924
ENSMUSG00000000384,61.89294403892944
ENSMUSG00000000386,48.67639902676399
ENSMUSG00000000392,96.60827250608273
ENSMUSG00000000399,89.67396593673966
ENSMUSG00000000402,35.5669099756691
ENSMUSG00000000409,46.5742092457421
ENSMUSG00000000416,44.180048661800484
ENSMUSG00000000420,92.99270072992701
ENSMUSG00000000439,78.49148418491484
ENSMUSG00000000440,67.58150851581507
ENSMUSG00000000441,85.50851581508516
ENSMUSG00000000486,32.82725060827251
ENSMUSG00000000530,74.12165450121655
ENSMUSG00000000531,43.557177615571774
ENSMUSG00000000532,48.85158150851582
ENSMUSG00000000538,71.30413625304136
ENSMUSG00000000552,51.1970802919708
ENSMUSG00000000555,76.75425790754258
ENSMUSG00000000560,57.24574209245742
ENSMUSG00000000561,83.88321167883211
ENSMUSG00000000562,40.695863746958636
ENSMUSG00000000563,96.8029197080292
ENSMUSG00000000567,68.69099756690997
ENSMUSG00000000568,79.63503649635037
ENSMUSG00000000579,73.47931873479318
ENSMUSG00000000581,91.54257907542579
ENSMUSG00000000594,97.06082725060827
ENSMUSG00000000600,96.07785888077859
ENSMUSG00000000605,93.44525547445257
ENSMUSG00000000606,36.4720194647202
ENSMUSG00000000617,17.401459854014597
ENSMUSG00000000627,15.97566909975669
ENSMUSG00000000628,97.45012165450122
ENSMUSG00000000631,52.194647201946474
ENSMUSG00000000632,19.347931873479318
ENSMUSG00000000673,44.05352798053528
ENSMUSG00000000686,21.47931873479319
ENSMUSG00000000690,34.846715328467155
ENSMUSG00000000693,80.47688564476886
ENSMUSG00000000706,35.722627737226276
ENSMUSG00000000708,92.50121654501217
ENSMUSG00000000711,77.42092457420925
ENSMUSG00000000724,31.97080291970803
ENSMUSG00000000730,39.2992700729927
ENSMUSG00000000731,28.944038929440392
ENSMUSG00000000732,51.201946472019465
ENSMUSG00000000738,63.49391727493917
ENSMUSG00000000739,90.4087591240876
ENSMUSG00000000740,99.39659367396594
ENSMUSG00000000743,83.99513381995133
ENSMUSG00000000751,74.83698296836982
ENSMUSG00000000753,99.68856447688565
ENSMUSG00000000759,78.50608272506082
ENSMUSG00000000766,15.854014598540145
ENSMUSG00000000776,69.52798053527981
ENSMUSG00000000782,28.223844282238442
ENSMUSG00000000787,97.5036496350365
ENSMUSG00000000791,33.27980535279805
ENSMUSG00000000792,19.532846715328468
ENSMUSG00000000794,48.73965936739659
ENSMUSG00000000804,75.11922141119221
ENSMUSG00000000811,49.98053527980535
ENSMUSG00000000823,96.77372262773723
ENSMUSG00000000826,91.16301703163016
ENSMUSG00000000827,94.01946472019465
ENSMUSG00000000838,87.00243309002434
ENSMUSG00000000861,30.734793187347933
ENSMUSG00000000869,18.21897810218978
ENSMUSG00000000876,76.37469586374695
ENSMUSG00000000881,46.37469586374696
ENSMUSG00000000884,44.70559610705596
ENSMUSG00000000901,80.3552311435523
ENSMUSG00000000902,86.82725060827251
ENSMUSG00000000915,37.67396593673966
ENSMUSG00000000916,55.24574209245742
ENSMUSG00000000934,38.65206812652068
ENSMUSG00000000938,68.57907542579076
ENSMUSG00000000942,10.89051094890511
ENSMUSG00000000948,41.59610705596107
ENSMUSG00000000957,98.26277372262774
ENSMUSG00000000958,61.48418491484185
ENSMUSG00000000959,69.90754257907543
ENSMUSG00000000976,77.88807785888078
ENSMUSG00000001014,28.04866180048662
ENSMUSG00000001016,92.4963503649635
ENSMUSG00000001017,81.45498783454987
