gen_name,embryonic neural border stem cell
ENSMUSG00000000001,89.89047033327476
ENSMUSG00000000028,89.48046623323376
ENSMUSG00000000056,83.90441047267616
ENSMUSG00000000078,70.80770807708076
ENSMUSG00000000085,49.25320681778246
ENSMUSG00000000088,98.37755520412347
ENSMUSG00000000120,48.21062496339249
ENSMUSG00000000125,30.744450301645877
ENSMUSG00000000127,68.84554559831312
ENSMUSG00000000131,75.04246471036139
ENSMUSG00000000134,65.84080126515552
ENSMUSG00000000142,61.58261582615826
ENSMUSG00000000148,70.06384349557781
ENSMUSG00000000149,50.48321911790546
ENSMUSG00000000167,39.34867920107772
ENSMUSG00000000168,82.57482574825748
ENSMUSG00000000171,94.66994669946699
ENSMUSG00000000184,99.7539975399754
ENSMUSG00000000194,69.15597727405846
ENSMUSG00000000197,15.111579687225444
ENSMUSG00000000202,59.796169390265334
ENSMUSG00000000223,35.95735957359574
ENSMUSG00000000247,37.23422948515199
ENSMUSG00000000248,2.600597434545774
ENSMUSG00000000263,16.88631172026006
ENSMUSG00000000266,27.077842206993495
ENSMUSG00000000275,5.01376442335852
ENSMUSG00000000276,45.57488432027178
ENSMUSG00000000278,91.87606161775904
ENSMUSG00000000282,45.56902711884261
ENSMUSG00000000295,89.33403619750483
ENSMUSG00000000296,42.64042640426404
ENSMUSG00000000301,39.741111696831254
ENSMUSG00000000305,2.71188426169976
ENSMUSG00000000320,26.779124934106484
ENSMUSG00000000325,76.43062144907164
ENSMUSG00000000326,87.10829965442511
ENSMUSG00000000339,91.41919990628477
ENSMUSG00000000340,39.00310431675745
ENSMUSG00000000346,98.29555438411526
ENSMUSG00000000355,87.07315644585017
ENSMUSG00000000365,18.64932935043636
ENSMUSG00000000374,53.036958941017986
ENSMUSG00000000378,87.40701692731213
ENSMUSG00000000384,84.00398289697183
ENSMUSG00000000386,31.915890587477303
ENSMUSG00000000399,96.26310548819774
ENSMUSG00000000402,6.929069290692907
ENSMUSG00000000409,38.37638376383764
ENSMUSG00000000416,29.21572072863586
ENSMUSG00000000420,58.07415217009313
ENSMUSG00000000439,80.17923036373222
ENSMUSG00000000441,89.45703742751712
ENSMUSG00000000486,44.907163357347855
ENSMUSG00000000531,43.80600948866631
ENSMUSG00000000532,36.08036080360804
ENSMUSG00000000538,30.3988754173256
ENSMUSG00000000552,47.238329526152405
ENSMUSG00000000555,51.531658173724594
ENSMUSG00000000560,43.15000292860071
ENSMUSG00000000561,94.8456627423417
ENSMUSG00000000562,24.28395712528554
ENSMUSG00000000563,98.80513090845194
ENSMUSG00000000567,59.274878463070344
ENSMUSG00000000568,82.11210683535407
ENSMUSG00000000579,84.56041703274175
ENSMUSG00000000581,92.70778422069935
ENSMUSG00000000594,78.1994962806771
ENSMUSG00000000600,81.66695952673813
ENSMUSG00000000605,89.24032097463832
ENSMUSG00000000606,7.391788203596322
ENSMUSG00000000627,40.514262285479994
ENSMUSG00000000628,79.48222339366251
ENSMUSG00000000631,62.66034088912318
ENSMUSG00000000632,79.33579335793358
ENSMUSG00000000673,10.443390148187195
ENSMUSG00000000686,49.10091958062438
ENSMUSG00000000693,32.88232882328823
ENSMUSG00000000708,27.370702278451354
ENSMUSG00000000711,80.76495050664792
ENSMUSG00000000724,39.143677151057226
ENSMUSG00000000731,17.366602237450945
ENSMUSG00000000732,26.15826158261583
ENSMUSG00000000738,75.47589761611901
ENSMUSG00000000739,28.840859837169802
ENSMUSG00000000740,99.73056873425877
ENSMUSG00000000743,88.44374158027296
ENSMUSG00000000751,92.94792947929479
ENSMUSG00000000753,62.43191003338605
ENSMUSG00000000759,63.50377789492181
ENSMUSG00000000776,79.10736250219645
ENSMUSG00000000782,34.0889123176946
ENSMUSG00000000787,90.02518596614537
ENSMUSG00000000791,20.634920634920633
ENSMUSG00000000794,38.31195454811691
ENSMUSG00000000804,37.40408832659755
ENSMUSG00000000811,62.754056111989684
ENSMUSG00000000823,65.10865108651086
ENSMUSG00000000826,86.14186141861418
ENSMUSG00000000827,91.70620277631348
ENSMUSG00000000838,77.22134364200784
ENSMUSG00000000861,32.700755578984364
ENSMUSG00000000869,5.5291981491243485
ENSMUSG00000000876,56.05927487846307
ENSMUSG00000000881,42.47056756281849
ENSMUSG00000000884,57.213143560007026
ENSMUSG00000000901,57.65829086862298
ENSMUSG00000000902,96.53253675393897
ENSMUSG00000000915,68.15439582967258
ENSMUSG00000000916,79.59936742224565
ENSMUSG00000000934,63.322204650617934
ENSMUSG00000000948,36.47865050079072
ENSMUSG00000000957,69.2731213026416
ENSMUSG00000000958,41.63884495987817
ENSMUSG00000000959,82.89697182686112
ENSMUSG00000000976,78.54507116499735
ENSMUSG00000001016,98.02026591694488
ENSMUSG00000001017,91.91120482633399
ENSMUSG00000001018,84.34370057986294
ENSMUSG00000001025,86.13600421718502
ENSMUSG00000001034,63.15820301060153
ENSMUSG00000001036,64.75721900076144
ENSMUSG00000001039,84.02741170268845
ENSMUSG00000001052,66.28594857377145
ENSMUSG00000001053,53.35324781819247
ENSMUSG00000001054,80.88795173666023
ENSMUSG00000001056,98.1666959526738
ENSMUSG00000001062,51.35594213084988
ENSMUSG00000001065,43.132431324313245
ENSMUSG00000001076,27.071985005564343
ENSMUSG00000001082,59.59116734024483
ENSMUSG00000001089,83.89269606981784
ENSMUSG00000001098,90.41176126046975
ENSMUSG00000001100,89.02360452175951
ENSMUSG00000001105,72.95144380015228
ENSMUSG00000001119,26.175833186903297
ENSMUSG00000001120,71.02442452995959
ENSMUSG00000001127,88.33831195454812
ENSMUSG00000001128,35.10806536636795
ENSMUSG00000001131,33.53833538335383
ENSMUSG00000001134,73.08030223159375
ENSMUSG00000001138,33.43876295905816
