gen_name,memory B cell,naive B cell,plasmablast,transitional stage B cell
ENSG00000000003,18.809906722418784,23.782566741717595,16.506915406883245,15.413316178835638
ENSG00000000419,67.45577356063043,46.60019298809907,77.83853329044709,78.23094242521711
ENSG00000000457,87.10839498230942,63.94339015760695,71.72724348665166,92.38340302348021
ENSG00000000460,61.52460598263107,59.909938887101966,60.12222579607591,81.33161788356385
ENSG00000000938,87.43004181408813,97.613380508202,86.45866838211643,99.01576069475716
ENSG00000000971,17.43325828240592,18.797040849147635,26.22708266323577,25.95046638790608
ENSG00000001036,18.623351559987135,54.79575426182052,87.78385332904472,40.810550016082345
ENSG00000001084,63.51238340302348,41.936313927307815,39.13155355419749,56.648440012865876
ENSG00000001167,76.20456738501126,73.29044708909618,52.518494692827275,83.93052428433579
ENSG00000001460,47.91251206175619,57.671276937922165,46.5422965583789,56.27532968800257
ENSG00000001461,80.9713734319717,76.11450627211323,59.97426825345771,73.58636217433259
ENSG00000001497,88.34995175297523,51.00032164683178,77.73560630427791,80.05789642972016
ENSG00000001561,40.302348021871985,91.77870697973624,47.25635252492763,0.0
ENSG00000001626,26.510131875201033,22.47024766806047,22.167899646188484,37.22097137343197
ENSG00000001629,71.0453522032808,0.0,63.5574139594725,28.214860083628174
ENSG00000001630,70.97458990028949,47.50080411707945,73.6828562238662,64.11707944676745
ENSG00000001631,77.79350273399807,70.85879704084915,58.44966227082663,86.96687037632678
ENSG00000002016,44.393695722097135,64.78610485686715,52.82084271469925,73.84367963975555
ENSG00000002330,72.40913477002252,74.48054036667739,67.2627854615632,60.231585718880666
ENSG00000002549,71.55998713412673,68.49147635895785,94.13316178835639,77.38179478932132
ENSG00000002586,90.51141846252816,76.75779993567063,96.88645866838212,83.69250562881956
ENSG00000002587,51.527822450948854,93.12319073657125,21.36378256674172,72.84657446124156
ENSG00000002726,17.909295593438404,10.170472820842715,23.54454808620135,12.949501447410745
ENSG00000002745,60.50176905757478,43.91122547442908,13.496301061434545,44.71534255387584
ENSG00000002746,29.906722418784177,25.43583145706015,15.014474107430043,20.77838533290447
ENSG00000002822,83.42232229012544,95.54197491154713,65.83467352846574,85.77677709874558
ENSG00000002834,82.01350916693471,90.76230299131554,81.32518494692827,51.109681569636535
ENSG00000002919,66.78674815053071,88.06690254100997,74.3776133805082,56.4683177870698
ENSG00000003056,97.94789321325185,83.72467031199743,95.10453522032807,86.23994853650692
ENSG00000003147,44.92762946284979,35.64490189771631,55.49051141846253,43.24220006432937
ENSG00000003249,42.35445480862013,91.12898037954325,55.67706658089418,85.61595368285623
ENSG00000003393,44.88259890640077,66.97973624959795,61.762624638147315,46.71598584753941
ENSG00000003400,72.64072048890318,53.99163718237375,95.48407848182696,67.65519459633322
ENSG00000003402,95.88935348986813,83.11997426825346,96.2174332582824,89.6236732068189
ENSG00000003436,72.04245738179479,75.97941460276616,83.84689610807334,81.74975876487616
ENSG00000003509,57.27886780315213,75.05950466387907,56.68703763267931,76.24959794146028
ENSG00000003756,94.73785783210036,97.50402058539723,88.67159858475394,95.83145706014797
ENSG00000003987,37.947893213251845,59.65905435831457,23.087809585075586,0.0
ENSG00000003989,8.298488259890641,24.49018977163075,0.0,10.788034737857831
ENSG00000004059,75.1495657767771,76.73206818912833,87.43004181408813,75.81215825024124
ENSG00000004139,56.78996461884851,79.49823094242522,42.759729816661306,68.01543904792537
ENSG00000004142,95.18816339659054,73.74075265358636,95.44548086201351,76.28819556127372
ENSG00000004455,92.84657446124156,88.806690254101,90.37632679318108,86.72241878417498
ENSG00000004468,39.189449983917655,49.41781923448054,98.88710196204568,91.10968156963654
ENSG00000004478,76.0437439691219,78.46252814409777,62.28369250562882,82.50884528787391
ENSG00000004487,55.35541974911548,53.00739787713091,53.58636217433258,69.68156963653908
ENSG00000004534,94.50627211321968,96.35895786426504,70.18333869411386,95.90221936313927
ENSG00000004660,52.53136056609843,12.653586362174332,16.526214216789963,28.594403345127052
