gen_name,induced pluripotent stem cell
ENSG00000000003,96.37035596187512
ENSG00000000005,51.2779614860922
ENSG00000000419,94.78700641898463
ENSG00000000457,66.0377358490566
ENSG00000000460,83.88640342345846
ENSG00000000938,56.10581598910718
ENSG00000000971,34.106205018478896
ENSG00000001036,90.32872981910134
ENSG00000001084,78.51779809375607
ENSG00000001167,73.7366271153472
ENSG00000001460,64.73448745380276
ENSG00000001461,65.60591324645011
ENSG00000001497,93.33592686247812
ENSG00000001561,51.98599494261816
ENSG00000001617,45.808208519743246
ENSG00000001626,44.08091810931725
ENSG00000001629,72.03656876094145
ENSG00000001630,98.43221163197822
ENSG00000001631,74.73254230694417
ENSG00000002016,72.07936199183038
ENSG00000002079,30.26648511962653
ENSG00000002330,81.26434545808209
ENSG00000002549,92.82240809181093
ENSG00000002586,93.57323477922583
ENSG00000002587,70.43765804318227
ENSG00000002726,29.48453608247423
ENSG00000002745,35.46002723205602
ENSG00000002746,58.2104648900992
ENSG00000002822,80.07002528690916
ENSG00000002834,95.1449134409648
ENSG00000002919,75.40167282629838
ENSG00000002933,31.96654347403229
ENSG00000003056,95.8296051351877
ENSG00000003096,57.94592491733126
ENSG00000003137,15.144913440964794
ENSG00000003147,74.09453413732737
ENSG00000003249,85.71095117681385
ENSG00000003393,74.37852557868119
ENSG00000003400,62.59482590935615
ENSG00000003402,89.5039875510601
ENSG00000003436,92.14160669130518
ENSG00000003509,86.24781170978409
ENSG00000003756,90.50379303637425
ENSG00000003987,53.32036568760942
ENSG00000003989,58.22213577125073
ENSG00000004059,96.01633923361213
ENSG00000004139,50.18867924528302
ENSG00000004142,95.57284574985412
ENSG00000004399,58.366076638786225
ENSG00000004455,93.6121377163976
ENSG00000004468,49.98638397198988
ENSG00000004478,98.19101342151333
ENSG00000004487,88.26298385528108
ENSG00000004534,91.09900797510213
ENSG00000004660,48.368021785644814
ENSG00000004700,87.03754133437074
ENSG00000004766,72.75238280490177
ENSG00000004776,31.87706671853725
ENSG00000004777,46.90527134798677
ENSG00000004779,97.28846527912857
ENSG00000004799,22.921610581598912
ENSG00000004809,48.52752382804902
ENSG00000004838,27.029760746936393
ENSG00000004846,46.66796343123906
ENSG00000004848,17.91091227387668
ENSG00000004864,93.21921805096285
ENSG00000004866,70.55825714841471
ENSG00000004897,91.72145496985023
ENSG00000004939,38.786228360241196
ENSG00000004948,62.84769500097257
ENSG00000004961,85.84711145691499
ENSG00000004975,81.36938338844583
ENSG00000005001,19.478700641898463
ENSG00000005007,63.11223497374052
ENSG00000005020,64.16261427737794
ENSG00000005022,99.24139272515075
ENSG00000005059,77.53744407702781
ENSG00000005073,20.17895351099008
ENSG00000005075,88.84652791285743
ENSG00000005100,77.0939505932698
ENSG00000005108,59.41645594242365
ENSG00000005156,86.76522077416845
ENSG00000005175,83.58296051351877
ENSG00000005187,52.41392725150749
ENSG00000005189,57.428515852946894
ENSG00000005194,95.58062633728846
ENSG00000005206,71.03287298191013
ENSG00000005238,62.17078389418401
ENSG00000005243,22.489787978992414
ENSG00000005249,69.4261816767166
ENSG00000005302,74.14510795565064
ENSG00000005339,80.4162614277378
ENSG00000005379,42.2680412371134
ENSG00000005381,13.421513324255981
ENSG00000005421,35.33942812682358
ENSG00000005436,71.42968294106204
ENSG00000005448,85.99883291188485
ENSG00000005469,52.2194125656487
ENSG00000005471,39.976658237696945
ENSG00000005483,88.24742268041237
ENSG00000005486,88.57031705893796
ENSG00000005513,56.078583933086946
ENSG00000005700,86.4384361019257
ENSG00000005801,93.79109122738767
ENSG00000005810,74.7130908383583
ENSG00000005812,62.80879206380082
ENSG00000005844,34.11398560591324
ENSG00000005882,74.17234001167088
ENSG00000005884,62.97218439992219
ENSG00000005889,77.84866757440186
ENSG00000005893,88.06846916942229
ENSG00000005961,48.27854503014978
ENSG00000005981,47.959540945341374
ENSG00000006007,90.30538805679828
ENSG00000006015,88.29410620501848
ENSG00000006016,59.07411009531219
ENSG00000006025,52.69013810542697
ENSG00000006042,94.5185761524995
ENSG00000006047,50.20424042015173
ENSG00000006062,55.83738572262206
ENSG00000006071,37.393503209492316
ENSG00000006116,16.304220968683136
ENSG00000006118,69.57790313168644
ENSG00000006125,95.54950398755106
ENSG00000006128,62.36140828632561
ENSG00000006194,69.90468780392919
ENSG00000006210,36.02022952732931
ENSG00000006282,75.93464306555144
ENSG00000006283,55.91130130324839
ENSG00000006327,96.59210270375414
ENSG00000006377,54.31628087920638
ENSG00000006432,66.71853724956233
ENSG00000006451,94.56525967710562
ENSG00000006453,71.99377553005252
ENSG00000006459,66.37619140245089
ENSG00000006468,82.76988912662905
ENSG00000006530,84.7928418595604
ENSG00000006534,46.8041237113402
ENSG00000006555,37.673604357128966
ENSG00000006576,72.43726901381055
ENSG00000006606,40.50184788951566
ENSG00000006607,67.6522077416845
ENSG00000006611,32.50340400700253
ENSG00000006625,92.44504960124489
ENSG00000006634,88.4847305971601
ENSG00000006638,38.46333398171562
ENSG00000006652,93.39039097451858
ENSG00000006659,36.49873565454192
ENSG00000006695,80.33845555339428
ENSG00000006704,65.56312001556117
ENSG00000006712,83.1316864423264
ENSG00000006715,86.15833495428905
ENSG00000006740,53.90001945146858
ENSG00000006744,94.18012059910524
ENSG00000006747,65.76930558257148
ENSG00000006756,53.95059326979187
ENSG00000006757,73.30869480645788
ENSG00000006788,25.271347986773
ENSG00000006831,67.82338066524022
ENSG00000006837,54.903715230499905
ENSG00000007001,24.007002528690915
ENSG00000007038,11.254619723789146
ENSG00000007047,59.97276794397977
ENSG00000007062,92.4761719509823
ENSG00000007080,92.11826492900214
ENSG00000007129,45.97549114958179
ENSG00000007168,87.18537249562341
ENSG00000007171,39.78214355183816
ENSG00000007174,44.25598132659016
ENSG00000007202,84.96401478311613
ENSG00000007237,57.992608441937364
ENSG00000007255,73.77163975880178
ENSG00000007264,60.307333203656874
ENSG00000007312,57.02392530636063
ENSG00000007314,45.504765609803535
ENSG00000007341,70.16533748297996
ENSG00000007350,28.947675549503987
ENSG00000007372,66.50457109511768
ENSG00000007376,82.04240420151721
ENSG00000007384,70.18089865784867
ENSG00000007392,90.94728652013227
ENSG00000007402,49.9046878039292
ENSG00000007516,51.336315891849836
ENSG00000007520,73.17253452635674
ENSG00000007541,79.25306360630228
ENSG00000007545,61.24100369577903
ENSG00000007866,80.221746741879
ENSG00000007908,18.000389029371718
ENSG00000007923,93.02470336510407
ENSG00000007933,38.377747519937756
ENSG00000007944,64.68002334176231
ENSG00000007952,32.12993581015367
ENSG00000007968,53.64715035985217
ENSG00000008018,99.25306360630228
ENSG00000008056,47.73001361602801
ENSG00000008083,92.69013810542695
ENSG00000008086,71.5814043960319
ENSG00000008118,19.863839719898852
ENSG00000008128,74.53024703365104
ENSG00000008130,78.58004279323089
ENSG00000008196,1.5327757245672047
ENSG00000008197,14.977630811126241
ENSG00000008226,42.92161058159891
ENSG00000008256,57.689165531997666
ENSG00000008277,54.16066913051936
ENSG00000008282,95.1604746158335
ENSG00000008283,79.39311418012059
ENSG00000008294,77.35070997860338
ENSG00000008300,60.66913051935421
ENSG00000008311,91.66310056409259
ENSG00000008323,49.1538611165143
ENSG00000008324,88.6753549893017
ENSG00000008382,52.246644621668935
ENSG00000008394,98.82124100369577
ENSG00000008405,81.6300330674966
ENSG00000008438,27.10367632756273
ENSG00000008441,20.914219023536276
ENSG00000008513,68.8971017311807
ENSG00000008516,55.751799260844194
ENSG00000008517,58.61116514296829
ENSG00000008710,60.5913246450107
ENSG00000008735,48.55864617778642
ENSG00000008838,86.99863839719899
ENSG00000008853,59.408675354989306
ENSG00000008869,69.18109317253453
ENSG00000008952,88.76483174479674
ENSG00000008988,99.07021980159502
ENSG00000009307,98.90293717175646
ENSG00000009335,75.81015366660183
ENSG00000009413,72.97412954678079
ENSG00000009694,49.966932503404
ENSG00000009709,56.183621863450696
ENSG00000009724,40.36179731569733
ENSG00000009765,48.89321143746353
ENSG00000009780,75.21493872787396
ENSG00000009790,47.18537249562342
ENSG00000009830,70.13032483952539
ENSG00000009844,94.45244115930753
ENSG00000009950,40.29566232250535
ENSG00000009954,90.99397004473838
ENSG00000010017,69.87356545419179
ENSG00000010030,44.53608247422681
ENSG00000010072,69.90079751021202
ENSG00000010165,86.67185372495624
ENSG00000010219,60.167282629838546
ENSG00000010244,97.8447772806847
ENSG00000010256,98.560591324645
ENSG00000010270,92.85353044154834
ENSG00000010278,96.97724178175451
ENSG00000010282,14.071192375024314
ENSG00000010292,89.27056992802956
ENSG00000010295,67.51993775530053
ENSG00000010310,44.16261427737794
ENSG00000010318,57.08617000583545
ENSG00000010319,40.898657848667575
