gen_name,"CD8-positive, alpha-beta T cell"
ENSG00000000003,10.478745939839005
ENSG00000000419,79.11311961587346
ENSG00000000457,58.28978957774326
ENSG00000000460,41.80200536647366
ENSG00000000938,52.49964694252224
ENSG00000000971,33.314503601186274
ENSG00000001036,46.5117921197571
ENSG00000001084,40.49569269877136
ENSG00000001167,68.67674057336535
ENSG00000001460,33.35687049851716
ENSG00000001461,68.05535941251236
ENSG00000001497,84.5643270724474
ENSG00000001561,34.649060867109164
ENSG00000001626,31.45742126818246
ENSG00000001629,38.278491738455024
ENSG00000001630,57.70371416466601
ENSG00000001631,39.11170738596243
ENSG00000002016,36.739161135432845
ENSG00000002330,84.47253212823047
ENSG00000002549,90.46038695099561
ENSG00000002586,98.12173421833074
ENSG00000002587,16.198277079508543
ENSG00000002746,5.543002400790849
ENSG00000002822,90.67222143765005
ENSG00000002834,62.639457703714164
ENSG00000002919,68.64143482558961
ENSG00000003056,90.21324671656545
ENSG00000003147,32.86965117921198
ENSG00000003393,41.21592995339641
ENSG00000003400,57.19531139669538
ENSG00000003402,97.44386386103658
ENSG00000003436,51.77234853834204
ENSG00000003509,61.75681400932071
ENSG00000003756,88.83632255331167
ENSG00000004059,97.38031351504026
ENSG00000004139,46.70244315774608
ENSG00000004142,74.96116367744669
ENSG00000004399,60.20336110718824
ENSG00000004455,77.86329614461235
ENSG00000004468,44.054512074565736
ENSG00000004478,58.049710492868236
ENSG00000004487,70.05366473661913
ENSG00000004534,55.691286541448946
ENSG00000004700,60.302217200960314
ENSG00000004766,51.39104646236407
ENSG00000004779,85.24925857929671
ENSG00000004846,23.50656686908629
ENSG00000004864,33.01793531987008
ENSG00000004866,54.58974721084593
ENSG00000004897,59.11594407569552
ENSG00000004939,21.889563620957492
ENSG00000004961,70.3784776161559
ENSG00000004975,52.273690156757525
ENSG00000005007,78.3010874170315
ENSG00000005020,57.80963140799322
ENSG00000005022,93.72969919502894
ENSG00000005059,96.27171303488208
ENSG00000005075,93.81443298969072
ENSG00000005100,46.78717695240785
ENSG00000005156,47.15435672927553
ENSG00000005175,68.86739161135434
ENSG00000005187,52.58438073718401
ENSG00000005189,2.697359130066375
ENSG00000005194,75.87205197006072
ENSG00000005206,35.62349950571953
ENSG00000005238,38.560937720660924
ENSG00000005302,69.24163253777715
ENSG00000005339,77.51023866685497
ENSG00000005379,43.81443298969072
ENSG00000005421,3.163395000706115
ENSG00000005436,35.31987007484819
ENSG00000005448,78.33639316480723
ENSG00000005469,49.59751447535658
ENSG00000005483,98.41830249964694
ENSG00000005486,97.0766840841689
ENSG00000005700,58.80525349526903
ENSG00000005801,65.61926281598645
ENSG00000005810,83.92882361248411
ENSG00000005812,52.25250670809207
ENSG00000005844,93.54610930659511
ENSG00000005882,78.79536788589182
ENSG00000005884,27.52436096596526
ENSG00000005889,78.8801016805536
ENSG00000005893,81.14673068775596
ENSG00000005961,15.937014545968085
ENSG00000005981,29.254342606976415
ENSG00000006007,71.45177234853834
ENSG00000006015,87.83363931648073
ENSG00000006025,63.81866967942381
ENSG00000006042,13.952831520971614
ENSG00000006062,64.81429176669961
ENSG00000006071,9.363084310125688
ENSG00000006118,11.72150826154498
ENSG00000006125,90.8416890269736
ENSG00000006194,63.71981358565174
ENSG00000006210,4.1590170879819235
