gen_name,hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,short term hematopoietic stem cell
ENSMUSG00000000001,97.51743874083348,98.1327132892148,98.00393489536755
ENSMUSG00000000003,8.12019316759077,18.343766768020032,10.921123233768556
ENSMUSG00000000028,91.91200143087104,82.63637989626184,78.53693435879092
ENSMUSG00000000037,56.69468789125381,63.244500089429444,59.86049007333214
ENSMUSG00000000049,25.033088892863532,13.618315149347165,16.38347343945627
ENSMUSG00000000056,79.74959756751923,76.82346628510106,76.54802360937221
ENSMUSG00000000058,62.264353425147554,61.960293328563765,59.47057771418351
ENSMUSG00000000078,87.81255589340012,97.14898944732606,96.58379538544088
ENSMUSG00000000085,79.32033625469505,83.67733857986049,82.18923269540332
ENSMUSG00000000088,95.62153460919335,92.16240386335181,91.86549812198176
ENSMUSG00000000093,12.627436952244677,22.02468252548739,0.0
ENSMUSG00000000094,30.20568771239492,32.65247719549276,36.97728492219638
ENSMUSG00000000120,32.258987658737254,37.932391343230194,33.9402611339653
ENSMUSG00000000125,33.342872473618314,0.0,38.13629046682168
ENSMUSG00000000127,64.59309604721875,67.65158290109103,69.62976211768914
ENSMUSG00000000131,88.83205151135753,88.14165623323198,88.46717939545698
ENSMUSG00000000134,87.75532105169022,90.48828474333752,90.84600250402433
ENSMUSG00000000142,39.41334287247361,17.134680736898584,39.00912180289751
ENSMUSG00000000148,80.69397245573244,79.88910749418709,82.79377571096404
ENSMUSG00000000149,68.70685029511715,69.03595063494903,69.34716508674656
ENSMUSG00000000154,63.14433911643713,64.23180110892505,65.41584689679843
ENSMUSG00000000157,15.882668574494724,0.0,21.61688427830442
ENSMUSG00000000159,29.16115185118941,0.0,29.554641387944912
ENSMUSG00000000167,54.94187086388839,51.84045787873368,55.46413879449115
ENSMUSG00000000168,79.28456447862636,77.77857270613487,79.73886603469862
ENSMUSG00000000171,93.97245573242712,91.17868002146307,90.68145233410839
ENSMUSG00000000182,25.118941155428367,23.273117510284386,24.03147916294044
ENSMUSG00000000183,37.14541226971919,30.137721337864427,28.442139152208906
ENSMUSG00000000184,99.0448935789662,99.40976569486675,99.19871221606152
ENSMUSG00000000194,81.52745483813271,80.5186907529959,82.72223215882669
ENSMUSG00000000197,48.756930781613306,51.872652477195494,49.02521910212842
ENSMUSG00000000204,47.733857986049,43.90270076909319,37.72133786442497
