gen_name,classical monocyte,lung macrophage
ENSMUSG00000000001,87.82478097622027,86.29286608260325
ENSMUSG00000000028,29.952440550688358,43.19399249061326
ENSMUSG00000000037,15.844806007509387,12.550688360450563
ENSMUSG00000000056,49.09136420525657,41.7622027534418
ENSMUSG00000000058,98.27784730913642,83.729662077597
ENSMUSG00000000078,98.23279098873591,99.06382978723404
ENSMUSG00000000085,68.540675844806,57.942428035043804
ENSMUSG00000000088,97.41176470588235,97.47183979974969
ENSMUSG00000000093,81.04130162703379,34.6883604505632
ENSMUSG00000000094,44.851063829787236,21.67709637046308
ENSMUSG00000000120,14.65331664580726,33.39173967459324
ENSMUSG00000000126,37.066332916145186,9.732165206508135
ENSMUSG00000000127,55.689612015018774,68.30037546933667
ENSMUSG00000000131,74.56320400500626,80.32540675844805
ENSMUSG00000000134,80.43554443053817,87.6145181476846
ENSMUSG00000000142,46.42302878598248,20.360450563204004
ENSMUSG00000000148,45.927409261576976,42.107634543178975
ENSMUSG00000000149,73.34668335419275,84.15519399249062
ENSMUSG00000000154,32.715894868585735,44.846057571964955
ENSMUSG00000000159,49.72215269086358,9.617021276595745
ENSMUSG00000000167,45.52190237797247,28.77596996245307
ENSMUSG00000000168,68.62077596996245,68.61576971214018
ENSMUSG00000000171,90.17772215269086,89.99749687108886
ENSMUSG00000000184,92.79599499374218,94.41301627033792
ENSMUSG00000000194,82.99374217772215,89.97747183979975
ENSMUSG00000000197,17.21151439299124,29.19148936170213
ENSMUSG00000000202,0.0,32.66583229036296
ENSMUSG00000000204,43.369211514392994,23.058823529411764
ENSMUSG00000000216,51.924906132665825,20.84105131414268
ENSMUSG00000000223,20.595744680851062,13.737171464330414
ENSMUSG00000000244,48.7008760951189,75.04881101376722
ENSMUSG00000000247,16.055068836045056,7.709637046307885
ENSMUSG00000000248,29.5819774718398,29.521902377972463
ENSMUSG00000000253,44.91113892365457,62.86858573216521
ENSMUSG00000000263,35.01376720901126,60.47058823529412
ENSMUSG00000000266,66.31289111389236,23.53441802252816
ENSMUSG00000000275,87.8397997496871,92.01001251564456
ENSMUSG00000000276,57.10137672090113,55.429286608260334
ENSMUSG00000000278,75.91489361702128,92.35544430538172
ENSMUSG00000000282,54.93366708385482,68.41551939924906
ENSMUSG00000000290,94.1927409261577,95.41426783479349
ENSMUSG00000000295,53.45682102628285,57.88235294117647
ENSMUSG00000000296,20.98122653316646,8.530663329161452
ENSMUSG00000000301,31.259073842302882,28.931163954943678
ENSMUSG00000000303,83.14893617021276,48.17021276595745
ENSMUSG00000000305,29.777221526908637,0.0
ENSMUSG00000000308,43.634543178973715,12.450563204005007
ENSMUSG00000000317,68.79599499374218,29.807259073842303
ENSMUSG00000000318,50.07759699624531,91.82978723404254
ENSMUSG00000000320,41.196495619524406,62.73842302878598
ENSMUSG00000000325,41.782227784730914,35.75469336670839
ENSMUSG00000000326,99.89987484355444,99.48435544430538
ENSMUSG00000000339,69.57196495619525,60.87108886107635
ENSMUSG00000000340,51.41927409261577,58.34793491864831
ENSMUSG00000000346,96.8360450563204,96.86107634543178
ENSMUSG00000000355,86.41301627033793,89.83729662077597
ENSMUSG00000000359,34.81351689612015,35.018773466833544
ENSMUSG00000000365,6.13767209011264,16.680851063829788
ENSMUSG00000000374,62.347934918648306,66.41802252816021
ENSMUSG00000000378,83.46933667083854,81.4468085106383
ENSMUSG00000000384,53.6720901126408,68.8360450563204
ENSMUSG00000000385,55.45932415519399,7.529411764705881
ENSMUSG00000000386,52.500625782227786,41.281602002503135
ENSMUSG00000000392,20.685857321652065,39.294117647058826
ENSMUSG00000000399,84.42553191489361,87.17897371714643
ENSMUSG00000000402,79.39924906132666,24.030037546933666
ENSMUSG00000000409,34.33291614518147,44.75093867334168
ENSMUSG00000000416,39.49436795994994,15.784730913642054
ENSMUSG00000000420,83.94493116395493,84.80100125156446
ENSMUSG00000000439,59.73967459324155,54.98372966207759
ENSMUSG00000000440,56.59073842302879,72.09511889862328
ENSMUSG00000000441,86.55319148936171,82.39299123904881
ENSMUSG00000000486,40.96620775969962,47.67959949937422
ENSMUSG00000000489,73.53692115143929,79.92991239048811
ENSMUSG00000000530,97.90738423028786,91.27909887359199
ENSMUSG00000000531,84.83103879849813,68.93116395494367
ENSMUSG00000000532,58.4630788485607,46.57822277847309
ENSMUSG00000000538,55.90488110137672,44.81101376720901
ENSMUSG00000000552,54.83354192740926,74.6433041301627
ENSMUSG00000000555,68.1101376720901,91.40926157697122
ENSMUSG00000000560,15.384230287859824,38.563204005006256
ENSMUSG00000000561,55.549436795994986,58.60826032540676
ENSMUSG00000000562,35.44430538172716,59.018773466833544
ENSMUSG00000000563,97.27659574468085,96.86608260325407
ENSMUSG00000000567,26.95369211514393,24.660826032540676
ENSMUSG00000000568,85.90237797246559,86.13767209011264
ENSMUSG00000000579,90.62828535669587,89.25156445556946
ENSMUSG00000000581,91.95994993742178,87.05882352941177
ENSMUSG00000000594,96.37046307884856,96.55569461827284
ENSMUSG00000000600,90.52816020025031,88.2953692115144
ENSMUSG00000000605,84.12015018773467,90.51314142678348
ENSMUSG00000000606,36.11514392991239,64.72090112640801
ENSMUSG00000000627,44.901126408010015,14.06758448060075
ENSMUSG00000000628,63.88986232790989,84.23529411764706
ENSMUSG00000000631,79.82978723404256,82.4630788485607
ENSMUSG00000000673,53.191489361702125,42.88861076345432
ENSMUSG00000000682,99.03379224030037,99.18397997496871
ENSMUSG00000000686,25.036295369211516,37.49687108886108
ENSMUSG00000000690,41.897371714643306,27.22403003754693
ENSMUSG00000000693,39.11389236545682,40.48060075093867
ENSMUSG00000000708,76.0450563204005,72.27534418022528
ENSMUSG00000000711,76.81602002503128,76.43554443053817
