gen_name,"neuronal, glial and vascular cells"
ENSG00000000003,58.18732643271901
ENSG00000000419,58.48523100227215
ENSG00000000457,59.75258773037112
ENSG00000000460,41.35319363797021
ENSG00000000938,7.2910881090633675
ENSG00000000971,31.41125978288311
ENSG00000001036,37.010855844483714
ENSG00000001084,61.12092905831861
ENSG00000001167,39.93940924009088
ENSG00000001460,82.03483968694773
ENSG00000001461,83.57990406463014
ENSG00000001497,76.67760666498359
ENSG00000001561,51.4869982327695
ENSG00000001617,58.434738702347886
ENSG00000001626,13.582428679626357
ENSG00000001629,68.73516788689726
ENSG00000001630,66.28629134057056
ENSG00000001631,79.69199697046201
ENSG00000002016,35.67785912648321
ENSG00000002079,1.141125978288311
ENSG00000002330,86.21055289068417
ENSG00000002549,75.65261297652108
ENSG00000002586,60.00504922999242
ENSG00000002587,58.131784902802316
ENSG00000002746,38.444837162332746
ENSG00000002822,41.87831355718253
ENSG00000002834,79.9040646301439
ENSG00000002919,47.679878818480184
ENSG00000002933,76.05150214592274
ENSG00000003056,79.75258773037112
ENSG00000003096,35.597071446604396
ENSG00000003137,27.715223428427166
ENSG00000003147,36.349406715475894
ENSG00000003249,32.926028780610956
ENSG00000003393,57.869224943196166
ENSG00000003400,22.443827316334257
ENSG00000003402,92.34536733148195
ENSG00000003436,79.6516031305226
ENSG00000003509,59.56576622065135
ENSG00000003756,93.49154253976269
ENSG00000003987,82.52461499621307
ENSG00000003989,73.12294875031557
ENSG00000004059,86.563998990154
ENSG00000004139,60.02524614996213
ENSG00000004142,69.6137339055794
ENSG00000004399,28.750315576874524
ENSG00000004455,82.04998737692502
ENSG00000004468,14.880080787679878
ENSG00000004478,84.69073466296389
ENSG00000004487,68.26558949760162
ENSG00000004534,95.73340065639991
ENSG00000004660,83.77177480434234
ENSG00000004700,55.37490532693764
ENSG00000004766,60.499873769250186
ENSG00000004776,40.10098459984852
ENSG00000004777,70.63367836404947
ENSG00000004779,93.36026255995961
ENSG00000004799,35.02650845746024
ENSG00000004809,2.827568795758647
ENSG00000004838,37.106791214339815
ENSG00000004846,33.79449633930825
ENSG00000004864,79.77783388033325
ENSG00000004866,44.2464024236304
