gen_name,plasma cell
ENSG00000000003,42.46082850397081
ENSG00000000419,80.38205623524361
ENSG00000000457,72.55848894612578
ENSG00000000460,67.28375187808543
ENSG00000000938,56.176218072547755
ENSG00000000971,38.0231809401159
ENSG00000001036,83.26894183301138
ENSG00000001084,78.05323030693282
ENSG00000001167,61.703155183515776
ENSG00000001460,58.875295127709805
ENSG00000001461,85.50118051083923
ENSG00000001497,69.7896544322816
ENSG00000001561,69.88624168276453
ENSG00000001626,28.59519210130929
ENSG00000001629,92.03155183515776
ENSG00000001630,95.99699506331831
ENSG00000001631,87.67975960506547
ENSG00000002016,73.92680832796738
ENSG00000002330,52.26443442798884
ENSG00000002549,96.44773556557202
ENSG00000002586,92.07984546039923
ENSG00000002587,20.642841811547544
ENSG00000002726,10.082635758746513
ENSG00000002745,42.54668383773342
ENSG00000002746,34.707018673535096
ENSG00000002822,35.51191242755956
ENSG00000002834,72.59068469628676
ENSG00000002919,56.72891178364456
ENSG00000002933,63.50611719253059
ENSG00000003056,92.67010088001717
ENSG00000003147,63.84417256922086
ENSG00000003249,13.58124060957287
ENSG00000003393,60.01824425842456
ENSG00000003400,90.22858982614295
ENSG00000003402,98.85705086928526
ENSG00000003436,93.27645417471561
ENSG00000003509,60.06117192530586
ENSG00000003756,94.10817772054088
ENSG00000003987,44.489160764112476
ENSG00000003989,54.598626314659796
ENSG00000004059,70.75552693711097
ENSG00000004139,42.927666881305
ENSG00000004142,81.72891178364456
ENSG00000004399,41.79008370895042
ENSG00000004455,85.07190384202619
ENSG00000004468,98.04679115690062
ENSG00000004478,59.90555913286113
ENSG00000004487,67.03155183515776
ENSG00000004534,96.24382914788582
ENSG00000004660,36.204121056020604
ENSG00000004700,88.88710023610217
ENSG00000004766,77.69907705516205
ENSG00000004777,20.503326894183303
ENSG00000004779,87.56707447950204
ENSG00000004799,24.409744580382057
ENSG00000004809,50.38098304357158
ENSG00000004838,7.684052371753595
ENSG00000004846,37.9373256063533
ENSG00000004848,16.344709165056877
ENSG00000004864,72.04872290191028
ENSG00000004866,77.28589826142948
ENSG00000004897,86.40802747370681
ENSG00000004939,37.12706589396866
ENSG00000004948,47.82142090577377
ENSG00000004961,65.57201116119339
ENSG00000004975,33.14015883236746
ENSG00000005007,62.81390856406954
ENSG00000005020,85.18458896758962
ENSG00000005022,98.45996995063318
ENSG00000005059,66.2105602060528
ENSG00000005075,84.41189096372612
ENSG00000005100,84.17578879587894
ENSG00000005108,3.342992058381627
ENSG00000005156,67.6808327967375
ENSG00000005175,73.40094440867139
ENSG00000005187,56.84159690920798
ENSG00000005189,27.409315303713242
ENSG00000005194,65.85104099592188
ENSG00000005206,36.07533805537669
ENSG00000005238,52.18931101094656
ENSG00000005243,25.740502253702513
ENSG00000005249,42.34277742004722
ENSG00000005302,70.07941618373042
ENSG00000005339,83.96115046147243
ENSG00000005379,29.158617729126423
ENSG00000005421,16.146168705730844
ENSG00000005436,62.40072977033698
ENSG00000005448,59.39579308864563
ENSG00000005469,65.394934535308
ENSG00000005483,98.47070186735351
ENSG00000005486,66.26421978965443
ENSG00000005700,92.34277742004721
ENSG00000005801,78.3751878085426
ENSG00000005810,94.34964584674823
ENSG00000005812,73.7336338270015
ENSG00000005844,87.4275595621378
ENSG00000005882,39.686628031766475
ENSG00000005884,40.81884524576089
ENSG00000005889,93.17450096587251
ENSG00000005893,97.25799527795664
ENSG00000005961,27.94054518136939
ENSG00000005981,63.51684910925092
ENSG00000006007,81.75574157544537
ENSG00000006015,56.97574586821206
ENSG00000006016,17.262288044644773
ENSG00000006025,22.177505902554195
ENSG00000006042,34.680188881734274
ENSG00000006062,57.12062674393646
ENSG00000006071,30.451813693925732
ENSG00000006116,5.349860485082636
ENSG00000006118,28.5361665593475
ENSG00000006125,74.82292337411461
ENSG00000006194,60.726550761966095
ENSG00000006210,22.95556986477785
ENSG00000006282,58.75187808542606
ENSG00000006283,25.198540459326036
ENSG00000006327,18.528654217643272
ENSG00000006377,9.857265507619662
ENSG00000006432,46.10968018888173
ENSG00000006451,61.74608285039708
ENSG00000006453,32.89332474779996
ENSG00000006459,77.01223438506118
ENSG00000006468,78.2732345996995
ENSG00000006530,87.62073406310367
ENSG00000006534,45.133075767332045
ENSG00000006555,36.252414681262074
ENSG00000006576,76.49710238248552
ENSG00000006607,54.802532732346
ENSG00000006625,81.57866494956
ENSG00000006634,91.33934320669673
ENSG00000006638,23.443872075552694
ENSG00000006652,95.22966301781499
ENSG00000006659,26.368319381841598
ENSG00000006695,69.61794376475639
ENSG00000006704,38.83344065250054
ENSG00000006712,56.546469199399006
ENSG00000006715,96.43700364885169
ENSG00000006740,29.716677398583386
ENSG00000006744,61.783644558918226
ENSG00000006747,51.60978750804893
ENSG00000006756,45.68040352006869
ENSG00000006757,58.60163125134149
ENSG00000006831,84.71775059025542
ENSG00000006837,39.8422408242112
ENSG00000007001,10.238248551191242
ENSG00000007038,24.940974458038205
ENSG00000007047,33.955784503112255
ENSG00000007062,16.75788795878944
ENSG00000007080,56.44988194891608
ENSG00000007129,64.85297274093152
ENSG00000007168,81.97574586821206
ENSG00000007174,47.4243399871217
ENSG00000007202,77.15711526078557
ENSG00000007237,53.18201330757674
ENSG00000007255,52.860055805966944
ENSG00000007264,26.27173213135866
ENSG00000007312,85.09336767546684
ENSG00000007341,41.58617729126422
ENSG00000007350,47.982399656578664
ENSG00000007372,35.80704013736853
ENSG00000007376,30.076196608714316
ENSG00000007392,80.18351577591758
ENSG00000007402,30.977677613221722
ENSG00000007520,42.32667954496673
ENSG00000007541,21.356514273449235
ENSG00000007545,63.194891607641125
ENSG00000007866,25.488302210774844
ENSG00000007923,64.5363811976819
ENSG00000007933,66.52715174930243
