gen_name,adipose tissue derived mesenchymal stem cell
ENSMUSG00000000001,85.20742030377619
ENSMUSG00000000028,33.613495827579996
ENSMUSG00000000037,24.96848171939725
ENSMUSG00000000049,7.360268955994477
ENSMUSG00000000056,48.135918832923096
ENSMUSG00000000058,40.997778711652764
ENSMUSG00000000078,98.70324788377259
ENSMUSG00000000085,73.2604910848292
ENSMUSG00000000088,95.11316563606891
ENSMUSG00000000093,40.32538872546076
ENSMUSG00000000094,5.691300954553641
ENSMUSG00000000120,66.27844149606771
ENSMUSG00000000126,40.871705589241756
ENSMUSG00000000127,77.46292849852915
ENSMUSG00000000131,68.57177162754398
ENSMUSG00000000134,78.05126973644714
ENSMUSG00000000142,41.46605030917932
ENSMUSG00000000148,36.54919853515038
ENSMUSG00000000149,73.45260250945549
ENSMUSG00000000154,36.789337815933244
ENSMUSG00000000167,21.85867803325929
ENSMUSG00000000168,67.80932941105841
ENSMUSG00000000171,90.89271777631026
ENSMUSG00000000184,96.13375757939605
ENSMUSG00000000194,77.31884493005944
ENSMUSG00000000197,9.9537731884493
ENSMUSG00000000202,9.593564267275019
ENSMUSG00000000215,14.162214084168816
ENSMUSG00000000223,24.314102179263976
ENSMUSG00000000244,18.20856096535991
ENSMUSG00000000247,4.250465269856517
ENSMUSG00000000253,30.725820976166172
ENSMUSG00000000263,13.627904184426967
ENSMUSG00000000266,43.56126553400973
ENSMUSG00000000275,59.87272618118509
ENSMUSG00000000276,29.68121510476076
ENSMUSG00000000278,90.6765924236057
ENSMUSG00000000282,53.76118148526145
ENSMUSG00000000290,11.15446959236357
ENSMUSG00000000295,69.07006063516839
ENSMUSG00000000296,25.44275679894339
ENSMUSG00000000301,33.61949930959957
ENSMUSG00000000303,13.471813651918113
ENSMUSG00000000305,7.594404754757759
ENSMUSG00000000308,4.736747313441796
ENSMUSG00000000317,14.174221048207961
ENSMUSG00000000318,22.549078465509993
ENSMUSG00000000320,5.46316863780993
ENSMUSG00000000325,46.358888155129975
ENSMUSG00000000326,95.33529447079306
ENSMUSG00000000339,71.13525844990095
ENSMUSG00000000340,55.406135558624
ENSMUSG00000000346,86.78033259290389
ENSMUSG00000000355,85.28546557003061
ENSMUSG00000000359,40.1933121210302
ENSMUSG00000000365,5.114966680674791
ENSMUSG00000000374,53.28090292369574
ENSMUSG00000000378,82.94410758239779
ENSMUSG00000000384,40.91973344539833
ENSMUSG00000000385,19.037041484060754
ENSMUSG00000000386,30.425646875187606
ENSMUSG00000000392,90.23833823617699
ENSMUSG00000000399,84.12679354025335
ENSMUSG00000000402,15.002701566908808
ENSMUSG00000000409,19.295191210902324
ENSMUSG00000000416,18.70684997298433
ENSMUSG00000000420,89.30779852314342
ENSMUSG00000000439,60.034820195713515
ENSMUSG00000000440,58.41988353244882
ENSMUSG00000000441,83.50843489223749
ENSMUSG00000000486,43.783394368733866
ENSMUSG00000000530,83.23227471933721
