gen_name,dopaminergic neuron
ENSG00000000003,61.53485097394977
ENSG00000000005,1.1558319643276227
ENSG00000000419,41.97958225768599
ENSG00000000457,62.174372213095516
ENSG00000000460,30.966909176249708
ENSG00000000971,8.542595634827507
ENSG00000001036,80.74982398498005
ENSG00000001084,27.481811781272004
ENSG00000001167,31.365876554799343
ENSG00000001460,62.23891105374325
ENSG00000001461,78.09199718375967
ENSG00000001497,48.97911288429946
ENSG00000001561,64.24548228115465
ENSG00000001617,33.970898850035205
ENSG00000001626,14.25134944848627
ENSG00000001629,84.2114527106313
ENSG00000001630,96.16873973245717
ENSG00000001631,44.87209575217086
ENSG00000002016,59.98005163107252
ENSG00000002079,3.8077915982163812
ENSG00000002330,94.02135648908707
ENSG00000002549,26.854024876789484
ENSG00000002586,76.86575921145271
ENSG00000002587,69.34991785965737
ENSG00000002726,41.78009856841117
ENSG00000002746,35.16780098568411
ENSG00000002822,82.44543534381602
ENSG00000002834,89.35695846045529
ENSG00000002919,60.361417507627316
ENSG00000002933,98.94977704764139
ENSG00000003056,88.41821168739733
ENSG00000003096,38.11311898615348
ENSG00000003147,92.94179770007041
ENSG00000003249,91.5982163811312
ENSG00000003393,40.14315888289134
ENSG00000003400,24.172729406242667
ENSG00000003402,86.47031213330204
ENSG00000003436,82.1110068059141
ENSG00000003509,62.103966205116166
ENSG00000003756,83.37831494954237
ENSG00000003987,50.117343346632246
ENSG00000003989,66.5043417038254
ENSG00000004059,97.44778221074864
ENSG00000004139,83.03215207697724
ENSG00000004142,86.96902135648908
ENSG00000004399,15.600797934757098
ENSG00000004455,64.2630837831495
ENSG00000004468,10.203003989673785
ENSG00000004478,74.96479699601034
ENSG00000004487,90.01408120159587
ENSG00000004534,88.85238206993662
ENSG00000004660,50.76859892044121
ENSG00000004700,38.770241727294064
ENSG00000004766,43.04153954470781
ENSG00000004776,24.730110302745835
ENSG00000004777,57.22835015254635
ENSG00000004779,96.42689509504811
ENSG00000004799,37.96057263553156
ENSG00000004809,17.542830321520768
ENSG00000004838,16.42220136118282
ENSG00000004846,15.52452475944614
ENSG00000004864,51.23797230697019
ENSG00000004866,89.49777047641399
ENSG00000004897,76.70734569349918
ENSG00000004939,17.16733161229758
ENSG00000004961,46.23914574043651
ENSG00000004975,45.40600797934757
ENSG00000005001,37.062896033794885
ENSG00000005007,83.67167331612298
ENSG00000005020,23.82069936634593
ENSG00000005022,95.27106313072049
ENSG00000005059,49.04951889227881
ENSG00000005075,94.4144567003051
ENSG00000005100,46.696784792302275
ENSG00000005108,47.32457169678479
ENSG00000005156,42.97700070406008
ENSG00000005175,63.96972541656888
ENSG00000005187,23.638817179065946
ENSG00000005189,5.1983102558084955
ENSG00000005194,77.26472659000234
ENSG00000005206,48.726824689040136
ENSG00000005238,36.88688101384652
ENSG00000005249,67.24360478760855
ENSG00000005302,57.26355315653603
ENSG00000005339,63.57075803801925
ENSG00000005379,47.436047876085425
ENSG00000005421,90.82375029335836
ENSG00000005436,43.62238911053743
ENSG00000005448,96.58530861300164
ENSG00000005469,45.9927247125088
ENSG00000005483,95.28279746538372
ENSG00000005486,98.98498005163108
ENSG00000005700,67.52522881952594
ENSG00000005801,83.69514198544942
ENSG00000005810,86.37643745599625
ENSG00000005812,48.49213799577564
ENSG00000005844,19.068293827739968
ENSG00000005882,54.92255339122272
ENSG00000005884,73.6153485097395
ENSG00000005889,34.55174841586482
ENSG00000005893,91.39873269185638
ENSG00000005961,18.598920441210982
ENSG00000005981,81.2015958695142
ENSG00000006007,92.43135414222013
ENSG00000006015,94.39685519831026
ENSG00000006016,46.52076977235391
