gen_name,fibroblast
ENSMUSG00000000001,97.1778622729193
ENSMUSG00000000028,78.66920152091255
ENSMUSG00000000037,46.00760456273764
ENSMUSG00000000049,34.05154203633291
ENSMUSG00000000056,71.85044359949303
ENSMUSG00000000058,83.21504013519223
ENSMUSG00000000078,95.73722010984368
ENSMUSG00000000085,78.17490494296578
ENSMUSG00000000088,96.01605407689058
ENSMUSG00000000093,28.55090832277144
ENSMUSG00000000094,40.65061258977609
ENSMUSG00000000120,61.51246303337559
ENSMUSG00000000126,43.578369243768485
ENSMUSG00000000127,86.0794254330376
ENSMUSG00000000131,82.04900718208702
ENSMUSG00000000134,86.62019433882551
ENSMUSG00000000142,26.708914237431348
ENSMUSG00000000148,72.64892268694551
ENSMUSG00000000149,70.24926066751162
ENSMUSG00000000154,48.41571609632446
ENSMUSG00000000167,51.939163498098864
ENSMUSG00000000168,91.68567807351077
ENSMUSG00000000171,96.4512040557668
ENSMUSG00000000183,20.295732995352765
ENSMUSG00000000184,99.12970004224758
ENSMUSG00000000194,87.20321081537811
ENSMUSG00000000197,25.061258977608787
ENSMUSG00000000204,13.172792564427546
ENSMUSG00000000214,21.3645965356992
ENSMUSG00000000223,42.83058724123363
ENSMUSG00000000244,45.35276721588509
ENSMUSG00000000248,36.903253062948885
ENSMUSG00000000253,66.10477397549641
ENSMUSG00000000266,53.99662019433883
ENSMUSG00000000275,74.35149978876214
ENSMUSG00000000276,61.08998732572877
ENSMUSG00000000278,98.21292775665398
ENSMUSG00000000282,54.448669201520914
ENSMUSG00000000290,83.81073088297423
ENSMUSG00000000295,77.87917194761302
ENSMUSG00000000296,53.882551753274186
ENSMUSG00000000301,57.91297000422476
ENSMUSG00000000303,33.26996197718631
ENSMUSG00000000305,29.17194761301225
ENSMUSG00000000308,22.813688212927758
ENSMUSG00000000317,39.72116603295311
ENSMUSG00000000318,31.660329531051968
ENSMUSG00000000320,45.58512885509084
ENSMUSG00000000325,61.72792564427545
ENSMUSG00000000326,97.7608787494719
