gen_name,"CD8-positive, alpha-beta T cell"
ENSMUSG00000000001,97.171055845996
ENSMUSG00000000028,88.77216983436752
ENSMUSG00000000056,63.71231738896761
ENSMUSG00000000078,98.69057507206723
ENSMUSG00000000085,70.95324180387942
ENSMUSG00000000088,95.04079738115014
ENSMUSG00000000093,34.33331704695363
ENSMUSG00000000094,25.21131577661602
ENSMUSG00000000120,31.186788488786828
ENSMUSG00000000131,91.40567743196365
ENSMUSG00000000134,78.66809986808032
ENSMUSG00000000142,51.15551863976157
ENSMUSG00000000148,76.19582742952069
ENSMUSG00000000149,59.83778765818146
ENSMUSG00000000167,29.589094640152442
ENSMUSG00000000168,76.98734548297259
ENSMUSG00000000171,83.30483216885719
ENSMUSG00000000182,14.271754531685152
ENSMUSG00000000183,32.54995846973176
ENSMUSG00000000184,99.77036204622075
ENSMUSG00000000194,77.04109053598475
ENSMUSG00000000197,35.662285630527194
ENSMUSG00000000204,29.98485366687839
ENSMUSG00000000223,34.294229735672054
ENSMUSG00000000244,67.86045829872478
ENSMUSG00000000248,16.21146235403332
ENSMUSG00000000253,27.361117897102655
ENSMUSG00000000263,25.509356525138028
ENSMUSG00000000266,37.6997117310793
ENSMUSG00000000275,79.40098695460986
ENSMUSG00000000276,71.73498802951092
ENSMUSG00000000278,63.2530414814091
ENSMUSG00000000282,59.915962280744615
ENSMUSG00000000290,97.1563981042654
ENSMUSG00000000295,67.85068647090439
ENSMUSG00000000301,57.20916597449553
ENSMUSG00000000305,24.87418771681243
ENSMUSG00000000308,7.631797527727562
ENSMUSG00000000320,42.06283285288514
ENSMUSG00000000325,43.17193531049983
ENSMUSG00000000326,78.88308008012899
ENSMUSG00000000339,72.75125812283187
ENSMUSG00000000340,64.97776909170861
ENSMUSG00000000346,98.49025260174916
ENSMUSG00000000355,82.16152831387112
ENSMUSG00000000365,21.253725509356524
ENSMUSG00000000374,65.9256363902868
ENSMUSG00000000378,93.02780085014902
ENSMUSG00000000384,93.99521180436801
ENSMUSG00000000386,52.52846044852689
ENSMUSG00000000392,29.017442712659403
ENSMUSG00000000399,89.61254702692139
ENSMUSG00000000402,37.51404700249182
ENSMUSG00000000409,99.39903258904577
ENSMUSG00000000420,73.61606488493673
ENSMUSG00000000439,72.72682855328088
ENSMUSG00000000441,91.28352958420872
ENSMUSG00000000486,93.24766697610788
ENSMUSG00000000489,47.041579127375776
ENSMUSG00000000530,48.04319147896614
ENSMUSG00000000531,64.60155372062344
ENSMUSG00000000532,53.23203205159525
ENSMUSG00000000538,70.74803341965115
ENSMUSG00000000555,60.91757463233498
ENSMUSG00000000560,55.670103092783506
ENSMUSG00000000561,95.77857038158987
ENSMUSG00000000562,47.368935359358964
ENSMUSG00000000563,97.59124444227292
ENSMUSG00000000567,12.22455660331265
ENSMUSG00000000568,73.78218595788341
ENSMUSG00000000579,63.22861191185811
ENSMUSG00000000581,83.1142815263595
ENSMUSG00000000594,83.2901744271266
ENSMUSG00000000600,94.7720721160893
ENSMUSG00000000605,89.7591244442273
ENSMUSG00000000606,41.740362534812135
ENSMUSG00000000617,6.097620559925734
ENSMUSG00000000627,61.542971612840184
ENSMUSG00000000628,70.47442224068013
ENSMUSG00000000631,61.318219572971124
ENSMUSG00000000632,28.113548639272977
ENSMUSG00000000673,31.318708164362143
ENSMUSG00000000682,96.6873503688865
ENSMUSG00000000686,43.14261982703865
ENSMUSG00000000690,7.377730004397323
ENSMUSG00000000693,32.46201201934822
ENSMUSG00000000708,60.85894366541261
ENSMUSG00000000711,67.56730346411295
ENSMUSG00000000724,27.737333268187815
ENSMUSG00000000731,33.04343577466165
ENSMUSG00000000732,31.582547515512776
ENSMUSG00000000738,77.06063419162554
ENSMUSG00000000739,50.23208091073435
ENSMUSG00000000740,99.87785215224507
ENSMUSG00000000743,93.90237944007427
ENSMUSG00000000751,89.7249230468559
ENSMUSG00000000753,34.2258269409293
ENSMUSG00000000759,83.40255044706112
ENSMUSG00000000766,44.178433576000394
ENSMUSG00000000776,81.53124541945571
ENSMUSG00000000782,98.53911174085113
ENSMUSG00000000787,98.01143303854985
ENSMUSG00000000791,80.31953876972688
ENSMUSG00000000794,32.286119118581134
ENSMUSG00000000804,67.52821615283139
ENSMUSG00000000811,78.09644794058728
ENSMUSG00000000817,47.417794498460935
ENSMUSG00000000823,76.38637807201837
ENSMUSG00000000826,95.55381834172081
ENSMUSG00000000827,87.394342111692
ENSMUSG00000000838,76.46943860849171
ENSMUSG00000000861,33.668832755166854
ENSMUSG00000000869,8.760443640983045
ENSMUSG00000000876,59.67655249914496
ENSMUSG00000000881,23.980065471246398
ENSMUSG00000000884,64.60643963453364
ENSMUSG00000000901,27.05819123467045
ENSMUSG00000000902,85.26896956075633
ENSMUSG00000000915,81.65339326721063
ENSMUSG00000000916,85.86016514389017
ENSMUSG00000000934,70.14218009478674
ENSMUSG00000000948,46.074168173156785
ENSMUSG00000000957,40.60683050764646
ENSMUSG00000000958,15.952508916792887
ENSMUSG00000000959,82.55728734059706
ENSMUSG00000000976,77.68603117213074
ENSMUSG00000000982,97.38115014413447
ENSMUSG00000000983,34.924512630087456
ENSMUSG00000001014,31.79752772756144
ENSMUSG00000001016,91.53271119362877
ENSMUSG00000001017,95.81277177896126
ENSMUSG00000001018,83.49538281135487
ENSMUSG00000001020,53.960033224214584
ENSMUSG00000001025,56.12937900034202
ENSMUSG00000001027,35.87237992866565
ENSMUSG00000001029,84.10612205012947
ENSMUSG00000001034,77.21698343675185
ENSMUSG00000001036,32.44735427761763
ENSMUSG00000001052,90.34054819954072
ENSMUSG00000001053,57.16030683539356
ENSMUSG00000001054,84.81946548101821
ENSMUSG00000001056,96.78995456100064
ENSMUSG00000001062,74.04602530903406
ENSMUSG00000001065,71.43206136707872
ENSMUSG00000001082,63.213954170127515
ENSMUSG00000001089,55.69941857624469
ENSMUSG00000001098,87.91224898617286
ENSMUSG00000001100,84.90741193140177
ENSMUSG00000001105,75.75120926369277
ENSMUSG00000001120,46.47481311379293
ENSMUSG00000001123,86.70542825035423
ENSMUSG00000001127,93.18903600918553
ENSMUSG00000001128,37.54824839986319
ENSMUSG00000001134,66.89793325841599
ENSMUSG00000001138,61.65534763277471
ENSMUSG00000001143,66.3995700395759
ENSMUSG00000001150,79.13714760345923
ENSMUSG00000001151,80.4416866174818
ENSMUSG00000001155,15.859676552499144
ENSMUSG00000001156,79.42053061025065
ENSMUSG00000001157,67.65524991449651
ENSMUSG00000001158,68.1194117359652
ENSMUSG00000001166,47.168612889040894
ENSMUSG00000001173,60.80031269849025
ENSMUSG00000001175,98.77852152245077
ENSMUSG00000001211,94.57174964577123
ENSMUSG00000001225,56.872037914691944
ENSMUSG00000001228,57.86876435237212
ENSMUSG00000001229,84.19895441442323
ENSMUSG00000001240,29.6574974348952
ENSMUSG00000001247,24.561489226559825
ENSMUSG00000001248,98.04074852201104
ENSMUSG00000001260,14.403674207260467
ENSMUSG00000001270,49.48453608247423
ENSMUSG00000001280,79.21532222602238
ENSMUSG00000001281,96.87301509747398
ENSMUSG00000001285,78.75116040455367
ENSMUSG00000001288,56.427419748864025
ENSMUSG00000001289,94.37142717545316
ENSMUSG00000001300,33.76655103337079
ENSMUSG00000001305,89.25098939756681
ENSMUSG00000001313,35.54013778277227
ENSMUSG00000001323,61.33287731470172
ENSMUSG00000001333,26.843211022621784
ENSMUSG00000001334,47.261445253334635
ENSMUSG00000001348,90.90242829921337
ENSMUSG00000001366,75.29193335613427
ENSMUSG00000001376,69.01353398153125
