gen_name,reticular cell
ENSMUSG00000000001,82.4356241718993
ENSMUSG00000000028,69.5258943487528
ENSMUSG00000000037,17.408836914568813
ENSMUSG00000000056,66.68010830116943
ENSMUSG00000000058,57.41690189527047
ENSMUSG00000000078,97.28671006394377
ENSMUSG00000000085,61.362981738579414
ENSMUSG00000000088,98.3697217581658
ENSMUSG00000000093,66.12132035255487
ENSMUSG00000000120,53.75885707702056
ENSMUSG00000000126,10.213721988593813
ENSMUSG00000000127,61.51275995161012
ENSMUSG00000000131,67.41747796532059
ENSMUSG00000000134,66.80108301169422
ENSMUSG00000000142,31.902759375540064
ENSMUSG00000000148,38.285615530848546
ENSMUSG00000000149,61.50699925110894
ENSMUSG00000000154,21.37795955988248
ENSMUSG00000000167,32.830232156230196
ENSMUSG00000000168,79.08865718071317
ENSMUSG00000000171,94.7059162394147
ENSMUSG00000000182,7.097183017454922
ENSMUSG00000000184,96.7682470188375
ENSMUSG00000000194,78.14966299902069
ENSMUSG00000000197,6.123624632755343
ENSMUSG00000000204,3.3988132956967565
ENSMUSG00000000244,74.9409528198629
ENSMUSG00000000247,10.668817328187108
ENSMUSG00000000248,16.91341667146725
ENSMUSG00000000253,32.772625151218385
ENSMUSG00000000263,22.852698888184804
ENSMUSG00000000266,35.87764272135492
ENSMUSG00000000275,86.18007949766692
ENSMUSG00000000276,33.1009850797857
ENSMUSG00000000278,61.685580966645546
ENSMUSG00000000282,44.61086468114523
ENSMUSG00000000290,27.461259289129558
ENSMUSG00000000295,74.45705397776369
ENSMUSG00000000296,8.041937899648598
ENSMUSG00000000301,27.271156172590587
ENSMUSG00000000305,6.89555849991359
ENSMUSG00000000317,10.380782303128061
ENSMUSG00000000318,3.6177199147416323
ENSMUSG00000000320,19.70735641454001
ENSMUSG00000000325,89.11803675326921
ENSMUSG00000000326,96.1000057607005
ENSMUSG00000000339,66.97966472723084
ENSMUSG00000000340,56.33965090154963
ENSMUSG00000000346,89.65378189987902
ENSMUSG00000000355,83.57624287113313
ENSMUSG00000000359,70.45336712944294
ENSMUSG00000000365,17.800564548649117
ENSMUSG00000000374,63.75943314707069
ENSMUSG00000000378,58.11394665591336
ENSMUSG00000000384,51.4200126735411
ENSMUSG00000000386,14.436315455959445
ENSMUSG00000000392,18.4400023042802
ENSMUSG00000000399,88.2366495765885
ENSMUSG00000000409,22.35151794458206
ENSMUSG00000000416,59.68661789273576
ENSMUSG00000000420,85.7019413560689
ENSMUSG00000000439,63.31009850797857
ENSMUSG00000000441,80.55763580851432
ENSMUSG00000000486,66.99694682873437
ENSMUSG00000000489,23.79745377037848
ENSMUSG00000000530,69.53741574975517
ENSMUSG00000000531,26.8736678380091
ENSMUSG00000000532,33.607926723889626
ENSMUSG00000000538,49.76669162970217
ENSMUSG00000000552,31.02713289936056
ENSMUSG00000000555,50.913071029437184
ENSMUSG00000000560,46.21810012097471
ENSMUSG00000000561,72.93622904545192
ENSMUSG00000000563,98.3985252606717
ENSMUSG00000000567,71.35779710812835
ENSMUSG00000000568,93.88213606774583
ENSMUSG00000000579,85.1892390114638
ENSMUSG00000000581,91.03635002016244
ENSMUSG00000000594,74.81421740883691
ENSMUSG00000000600,92.20577222190218
ENSMUSG00000000605,87.25733049138775
ENSMUSG00000000606,13.963938014862606
ENSMUSG00000000628,29.033930525951956
ENSMUSG00000000631,73.90402672965033
ENSMUSG00000000673,13.883288207846073
ENSMUSG00000000682,53.94319949305836
ENSMUSG00000000686,7.696295869577741
ENSMUSG00000000690,13.98698081686733
ENSMUSG00000000693,40.56109222881503
ENSMUSG00000000706,8.813871766806844
ENSMUSG00000000708,65.77567832248401
ENSMUSG00000000711,66.34598767210093
ENSMUSG00000000730,24.016360389423355
ENSMUSG00000000731,14.47664035946771
ENSMUSG00000000732,48.21130249438332
ENSMUSG00000000738,72.41776600034564
