gen_name,induced neural border stem cell
ENSG00000000003,96.58785218745575
ENSG00000000419,89.4237576100807
ENSG00000000457,68.04945962527727
ENSG00000000460,78.80975978101846
ENSG00000000971,16.966350464863844
ENSG00000001036,94.96908773420171
ENSG00000001084,68.22407853131341
ENSG00000001167,70.16376421728255
ENSG00000001460,59.17221199679079
ENSG00000001461,47.83614139411959
ENSG00000001497,91.07083864269197
ENSG00000001561,52.04115342866582
ENSG00000001617,6.10694228137241
ENSG00000001626,27.72665062060503
ENSG00000001629,65.68502524894993
ENSG00000001630,96.83326254188495
ENSG00000001631,76.7662466374062
ENSG00000002016,75.47784227665298
ENSG00000002079,12.912360186889424
ENSG00000002330,75.59110859408183
ENSG00000002549,90.14583038368966
ENSG00000002586,84.29845674642503
ENSG00000002587,40.78531313417339
ENSG00000002726,14.290433715607154
ENSG00000002746,51.59280758884327
ENSG00000002822,78.99381754684033
ENSG00000002834,63.36778517155127
ENSG00000002919,76.71905233847751
ENSG00000002933,66.7232998253811
ENSG00000003056,95.38911699466705
ENSG00000003096,73.29746566614753
ENSG00000003147,54.9907971117089
ENSG00000003249,73.42960970314786
ENSG00000003393,63.07046108830053
ENSG00000003400,39.10047666241918
ENSG00000003402,82.08032469677663
ENSG00000003436,74.42068998065034
ENSG00000003509,74.51979800840058
ENSG00000003756,93.9827268865921
ENSG00000003987,52.43286610977393
ENSG00000003989,36.91538062202086
ENSG00000004059,93.71371938269857
ENSG00000004139,58.79937703525414
ENSG00000004142,94.49242531502195
ENSG00000004399,15.257916843645289
ENSG00000004455,96.08759261881164
ENSG00000004468,28.335457076785126
ENSG00000004478,89.37184388125914
ENSG00000004487,96.98428429845674
ENSG00000004534,92.01000519137288
ENSG00000004660,47.62848647883336
ENSG00000004700,78.24342819387418
ENSG00000004766,63.37722403133701
ENSG00000004776,5.790740478550191
ENSG00000004777,42.64948794185662
ENSG00000004779,96.31412525366936
ENSG00000004809,43.58393506064468
ENSG00000004838,35.98565293312568
ENSG00000004846,41.50738590778234
ENSG00000004848,7.763462173769408
ENSG00000004864,93.33144556137619
ENSG00000004866,78.11128415687385
ENSG00000004897,92.43947331162396
ENSG00000004939,41.45547217896078
ENSG00000004961,85.55382509792817
ENSG00000004975,80.34829392609373
ENSG00000005007,49.36523667940912
ENSG00000005020,62.70234555665676
ENSG00000005022,98.00840058520932
ENSG00000005059,74.92566897918731
ENSG00000005075,93.17098494501865
ENSG00000005100,71.40497427910708
ENSG00000005102,41.578177356175374
ENSG00000005108,71.57959318514322
ENSG00000005156,85.04412666949833
ENSG00000005175,79.48935768559157
ENSG00000005187,40.053801500778704
ENSG00000005189,55.32115720420974
ENSG00000005194,97.41375241870782
ENSG00000005206,67.04894048798906
ENSG00000005238,54.69819245835104
ENSG00000005243,61.36202746708198
ENSG00000005249,49.14342347444428
ENSG00000005302,72.98598329321818
ENSG00000005339,72.78304780782481
ENSG00000005379,41.88022086931898
ENSG00000005421,10.864127613384303
ENSG00000005436,74.65194204540092
ENSG00000005448,90.48562933597621
ENSG00000005469,68.46476945584973
ENSG00000005471,37.203265845485866
ENSG00000005483,95.76667138609656
ENSG00000005486,93.78451083109161
ENSG00000005513,31.648496861579122
ENSG00000005700,75.17579876350938
ENSG00000005801,91.11331351172778
ENSG00000005810,70.63098777667658
ENSG00000005812,62.75425928547831
ENSG00000005844,39.42139789513427
ENSG00000005882,69.9277927226391
ENSG00000005884,33.23422530558309
ENSG00000005889,78.61626315541082
