gen_name,basophil mast progenitor cell,granulocyte monocyte progenitor cell
ENSMUSG00000000001,98.40641769201582,95.38728386362403
ENSMUSG00000000028,97.1651580031438,90.57401485175347
ENSMUSG00000000037,43.1784920591902,47.40094314054962
ENSMUSG00000000056,83.16981950241205,62.995284297251885
ENSMUSG00000000058,8.043796411729632,41.02119356062659
ENSMUSG00000000078,98.21128516450757,57.076264296167814
ENSMUSG00000000085,60.63743292319367,62.52371402244024
ENSMUSG00000000088,93.24082606103312,97.07843243536234
ENSMUSG00000000094,12.201203317252968,15.469673153016425
ENSMUSG00000000120,20.450972952463548,22.012033172529677
ENSMUSG00000000126,45.59054691311182,0.0
ENSMUSG00000000127,61.499268253021846,48.38202612607729
ENSMUSG00000000131,85.44636565667516,78.68177136972193
ENSMUSG00000000134,71.64073933546534,51.4174209984281
ENSMUSG00000000142,51.33611577863299,41.30847200390265
ENSMUSG00000000148,86.63884221367012,60.19296438831373
ENSMUSG00000000149,87.45731475960756,86.77435091332863
ENSMUSG00000000154,48.25193777440512,50.66399262832674
ENSMUSG00000000167,20.407610168572823,41.74209984280991
ENSMUSG00000000168,77.40256924494552,84.37313675537969
ENSMUSG00000000171,85.34879939292102,89.65255569407556
ENSMUSG00000000182,20.81955661553472,0.0
ENSMUSG00000000183,24.104287495257196,26.131497642148627
ENSMUSG00000000184,98.40099734402948,97.98363054908124
ENSMUSG00000000194,73.81429887798797,58.49097512060274
ENSMUSG00000000197,28.85251233129167,21.610927421540463
ENSMUSG00000000204,20.91170253130251,38.49531139899182
ENSMUSG00000000223,24.792671689522468,15.729849856360778
ENSMUSG00000000244,98.17334272860317,97.47411783836523
ENSMUSG00000000248,2.0488915388367936,16.819339801615264
ENSMUSG00000000253,92.6120656946176,71.72204455526044
ENSMUSG00000000266,29.643883137297415,4.368800476990622
ENSMUSG00000000275,69.84660415198655,81.13718900753429
ENSMUSG00000000276,46.65835546642094,64.04683180660199
ENSMUSG00000000278,54.72925361808228,60.69705675104342
ENSMUSG00000000282,61.63477695268036,55.81332321535043
ENSMUSG00000000290,92.1350750718196,75.4566643178492
ENSMUSG00000000295,83.4950403815925,78.05301100330641
ENSMUSG00000000301,32.70095940159358,58.897501219578295
ENSMUSG00000000303,90.62821833161689,55.704916255623615
ENSMUSG00000000305,6.965147162447829,13.675537969537643
ENSMUSG00000000318,0.0,48.97826440457477
ENSMUSG00000000320,36.87462735107594,36.690335519540355
ENSMUSG00000000325,68.75711420673207,50.64773158436772
ENSMUSG00000000326,91.1756734782373,88.41129600520354
ENSMUSG00000000339,73.9118651417421,74.0202721014689
ENSMUSG00000000340,52.43102607187381,49.585343379044936
ENSMUSG00000000346,98.98097457856795,98.68285543931921
ENSMUSG00000000355,76.44316765136323,90.28131606049108
ENSMUSG00000000365,48.77229118109383,41.36267548376606
ENSMUSG00000000374,76.87137514228414,59.46121741015773
ENSMUSG00000000378,93.23540571304679,83.59802699333298
