gen_name,CD4-positive helper T cell
ENSG00000000003,72.59024650843318
ENSG00000000419,72.06746546592383
ENSG00000000457,78.56597725711669
ENSG00000000460,82.75967335724643
ENSG00000000938,41.25009539800046
ENSG00000000971,64.16851102800885
ENSG00000001036,72.30023658704113
ENSG00000001084,72.20483858658322
ENSG00000001167,41.87590628100435
ENSG00000001460,89.18568266809129
ENSG00000001461,91.82629932076624
ENSG00000001497,48.851408074486756
ENSG00000001561,20.377012897809664
ENSG00000001617,27.764634053270242
ENSG00000001626,53.789208578188195
ENSG00000001629,75.06677860032053
ENSG00000001630,69.35816225291917
ENSG00000001631,70.48385865832252
ENSG00000002016,71.876669465008
ENSG00000002079,64.32496374875983
ENSG00000002330,56.94115851331756
ENSG00000002549,80.30985270548729
ENSG00000002586,97.23727390673892
ENSG00000002587,55.380447225826146
ENSG00000002726,58.47897428069908
ENSG00000002745,70.76242081965962
ENSG00000002746,71.1974357017477
ENSG00000002822,69.72449057467756
ENSG00000002834,76.99381820957034
ENSG00000002919,63.65336182553614
ENSG00000002933,29.76799206288636
ENSG00000003056,84.358543844921
ENSG00000003096,11.249332213996794
ENSG00000003137,24.84163931923987
ENSG00000003147,72.87644050980691
ENSG00000003249,42.25368236281767
ENSG00000003393,76.48248492711592
ENSG00000003400,95.47431885827673
ENSG00000003402,99.74433335877279
ENSG00000003436,99.61077615813173
ENSG00000003509,66.00396855681905
ENSG00000003756,97.98901015034724
ENSG00000003987,51.26688544608105
ENSG00000003989,50.37777608181333
ENSG00000004059,80.01221094405861
ENSG00000004139,75.81469892391056
ENSG00000004142,75.22704724108983
ENSG00000004399,30.901320308326337
ENSG00000004455,88.11722506296267
ENSG00000004468,73.78844539418455
ENSG00000004478,69.4573761733954
ENSG00000004487,62.096466458063034
ENSG00000004534,92.22697092268946
ENSG00000004660,51.54926352743646
ENSG00000004700,91.99038388155384
ENSG00000004766,74.73860947874532
ENSG00000004777,72.44142562771884
ENSG00000004779,88.72014042585667
ENSG00000004799,10.386934289857285
ENSG00000004809,62.15370525833779
ENSG00000004838,31.46226055101885
ENSG00000004846,89.97176219186446
ENSG00000004848,36.712966496222236
ENSG00000004864,51.97283064946959
ENSG00000004866,72.9184156300084
ENSG00000004897,99.85499503930397
ENSG00000004939,70.27398305731512
ENSG00000004948,41.5858963596123
ENSG00000004961,53.213004655422424
ENSG00000004975,60.51285965046173
ENSG00000005001,36.548881935434636
ENSG00000005007,95.90170190032818
ENSG00000005020,63.82889414637869
ENSG00000005022,96.02762726093262
ENSG00000005059,80.67236510722735
ENSG00000005073,51.19819888575135
ENSG00000005075,77.44791269174998
ENSG00000005100,93.34121956803786
ENSG00000005102,39.826757231168436
ENSG00000005108,36.980080897504386
ENSG00000005156,64.27917270854003
ENSG00000005175,65.11485919255132
ENSG00000005187,64.69510799053651
ENSG00000005189,78.08898725482713
ENSG00000005194,80.16103182477295
ENSG00000005206,38.92238418682744
ENSG00000005238,79.98931542394871
ENSG00000005243,43.76860261008929
ENSG00000005249,41.29970235823857
ENSG00000005302,84.62565824620316
ENSG00000005339,89.57109058994124
ENSG00000005379,58.60871556132183
ENSG00000005381,47.6532091887354
ENSG00000005421,71.25085858200411
ENSG00000005436,71.10203770128977
ENSG00000005448,73.58620163321376
ENSG00000005469,74.80729603907503
ENSG00000005471,52.83904449362742
ENSG00000005483,96.67251774402808
ENSG00000005486,80.16484774479127
ENSG00000005513,22.918415630008397
ENSG00000005700,87.56010074028848
ENSG00000005801,83.4503548805617
ENSG00000005810,91.07837899717623
ENSG00000005812,76.26116156605357
ENSG00000005844,77.91345493398458
ENSG00000005882,44.26467221247042
ENSG00000005884,78.798748378234
ENSG00000005889,89.72372739067389
ENSG00000005893,74.67755475845226
ENSG00000005961,47.50820422803938
ENSG00000005981,82.73296191711822
ENSG00000006007,88.57131954514233
ENSG00000006015,92.50171716400824
ENSG00000006016,24.822559719148288
ENSG00000006025,43.253453407616576
ENSG00000006042,68.3660230481569
ENSG00000006047,44.360070212928335
ENSG00000006062,46.8862092650538
ENSG00000006071,64.6226055101885
ENSG00000006116,65.9238342364344
ENSG00000006118,66.87018240097687
ENSG00000006125,71.6858734640922
ENSG00000006194,60.74944669159734
ENSG00000006210,65.07288407234985
ENSG00000006282,55.868884988170656
ENSG00000006283,47.92795543005418
ENSG00000006327,39.41463786919026
ENSG00000006377,51.26306952606273
ENSG00000006432,90.17400595283522
ENSG00000006451,76.04747004502785
ENSG00000006453,55.105700984507365
ENSG00000006459,78.97046477905823
ENSG00000006468,42.90238876593146
ENSG00000006530,93.59307028924674
ENSG00000006534,75.28810196138289
ENSG00000006555,65.79027703579334
ENSG00000006576,88.90330458673587
ENSG00000006607,68.70563992978708
ENSG00000006611,32.74440967717317
ENSG00000006625,77.60054949248264
ENSG00000006634,78.07753949477218
ENSG00000006638,57.8340837976036
ENSG00000006652,85.46516065023278
ENSG00000006659,42.009463481645426
ENSG00000006695,93.23818972754331
ENSG00000006704,69.15973441196672
ENSG00000006712,49.54208959780203
ENSG00000006715,76.27260932610852
ENSG00000006740,95.69182629932077
ENSG00000006744,65.37815767381515
ENSG00000006747,94.66915973441196
ENSG00000006756,89.36884682897046
ENSG00000006757,78.27596733572464
ENSG00000006788,82.20636495459055
ENSG00000006831,91.57826451957567
ENSG00000006837,67.40059528352286
ENSG00000007001,48.14927879111654
ENSG00000007038,46.367244142562775
ENSG00000007047,73.0367091505762
ENSG00000007062,94.86377165534611
ENSG00000007080,71.48362970312142
ENSG00000007129,51.37373120659391
ENSG00000007168,86.41532473479356
ENSG00000007171,46.24131878195833
ENSG00000007174,93.11226436693887
ENSG00000007202,76.2649774860719
ENSG00000007216,27.89819125391132
ENSG00000007237,65.9009387163245
ENSG00000007255,80.41669846600014
ENSG00000007264,64.00442646722124
ENSG00000007306,32.66427535678852
ENSG00000007312,38.098145462871095
ENSG00000007314,16.370296878577424
ENSG00000007341,69.97634129588644
ENSG00000007350,35.94596657254064
ENSG00000007372,90.30374723345798
ENSG00000007376,52.549034572235364
ENSG00000007384,17.316645043119898
ENSG00000007392,90.0290009921392
ENSG00000007402,40.15111043272533
ENSG00000007516,46.69541326413798
ENSG00000007520,72.95275891017324
ENSG00000007541,55.18583530489201
ENSG00000007545,28.405708616347404
ENSG00000007866,63.21834694344807
