gen_name,neural crest cell
ENSGALG00000000003,46.49566005959321
ENSGALG00000000011,75.07449151444487
ENSGALG00000000038,8.362482186811764
ENSGALG00000000044,28.883275035626376
ENSGALG00000000048,5.5058945459256385
ENSGALG00000000055,88.48296411452262
ENSGALG00000000059,92.01969166990543
ENSGALG00000000067,59.2822904521311
ENSGALG00000000071,53.91890141210002
ENSGALG00000000086,95.90620546702941
ENSGALG00000000091,83.8839227879259
ENSGALG00000000094,75.82588418188885
ENSGALG00000000102,73.48749838061926
ENSGALG00000000104,33.6960746210649
ENSGALG00000000106,70.52079284881462
ENSGALG00000000107,6.743101438010105
ENSGALG00000000109,61.56885606943905
ENSGALG00000000112,33.19730535043399
ENSGALG00000000115,14.483741417282031
ENSGALG00000000120,19.32892861769659
ENSGALG00000000122,98.28345640627025
ENSGALG00000000129,75.87770436585049
ENSGALG00000000136,11.666018914367147
ENSGALG00000000137,96.60577795051172
ENSGALG00000000141,27.956989247311824
ENSGALG00000000142,84.21427646068143
ENSGALG00000000146,65.63026298743361
ENSGALG00000000150,99.3133825625081
ENSGALG00000000151,54.3982381137453
ENSGALG00000000154,17.398626765125016
ENSGALG00000000156,63.42142764606814
ENSGALG00000000158,39.00116595413914
ENSGALG00000000161,75.51496307811892
ENSGALG00000000162,14.61976940018137
ENSGALG00000000164,22.807358466122555
ENSGALG00000000168,18.70060888716155
ENSGALG00000000184,17.75489052986138
ENSGALG00000000186,44.75968389687783
ENSGALG00000000189,73.44863324264801
ENSGALG00000000195,63.803601502785334
ENSGALG00000000201,31.577924601632333
ENSGALG00000000208,62.84492809949476
ENSGALG00000000209,47.19523254307553
ENSGALG00000000215,83.42401865526622
ENSGALG00000000217,15.6237854644384
ENSGALG00000000218,94.09249902837155
ENSGALG00000000220,78.96748283456407
ENSGALG00000000223,87.116206762534
ENSGALG00000000225,55.55771472988729
ENSGALG00000000226,50.14250550589454
ENSGALG00000000227,93.74271278663039
ENSGALG00000000233,43.08848296411452
ENSGALG00000000234,44.396942609146265
ENSGALG00000000235,98.90529861381007
ENSGALG00000000241,71.26570799326338
ENSGALG00000000242,77.69141080450835
ENSGALG00000000243,80.54799844539448
ENSGALG00000000244,36.54618473895582
ENSGALG00000000247,95.81552014509651
ENSGALG00000000249,8.679880813576888
ENSGALG00000000253,66.4010882238632
ENSGALG00000000255,55.02655784428035
ENSGALG00000000259,86.9089260266874
ENSGALG00000000264,46.66407565746859
ENSGALG00000000273,70.83819147557973
ENSGALG00000000275,86.97370125663946
ENSGALG00000000276,40.057002202357815
ENSGALG00000000277,6.94390465086151
ENSGALG00000000280,41.164658634538156
ENSGALG00000000293,22.787925897136933
ENSGALG00000000295,24.193548387096776
ENSGALG00000000296,73.75955434641793
ENSGALG00000000302,50.51820183961653
ENSGALG00000000309,19.743490089389816
ENSGALG00000000311,37.34292006736624
ENSGALG00000000313,53.03795828475191
ENSGALG00000000314,55.408731700997535
ENSGALG00000000317,82.15442414820573
ENSGALG00000000318,60.69439046508616
ENSGALG00000000329,60.48710972923954
ENSGALG00000000336,43.50952195880296
ENSGALG00000000337,1.1853867081228138
ENSGALG00000000349,97.41546832491255
ENSGALG00000000352,89.05946366109599
ENSGALG00000000364,15.332296929654099
ENSGALG00000000365,49.8056743101438
ENSGALG00000000367,33.961653063868376
ENSGALG00000000371,23.26078507578702
ENSGALG00000000374,39.830288897525584
ENSGALG00000000377,98.89234356781967
ENSGALG00000000378,24.82186811763182
ENSGALG00000000379,95.38152610441767
ENSGALG00000000390,75.04858142246404
ENSGALG00000000394,16.66018914367146
ENSGALG00000000396,77.147298872911
ENSGALG00000000397,75.9748672107786
ENSGALG00000000399,27.600725482575463
ENSGALG00000000400,28.13835989117761
ENSGALG00000000401,43.26985360798031
ENSGALG00000000402,69.45200155460552
ENSGALG00000000404,87.35587511335665
ENSGALG00000000407,79.63466770307035
ENSGALG00000000409,93.91760590750097
ENSGALG00000000410,54.469490866692574
ENSGALG00000000417,34.803731053245244
ENSGALG00000000419,77.49060759165694
ENSGALG00000000424,96.0033683119575
ENSGALG00000000430,77.08252364295893
ENSGALG00000000433,40.82782743878741
ENSGALG00000000436,73.26726259878222
ENSGALG00000000437,18.92732219199378
ENSGALG00000000438,50.932763311309756
ENSGALG00000000441,3.1934188366368703
ENSGALG00000000442,22.58712268428553
ENSGALG00000000451,11.931597357170617
ENSGALG00000000452,60.51301982122037
ENSGALG00000000458,41.54035496826013
ENSGALG00000000461,45.2131105065423
ENSGALG00000000466,23.95388003627413
ENSGALG00000000469,17.14600336831196
ENSGALG00000000470,93.95647104547221
ENSGALG00000000474,95.84790776007254
ENSGALG00000000476,11.44578313253012
ENSGALG00000000478,38.975255862158306
ENSGALG00000000498,36.772898043788054
ENSGALG00000000504,28.863842466640754
ENSGALG00000000505,42.4795958025651
ENSGALG00000000507,3.530250032387615
ENSGALG00000000510,79.5893250421039
ENSGALG00000000511,86.0344604223345
ENSGALG00000000513,66.95815520145096
ENSGALG00000000516,64.51612903225806
ENSGALG00000000518,71.37582588418189
ENSGALG00000000521,15.740380878352116
ENSGALG00000000523,61.75022671330483
ENSGALG00000000525,63.98497214665112
ENSGALG00000000528,54.70915921751522
ENSGALG00000000529,90.35496826013733
ENSGALG00000000533,99.55952843632595
ENSGALG00000000535,70.46897266485296
ENSGALG00000000538,70.87057909055578
ENSGALG00000000540,61.18020468972665
ENSGALG00000000541,70.501360279829
ENSGALG00000000542,84.35030444358077
ENSGALG00000000544,22.917476357041068
ENSGALG00000000545,5.007125275294727
