gen_name,islet of Langerhans
ENSG00000000003,87.14669707583286
ENSG00000000419,82.18212918465423
ENSG00000000457,66.6571638022318
ENSG00000000460,59.89248187667997
ENSG00000000971,76.63517145882544
ENSG00000001036,86.23034943390078
ENSG00000001084,74.8391300806386
ENSG00000001167,71.58507778773317
ENSG00000001460,66.47796693003176
ENSG00000001461,89.325568135538
ENSG00000001497,73.50737150769731
ENSG00000001561,88.52732752301051
ENSG00000001617,14.897776329722245
ENSG00000001626,98.89631017349515
ENSG00000001629,89.0119736091879
ENSG00000001630,97.74374847275394
ENSG00000001631,82.75637370693167
ENSG00000002016,84.47503461757758
ENSG00000002079,33.81119165920013
ENSG00000002330,54.14189134153295
ENSG00000002549,82.20249246558605
ENSG00000002586,99.16917813798159
ENSG00000002587,51.53539138225951
ENSG00000002726,39.50069235155168
ENSG00000002745,15.46794819581331
ENSG00000002746,35.375091634764196
ENSG00000002822,42.127555591756945
ENSG00000002834,79.32312454182619
ENSG00000002919,69.58947625641443
ENSG00000002933,88.38071190030138
ENSG00000003056,95.29608210474872
ENSG00000003096,53.575792131628255
ENSG00000003137,39.97719312535636
ENSG00000003147,89.56992750671988
ENSG00000003249,53.974912437891994
ENSG00000003393,78.98916673454427
ENSG00000003400,67.33729738535473
ENSG00000003402,96.0495234992262
ENSG00000003436,98.75376720697238
ENSG00000003509,73.43813635252911
ENSG00000003756,94.97841492221227
ENSG00000003987,87.17113301295105
ENSG00000003989,98.86372892400423
ENSG00000004059,76.83473161195732
ENSG00000004139,65.01995601531318
ENSG00000004142,78.63077299014417
ENSG00000004399,57.55477722570661
ENSG00000004455,94.53042274171214
ENSG00000004468,45.61374928728517
ENSG00000004478,75.65366131791154
ENSG00000004487,82.93149792294534
ENSG00000004534,97.53197035106297
ENSG00000004660,69.04781298362792
ENSG00000004700,83.20436588743179
ENSG00000004766,81.09065732670848
ENSG00000004776,17.508348945182046
ENSG00000004777,24.875783986315874
ENSG00000004779,88.73910564470148
ENSG00000004799,99.26284923026797
ENSG00000004809,46.39977193125356
ENSG00000004838,30.410523743585564
ENSG00000004846,46.65227661480818
ENSG00000004848,84.39765415003664
ENSG00000004864,80.14580109147185
ENSG00000004866,84.59314164698216
ENSG00000004897,87.39512910320111
ENSG00000004939,43.87065243952106
ENSG00000004948,31.774863566017757
ENSG00000004961,65.15028101327685
ENSG00000004975,54.031929624501096
ENSG00000005001,33.684939317422824
ENSG00000005007,60.401563899975564
ENSG00000005020,81.11916592001303
ENSG00000005022,99.20990469984524
ENSG00000005059,62.063207624012385
ENSG00000005075,81.94184246965871
ENSG00000005100,79.21316282479432
ENSG00000005108,72.15117699763786
ENSG00000005156,64.98737476582227
ENSG00000005175,74.37077461920664
ENSG00000005187,84.13293149792295
ENSG00000005189,56.866498330210966
ENSG00000005194,81.21690966848578
ENSG00000005206,46.9495805164128
ENSG00000005238,75.94281990714344
ENSG00000005243,30.915533110694792
ENSG00000005249,70.86014498656024
ENSG00000005302,73.33224729168364
ENSG00000005339,86.66205098965546
ENSG00000005379,47.07176020200375
ENSG00000005421,47.002525046835544
ENSG00000005436,71.0271238902012
ENSG00000005448,70.26146452716462
ENSG00000005469,68.84418017430968
ENSG00000005471,43.72810947299829
ENSG00000005483,96.88441801743097
ENSG00000005486,89.47218375824713
ENSG00000005513,18.294371589150444
ENSG00000005700,96.42013521218539
ENSG00000005801,90.75507045695203
ENSG00000005810,95.68705709863973
ENSG00000005812,80.80149873747658
ENSG00000005844,36.78015801906003
ENSG00000005882,53.07892807689175
ENSG00000005884,68.01335831229127
ENSG00000005889,95.8418180337216
ENSG00000005893,99.19768673128615
ENSG00000005961,26.415248024761752
ENSG00000005981,72.8272379245744
ENSG00000006007,87.06931660829193
ENSG00000006015,60.157204528793685
ENSG00000006016,43.467459477070946
ENSG00000006025,47.65822269284027
ENSG00000006042,73.62955119328826
ENSG00000006047,5.689500692351552
ENSG00000006062,53.06671010833266
ENSG00000006071,97.73153050419484
ENSG00000006116,20.648366864869267
ENSG00000006118,47.40979066547202
ENSG00000006125,89.74505172273356
ENSG00000006128,49.63346094322717
ENSG00000006194,67.72419972305937
ENSG00000006210,55.98273193776981
ENSG00000006282,64.69414352040401
ENSG00000006283,36.12446037305531
ENSG00000006327,71.0963590453694
ENSG00000006377,15.129917732345035
ENSG00000006432,75.79620428443431
ENSG00000006451,77.61260894355298
ENSG00000006453,73.42184572778366
ENSG00000006459,77.44155738372567
ENSG00000006468,90.1563899975564
ENSG00000006530,88.53140017919688
ENSG00000006534,49.53571719475442
ENSG00000006555,77.9221308137167
ENSG00000006576,93.97654150036654
ENSG00000006606,52.973039016046265
ENSG00000006607,70.70131139529201
ENSG00000006611,80.67524639569928
ENSG00000006625,83.58719556895007
ENSG00000006634,65.39056772827237
ENSG00000006638,47.29575629225381
ENSG00000006652,90.22969780891097
ENSG00000006659,26.423393337134478
ENSG00000006695,82.23507371507698
ENSG00000006704,63.30536776085363
ENSG00000006712,66.8322880182455
ENSG00000006715,95.1128125763623
ENSG00000006740,53.40474057180092
ENSG00000006744,67.12959191985013
ENSG00000006747,83.90079009530015
ENSG00000006756,81.9540604382178
ENSG00000006757,78.7773886128533
ENSG00000006788,29.946240938339987
ENSG00000006831,81.97035106296326
ENSG00000006837,56.68322880182455
ENSG00000007001,31.47755966441313
ENSG00000007038,23.951291032011078
ENSG00000007047,50.75751405066384
ENSG00000007062,84.010751812332
ENSG00000007080,60.21014905921642
ENSG00000007129,17.69976378594119
ENSG00000007168,90.9301946729657
ENSG00000007171,16.89337786104097
ENSG00000007174,49.00219923434064
ENSG00000007202,77.25014254296653
ENSG00000007216,24.54589883522033
ENSG00000007237,51.97931090657326
ENSG00000007255,58.4222529934023
ENSG00000007264,39.65545328663354
ENSG00000007306,98.91260079824062
ENSG00000007312,19.247373136759798
ENSG00000007341,68.25771768347316
ENSG00000007372,99.2832125111998
ENSG00000007376,37.78203144090576
ENSG00000007384,48.98590860959518
ENSG00000007392,83.66864869267737
ENSG00000007402,53.62059134967826
ENSG00000007516,61.700741223425915
ENSG00000007520,49.9307648448318
ENSG00000007541,47.931090657326706
ENSG00000007545,52.378431212837015
ENSG00000007866,47.08397817056284
ENSG00000007923,65.94852162580435
ENSG00000007933,40.11159077950639
ENSG00000007944,70.09448562352367
ENSG00000007952,19.589476256414436
ENSG00000007968,48.847438299258776
ENSG00000008018,97.51975238250387
ENSG00000008056,52.463956992750674
ENSG00000008083,76.5252097417936
ENSG00000008086,88.51103689826505
ENSG00000008118,33.55054166327279
ENSG00000008128,67.91968722000489
ENSG00000008130,57.46925144579295
ENSG00000008197,18.94192392278244
ENSG00000008226,53.6857538486601
ENSG00000008256,52.052618717927835
ENSG00000008277,62.519345116885226
ENSG00000008282,97.26724769894926
ENSG00000008283,82.63419402134072
ENSG00000008294,90.99128451576118
ENSG00000008300,52.349922619532464
ENSG00000008311,81.20061904374033
ENSG00000008323,48.142868779017675
ENSG00000008324,78.27237924574408
ENSG00000008382,39.61065406858353
ENSG00000008394,86.93084629795553
ENSG00000008405,74.1671418098884
ENSG00000008441,43.63036572452554
ENSG00000008513,79.23759876191252
ENSG00000008516,21.226684043333062
ENSG00000008517,96.21242974668078
ENSG00000008710,52.57799136596889
ENSG00000008735,57.25747332410198
ENSG00000008838,61.85142950232141
ENSG00000008853,52.20330699682333
ENSG00000008869,85.26512991773234
ENSG00000008952,97.29575629225381
ENSG00000008988,98.39130080638593
ENSG00000009307,99.10401563899975
ENSG00000009335,85.77421194102793
ENSG00000009413,95.75221959762158
ENSG00000009694,57.94982487578398
ENSG00000009724,40.0301376557791
ENSG00000009765,52.63908120876436
ENSG00000009780,97.66229534902664
ENSG00000009790,49.995927343813634
ENSG00000009830,55.37997882218784
ENSG00000009844,93.43487822758003
ENSG00000009950,81.77893622220412
ENSG00000009954,94.23311884010752
ENSG00000010017,79.1113464201352
ENSG00000010030,40.79579701881567
ENSG00000010072,62.89810214221715
ENSG00000010165,75.82878553392523
ENSG00000010219,75.2545410116478
ENSG00000010244,97.54011566343569
ENSG00000010256,93.8421438462165
ENSG00000010270,88.29925877657409
ENSG00000010278,91.98093996904781
ENSG00000010282,45.784800847112486
ENSG00000010292,66.28247943308627
ENSG00000010295,52.83864136189623
ENSG00000010310,83.14327604463631
ENSG00000010318,49.85745703347723
ENSG00000010319,37.8349759713285
ENSG00000010322,82.47943308625885
ENSG00000010327,44.45304227417122
ENSG00000010361,32.69935652032255
ENSG00000010404,98.50126252341778
ENSG00000010438,74.94909179767045
ENSG00000010539,64.65748961472673
ENSG00000010610,50.92856561049116
ENSG00000010626,53.408813227987295
ENSG00000010671,6.3085444326789935
ENSG00000010704,59.02907876517064
ENSG00000010803,69.83383562759632
ENSG00000010810,72.15524965382423
ENSG00000010818,81.24134560560398
ENSG00000010932,36.75164942575548
ENSG00000011007,93.69552822350738
ENSG00000011009,74.29746680785209
ENSG00000011021,70.01710515598273
ENSG00000011028,48.06956096766311
ENSG00000011052,51.08332654557303
ENSG00000011105,45.47935163313513
ENSG00000011114,83.96595259428199
ENSG00000011132,54.24778040237843
ENSG00000011143,65.98517553148163
ENSG00000011198,83.03738698379082
ENSG00000011201,22.867964486438055
ENSG00000011243,61.02875295267574
ENSG00000011258,58.18196627840677
ENSG00000011260,70.98639732833755
ENSG00000011275,87.81054003421032
ENSG00000011295,92.31489777632972
ENSG00000011304,71.5565691944286
ENSG00000011332,37.10597051396921
ENSG00000011347,77.60853628736662
ENSG00000011376,63.5049279139855
ENSG00000011405,89.43552985256986
ENSG00000011422,86.10816974830985
ENSG00000011426,42.412641524802474
ENSG00000011451,52.4721023051234
ENSG00000011454,86.05522521788711
ENSG00000011465,86.82088458092367
ENSG00000011478,43.809562596725584
ENSG00000011485,62.03062637452146
ENSG00000011523,76.46819255518449
ENSG00000011566,77.26236051152561
ENSG00000011590,4.6021014905921644
ENSG00000011638,70.96196139121935
ENSG00000011677,3.2662702614645274
ENSG00000012048,63.464201352121854
ENSG00000012061,80.52048546061742
ENSG00000012124,54.695772582878554
ENSG00000012171,40.6532540522929
ENSG00000012174,70.64022155249654
ENSG00000012211,51.09147185794575
ENSG00000012223,34.20623930927751
ENSG00000012232,69.7320192229372
ENSG00000012504,65.83448725258614
ENSG00000012660,93.65480166164373
ENSG00000012779,67.87488800195487
ENSG00000012817,72.02492465586056
ENSG00000012822,67.66718253645027
ENSG00000012963,77.85696831473487
ENSG00000012983,87.17927832532378
ENSG00000013016,54.61839211533762
ENSG00000013275,90.94648529771116
ENSG00000013288,72.60324183432435
ENSG00000013293,82.61790339659527
ENSG00000013297,42.46151339903885
ENSG00000013306,80.95625967255845
ENSG00000013364,76.14238006027531
ENSG00000013374,86.09187912356438
ENSG00000013375,96.69300317667182
