gen_name,medullary thymic epithelial cells
ENSMUSG00000000001,94.68725464538079
ENSMUSG00000000028,99.17124661955859
ENSMUSG00000000037,29.756608217744045
ENSMUSG00000000049,43.160603681409754
ENSMUSG00000000056,60.26781819767949
ENSMUSG00000000058,50.8636482596179
ENSMUSG00000000078,99.21486521852918
ENSMUSG00000000085,66.86731222193143
ENSMUSG00000000088,93.23039343976272
ENSMUSG00000000093,6.835034458693187
ENSMUSG00000000094,18.690569658902557
ENSMUSG00000000120,33.54706446828928
ENSMUSG00000000125,59.49140713600279
ENSMUSG00000000126,15.925150484166448
ENSMUSG00000000127,67.9316060368141
ENSMUSG00000000131,91.12361510948269
ENSMUSG00000000134,67.70915118206403
ENSMUSG00000000142,36.22524644508419
ENSMUSG00000000148,42.60228561458606
ENSMUSG00000000149,85.58405304021635
ENSMUSG00000000154,59.44778853703219
ENSMUSG00000000157,23.270522550815667
ENSMUSG00000000159,35.85012649393701
ENSMUSG00000000167,54.50580127366309
ENSMUSG00000000168,58.867661170723196
ENSMUSG00000000171,95.93910843583704
ENSMUSG00000000182,28.199424234493588
ENSMUSG00000000183,13.696240076768735
ENSMUSG00000000184,99.69903166710286
ENSMUSG00000000194,86.20779900549594
ENSMUSG00000000197,54.51888685335427
ENSMUSG00000000204,17.905434877431738
ENSMUSG00000000214,56.90046235714908
ENSMUSG00000000215,37.167408182849165
ENSMUSG00000000216,44.47352351042485
ENSMUSG00000000223,59.37363691878217
ENSMUSG00000000244,37.70827881008462
ENSMUSG00000000247,44.84864346157201
ENSMUSG00000000248,60.62112884934135
ENSMUSG00000000253,71.89217482334467
ENSMUSG00000000266,74.74483119602199
ENSMUSG00000000275,83.87856582046584
ENSMUSG00000000276,70.6315973130943
ENSMUSG00000000278,89.15205443601153
ENSMUSG00000000282,32.70522550815668
ENSMUSG00000000290,42.22280380354183
ENSMUSG00000000295,61.92096309866527
ENSMUSG00000000296,58.261362645031845
ENSMUSG00000000301,55.99755735845765
ENSMUSG00000000303,98.03280118642589
ENSMUSG00000000305,48.002268167146475
ENSMUSG00000000308,91.8651312919829
ENSMUSG00000000318,6.930995376428509
ENSMUSG00000000320,56.38140102939894
ENSMUSG00000000325,38.11829364040827
ENSMUSG00000000326,94.96641367879263
ENSMUSG00000000339,70.35243827968246
ENSMUSG00000000340,58.27444822472302
