gen_name,conventional dendritic cell,pre-conventional dendritic cell
ENSG00000000003,34.38100773460902,61.2017704654178
ENSG00000000419,87.55756248043993,90.43680422050342
ENSG00000000457,69.15098135646265,65.23896812268075
ENSG00000000460,68.86484553136317,66.29856485000224
ENSG00000000938,95.34135109759913,94.92555997675146
ENSG00000000971,65.87830285688739,64.12125005588591
ENSG00000001036,80.4265212142889,85.15223320069745
ENSG00000001084,81.13738990477042,81.19551124424376
ENSG00000001167,76.44297402423213,70.31340814592927
ENSG00000001460,67.1256762194304,58.64443152859123
ENSG00000001461,73.74256717485581,77.44892028434748
ENSG00000001497,68.59212232306523,72.91992667769482
ENSG00000001561,87.6514507980507,73.66209147404659
ENSG00000001626,0.0,25.05923905754013
ENSG00000001629,81.03008897035812,87.69168864845531
ENSG00000001630,80.15826887825814,85.43836902579693
ENSG00000001631,79.04949255599767,78.68288103008896
ENSG00000002016,70.01833057629544,74.30142620825323
ENSG00000002079,22.671793266866366,1.0461841105199625
ENSG00000002330,74.395314525864,72.45048508964099
ENSG00000002549,95.12674922877453,95.02839003889659
ENSG00000002586,91.35780390754236,93.61112353020074
ENSG00000002587,58.206286046407655,35.087405552823355
ENSG00000002726,0.0,12.719631600125183
ENSG00000002745,0.0,21.263468502704878
ENSG00000002746,32.319935619439356,37.70286582912326
ENSG00000002822,82.96597666204677,74.92734832565834
ENSG00000002834,81.63812759869451,76.03165377565163
ENSG00000002919,64.6845799615505,69.00344257164572
ENSG00000002933,31.895202754057316,34.86386193946439
ENSG00000003056,97.07604953726472,95.95833147046989
ENSG00000003096,51.477623284302766,46.66696472481781
ENSG00000003147,67.60853042428577,65.15402154960432
ENSG00000003249,0.0,1.985067286627621
ENSG00000003393,72.9467519112979,69.65618992265391
ENSG00000003400,68.94085035990521,63.81275986945053
ENSG00000003402,96.89274377431036,96.60660794921088
ENSG00000003436,87.22224706040149,92.86001698931462
ENSG00000003509,77.04654178030134,75.32078508517012
ENSG00000003756,92.44869674073412,94.09397773505611
