gen_name,cardiac non-myocyte and cardiomyocyte
ENSMUSG00000002679,72.30776475020012
ENSMUSG00000002688,46.53199604463907
ENSMUSG00000002699,56.147290106888924
ENSMUSG00000002718,73.20242972171211
ENSMUSG00000002728,89.18868013372887
ENSMUSG00000002731,75.34020812732494
ENSMUSG00000002732,95.11701276074776
ENSMUSG00000002733,62.7113057399821
ENSMUSG00000002741,73.24951735179168
ENSMUSG00000002748,83.50049442011583
ENSMUSG00000002763,74.33253284362198
ENSMUSG00000002767,76.63511795451335
ENSMUSG00000002768,84.45637331073127
ENSMUSG00000002769,23.162405236144465
ENSMUSG00000002771,30.644629655789423
ENSMUSG00000002778,95.70089937373452
ENSMUSG00000002781,55.51160710081462
ENSMUSG00000002791,9.869567264679569
ENSMUSG00000002797,63.587135659462255
ENSMUSG00000002799,61.129161369308285
ENSMUSG00000002803,49.39021519046947
ENSMUSG00000002804,54.9889344069313
ENSMUSG00000002808,71.37542967462448
ENSMUSG00000002812,86.06206149644488
ENSMUSG00000002814,39.803173706267366
ENSMUSG00000002820,65.46122333662947
ENSMUSG00000002825,70.42896831002496
ENSMUSG00000002831,50.70396006968969
ENSMUSG00000002833,81.66878561002025
ENSMUSG00000002835,73.53204313226915
ENSMUSG00000002844,92.20699722182982
ENSMUSG00000002845,76.55506898337808
ENSMUSG00000002846,57.41865611903753
ENSMUSG00000002847,91.09102038894382
ENSMUSG00000002870,56.71234166784386
ENSMUSG00000002871,71.70975184818948
ENSMUSG00000002881,83.22738616565428
ENSMUSG00000002885,90.24344304751142
ENSMUSG00000002897,63.81315628384423
ENSMUSG00000002900,95.55492772048783
ENSMUSG00000002908,34.3080472759806
ENSMUSG00000002910,58.063756651127754
ENSMUSG00000002944,98.884023167114
ENSMUSG00000002948,68.75735744219993
ENSMUSG00000002949,78.22197108819513
ENSMUSG00000002957,90.21048170645571
ENSMUSG00000002963,70.30654047181805
ENSMUSG00000002968,84.56938362292226
ENSMUSG00000002980,94.83919574327824
ENSMUSG00000002981,89.28756415689598
ENSMUSG00000002983,78.35381645241795
ENSMUSG00000002984,82.98253048924047
ENSMUSG00000002985,99.96703865894429
ENSMUSG00000002992,35.38635400480294
ENSMUSG00000002996,88.92028064227527
ENSMUSG00000002997,53.04421528464472
ENSMUSG00000003031,83.6841361774262
ENSMUSG00000003032,98.74746903988321
ENSMUSG00000003033,83.61821349531479
ENSMUSG00000003037,85.74657437491172
ENSMUSG00000003038,90.56363893205256
ENSMUSG00000003039,92.75792249376089
ENSMUSG00000003051,5.744690869708528
ENSMUSG00000003062,85.3463295192353
ENSMUSG00000003068,88.46353063050336
ENSMUSG00000003070,46.56966614870274
ENSMUSG00000003072,97.38192776757546
ENSMUSG00000003099,83.8395253566888
ENSMUSG00000003119,86.52352027122475
ENSMUSG00000003123,77.60512313415265
ENSMUSG00000003131,87.11682441022744
ENSMUSG00000003134,52.83702971229458
ENSMUSG00000003135,67.08574657437492
ENSMUSG00000003153,93.02161322220653
ENSMUSG00000003154,58.80303244337712
ENSMUSG00000003161,97.0758581720582
ENSMUSG00000003166,70.43838583604088
ENSMUSG00000003184,86.7307058435749
ENSMUSG00000003190,69.45425436737769
ENSMUSG00000003198,50.322550266045106
ENSMUSG00000003199,82.20558459292744
ENSMUSG00000003200,90.80849460846636
ENSMUSG00000003206,50.397890474172435
ENSMUSG00000003208,64.99505579884163
ENSMUSG00000003226,77.24725714554786
ENSMUSG00000003227,11.282196167066912
ENSMUSG00000003228,72.23242454207279
ENSMUSG00000003233,69.67085746574375
ENSMUSG00000003234,72.48669774450252
ENSMUSG00000003235,70.84804821773321
ENSMUSG00000003269,85.13914394688516
ENSMUSG00000003271,14.794933371003438
ENSMUSG00000003273,47.28539812591232
ENSMUSG00000003279,42.65197532608184
ENSMUSG00000003282,34.11027922964637
ENSMUSG00000003283,64.73136507039601
ENSMUSG00000003299,88.57654094269436
ENSMUSG00000003308,84.13146866318219
ENSMUSG00000003309,9.295098177708716
ENSMUSG00000003316,90.17752036540001
ENSMUSG00000003344,76.87055610491123
ENSMUSG00000003345,74.97292461270423
ENSMUSG00000003346,86.19861562367565
ENSMUSG00000003348,62.34873098836936
ENSMUSG00000003352,56.349766916231104
ENSMUSG00000003354,16.99392569571973
ENSMUSG00000003355,89.03329095446625
ENSMUSG00000003360,66.30409191505392
ENSMUSG00000003363,86.8860950228375
ENSMUSG00000003378,48.84399868154636
ENSMUSG00000003379,79.9783396901634
ENSMUSG00000003380,98.549700993549
ENSMUSG00000003382,66.44535480529264
ENSMUSG00000003402,89.30639920892781
ENSMUSG00000003410,15.468286481141405
ENSMUSG00000003411,22.818665536563547
ENSMUSG00000003418,50.73221264773744
ENSMUSG00000003420,97.81984272731553
ENSMUSG00000003421,73.31544003390309
ENSMUSG00000003423,80.96247115882657
ENSMUSG00000003429,99.66096906342705
ENSMUSG00000003435,80.38800207185572
ENSMUSG00000003436,2.123652116588972
ENSMUSG00000003437,70.88571832179686
ENSMUSG00000003438,78.4385741865612
ENSMUSG00000003444,80.89654847671517
ENSMUSG00000003452,87.69600226020624
ENSMUSG00000003458,82.8459763620097
ENSMUSG00000003464,84.8330743513679
ENSMUSG00000003469,28.492724961152703
ENSMUSG00000003476,36.75660404011866
ENSMUSG00000003477,83.147337194519
ENSMUSG00000003484,70.74916419456608
ENSMUSG00000003500,73.17888590667232
ENSMUSG00000003518,94.61317511889627
ENSMUSG00000003526,43.339454725243684
ENSMUSG00000003527,59.1185195649103
ENSMUSG00000003528,58.46871026981212
ENSMUSG00000003531,76.15482412770164
ENSMUSG00000003534,57.884823656825354
ENSMUSG00000003541,96.54376795215896
ENSMUSG00000003545,95.48900503837642
ENSMUSG00000003546,58.6052643970429
ENSMUSG00000003549,85.44050477939446
ENSMUSG00000003555,7.105523379008334
ENSMUSG00000003559,71.06465131609926
