gen_name,blastoderm cell,embryonic stem cell,morula cell,oocyte,totipotent stem cell,zygote
ENSG00000196844,30.219000498600085,47.12537874429486,30.345568212326928,0.0,30.276531277566832,39.98005599662486
ENSG00000196850,85.82441606259349,72.77260000767077,92.51332796379397,86.61450542707016,91.68872013193725,82.27668469297741
ENSG00000196860,31.112645265216894,25.489970467533464,40.1296360219384,0.0,20.960380470218233,0.0
ENSG00000196862,39.97622061136041,22.367966862271317,51.87358570168373,44.463621370766695,56.63329881486595,41.48352702028919
ENSG00000196865,76.23595290146895,74.32976642503739,62.175430521995935,80.56610286503279,76.90330993748321,86.69504851762359
ENSG00000196866,34.85981666858436,28.42404019483757,13.063322210716066,0.0,4.241936102481494,0.0
ENSG00000196867,62.36719978521843,60.664288727802706,65.80370498216546,70.9277796954704,77.79695470410003,75.53024201281019
ENSG00000196872,55.56322632608446,0.0,34.0543857630499,51.37882100256971,29.394392666743375,52.33766731868216
ENSG00000196873,71.56061826410462,68.04356997660415,78.64841023280789,81.29482606527826,72.90300310666207,77.87749779465346
ENSG00000196876,38.238791086564646,70.66697349748782,67.06554673416944,73.86952019330342,64.8832125186975,72.18195067694549
ENSG00000196878,52.993518198903075,35.56552755724313,0.0,0.0,36.0411153300349,0.0
ENSG00000196890,46.879914087370075,53.875656809726536,48.130249683580715,46.46185709354504,41.29559314233115,41.81337015303187
ENSG00000196900,29.866145054270703,42.63797798488858,29.751083496337206,30.978406780961148,26.253212135158975,0.0
ENSG00000196911,71.10804280289955,80.19023510911671,84.83105127910099,68.21232692823995,72.69589230238176,74.92808652629157
ENSG00000196912,67.49894526905229,73.91554481647682,90.561116864189,83.18950638591647,82.3610631687953,74.54454799984659
ENSG00000196914,80.72335366087523,79.4500057530779,81.44057070532736,92.91987880182563,91.37038315498792,95.43589153530472
ENSG00000196917,55.428987841828715,50.89939784451348,54.826832355310096,60.16568864342423,49.08909599969317,58.727419169255555
ENSG00000196922,65.42783722624938,71.15406742607296,83.85302803666629,79.4653472941357,73.1523031488513,78.41445173167645
ENSG00000196923,66.14888965596593,80.50857208606604,71.84060138840947,0.0,56.18072335366088,39.324205116403945
ENSG00000196924,70.39849652897634,82.01204310973037,29.24097725616538,49.03923599125532,65.52755724312507,65.86507114639666
ENSG00000196932,0.0,27.131515360717984,58.24032524067042,0.0,0.0,0.0
