gen_name,hematopoietic stem cell and hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell"
ENSMUSG00000000276,65.79626299742006,67.8211242279728,67.57485732155422
ENSMUSG00000000278,79.2627628801501,84.53209287780471,69.45117660855288
ENSMUSG00000000282,65.75717301227425,63.59158783519663,66.66015166914237
ENSMUSG00000000290,76.69845985458525,78.28551325150497,77.01899773278086
ENSMUSG00000000295,83.2264873739348,79.26667187866468,82.28832773043547
ENSMUSG00000000296,33.37893831600344,48.23704166992416,30.361191462747243
ENSMUSG00000000301,63.306230943632244,62.231256352122585,64.57274646235635
ENSMUSG00000000303,34.094285044171684,41.37674927683527,56.961926354467984
ENSMUSG00000000305,31.17035415526542,37.2488468454382,34.848721757485734
ENSMUSG00000000308,30.896724259244777,47.37315299820186,32.55413962942694
ENSMUSG00000000317,47.86177781252443,52.1108591978735,40.978031428348054
ENSMUSG00000000318,57.07137831287624,30.06019857712454,59.65131733249941
ENSMUSG00000000320,47.94386678133063,50.92252364944101,46.13009147056524
ENSMUSG00000000325,60.58947697599875,54.13572042842624,61.996716441247756
ENSMUSG00000000326,96.42326635915879,96.27863341411931,96.44672035024627
ENSMUSG00000000339,80.26346649988272,80.97099523102182,84.98944570401063
ENSMUSG00000000340,67.76639824876867,61.969353451645695,66.51551872410289
ENSMUSG00000000346,98.9367524040341,98.95238839809241,98.78821046048003
ENSMUSG00000000355,89.48479399577828,88.46454538347275,91.68165116097255
ENSMUSG00000000365,51.473692439996874,56.66875146587444,58.31834883902744
ENSMUSG00000000374,61.99280744273317,61.23446173090454,68.39183801110156
ENSMUSG00000000378,90.8881244625127,92.97162067078415,86.58040809944492
ENSMUSG00000000384,76.70236885309983,77.24571964662653,85.90806035493706
ENSMUSG00000000386,65.13564224845595,67.65694629036041,59.50277538894535
ENSMUSG00000000392,43.61269642717536,52.771479946837616,37.112031897427876
ENSMUSG00000000399,93.03807364553201,93.71433038855446,94.9730279102494
ENSMUSG00000000402,40.997576420920964,46.962708154170905,39.59033695567196
ENSMUSG00000000409,83.71902118677195,77.0111797357517,66.36697678054882
ENSMUSG00000000416,17.746853256195763,19.834258462981786,24.30224376514737
ENSMUSG00000000420,86.55304510984287,80.58009537956376,94.24204518802283
ENSMUSG00000000435,26.772730826362285,24.618872644828397,30.877179266671877
ENSMUSG00000000439,78.8015010554296,83.11312641701196,78.23078727230084
ENSMUSG00000000440,39.30888906262216,0.0,35.098897662418885
ENSMUSG00000000441,90.36431866155891,91.61519818622469,89.66851692596357
ENSMUSG00000000486,90.17277773434445,83.17957939175983,72.74255335782972
ENSMUSG00000000489,54.41716832147604,58.13462590884215,48.90157141740286
ENSMUSG00000000530,43.468063482135875,46.02063951215698,36.77585802517395
ENSMUSG00000000531,64.38902353217105,66.38261277460714,56.195762645610195
ENSMUSG00000000532,61.93808146352905,57.75936205144242,63.810491752013135
ENSMUSG00000000538,71.37831287624111,75.51794230318193,65.12782425142677
ENSMUSG00000000544,19.99843640059417,18.122117113595497,2.1655851770776327
ENSMUSG00000000552,54.08099444922211,54.53834727542804,59.25650848252678
ENSMUSG00000000555,72.91454929247126,78.36369322179657,80.7716363067782
ENSMUSG00000000560,91.1500273629896,92.67062778516144,80.4510984285826
ENSMUSG00000000561,97.09952310218122,95.3522007661637,96.37635837698382
ENSMUSG00000000562,46.05972949730279,47.59205691501837,51.418966460792745
ENSMUSG00000000563,98.80775545305292,98.69830349464466,99.1947463059964
ENSMUSG00000000567,40.927214447658514,40.12196075365491,40.90376045657103
ENSMUSG00000000568,88.22218747556876,87.0494879211946,94.39840512860606
ENSMUSG00000000579,72.56273942615901,70.66687514658744,74.3569697443515
ENSMUSG00000000581,94.60558204987882,94.58994605582049,95.28183879290127
ENSMUSG00000000594,97.59596591353295,97.09170510515206,96.74771323586897
ENSMUSG00000000600,93.97623328903136,93.56969744351498,93.53842545539833
ENSMUSG00000000605,87.3309358142444,85.77124540692674,86.82667500586349
ENSMUSG00000000606,48.00250175904933,48.033773747165974,47.2050660620749
ENSMUSG00000000617,28.738957079196307,38.08537252755844,27.24181064811195
ENSMUSG00000000627,45.840825580486275,37.78828864045032,35.141896646079275
ENSMUSG00000000628,75.70557423188178,73.4500820889688,76.10820107888358
ENSMUSG00000000631,78.5200531623798,80.40809944492221,81.44007505277148
ENSMUSG00000000632,47.201157063560316,49.62082714408568,43.38988351184426
ENSMUSG00000000673,76.5069189273708,62.03189742787898,71.11250097724962
ENSMUSG00000000682,90.38386365413182,91.92791806739113,81.92479086857946
ENSMUSG00000000686,71.6011257915722,68.14948010319756,65.26073020092252
ENSMUSG00000000690,46.78680322101478,50.547259792041274,23.55562504886248
ENSMUSG00000000693,58.474708779610665,55.62895786099601,59.858494253772186
ENSMUSG00000000706,31.791884919083728,25.57657728090063,41.2516613243687
ENSMUSG00000000708,71.71839574700961,69.37299663826127,71.2571339222891
ENSMUSG00000000711,87.41693378156516,89.3167070596513,79.69666171526855
ENSMUSG00000000724,28.754593073254632,34.7549057931358,35.341255570322886
ENSMUSG00000000730,44.24986318505199,15.307638183097492,33.46102728480963
ENSMUSG00000000731,54.823704166992414,52.12649519193183,48.01031975607849
ENSMUSG00000000732,55.48823391447111,57.65772809006332,48.999296380267374
ENSMUSG00000000738,75.90102415761082,76.22156203580643,79.28621687123758
ENSMUSG00000000739,50.4026268470018,49.52310218122118,53.43210069580173
ENSMUSG00000000740,99.85536705496052,99.8592760534751,99.90618403565007
ENSMUSG00000000743,91.23602533031038,93.65178641232116,90.0046907982175
ENSMUSG00000000751,91.80673911343914,89.39488702994292,93.98014228754593
ENSMUSG00000000753,88.65999530920178,91.6933781565163,75.26385739973419
ENSMUSG00000000759,80.58400437807833,85.43507153467282,86.86967398952389
ENSMUSG00000000766,43.74169337815651,40.21968571651943,40.76303651004613
ENSMUSG00000000776,75.92056915018372,77.38253459463685,78.25424126338832
ENSMUSG00000000782,53.36564772105387,61.17973575170041,61.797357517004144
ENSMUSG00000000787,96.92752716753968,96.8845281838793,97.27933703385193
ENSMUSG00000000791,62.71597216793058,62.27816433429755,56.48893753420374
ENSMUSG00000000794,14.263935579704478,12.26643733875381,3.1701977953248375
ENSMUSG00000000804,71.93729966382612,71.56594480494097,71.53467281682433
ENSMUSG00000000811,72.85591431475255,76.94081776248926,70.79196309905402
ENSMUSG00000000817,33.17567039324525,53.00601985771245,3.983269486357595
ENSMUSG00000000823,84.91126573371902,84.66499882730044,78.1565163005238
ENSMUSG00000000826,91.66992416542882,92.76835274802595,91.90055507778906
ENSMUSG00000000827,95.39129075130951,95.71182862950512,94.98475490579314
ENSMUSG00000000838,79.31748885935423,81.81142991165663,85.89242436087874
ENSMUSG00000000861,97.22852005316238,96.34508638886717,96.88843718239387
ENSMUSG00000000869,56.01985771245407,66.33961379094676,51.512782425142674
ENSMUSG00000000876,76.37401297787507,79.05949495739192,79.07122195293566
ENSMUSG00000000881,56.35212258619342,54.26862637792198,56.94238136189508
ENSMUSG00000000884,65.8509889766242,67.34813540770854,71.10077398170588
ENSMUSG00000000901,58.6076147291064,53.95199749824096,47.71323586897037
ENSMUSG00000000902,96.03236650770073,95.21929481666797,94.74239699788914
ENSMUSG00000000903,63.4743178797592,80.30255648502853,57.01665233367211
ENSMUSG00000000915,76.3701039793605,77.10108670158705,71.93339066531155
ENSMUSG00000000916,78.46141818466108,80.38464545383472,85.69306543663512
ENSMUSG00000000934,65.36236416230162,63.2945039480885,67.37549839731061
ENSMUSG00000000938,73.26635915878353,76.03393010710656,60.386209053240556
ENSMUSG00000000942,49.25729028222969,50.40653584551637,45.70401063247596
ENSMUSG00000000948,48.369947619419904,50.1016339613791,56.34039559064967
ENSMUSG00000000957,55.499960910014856,60.35493706512391,69.22445469470722
ENSMUSG00000000958,60.49175201313424,66.38652177312173,63.17332499413651
ENSMUSG00000000959,86.22078023610351,83.56657024470331,87.37784379641936
ENSMUSG00000000976,71.96857165194277,73.05136424048159,73.67680400281448
ENSMUSG00000000982,91.24384332733953,74.76350558986788,64.17402861386913
ENSMUSG00000000983,70.93268704557893,55.499960910014856,52.86138691267297
ENSMUSG00000001014,61.57845360018763,62.96223907434915,82.88640450316629
ENSMUSG00000001016,95.82128058791338,95.90727855523416,96.49753733093581
ENSMUSG00000001017,94.73457900085998,93.39770150887344,94.5704010632476
ENSMUSG00000001018,93.64787741380658,93.4446094910484,91.45492924712688
ENSMUSG00000001020,75.90884215463998,82.69095457743725,59.14314752560394
ENSMUSG00000001021,19.45899460558205,52.407943084981625,40.383863654131815
ENSMUSG00000001023,40.19232272691736,33.41411930263467,30.431553436009693
ENSMUSG00000001025,73.47353608005629,80.5292783988742,60.58556797748417
ENSMUSG00000001027,27.09717770307247,19.41990462043624,30.97881322805097
ENSMUSG00000001029,88.16746149636462,84.4930028926589,91.8536470956141
ENSMUSG00000001034,64.47111250097724,53.67836760222031,65.06137127667891
ENSMUSG00000001036,51.48151043702603,44.95348291767649,41.079665389727154
ENSMUSG00000001039,55.73840981940427,54.2842623719803,57.38800719255727
ENSMUSG00000001052,85.74779141583926,80.33773747165976,81.97560784926901
ENSMUSG00000001053,72.19138456727386,63.697130795090295,60.28848409037605
ENSMUSG00000001054,92.50254084903447,90.13759674771323,84.9151747322336
ENSMUSG00000001056,95.56719568446564,94.44140411226644,97.87350480806816
ENSMUSG00000001062,75.11922445469472,72.9067312954421,70.33070127433352
ENSMUSG00000001065,63.95512469705261,73.0279102493941,69.43944961300915
ENSMUSG00000001076,4.041904464076303,11.343913689312798,8.955515596904073
ENSMUSG00000001082,94.70721601125791,95.00429989836604,95.48119771714487
ENSMUSG00000001089,64.12321163317958,63.556406848565395,61.59018059573137
ENSMUSG00000001095,57.743726057384094,56.45375654757251,41.888828082245325
ENSMUSG00000001098,86.92439996872801,91.65819716988509,81.67070596513173
ENSMUSG00000001100,91.03666640606677,90.61840356500664,93.60096943163163
ENSMUSG00000001105,94.61340004690798,96.09881948244859,93.0419826440466
ENSMUSG00000001120,66.6757876632007,66.89078258150262,66.85560159487139
ENSMUSG00000001123,98.57712454069268,98.67094050504261,99.34328824955047
ENSMUSG00000001127,93.43679149401923,94.31240716128528,91.19302634664999
ENSMUSG00000001128,72.46110546477992,71.62848878117425,72.17965757173013
ENSMUSG00000001134,74.90422953639278,71.21022594011414,82.06551481510436
ENSMUSG00000001138,70.12352435306074,69.18927370807599,74.16151981862247
ENSMUSG00000001143,80.44718943006801,77.49980455007427,80.49800641075755
ENSMUSG00000001150,74.02470487061214,71.42912985693066,74.0950668438746
ENSMUSG00000001151,76.05347509967946,73.9934328824955,79.87256664842467
ENSMUSG00000001155,28.28942225001955,24.075521851301694,27.90243139707607
ENSMUSG00000001156,67.1565944804941,75.33421937299664,70.92486904854977
ENSMUSG00000001157,80.51364240481588,75.97529512938786,80.92408724884685
ENSMUSG00000001158,82.78086154327261,78.09006332577594,84.63763583769838
ENSMUSG00000001166,58.865608631068724,60.80447189430068,57.731999061840355
ENSMUSG00000001168,4.573528262059261,0.0,12.747244156047222
ENSMUSG00000001173,86.99867094050504,88.30036744586037,83.53920725510125
ENSMUSG00000001175,98.86639043077163,98.92111640997577,99.14783832382143
ENSMUSG00000001211,71.18286295051209,72.02720662966148,64.25611758267532
ENSMUSG00000001225,59.74122429833477,58.685794699398016,57.149558283167856
ENSMUSG00000001227,47.033070127433355,47.36142600265812,51.184426549917916
ENSMUSG00000001228,90.19623172543194,86.5256821202408,95.27402079587209
ENSMUSG00000001229,80.0875615667266,80.61918536470957,80.52146040184505
ENSMUSG00000001240,61.86381049175201,72.75428035337347,60.706746931436165
ENSMUSG00000001247,61.480728637323125,66.7930576186381,49.39019623172543
ENSMUSG00000001248,97.67805488233915,95.99327652255492,91.90446407630365
ENSMUSG00000001249,57.2199202564303,68.77491986553045,78.82495504651709
ENSMUSG00000001260,28.367602220311156,13.525134860448754,15.979985927605348
ENSMUSG00000001270,64.81119537174575,67.90712219529357,55.632866859510585
ENSMUSG00000001280,83.16394339770152,83.867563130326,83.57047924321789
ENSMUSG00000001281,83.36330232194513,87.99546556172308,77.16363067782034
ENSMUSG00000001285,84.9972637010398,80.17355953404739,87.45993276522555
ENSMUSG00000001288,59.369869439449616,63.22805097334063,55.73059182237511
ENSMUSG00000001289,96.52099132202329,96.88061918536471,95.27792979438668
ENSMUSG00000001300,42.77617074505511,53.18974278789774,36.35368618559925
ENSMUSG00000001305,83.97701508873426,83.21476037839106,88.24955046517083
ENSMUSG00000001313,54.671253224923774,54.38980533187397,54.99179110311938
ENSMUSG00000001323,71.7027597529513,66.50770072707373,65.76108201078884
ENSMUSG00000001333,38.68735829880385,29.3839418341021,42.86216871237588
ENSMUSG00000001334,60.597294973027914,63.2554139629427,57.845360018763195
ENSMUSG00000001348,55.71495582831678,60.065671175044955,61.92244546947072
ENSMUSG00000001349,29.278398874208428,24.568055664138846,19.462903604096628
ENSMUSG00000001366,89.02353217105777,91.66992416542882,91.23993432882496
ENSMUSG00000001376,78.4184192010007,74.94722852005317,77.31608161988899
ENSMUSG00000001380,91.28293331248534,92.45954186537409,95.5163787037761
ENSMUSG00000001383,96.13009147056523,96.0597294973028,94.70721601125791
ENSMUSG00000001403,79.15721992025642,78.68814009850676,93.69869439449613
ENSMUSG00000001415,75.17004143538425,74.74786959580956,81.04917520131343
ENSMUSG00000001416,98.74130247830506,98.49503557188648,99.00320537878196
ENSMUSG00000001418,89.49652099132203,91.41583926198108,86.75631303260106
ENSMUSG00000001419,84.0512860605113,86.82276600734892,86.16996325541396
ENSMUSG00000001420,52.349308107262914,47.81877882886405,54.002814478930496
ENSMUSG00000001424,93.29606754749433,92.97943866781331,90.63013056055038
