gen_name,microglial cell
ENSMUSG00000000001,94.43785844734228
ENSMUSG00000000003,6.577809105763993
ENSMUSG00000000028,89.83371247316651
ENSMUSG00000000037,41.58149370414277
ENSMUSG00000000049,17.72452020121111
ENSMUSG00000000056,91.80737560475474
ENSMUSG00000000058,61.286085034122586
ENSMUSG00000000078,98.43004069078209
ENSMUSG00000000085,86.11707410848739
ENSMUSG00000000088,83.51863125180225
ENSMUSG00000000093,38.11476722950242
ENSMUSG00000000094,55.144019736631314
ENSMUSG00000000103,17.432956329499216
ENSMUSG00000000120,52.12585306462465
ENSMUSG00000000125,19.7270193201115
ENSMUSG00000000126,9.092947999102881
ENSMUSG00000000127,89.52292460991316
ENSMUSG00000000131,92.20467142994457
ENSMUSG00000000134,95.99179776360899
ENSMUSG00000000142,7.862612540450482
ENSMUSG00000000148,88.16122520906092
ENSMUSG00000000149,93.49908686040177
ENSMUSG00000000154,45.08026016468553
ENSMUSG00000000157,33.00759347665887
ENSMUSG00000000159,22.181282240235813
ENSMUSG00000000167,57.70721860882381
ENSMUSG00000000168,79.56169299285509
ENSMUSG00000000171,86.20037807183365
ENSMUSG00000000182,53.038992662843235
ENSMUSG00000000183,52.02012111114671
ENSMUSG00000000184,60.66130530902566
ENSMUSG00000000194,94.4795104290154
ENSMUSG00000000197,62.7150684053699
ENSMUSG00000000202,53.95854025824228
ENSMUSG00000000204,49.601102175515045
ENSMUSG00000000214,35.05494857582263
ENSMUSG00000000215,19.646919355355482
ENSMUSG00000000216,34.33404889301849
ENSMUSG00000000223,60.212745506391975
ENSMUSG00000000244,79.97500881099612
ENSMUSG00000000247,39.075966806574606
ENSMUSG00000000248,55.97385537150363
ENSMUSG00000000253,90.18294831950274
ENSMUSG00000000263,27.455063919771877
ENSMUSG00000000266,50.475793790650734
ENSMUSG00000000275,86.72583384063311
ENSMUSG00000000276,73.59584761782705
ENSMUSG00000000278,96.071897728365
ENSMUSG00000000282,69.28326551536317
ENSMUSG00000000290,99.37201627631283
ENSMUSG00000000295,66.95395854025824
ENSMUSG00000000296,17.19906443241165
ENSMUSG00000000301,50.421325814616644
ENSMUSG00000000303,47.75239498894621
ENSMUSG00000000305,49.5978981769248
ENSMUSG00000000308,49.940726026080554
ENSMUSG00000000317,62.04543270000962
ENSMUSG00000000318,57.80654256512127
ENSMUSG00000000320,66.9347345487168
ENSMUSG00000000325,89.56778059017654
ENSMUSG00000000326,98.71199256672327
ENSMUSG00000000339,76.76139822498477
ENSMUSG00000000340,77.5752138669059
ENSMUSG00000000346,97.38553715036366
ENSMUSG00000000355,82.65034763384705
ENSMUSG00000000359,22.556150075293967
ENSMUSG00000000365,62.215244625292364
ENSMUSG00000000374,79.23488513665053
ENSMUSG00000000378,89.59020858030823
ENSMUSG00000000381,18.717759764185704
ENSMUSG00000000384,84.41254685847939
ENSMUSG00000000385,44.19595655377911
ENSMUSG00000000386,81.99032392425747
ENSMUSG00000000392,61.37579699464932
ENSMUSG00000000394,28.534811444682965
ENSMUSG00000000399,90.14450033641985
ENSMUSG00000000402,63.448784082535006
ENSMUSG00000000409,53.7630963442376
ENSMUSG00000000411,30.098362756720388
ENSMUSG00000000416,38.111563230912175
ENSMUSG00000000420,88.30860914421199
ENSMUSG00000000435,25.029636986959723
ENSMUSG00000000439,80.11918874755695
ENSMUSG00000000440,46.387491589503696
ENSMUSG00000000441,93.27480695908493
ENSMUSG00000000486,41.84742558713274
ENSMUSG00000000489,90.7949120502387
ENSMUSG00000000530,82.49975970010574
ENSMUSG00000000531,57.91868251577969
ENSMUSG00000000532,70.17718112204031
ENSMUSG00000000538,84.64964275415718
ENSMUSG00000000544,53.359392521867285
ENSMUSG00000000552,85.312870462337
ENSMUSG00000000555,80.25375668834705
ENSMUSG00000000560,68.42138989458844
ENSMUSG00000000561,88.49444106244593
ENSMUSG00000000562,90.63791611931691
ENSMUSG00000000563,97.24456121239307
ENSMUSG00000000567,45.00656819710999
ENSMUSG00000000568,74.82618307647945
ENSMUSG00000000579,84.19467495434301
ENSMUSG00000000581,84.5631347922207
ENSMUSG00000000594,98.56140463298196
ENSMUSG00000000600,97.29902918842716
ENSMUSG00000000605,98.09362083880683
ENSMUSG00000000606,60.74460927237192
ENSMUSG00000000617,45.391048027938865
ENSMUSG00000000627,49.927910031719584
ENSMUSG00000000628,96.52366152958892
ENSMUSG00000000631,94.90243824292718
ENSMUSG00000000632,52.96850469385793
ENSMUSG00000000673,73.08000384479831
ENSMUSG00000000682,91.5126077344526
ENSMUSG00000000686,94.25843452628881
ENSMUSG00000000690,46.88731536958124
ENSMUSG00000000693,77.23238601775016
ENSMUSG00000000701,22.146038255743168
ENSMUSG00000000706,42.65162923328314
ENSMUSG00000000708,73.25622376726155
ENSMUSG00000000711,90.42645221236103
ENSMUSG00000000724,58.812598122456826
ENSMUSG00000000730,27.826727756239787
ENSMUSG00000000731,56.23337925731313
ENSMUSG00000000732,87.79596936977347
ENSMUSG00000000738,77.51433789369133
ENSMUSG00000000739,71.90413636218
ENSMUSG00000000740,98.76646054275736
ENSMUSG00000000743,92.9479991028804
ENSMUSG00000000751,85.10140655538112
ENSMUSG00000000753,85.23917849476146
ENSMUSG00000000759,86.47912594918459
ENSMUSG00000000766,62.71827240396014
ENSMUSG00000000776,69.98173720803564
ENSMUSG00000000782,18.762615744449075
ENSMUSG00000000787,97.03950530261767
ENSMUSG00000000791,64.67271154400692
ENSMUSG00000000792,46.1503956938259
ENSMUSG00000000794,52.19634103360995
ENSMUSG00000000804,79.25090512960175
ENSMUSG00000000805,8.359232321937778
ENSMUSG00000000811,62.20883662811188
ENSMUSG00000000817,24.360001281599438
ENSMUSG00000000823,77.36374995995001
ENSMUSG00000000826,96.66143346896928
ENSMUSG00000000827,92.28477139470058
ENSMUSG00000000838,78.95934125788985
ENSMUSG00000000861,61.35657300310788
ENSMUSG00000000869,26.24074845407068
ENSMUSG00000000876,80.99388036269264
ENSMUSG00000000881,58.56268623241806
ENSMUSG00000000884,66.87065457691197
ENSMUSG00000000889,36.80112780750376
ENSMUSG00000000901,62.83361635320881
ENSMUSG00000000902,89.67030854506423
ENSMUSG00000000903,21.18483867867098
ENSMUSG00000000915,63.88773188939797
ENSMUSG00000000916,77.97571369068598
ENSMUSG00000000934,64.9546634199481
ENSMUSG00000000938,18.23075197846913
ENSMUSG00000000942,6.542565121271347
ENSMUSG00000000948,59.5206818109
ENSMUSG00000000957,81.59943609624811
ENSMUSG00000000958,96.33462561276474
ENSMUSG00000000959,93.80346672647464
ENSMUSG00000000976,88.02345326968056
ENSMUSG00000000982,98.92345647367915
ENSMUSG00000000983,25.28275287558873
ENSMUSG00000001014,39.94425042452981
ENSMUSG00000001016,91.78494761462305
ENSMUSG00000001017,93.00246707891449
ENSMUSG00000001018,94.30329050655217
ENSMUSG00000001020,45.91009579955785
ENSMUSG00000001021,3.521194450674442
ENSMUSG00000001025,46.46118355707923
ENSMUSG00000001027,25.670436705007848
ENSMUSG00000001029,55.52849956746019
ENSMUSG00000001034,79.35984108166993
ENSMUSG00000001036,83.20463938995867
ENSMUSG00000001039,57.62071064688732
ENSMUSG00000001052,93.51510685335298
ENSMUSG00000001053,42.4433693249175
ENSMUSG00000001054,84.48303482746468
ENSMUSG00000001056,77.4021979430329
ENSMUSG00000001062,93.63685879978213
ENSMUSG00000001065,86.94370574476947
ENSMUSG00000001076,30.396334625612763
ENSMUSG00000001082,87.94976130210502
ENSMUSG00000001089,81.47448015122873
ENSMUSG00000001095,39.36432667969626
ENSMUSG00000001098,78.19358559482234
ENSMUSG00000001100,90.04197238153215
