gen_name,intestinal epithelial cell
ENSMUSG00000000001,91.02330869812394
ENSMUSG00000000028,57.54974417282547
ENSMUSG00000000037,18.209209778283114
ENSMUSG00000000049,22.9107447413303
ENSMUSG00000000056,69.05628197839681
ENSMUSG00000000058,37.52131893121092
ENSMUSG00000000078,91.51790790221716
ENSMUSG00000000085,51.512222853894265
ENSMUSG00000000088,99.16998294485502
ENSMUSG00000000120,13.683911313246163
ENSMUSG00000000125,39.55088118249005
ENSMUSG00000000126,15.014212620807276
ENSMUSG00000000127,53.877202956225126
ENSMUSG00000000131,71.49516770892552
ENSMUSG00000000134,52.99602046617397
ENSMUSG00000000142,50.903922683342806
ENSMUSG00000000148,39.68732234223991
ENSMUSG00000000149,44.530983513359864
ENSMUSG00000000154,59.65321205230244
ENSMUSG00000000159,74.96873223422399
ENSMUSG00000000167,35.474701534963046
ENSMUSG00000000168,87.99886299033541
ENSMUSG00000000171,98.15804434337691
ENSMUSG00000000184,98.36270608300171
ENSMUSG00000000194,73.29164297896533
ENSMUSG00000000197,8.442296759522456
ENSMUSG00000000202,34.616259238203526
ENSMUSG00000000214,22.43888573052871
ENSMUSG00000000215,68.54462762933485
ENSMUSG00000000223,1.4553723706651507
ENSMUSG00000000247,1.6600341102899374
ENSMUSG00000000248,2.501421262080728
ENSMUSG00000000253,40.034110289937466
ENSMUSG00000000263,14.28084138715179
ENSMUSG00000000266,36.61739624786811
ENSMUSG00000000275,75.42353610005685
ENSMUSG00000000276,34.3376918703809
ENSMUSG00000000278,75.63388288800455
ENSMUSG00000000282,45.32689027856737
ENSMUSG00000000295,87.33939738487777
ENSMUSG00000000296,58.573052870949404
ENSMUSG00000000301,47.00966458214894
ENSMUSG00000000303,95.09380329732802
ENSMUSG00000000305,24.610574189880612
ENSMUSG00000000308,97.30528709494031
ENSMUSG00000000317,22.626492325184763
ENSMUSG00000000320,3.911313246162593
ENSMUSG00000000325,50.96645821489483
ENSMUSG00000000326,92.5923820352473
ENSMUSG00000000339,80.0511654349062
ENSMUSG00000000340,75.8214894826606
ENSMUSG00000000346,95.0824332006822
ENSMUSG00000000355,87.99317794201251
ENSMUSG00000000365,26.185332575326893
ENSMUSG00000000374,59.727117680500285
ENSMUSG00000000378,73.40534394542354
ENSMUSG00000000384,77.40761796475269
ENSMUSG00000000385,83.05855599772597
ENSMUSG00000000392,27.106310403638428
ENSMUSG00000000394,83.32575326890279
ENSMUSG00000000399,95.60545764639
ENSMUSG00000000402,23.115406480955087
ENSMUSG00000000409,38.81182490051165
ENSMUSG00000000416,33.39397384877771
ENSMUSG00000000420,84.49118817509948
ENSMUSG00000000439,62.77430358158045
ENSMUSG00000000440,52.44457077885162
ENSMUSG00000000441,84.11028993746447
ENSMUSG00000000486,40.238772029562256
ENSMUSG00000000489,44.79249573621375
ENSMUSG00000000530,26.9300739056282
ENSMUSG00000000531,24.65036952814099
ENSMUSG00000000532,66.75383740761797
ENSMUSG00000000538,52.166003411028996
ENSMUSG00000000544,89.1586128482092
ENSMUSG00000000552,20.261512222853895
ENSMUSG00000000555,26.822057987492894
ENSMUSG00000000560,25.70210346787948
ENSMUSG00000000561,86.1398521887436
ENSMUSG00000000562,13.371233655486073
ENSMUSG00000000563,98.85730528709495
ENSMUSG00000000567,86.67993177942013
ENSMUSG00000000568,88.96532120523024
ENSMUSG00000000579,94.90051165434906
ENSMUSG00000000581,94.22399090392268
ENSMUSG00000000594,41.642978965321205
ENSMUSG00000000600,80.3695281409892
ENSMUSG00000000605,79.96020466173962
ENSMUSG00000000606,14.383172256964183
ENSMUSG00000000628,69.38601478112564
ENSMUSG00000000631,64.80386583285957
ENSMUSG00000000632,22.870949403069925
ENSMUSG00000000673,7.549744172825469
ENSMUSG00000000682,9.459920409323479
ENSMUSG00000000686,35.594087549744174
ENSMUSG00000000690,24.36043206367254
ENSMUSG00000000693,8.77771461057419
ENSMUSG00000000708,49.27231381466742
ENSMUSG00000000711,60.54576463899943
ENSMUSG00000000731,1.4269471290505968
ENSMUSG00000000732,20.557134735645253
ENSMUSG00000000738,71.10289937464468
ENSMUSG00000000739,17.64638999431495
ENSMUSG00000000740,99.95451961341672
ENSMUSG00000000743,87.32234223990903
ENSMUSG00000000751,75.53723706651506
ENSMUSG00000000753,18.192154633314384
ENSMUSG00000000759,64.98010233086981
ENSMUSG00000000776,74.06480955088118
ENSMUSG00000000782,26.11142694712905
ENSMUSG00000000787,95.43490619670267
ENSMUSG00000000791,1.22228538942581
ENSMUSG00000000792,10.76179647527004
ENSMUSG00000000804,53.996588971006254
ENSMUSG00000000811,40.54576463899943
ENSMUSG00000000823,47.85673678226265
ENSMUSG00000000826,86.03752131893121
ENSMUSG00000000827,88.19215463331437
ENSMUSG00000000838,77.70324047754406
ENSMUSG00000000861,73.84877771461056
ENSMUSG00000000876,78.59010801591813
ENSMUSG00000000881,53.72370665150654
ENSMUSG00000000884,48.11824900511654
ENSMUSG00000000901,26.367254121660032
ENSMUSG00000000902,90.22171688459352
ENSMUSG00000000915,80.7959067652075
ENSMUSG00000000916,60.574189880613986
ENSMUSG00000000934,63.763501989766915
ENSMUSG00000000938,18.7833996588971
ENSMUSG00000000942,27.873791927231384
ENSMUSG00000000948,37.606594656054575
ENSMUSG00000000957,67.79420125071063
ENSMUSG00000000958,86.88459351904491
ENSMUSG00000000959,85.78169414440022
ENSMUSG00000000976,67.07220011370096
ENSMUSG00000000983,23.314383172256964
ENSMUSG00000001014,10.591245025582717
ENSMUSG00000001016,98.78908470722001
ENSMUSG00000001017,90.54007959067653
ENSMUSG00000001018,78.23194997157475
ENSMUSG00000001020,1.137009664582149
ENSMUSG00000001023,74.38317225696419
ENSMUSG00000001025,98.57873791927231
ENSMUSG00000001034,49.77259806708357
ENSMUSG00000001036,51.27913587265491
ENSMUSG00000001039,66.84479818078454
ENSMUSG00000001052,68.56168277430358
ENSMUSG00000001053,54.92893689596362
ENSMUSG00000001054,64.13303013075611
ENSMUSG00000001056,96.8732234223991
ENSMUSG00000001062,51.216600341102904
ENSMUSG00000001065,41.540648095508814
ENSMUSG00000001076,12.438885730528709
ENSMUSG00000001082,75.42922114837977
ENSMUSG00000001089,86.3956793632746
ENSMUSG00000001095,30.3695281409892
ENSMUSG00000001098,73.95679363274587
ENSMUSG00000001100,90.03411028993746
ENSMUSG00000001105,92.52416145537237
ENSMUSG00000001119,36.85048322910745
ENSMUSG00000001120,37.41898806139852
ENSMUSG00000001123,83.72370665150653
ENSMUSG00000001127,84.47981807845368
ENSMUSG00000001128,18.40250142126208
ENSMUSG00000001131,32.12052302444571
ENSMUSG00000001134,80.77316657191587
ENSMUSG00000001138,48.41955656623082
ENSMUSG00000001143,67.6691301876066
ENSMUSG00000001150,53.763501989766915
ENSMUSG00000001151,69.19840818646958
ENSMUSG00000001156,57.00966458214894
ENSMUSG00000001157,67.34508243320069
ENSMUSG00000001158,90.98351335986355
ENSMUSG00000001166,27.53837407617965
ENSMUSG00000001173,61.00056850483229
ENSMUSG00000001175,99.51108584422967
ENSMUSG00000001211,74.41159749857874
ENSMUSG00000001225,77.6691301876066
ENSMUSG00000001227,22.740193291642978
ENSMUSG00000001228,85.36668561682774
ENSMUSG00000001229,67.68050028425242
ENSMUSG00000001240,82.37066515065378
ENSMUSG00000001247,94.98578737919271
ENSMUSG00000001248,39.55656623081296
ENSMUSG00000001249,78.4138715179079
ENSMUSG00000001270,97.97612279704377
ENSMUSG00000001280,68.79476975554292
ENSMUSG00000001281,40.5287094940307
ENSMUSG00000001285,78.13530415008528
ENSMUSG00000001288,27.998862990335414
ENSMUSG00000001289,97.54974417282547
ENSMUSG00000001300,60.994883456509385
ENSMUSG00000001305,86.90164866401363
ENSMUSG00000001313,58.038658328595794
ENSMUSG00000001323,49.85218874360432
ENSMUSG00000001334,30.233086981239342
ENSMUSG00000001348,87.13473564525299
ENSMUSG00000001349,52.12052302444571
ENSMUSG00000001366,83.9169982944855
ENSMUSG00000001376,69.76691301876066
ENSMUSG00000001380,81.51222285389426
ENSMUSG00000001383,89.5736213757817
ENSMUSG00000001403,95.95793064241046
ENSMUSG00000001415,70.75042637862423
ENSMUSG00000001416,96.6685616827743
ENSMUSG00000001418,89.94314951677089
ENSMUSG00000001419,66.59465605457646
ENSMUSG00000001420,63.99090392268334
ENSMUSG00000001424,83.63274587833996
ENSMUSG00000001435,38.59010801591813
ENSMUSG00000001436,82.9619101762365
ENSMUSG00000001440,93.09266628766345
ENSMUSG00000001441,93.05855599772597
ENSMUSG00000001445,84.17282546901649
ENSMUSG00000001467,87.3564525298465
ENSMUSG00000001472,93.77487208641273
ENSMUSG00000001473,38.40818646958499
ENSMUSG00000001482,57.077885162023875
ENSMUSG00000001506,51.77942012507106
ENSMUSG00000001507,60.64809550881183
ENSMUSG00000001517,51.64866401364412
ENSMUSG00000001518,66.8277430358158
ENSMUSG00000001520,18.732234223990904
ENSMUSG00000001521,56.07163160886868
ENSMUSG00000001524,74.55372370665151
ENSMUSG00000001525,98.48777714610574
ENSMUSG00000001542,44.92325184764071
ENSMUSG00000001552,90.11370096645821
ENSMUSG00000001555,25.190449118817508
ENSMUSG00000001558,23.240477544059125
ENSMUSG00000001566,35.690733371233655
ENSMUSG00000001569,83.47356452529846
ENSMUSG00000001576,82.08641273450824
ENSMUSG00000001583,67.00966458214896
ENSMUSG00000001604,84.56509380329733
ENSMUSG00000001627,69.77259806708356
ENSMUSG00000001630,56.651506537805574
ENSMUSG00000001632,64.82660602615123
ENSMUSG00000001642,87.22001137009666
ENSMUSG00000001661,9.323479249573621
ENSMUSG00000001663,61.71688459351905
ENSMUSG00000001665,74.36043206367255
ENSMUSG00000001666,91.01762364980102
ENSMUSG00000001672,68.06139852188744
ENSMUSG00000001674,92.39340534394542
ENSMUSG00000001687,88.37407617964753
ENSMUSG00000001700,79.13018760659466
ENSMUSG00000001707,91.09152927799886
ENSMUSG00000001729,89.39169982944854
ENSMUSG00000001739,81.5349630471859
ENSMUSG00000001750,66.8732234223991
ENSMUSG00000001751,45.32120523024445
ENSMUSG00000001755,74.11028993746447
ENSMUSG00000001761,52.68334280841387
ENSMUSG00000001763,32.2228538942581
ENSMUSG00000001767,72.52984650369528
ENSMUSG00000001768,45.906765207504264
ENSMUSG00000001774,80.4263786242183
ENSMUSG00000001783,89.67595224559409
ENSMUSG00000001785,71.08584422967596
ENSMUSG00000001786,57.1404206935759
ENSMUSG00000001794,93.78624218305856
ENSMUSG00000001802,21.15406480955088
ENSMUSG00000001827,91.31324616259239
ENSMUSG00000001829,70.59693007390563
ENSMUSG00000001833,92.68902785673679
ENSMUSG00000001844,69.80670835702102
ENSMUSG00000001847,92.18305855599772
ENSMUSG00000001855,66.1455372370665
ENSMUSG00000001864,32.63217737350767
ENSMUSG00000001870,22.347924957362135
ENSMUSG00000001891,90.2046617396248
ENSMUSG00000001901,25.821489482660603
ENSMUSG00000001909,81.97271176805003
ENSMUSG00000001910,57.31665719158613
ENSMUSG00000001911,23.263217737350768
ENSMUSG00000001918,76.242183058556
ENSMUSG00000001924,91.22797043774872
ENSMUSG00000001930,18.87436043206367
ENSMUSG00000001942,52.14326321773734
ENSMUSG00000001943,46.79931779420125
ENSMUSG00000001946,18.584422967595223
ENSMUSG00000001948,42.382035247299605
ENSMUSG00000001962,79.23820352472995
ENSMUSG00000001964,87.0892552586697
ENSMUSG00000001983,54.081864695849916
ENSMUSG00000001986,27.345082433200684
ENSMUSG00000001995,46.67993177942012
ENSMUSG00000001998,41.92154633314383
ENSMUSG00000001999,81.62023877202957
ENSMUSG00000002006,24.150085275724845
ENSMUSG00000002007,7.09494030699261
ENSMUSG00000002010,94.40591245025583
ENSMUSG00000002012,33.030130756111426
ENSMUSG00000002014,98.11824900511654
ENSMUSG00000002015,94.76975554292211
ENSMUSG00000002017,66.36156907333712
ENSMUSG00000002020,14.860716316088688
ENSMUSG00000002028,74.16714042069358
ENSMUSG00000002031,64.50824332006823
ENSMUSG00000002032,32.51279135872655
ENSMUSG00000002033,20.187606594656053
ENSMUSG00000002043,94.65036952814098
ENSMUSG00000002052,72.3308698123934
ENSMUSG00000002055,55.28709494030699
ENSMUSG00000002058,63.030130756111426
ENSMUSG00000002059,51.83058555997726
ENSMUSG00000002064,87.85673678226264
ENSMUSG00000002068,61.750994883456514
ENSMUSG00000002076,9.505400795906766
ENSMUSG00000002083,42.490051165434906
ENSMUSG00000002102,93.66117111995452
ENSMUSG00000002103,56.85616827743036
ENSMUSG00000002104,9.755542922114838
ENSMUSG00000002105,39.749857873791925
ENSMUSG00000002107,71.76236498010233
