gen_name,bone marrow cell
ENSG00000000003,69.28950747978203
ENSG00000000419,82.84682933601749
ENSG00000000457,75.3184547568637
ENSG00000000460,71.97945229252716
ENSG00000000938,65.57911908646004
ENSG00000000971,90.02464336538128
ENSG00000001036,76.4707924056784
ENSG00000001084,85.6756100100656
ENSG00000001167,84.90160008330152
ENSG00000001460,74.64510082954428
ENSG00000001461,91.39217659921557
ENSG00000001497,84.32196036236161
ENSG00000001561,71.24709312415398
ENSG00000001617,15.705806809898998
ENSG00000001626,58.01256464544792
ENSG00000001629,88.70223178647045
ENSG00000001630,89.8337440560897
ENSG00000001631,85.60619207941411
ENSG00000002016,90.11835757176078
ENSG00000002079,37.15594738120856
ENSG00000002330,60.26864739162126
ENSG00000002549,89.8198604699594
ENSG00000002586,96.66793932872861
ENSG00000002587,54.451424803026626
ENSG00000002726,42.75450348825102
ENSG00000002745,16.74707576967131
ENSG00000002746,60.4387213217174
ENSG00000002822,69.1576134115442
ENSG00000002834,80.13605914407691
ENSG00000002919,68.73416403457013
ENSG00000002933,47.12089132622956
ENSG00000003056,95.4913054041859
ENSG00000003096,58.588733469855256
ENSG00000003137,37.31907951823956
ENSG00000003147,84.25948422477526
ENSG00000003249,44.208809135399676
ENSG00000003393,90.94443094651349
ENSG00000003400,87.54989413765576
ENSG00000003402,98.25760994064767
ENSG00000003436,98.92055117836938
ENSG00000003509,80.72611155461456
ENSG00000003756,97.91746208045538
ENSG00000003987,60.823990836833154
ENSG00000003989,42.9870535559335
ENSG00000004059,69.19926416993509
ENSG00000004139,64.7565166082399
ENSG00000004142,71.49005588143417
ENSG00000004399,69.22356044566311
ENSG00000004455,92.72500086772413
ENSG00000004468,92.88813300475512
ENSG00000004478,77.35934191801742
ENSG00000004487,91.18045191072855
ENSG00000004534,98.15001214813786
ENSG00000004660,66.21082225538856
ENSG00000004700,83.66249002117246
ENSG00000004766,76.70681336989344
ENSG00000004776,26.16708895907813
ENSG00000004777,38.37770296067474
ENSG00000004779,86.94942903752039
ENSG00000004799,50.13362951650411
ENSG00000004809,79.26139321786818
ENSG00000004838,40.231161709069454
ENSG00000004846,56.31182534448648
ENSG00000004848,33.16788726528062
ENSG00000004864,77.66478081288398
ENSG00000004866,93.72461906910556
ENSG00000004897,88.02540696261845
ENSG00000004939,70.53555933497623
ENSG00000004948,9.305473603831869
ENSG00000004961,63.25014751310264
ENSG00000004975,61.18496407622088
ENSG00000005007,64.24629481795148
ENSG00000005020,90.52098156953942
ENSG00000005022,99.42036027906008
ENSG00000005059,66.57873728784145
ENSG00000005073,16.597827218770608
ENSG00000005075,80.2054770747284
ENSG00000005100,89.10485578424907
ENSG00000005102,8.57311443545868
ENSG00000005108,55.884905070979826
ENSG00000005156,75.52670854881815
ENSG00000005175,82.63857554406303
ENSG00000005187,95.19975009544966
ENSG00000005189,81.6007774808233
ENSG00000005194,90.13224115789107
ENSG00000005206,62.76075110200965
ENSG00000005238,63.4861684773177
ENSG00000005243,32.6160147166013
ENSG00000005249,88.96949081947866
ENSG00000005302,86.08170490437679
ENSG00000005339,93.21092638228454
ENSG00000005379,74.13140814272326
ENSG00000005381,99.31276248655027
ENSG00000005421,44.479539064940475
ENSG00000005436,77.80708757071952
ENSG00000005448,83.9158654680504
ENSG00000005469,68.36971989864982
ENSG00000005471,37.87442296345146
ENSG00000005483,98.42421297421123
ENSG00000005486,67.6130644545486
ENSG00000005700,93.28034431293604
ENSG00000005801,93.82527506855021
ENSG00000005810,98.21595918225677
ENSG00000005812,88.4106764777342
ENSG00000005844,84.90854187636666
ENSG00000005882,70.29953837076117
ENSG00000005884,63.88879247509631
ENSG00000005889,97.43847835896013
ENSG00000005893,96.64017215646801
ENSG00000005961,80.46579431467148
ENSG00000005981,71.54906112248793
ENSG00000006007,83.50977057373919
ENSG00000006015,72.7048696678352
ENSG00000006016,28.582832945749885
ENSG00000006025,69.35892541043351
ENSG00000006042,75.682898892784
ENSG00000006047,24.778730346048384
ENSG00000006062,56.763041893721145
ENSG00000006071,61.400159661240494
ENSG00000006116,35.92725000867724
ENSG00000006118,54.91305404185901
ENSG00000006125,92.01693797507896
ENSG00000006128,11.533789177744612
ENSG00000006194,72.28489118739371
ENSG00000006210,55.5378154177224
ENSG00000006282,70.79934747145188
ENSG00000006283,53.215785637430145
ENSG00000006327,43.04952969351984
ENSG00000006377,32.8589774738815
ENSG00000006432,54.9963555586408
ENSG00000006451,75.62389365173024
ENSG00000006453,56.70403665266739
ENSG00000006459,72.41331435909896
ENSG00000006468,37.1247093124154
ENSG00000006530,91.70108639061469
ENSG00000006534,69.23050223872826
ENSG00000006555,56.05497900107598
ENSG00000006576,78.35896011939884
ENSG00000006606,5.261879143382736
ENSG00000006607,70.08434278574155
ENSG00000006611,18.23956127867828
ENSG00000006625,89.39294019645274
ENSG00000006634,88.88618930269688
ENSG00000006638,61.58064628093437
ENSG00000006652,91.64208114956092
ENSG00000006659,38.81850682031169
ENSG00000006695,85.65825552740273
ENSG00000006704,65.85331991253341
ENSG00000006712,66.37395439241956
ENSG00000006715,88.97296171601124
ENSG00000006740,51.82395612786783
ENSG00000006744,76.07511020096491
ENSG00000006747,75.91544896046649
ENSG00000006756,84.5267432577835
ENSG00000006757,74.90541806948735
ENSG00000006788,62.35465620769845
ENSG00000006831,90.52792336260455
ENSG00000006837,64.22199854222346
ENSG00000007001,44.84051230432821
ENSG00000007038,57.1483114088369
ENSG00000007047,65.64506612057895
ENSG00000007062,92.67293741973552
ENSG00000007080,68.34195272638922
ENSG00000007129,55.992502863489634
ENSG00000007168,92.16965742251223
ENSG00000007171,19.01704210197494
ENSG00000007174,73.89191628197564
ENSG00000007202,85.75196973378225
ENSG00000007216,11.901704210197494
ENSG00000007237,72.77081670195412
ENSG00000007255,77.93551074242477
ENSG00000007264,59.53975911978064
ENSG00000007306,26.316337509978826
ENSG00000007312,96.30002429627574
ENSG00000007314,36.15285828329458
ENSG00000007341,77.70990246780744
ENSG00000007350,43.83048141334907
ENSG00000007372,64.57602998854604
ENSG00000007376,63.89920516469404
ENSG00000007384,52.02873902328972
ENSG00000007392,89.02849606053243
ENSG00000007402,33.49415153934262
ENSG00000007516,27.673458054215406
ENSG00000007520,52.452188400263786
ENSG00000007541,58.10627885182743
ENSG00000007545,68.53285203568082
ENSG00000007866,46.8189233278956
ENSG00000007908,20.214501405713094
ENSG00000007923,72.03151574051577
ENSG00000007933,52.320294332025966
ENSG00000007944,87.61584117177466
ENSG00000007952,37.548158689389474
ENSG00000007968,92.78747700531046
ENSG00000008018,98.14654125160529
ENSG00000008056,18.885148033737114
ENSG00000008083,95.49824719725105
ENSG00000008086,86.11294297316996
ENSG00000008118,34.34452118982333
ENSG00000008128,79.1503245288258
ENSG00000008130,70.78893478185415
ENSG00000008196,18.871264447606816
ENSG00000008197,27.1458817812641
ENSG00000008226,62.79198917080282
ENSG00000008256,55.4302176252126
ENSG00000008277,63.67359689007671
ENSG00000008282,96.74082815591267
ENSG00000008283,68.3454236229218
ENSG00000008294,92.83954045329908
ENSG00000008300,30.057963972093994
ENSG00000008311,93.76974072402902
ENSG00000008323,48.9708791780917
ENSG00000008324,83.75620422755198
ENSG00000008382,57.78695637083059
ENSG00000008394,90.94790184304607
ENSG00000008405,67.3562181111381
ENSG00000008438,30.068376661691715
ENSG00000008441,56.7422165145257
ENSG00000008513,87.64707924056783
ENSG00000008516,39.717469022248444
ENSG00000008517,72.52438304814135
ENSG00000008710,77.60577557183021
ENSG00000008735,55.471868383603486
ENSG00000008838,72.95824511471312
ENSG00000008853,49.442921106521815
ENSG00000008869,93.64825934538892
ENSG00000008952,95.2761098191663
ENSG00000008988,99.47589462358127
ENSG00000009307,98.86154593731561
ENSG00000009335,77.11290826420465
ENSG00000009413,96.4943945020999
ENSG00000009694,40.25892888133005
ENSG00000009709,4.418451285967166
ENSG00000009724,52.28558536670022
ENSG00000009765,64.07622088785533
ENSG00000009780,95.28652250876402
ENSG00000009790,84.64128284335844
ENSG00000009830,71.49352677796675
ENSG00000009844,91.80521328659192
ENSG00000009950,52.26823088403735
ENSG00000009954,95.60931588629343
ENSG00000010017,94.22789906632883
ENSG00000010030,37.48221165527056
ENSG00000010072,66.54749921904828
ENSG00000010165,76.34236923397314
ENSG00000010219,75.38787268751518
ENSG00000010244,99.0802124188678
ENSG00000010256,95.72385547186838
ENSG00000010270,84.89812918676894
ENSG00000010278,88.36208392627816
ENSG00000010282,10.318975391343583
