gen_name,cardiac non-myocyte
ENSMUSG00000000001,89.61879009596522
ENSMUSG00000000028,30.247600869519115
ENSMUSG00000000037,20.046657123164202
ENSMUSG00000000049,12.61332909177668
ENSMUSG00000000056,62.918190976088226
ENSMUSG00000000058,92.72573034303589
ENSMUSG00000000078,98.36700068925296
ENSMUSG00000000085,73.299400880123
ENSMUSG00000000088,96.36286517151794
ENSMUSG00000000093,65.6805047452415
ENSMUSG00000000094,15.842214092571973
ENSMUSG00000000120,41.948995281268225
ENSMUSG00000000126,46.85329515932347
ENSMUSG00000000127,69.40247070674937
ENSMUSG00000000131,65.78124171570967
ENSMUSG00000000134,75.29293250622977
ENSMUSG00000000142,34.685329515932345
ENSMUSG00000000148,40.14633370446954
ENSMUSG00000000149,76.59721117650177
ENSMUSG00000000154,31.57308732304756
ENSMUSG00000000159,7.454535814643974
ENSMUSG00000000167,24.526801336090344
ENSMUSG00000000168,71.06197974656699
ENSMUSG00000000171,86.72922962727321
ENSMUSG00000000184,95.85387837336302
ENSMUSG00000000194,87.93277132707703
ENSMUSG00000000197,35.3957902550236
ENSMUSG00000000202,14.16679921531202
ENSMUSG00000000204,25.51296325751551
ENSMUSG00000000215,15.895233550713112
ENSMUSG00000000223,28.641111287842634
ENSMUSG00000000244,52.18705264832193
ENSMUSG00000000253,39.91835003446265
ENSMUSG00000000263,24.29881766608345
ENSMUSG00000000266,50.04506653941997
ENSMUSG00000000275,69.54032129791634
ENSMUSG00000000276,39.828216955622715
ENSMUSG00000000278,85.40374317374476
ENSMUSG00000000282,54.86453528444939
ENSMUSG00000000290,68.02926674089392
ENSMUSG00000000295,60.19299082763374
ENSMUSG00000000296,20.640475054344947
ENSMUSG00000000301,28.50326069667568
ENSMUSG00000000303,10.614495519855788
ENSMUSG00000000305,15.767986851174381
ENSMUSG00000000317,50.91988759874874
ENSMUSG00000000318,52.764964742060336
ENSMUSG00000000320,34.48915752081014
ENSMUSG00000000325,47.235035257939664
ENSMUSG00000000326,96.35226127988972
ENSMUSG00000000339,66.68787444992313
ENSMUSG00000000340,57.11256030963363
ENSMUSG00000000346,95.14341763427177
ENSMUSG00000000355,86.11950585865013
ENSMUSG00000000359,86.02407083399608
ENSMUSG00000000365,12.40125125921213
ENSMUSG00000000374,49.77996924871428
ENSMUSG00000000378,78.9141614972695
ENSMUSG00000000384,47.24033720375378
ENSMUSG00000000386,31.44053867769471
ENSMUSG00000000392,74.28026085573406
ENSMUSG00000000399,84.77811356767934
ENSMUSG00000000402,11.563543820582153
ENSMUSG00000000409,41.84295636498595
ENSMUSG00000000416,35.63437781665871
ENSMUSG00000000420,85.33481787816129
ENSMUSG00000000439,61.757064842797305
ENSMUSG00000000440,50.66009225385717
ENSMUSG00000000441,84.44939292720429
ENSMUSG00000000486,69.77890885955146
ENSMUSG00000000489,60.66486400508987
ENSMUSG00000000530,93.93987593446795
ENSMUSG00000000531,81.15688457663963
ENSMUSG00000000532,43.36991675945072
ENSMUSG00000000538,62.053973808387674
ENSMUSG00000000552,87.86384603149355
ENSMUSG00000000555,75.31944223530036
ENSMUSG00000000560,22.7771592174328
ENSMUSG00000000561,68.1034939822915
ENSMUSG00000000562,18.344732516833677
ENSMUSG00000000563,96.85064418641642
ENSMUSG00000000567,89.87328349504267
ENSMUSG00000000568,83.33598430624039
ENSMUSG00000000579,89.75664068713218
ENSMUSG00000000581,92.38640581093262
ENSMUSG00000000594,92.60378558931129
ENSMUSG00000000600,92.29627273209267
ENSMUSG00000000605,88.72806319919411
ENSMUSG00000000606,31.13832776629023
ENSMUSG00000000627,27.840517469911457
ENSMUSG00000000628,55.06600922538571
ENSMUSG00000000631,64.8693070356821
ENSMUSG00000000632,16.674619585387838
ENSMUSG00000000673,26.780128307088702
ENSMUSG00000000682,96.74460527013414
ENSMUSG00000000686,25.87879751868936
ENSMUSG00000000693,72.71618684057049
ENSMUSG00000000706,7.724935051163777
ENSMUSG00000000708,75.79131541275648
ENSMUSG00000000711,81.55983245851228
ENSMUSG00000000724,1.0073697046816181
ENSMUSG00000000730,38.02555537882403
ENSMUSG00000000732,73.77127405757913
ENSMUSG00000000738,71.66109962356185
ENSMUSG00000000739,55.447749324001904
