gen_name,keratinocyte
ENSMUSG00000000001,88.21573881115411
ENSMUSG00000000028,64.1559988091694
ENSMUSG00000000037,42.6168502530515
ENSMUSG00000000049,7.41292051205716
ENSMUSG00000000056,76.18338791306937
ENSMUSG00000000058,90.3542721047931
ENSMUSG00000000078,89.58519400615262
ENSMUSG00000000085,67.62925473851344
ENSMUSG00000000088,98.55115609804506
ENSMUSG00000000093,19.802520591445866
ENSMUSG00000000120,46.452317157884295
ENSMUSG00000000125,91.20273891039
ENSMUSG00000000126,11.779299394661109
ENSMUSG00000000127,70.00595415302173
ENSMUSG00000000131,71.76739108861764
ENSMUSG00000000134,62.13158678178029
ENSMUSG00000000142,65.27736429492904
ENSMUSG00000000148,45.09278555125533
ENSMUSG00000000149,51.701895405378586
ENSMUSG00000000154,62.25563163639972
ENSMUSG00000000167,46.50689689391684
ENSMUSG00000000168,80.44060732360822
ENSMUSG00000000171,93.63401806093083
ENSMUSG00000000184,98.90840527934901
ENSMUSG00000000194,88.64245311104494
ENSMUSG00000000197,13.917832688300088
ENSMUSG00000000202,12.40448546194304
ENSMUSG00000000214,16.398729780688697
ENSMUSG00000000215,54.45072938374517
ENSMUSG00000000216,24.83377989480996
ENSMUSG00000000223,12.052198074823856
ENSMUSG00000000244,22.82425324997519
ENSMUSG00000000247,65.38156197280937
ENSMUSG00000000248,44.12523568522378
ENSMUSG00000000253,41.93708444973703
ENSMUSG00000000263,24.972710131983725
ENSMUSG00000000266,55.254540041679064
ENSMUSG00000000275,57.37818795276372
ENSMUSG00000000276,44.51721742582117
ENSMUSG00000000278,62.10181601667163
ENSMUSG00000000282,58.320928847871386
ENSMUSG00000000290,14.513247990473355
ENSMUSG00000000295,90.85541331745559
ENSMUSG00000000296,59.91862657536965
ENSMUSG00000000301,50.84350501141213
ENSMUSG00000000303,89.5703086235983
ENSMUSG00000000305,41.247395058052994
ENSMUSG00000000308,98.60077403989283
ENSMUSG00000000317,32.45013396844299
ENSMUSG00000000318,7.571697925970031
ENSMUSG00000000320,49.126724223479215
ENSMUSG00000000325,63.426615064007144
ENSMUSG00000000326,93.22218914359432
ENSMUSG00000000339,80.43564552942344
ENSMUSG00000000340,66.5078892527538
ENSMUSG00000000346,92.76570407859482
ENSMUSG00000000355,91.80807780093282
ENSMUSG00000000365,26.99712215937283
ENSMUSG00000000374,72.26357050709537
ENSMUSG00000000378,75.2158380470378
ENSMUSG00000000384,72.38265356753001
ENSMUSG00000000385,10.002977076510867
ENSMUSG00000000386,22.50173662796467
ENSMUSG00000000392,9.382752803413714
ENSMUSG00000000399,96.27369256723232
ENSMUSG00000000402,62.86097052694254
ENSMUSG00000000409,41.36647811848764
ENSMUSG00000000416,47.45956137739407
ENSMUSG00000000420,78.03909893817604
ENSMUSG00000000439,73.76203235089808
ENSMUSG00000000440,56.24193708444973
ENSMUSG00000000441,79.5722933412722
ENSMUSG00000000486,64.03195395454998
ENSMUSG00000000489,55.44308822070061
ENSMUSG00000000530,45.13744169891833
ENSMUSG00000000531,45.76262776620026
ENSMUSG00000000532,59.467103304554925
ENSMUSG00000000538,58.281234494393175
ENSMUSG00000000544,13.635010419767788
ENSMUSG00000000552,77.33452416393767
ENSMUSG00000000555,42.07105289272601
ENSMUSG00000000560,29.70626178426119
ENSMUSG00000000561,86.30048625583011
ENSMUSG00000000562,18.715887664979658
ENSMUSG00000000563,98.80916939565347
ENSMUSG00000000567,87.44666071251365
ENSMUSG00000000568,91.4409050312593
ENSMUSG00000000579,86.88597796963381
ENSMUSG00000000581,95.38056961397241
ENSMUSG00000000594,63.843405775528424
ENSMUSG00000000600,87.84856604148061
