gen_name,aortic endothelial cell
ENSMUSG00000000001,82.76384839650146
ENSMUSG00000000028,28.530612244897956
ENSMUSG00000000037,10.489795918367346
ENSMUSG00000000049,1.7259475218658893
ENSMUSG00000000056,39.650145772594755
ENSMUSG00000000058,96.3731778425656
ENSMUSG00000000078,96.14577259475219
ENSMUSG00000000085,64.25655976676384
ENSMUSG00000000088,97.63848396501457
ENSMUSG00000000093,34.25072886297376
ENSMUSG00000000120,38.64723032069971
ENSMUSG00000000126,27.41690962099125
ENSMUSG00000000127,57.457725947521865
ENSMUSG00000000131,57.924198250728864
ENSMUSG00000000134,50.16909620991253
ENSMUSG00000000142,26.01749271137026
ENSMUSG00000000148,27.871720116618075
ENSMUSG00000000149,57.498542274052475
ENSMUSG00000000154,25.725947521865887
ENSMUSG00000000159,7.615160349854228
ENSMUSG00000000167,22.93877551020408
ENSMUSG00000000168,64.08163265306122
ENSMUSG00000000171,90.466472303207
ENSMUSG00000000184,90.10495626822157
ENSMUSG00000000194,84.42565597667638
ENSMUSG00000000197,13.119533527696792
ENSMUSG00000000202,6.75801749271137
ENSMUSG00000000215,7.5102040816326525
ENSMUSG00000000223,17.93002915451895
ENSMUSG00000000244,43.35860058309038
ENSMUSG00000000248,0.6472303206997085
ENSMUSG00000000253,58.268221574344025
ENSMUSG00000000263,15.760932944606415
ENSMUSG00000000266,43.33527696793003
ENSMUSG00000000275,90.99125364431487
ENSMUSG00000000276,63.63265306122449
ENSMUSG00000000278,86.74635568513119
ENSMUSG00000000282,41.014577259475224
ENSMUSG00000000290,41.533527696793
ENSMUSG00000000295,69.30029154518951
ENSMUSG00000000296,20.43731778425656
ENSMUSG00000000301,27.73177842565598
ENSMUSG00000000303,3.4868804664723028
ENSMUSG00000000305,11.63265306122449
ENSMUSG00000000308,12.752186588921283
ENSMUSG00000000317,68.17492711370262
ENSMUSG00000000318,8.59475218658892
ENSMUSG00000000320,61.399416909620996
ENSMUSG00000000325,28.43731778425656
ENSMUSG00000000326,95.72594752186589
ENSMUSG00000000339,67.067055393586
ENSMUSG00000000340,57.95918367346938
ENSMUSG00000000346,93.31778425655976
ENSMUSG00000000355,89.93586005830903
ENSMUSG00000000359,75.41690962099126
ENSMUSG00000000374,43.61516034985423
ENSMUSG00000000378,81.09037900874637
ENSMUSG00000000384,44.221574344023324
ENSMUSG00000000386,1.8309037900874636
ENSMUSG00000000392,82.34402332361516
ENSMUSG00000000399,88.54227405247813
ENSMUSG00000000402,12.122448979591836
ENSMUSG00000000409,78.78717201166181
ENSMUSG00000000416,28.02332361516035
ENSMUSG00000000420,78.83381924198251
ENSMUSG00000000435,53.23032069970846
ENSMUSG00000000439,56.559766763848394
ENSMUSG00000000440,86.3265306122449
ENSMUSG00000000441,78.5131195335277
ENSMUSG00000000486,82.27988338192421
ENSMUSG00000000489,78.38483965014578
ENSMUSG00000000530,89.84839650145773
ENSMUSG00000000531,80.83381924198251
ENSMUSG00000000532,29.352769679300287
ENSMUSG00000000538,49.7201166180758
ENSMUSG00000000552,65.94752186588921
ENSMUSG00000000555,58.36734693877551
ENSMUSG00000000560,29.434402332361515
ENSMUSG00000000561,60.2332361516035
ENSMUSG00000000562,13.177842565597667
ENSMUSG00000000563,96.75218658892129
ENSMUSG00000000567,67.42857142857143
ENSMUSG00000000568,77.39941690962098
ENSMUSG00000000579,90.15160349854227
ENSMUSG00000000581,94.5131195335277
ENSMUSG00000000594,90.06997084548105
ENSMUSG00000000600,89.85422740524781
ENSMUSG00000000605,80.90379008746356
ENSMUSG00000000617,4.029154518950437
ENSMUSG00000000627,3.580174927113702
ENSMUSG00000000628,66.99708454810495
ENSMUSG00000000631,58.542274052478135
ENSMUSG00000000632,33.35860058309038
ENSMUSG00000000673,27.037900874635568
ENSMUSG00000000682,96.31486880466473
ENSMUSG00000000686,7.88338192419825
ENSMUSG00000000690,62.758017492711375
ENSMUSG00000000693,51.82507288629738
ENSMUSG00000000708,70.3265306122449
ENSMUSG00000000711,67.13702623906705
ENSMUSG00000000730,5.918367346938775
ENSMUSG00000000732,31.393586005830905
ENSMUSG00000000738,67.22448979591836
ENSMUSG00000000739,91.00291545189503
ENSMUSG00000000740,99.9125364431487
ENSMUSG00000000743,81.88338192419825
ENSMUSG00000000751,55.177842565597665
ENSMUSG00000000753,99.03790087463557
ENSMUSG00000000759,46.46064139941691
ENSMUSG00000000776,61.953352769679306
ENSMUSG00000000782,73.99416909620992
ENSMUSG00000000787,95.87755102040816
ENSMUSG00000000791,8.157434402332362
ENSMUSG00000000794,14.256559766763848
ENSMUSG00000000804,51.696793002915456
ENSMUSG00000000805,96.97376093294461
ENSMUSG00000000811,34.880466472303205
ENSMUSG00000000817,14.96209912536443
ENSMUSG00000000823,38.20408163265306
ENSMUSG00000000826,75.76093294460642
ENSMUSG00000000827,91.1137026239067
ENSMUSG00000000838,79.46938775510203
ENSMUSG00000000861,46.390670553935855
ENSMUSG00000000869,27.306122448979593
