gen_name,neoplastic cell,stromal cell
ENSG00000000003,85.08780440477346,75.43902202386728
ENSG00000000419,94.46492674881148,91.00611235082954
ENSG00000000457,61.03133792568157,77.62685553507325
ENSG00000000460,54.749199573105656,51.19336373338508
ENSG00000000971,39.90491898709615,87.77044726884643
ENSG00000001036,80.16881730862521,86.42184922867953
ENSG00000001084,92.8349665276026,83.35597166973902
ENSG00000001167,72.58659163675172,51.37770447268847
ENSG00000001460,62.7922770932376,72.22761230231882
ENSG00000001461,81.42524497914039,96.46841952071408
ENSG00000001497,62.205297370718924,64.43679053070728
ENSG00000001561,71.5581643543223,62.45755311923935
ENSG00000001617,37.581255457456095,39.997089356747836
ENSG00000001626,42.403221111865726,44.28543708159503
ENSG00000001629,94.99369360628698,87.22227612302319
ENSG00000001630,98.54952944600757,98.43310371592122
ENSG00000001631,84.82584651207917,67.8276899194722
ENSG00000002016,72.57688949257786,75.73978849325701
ENSG00000002079,15.639856408266226,0.0
ENSG00000002330,49.6264674493063,77.16600368681479
ENSG00000002549,72.74667701562045,77.81119627437664
ENSG00000002586,49.12195595226545,97.88008149801107
ENSG00000002587,22.969826331619288,38.4204909284952
ENSG00000002726,11.754147666634326,21.155525371107014
ENSG00000002745,16.789560492868922,0.0
ENSG00000002746,60.628698942466286,37.16891433006694
ENSG00000002822,46.415057727757834,63.20946929271369
ENSG00000002834,70.09314058406908,90.70049480935288
ENSG00000002919,48.74842340157175,56.42281944309693
ENSG00000002933,30.925584554186475,33.550014553216265
ENSG00000003056,93.33947802464344,76.89919472203357
ENSG00000003096,39.123896381100224,0.0
ENSG00000003137,7.1262248957019505,81.69690501600854
ENSG00000003147,74.59493548074124,51.974386339381006
ENSG00000003249,52.48374890850877,28.15077132046182
ENSG00000003393,82.59920442417774,73.1735713592704
ENSG00000003400,60.69176287959639,49.95148927913069
ENSG00000003402,92.83011545551567,92.31590181430096
ENSG00000003436,96.19675948384592,99.48093528669835
ENSG00000003509,84.25342000582128,61.27874260211507
ENSG00000003756,79.90200834384399,97.23488891044921
ENSG00000003987,55.24885999805957,42.86892403221112
ENSG00000003989,53.250218298243915,72.42165518579607
ENSG00000004059,57.55797031143884,74.98302124769573
ENSG00000004139,37.31444649267488,87.89657514310663
ENSG00000004142,69.06956437372659,79.46541185602018
ENSG00000004399,51.78519452799068,21.14097215484622
ENSG00000004455,90.0358979334433,93.81003201707577
