gen_name,spheroplast
Q0045,16.75768450616321
Q0050,50.10141987829615
Q0055,25.90107661101576
Q0060,5.757528475581214
Q0065,28.491184272117337
Q0070,9.127789046653144
Q0075,2.7305351848962394
Q0085,0.5773131533780621
Q0105,0.920580433765018
Q0110,8.644094242471525
Q0115,6.272429396161648
Q0120,11.71789670775472
Q0130,5.819940708378843
Q0140,1.8723669839288501
Q0160,17.038539553752535
Q0250,1.3886721797472306
YAL001C,75.30035887033858
YAL002W,63.97253861756904
YAL003W,97.3318770479014
YAL005C,99.79716024340772
YAL007C,80.02808550475893
YAL008W,51.911374629427364
YAL009W,45.3892963020752
YAL010C,28.210329224528007
YAL011W,33.60898736152286
YAL012W,97.12903729130909
YAL013W,34.46715556249025
YAL014C,70.32298330472773
YAL015C,45.29567795287876
YAL016C-A,10.173193946013418
YAL016C-B,2.3872679045092835
YAL016W,88.36011858324233
YAL017W,76.56420658449056
YAL019W,57.41925417381807
YAL019W-A,8.28522390388516
YAL020C,38.43033234513965
YAL021C,76.04930566391013
YAL022C,59.0419722265564
YAL023C,89.76439382118895
YAL024C,54.26743641753784
YAL025C,44.34389140271493
YAL026C,74.75425183335935
YAL026C-A,10.157590887814012
YAL027W,27.539397721953502
YAL028W,52.1922296770167
YAL029C,77.70322983304729
YAL030W,70.22936495553128
YAL031C,53.612107973162736
YAL031W-A,8.254017787486347
YAL032C,37.40053050397878
YAL033W,29.09970354189421
YAL034C,85.59837728194725
YAL034C-B,1.3418630051490092
YAL034W-A,14.791699173037914
YAL035W,90.85660789514745
YAL036C,81.97846777968482
YAL037C-A,1.5759088781401154
YAL037C-B,99.59432048681542
YAL037W,13.449836167888908
YAL038W,99.84396941800593
YAL039C,61.66328600405679
YAL040C,56.639101263847714
YAL041W,74.19254173818068
YAL042C-A,22.88968637853019
YAL042W,93.71196754563894
YAL043C,84.39694180059291
YAL044C,88.85941644562334
YAL044W-A,26.68122952098611
YAL045C,7.941956623498206
YAL046C,39.444531128101104
YAL047C,51.50569511624279
YAL047W-A,2.948977999687939
YAL048C,47.68294585738805
YAL049C,70.026525198939
YAL051W,51.49009205804338
YAL053W,83.83523170541426
YAL054C,34.90404119207365
YAL055W,39.694180059291625
YAL056C-A,10.22000312061164
YAL056W,56.12420034326728
YAL058W,58.027773443594945
YAL059C-A,0.6553284443750975
YAL059W,28.77203931970666
YAL060W,94.9446091433921
YAL061W,96.34888438133873
YAL062W,71.43080043688563
YAL063C,31.01887970042128
YAL063C-A,9.564674676236542
YAL064C-A,1.809954751131222
YAL064W,4.556092994226868
YAL065C,3.120611639881417
YAL067C,11.29661413637073
YAL069W,1.9035731003276644
YAR002C-A,51.7553440474333
YAR002W,80.04368856295834
YAR003W,63.91012638477142
YAR007C,54.09580277734436
YAR008W,18.910906537681385
YAR014C,80.85504758932751
YAR015W,88.99984396941801
YAR018C,45.63894523326572
YAR019C,46.902792947417694
YAR019W-A,1.6071149945389298
YAR020C,2.7617413012950536
YAR023C,11.905133406147606
YAR027W,76.28335153690124
YAR028W,21.93789982836636
YAR029W,4.337650179435169
YAR030C,2.6837260102980185
YAR031W,20.22156342643158
YAR033W,31.939460134186298
YAR035W,15.805897955999376
YAR042W,53.315649867374006
YAR047C,6.210017163364019
YAR050W,11.561866125760648
YAR053W,12.498049617725075
YAR060C,5.117803089405523
YAR061W,13.855515681073491
YAR064W,2.231237322515213
YAR066W,4.103604306444063
YAR068W,3.1050085816820094
YAR071W,84.66219378998284
YBL001C,58.3866437821813
YBL002W,80.55858948353878
YBL003C,93.63395225464191
YBL004W,81.19831486971447
YBL005W,79.96567327196131
YBL006C,79.95007021376189
YBL007C,93.86799812763302
YBL008W,36.214698080823844
YBL008W-A,0.2808550475893275
YBL009W,26.650023404587298
YBL010C,25.58901544702762
YBL011W,79.65361210797316
YBL012C,12.872523014510845
YBL013W,19.457013574660635
YBL014C,51.34966453424872
YBL015W,63.364019347792166
YBL016W,58.97955999375878
YBL017C,78.45217662661882
YBL018C,21.485411140583555
YBL019W,38.67998127633016
YBL020W,70.16695272273365
YBL021C,26.244343891402718
YBL022C,90.48213449836167
YBL023C,63.50444687158683
YBL024W,85.14588859416446
YBL025W,23.607427055702917
YBL026W,35.30972070525823
YBL027W,98.34607583086284
YBL028C,38.86721797472305
YBL029C-A,31.237322515212984
YBL029W,15.493836792011233
YBL030C,93.85239506943361
YBL031W,18.34919644250273
YBL032W,87.70479013886721
YBL033C,73.02231237322515
YBL034C,48.83757216414417
YBL035C,31.486971446403494
YBL036C,69.19956311437042
YBL037W,62.490248088625364
YBL038W,65.76689031050086
YBL039C,83.61678889062256
YBL039W-B,20.580433765017943
YBL040C,85.61398034014667
YBL041W,91.66796692151662
YBL042C,67.85770010922141
YBL043W,6.724918083944454
YBL044W,7.676704634108285
YBL045C,80.49617725074114
YBL046W,20.252769542830396
YBL047C,93.77437977843658
YBL048W,4.743329692619754
YBL049W,13.871118739272898
YBL050W,89.51474488999844
YBL051C,88.71898892182868
YBL052C,59.51006397253862
YBL053W,9.299422686846622
YBL054W,25.230145108441253
YBL055C,56.87314713683882
YBL056W,94.39850210641285
YBL057C,60.976751443282886
YBL058W,99.03261039163677
YBL059C-A,30.76923076923077
YBL059W,18.052738336713997
YBL060W,28.36635980652208
YBL061C,76.36136682789827
YBL062W,12.544858792323296
YBL063W,43.8445935403339
YBL064C,90.43532532376346
YBL065W,0.5305039787798408
YBL066C,24.481198314869715
YBL067C,56.15540645966609
YBL068W,65.11156186612575
YBL068W-A,8.45685754407864
YBL069W,32.95365891714776
YBL070C,4.056795131845842
YBL071C,9.970354189421126
YBL071C-B,0.8425651427679824
YBL071W-A,14.900920580433766
YBL072C,99.04821344983617
YBL073W,1.841160867530036
YBL074C,20.939304103604307
YBL075C,53.93977219535029
YBL076C,93.19706662505851
YBL077W,31.549383679201128
YBL078C,30.082696208456856
YBL079W,70.41660165392418
YBL080C,55.62490248088625
YBL081W,68.2789826806054
YBL082C,73.95849586518958
YBL083C,18.364799500702137
YBL084C,39.4289280699017
YBL085W,77.37556561085974
YBL086C,66.54704322047121
YBL087C,95.74036511156187
YBL088C,39.1948821969106
YBL089W,33.811827118115154
YBL090W,22.4684038071462
YBL091C,83.80402558901545
YBL091C-A,26.493992822593228
YBL092W,98.11202995787174
YBL093C,61.257606490872206
YBL094C,46.98080823841473
YBL095W,83.32033078483383
YBL096C,18.56763925729443
YBL097W,21.157746918396008
YBL098W,3.8695584334529567
YBL099W,92.10485255110001
YBL100C,36.02746138243096
YBL100W-C,5.975971290372914
YBL101C,76.06490872210954
YBL102W,77.25074114526447
YBL103C,41.50413481042284
YBL104C,67.23357778124512
YBL105C,80.8394445311281
YBL106C,42.84599781557185
YBL107C,33.17210173193946
YBL107W-A,61.83491964425028
YBL108W,2.2000312061163987
YBL111C,6.1476049305663905
YBL112C,0.14042752379466375
YBL113C,10.953346855983773
YBL113W-A,1.7319394601341864
YBR001C,81.10469652051803
YBR002C,56.4050553908566
YBR003W,65.61085972850678
YBR004C,44.811983148697145
YBR005W,36.323919488219694
YBR006W,69.29318146356685
YBR007C,33.25011702293649
YBR008C,45.21766266188173
YBR009C,87.8764237790607
YBR010W,90.26369168356997
YBR011C,99.3602746138243
YBR012C,17.584646590731783
YBR013C,20.50241847402091
YBR014C,75.5344047433297
YBR015C,88.29770635044468
YBR016W,81.38555156810735
YBR017C,84.02246840380715
YBR018C,3.0894055234826028
YBR019C,22.95209861132782
YBR020W,12.73209549071618
YBR021W,36.01185832423155
YBR022W,32.766422218754876
YBR023C,77.14151973786862
YBR024W,51.36526759244811
YBR025C,96.14604462474645
YBR026C,79.71602434077079
YBR027C,1.7631455765330004
YBR028C,48.54111405835544
YBR029C,70.29177718832891
