gen_name,group 1 innate lymphoid cell,group 2 innate lymphoid cell,group 3 innate lymphoid cell,natural killer cell
ENSG00000000003,63.34455564266938,47.34123506894802,48.083752248305125,47.38274224046488
ENSG00000000419,87.81995111377577,84.56855601162201,78.69759719595997,69.75971959599686
ENSG00000000457,88.18429184153484,93.17437623945027,95.1482728404741,88.59475164875708
ENSG00000000460,46.12830327906655,60.70654429737582,62.44062168519117,56.371350827837475
ENSG00000000938,18.392288889913758,62.2376977355532,94.35041276576119,98.71327768297745
ENSG00000000971,62.65738135866808,64.3084444034497,67.97029931282572,0.0
ENSG00000001036,76.70525296315085,79.5000691786192,95.20361573582991,89.91836922935018
ENSG00000001084,53.03232947470369,51.61647373518424,61.95175944288152,42.59096988424111
ENSG00000001167,59.0554812525942,62.583590831527005,62.5559193838491,61.402942397269754
ENSG00000001460,64.9172162523636,49.30590785407924,58.16999492690126,60.25918922658303
ENSG00000001461,94.19821980353272,86.54706452059216,90.34266476041138,94.90384171931929
ENSG00000001497,84.1949914679703,85.22805884794539,83.72918876539224,86.3395286630079
ENSG00000001561,74.72213254623438,71.34160402158372,81.24337038232717,81.03122261679657
ENSG00000001629,70.70054881704561,71.76589955264492,76.59456717243924,75.67218558317576
ENSG00000001630,68.15477563067842,78.72988055158419,79.37554766406862,74.92044458792603
ENSG00000001631,79.90591707789513,78.35170409998616,81.78757551999261,68.86039754646497
ENSG00000002016,68.42687819951114,75.53844025273256,79.78600747129087,71.87197343541023
ENSG00000002330,69.29852880136512,75.67218558317576,78.20412304570401,78.97892358068533
ENSG00000002549,74.17792740856892,79.79523128718351,87.53862472905041,75.21560669649034
ENSG00000002586,97.99843195129824,97.3758243785454,97.22363141631693,97.69865793478762
ENSG00000002587,34.98593368076373,46.898491906101555,31.070423834340268,38.46331227228704
ENSG00000002726,25.042660148503437,21.30240280404003,22.464603606512014,36.73845870036434
ENSG00000002746,37.619333118110966,39.54249873172532,39.10436747682516,45.06756445141355
ENSG00000002822,76.90817691278882,74.77286353364386,71.07411336069732,78.49006133837568
ENSG00000002834,90.35650048425033,91.85537056680349,89.51713323802058,89.82151916247751
ENSG00000002919,74.12719642115944,56.42208181524697,76.91740072868146,66.36996725545357
ENSG00000002933,12.244615597472674,15.039431812941014,15.076327076511554,13.55900936217313
ENSG00000003056,97.95231287183508,97.58336023612969,98.0353272148688,97.29281003551169
ENSG00000003096,9.837199649494996,48.65562883364848,4.644191301941613,27.878983535488633
ENSG00000003147,60.014758105428214,62.15468339251948,62.38989069778167,55.51814785776876
ENSG00000003249,52.271364663561315,24.78439330350966,20.130978185675414,21.69902688742333
ENSG00000003393,63.45062952543468,49.23672923488447,62.60665037125859,69.40460268413042
ENSG00000003400,68.4176543836185,87.41871512244616,72.45307383664623,70.94497993820043
ENSG00000003402,98.20135590093622,97.44039108979385,97.00687174284002,98.6994419591385
ENSG00000003436,70.50684868330028,71.60448277452383,69.49222893511046,70.31314854955495
ENSG00000003509,61.919476087257294,80.43628649172162,81.21569893464925,70.9910990176636
ENSG00000003756,95.34658488216576,93.99529585389476,97.07143845408845,95.0145275100309
ENSG00000003987,35.67310796476502,26.274039570170178,48.62334547802426,23.373149471936543
ENSG00000003989,26.744454180694554,22.884287229626896,24.2909191532537,37.98367384587004
ENSG00000004059,90.05211455979338,88.98215191624776,89.24503066918784,92.88382603883227
ENSG00000004139,63.07245307383664,60.74805146889268,64.17469907300651,35.60854125351658
ENSG00000004142,88.92680902089194,85.36641608633492,89.5770880413227,85.58317575981184
ENSG00000004399,70.64059401374348,70.74666789650878,49.01996956140756,74.77747544159018
