gen_name,mononuclear cell of bone marrow
ENSG00000000003,62.95080758168007
ENSG00000000419,85.26071244192049
ENSG00000000457,85.29021314256214
ENSG00000000460,69.54421417508667
ENSG00000000938,62.312854930304596
ENSG00000000971,94.51655726823512
ENSG00000001036,86.66568330997862
ENSG00000001084,79.06925289475625
ENSG00000001167,80.85035769599529
ENSG00000001460,70.62467733608673
ENSG00000001461,94.52393244339554
ENSG00000001497,90.64827789660005
ENSG00000001561,77.68640755217936
ENSG00000001617,4.91924183199351
ENSG00000001626,25.547606755660446
ENSG00000001629,82.19632716277012
ENSG00000001630,96.74017257909875
ENSG00000001631,83.3579172505347
ENSG00000002016,91.94630872483222
ENSG00000002079,24.55195810900509
ENSG00000002330,75.02396931927133
ENSG00000002549,94.19204956117709
ENSG00000002586,97.74688398849473
ENSG00000002587,45.70764805664135
ENSG00000002726,37.55439191680802
ENSG00000002745,35.95397890699904
ENSG00000002746,47.580942547385504
ENSG00000002822,74.13894830002212
ENSG00000002834,80.08702706689283
ENSG00000002919,66.02625562357106
ENSG00000002933,18.70344420679991
ENSG00000003056,96.48941662364481
ENSG00000003096,69.2123312928682
ENSG00000003137,27.085330776605943
ENSG00000003147,87.93052584998894
ENSG00000003249,39.40556088207095
ENSG00000003393,85.66634707574305
ENSG00000003400,89.2949332546648
ENSG00000003402,96.14278339110554
ENSG00000003436,96.91348919536838
ENSG00000003509,79.81414558595766
ENSG00000003756,96.06903163950143
ENSG00000003987,57.799247732133644
ENSG00000003989,30.234530570101043
ENSG00000004059,87.49170292794453
ENSG00000004139,65.81237554391916
ENSG00000004142,85.8433512795929
ENSG00000004399,69.63271627701158
ENSG00000004455,97.7247584630135
ENSG00000004468,82.76421565012168
ENSG00000004478,83.21778892248692
ENSG00000004487,91.80618039678443
ENSG00000004534,98.42908769083266
ENSG00000004660,59.25215723873441
ENSG00000004700,84.18762445608084
ENSG00000004766,75.90899033852054
ENSG00000004776,14.964230400472012
ENSG00000004777,41.35629471199941
ENSG00000004779,93.54672173464121
ENSG00000004799,43.80485286525555
ENSG00000004809,77.10745630208717
ENSG00000004838,45.87358949775057
ENSG00000004846,50.06268898886349
ENSG00000004848,29.806770410797256
ENSG00000004864,76.45106571281069
ENSG00000004866,84.47156869975662
ENSG00000004897,84.04012095287263
ENSG00000004939,59.189468249870934
ENSG00000004948,4.937679769894535
ENSG00000004961,81.24492956707722
ENSG00000004975,61.02588686481304
ENSG00000005001,5.1699977874474525
ENSG00000005007,59.55453942031124
ENSG00000005020,94.7968139243307
ENSG00000005022,99.42473633748801
ENSG00000005059,81.83494357991002
ENSG00000005073,7.176045431078988
ENSG00000005075,89.56043956043956
ENSG00000005100,80.78029353197138
ENSG00000005108,51.85116896526293
ENSG00000005156,72.98842097499816
ENSG00000005175,88.11121764141899
ENSG00000005187,91.33416918651818
ENSG00000005189,78.48661405708386
ENSG00000005194,91.16822774540896
ENSG00000005206,69.24551958109005
ENSG00000005238,58.39663692012685
ENSG00000005243,28.84799763994395
ENSG00000005249,82.64252525997492
ENSG00000005302,85.78803746588981
ENSG00000005339,77.07795560144554
ENSG00000005379,75.44804189099492
ENSG00000005381,95.65970941809869
ENSG00000005421,25.30422597536692
ENSG00000005436,81.90869533151412
ENSG00000005448,91.62548860535438
ENSG00000005469,71.4138210782506
ENSG00000005471,45.036507117044025
ENSG00000005483,98.42540010325244
ENSG00000005486,80.72497971826832
ENSG00000005513,33.57179733018659
ENSG00000005700,84.04380854045283
ENSG00000005801,86.85375027656906
ENSG00000005810,96.20547237996902
ENSG00000005812,87.20038350910833
ENSG00000005844,73.95825650859209
ENSG00000005882,76.36993878604616
ENSG00000005884,57.51899107603805
ENSG00000005889,94.06667158345012
ENSG00000005893,97.66206947415002
ENSG00000005961,76.85301275905303
ENSG00000005981,50.519949848808906
ENSG00000006007,86.95700272881481
ENSG00000006015,86.40017700420385
ENSG00000006016,25.0018437937901
ENSG00000006025,58.105317501290656
ENSG00000006042,78.09204218600192
ENSG00000006047,11.453647024116822
ENSG00000006062,58.7985839663692
ENSG00000006071,46.28291171915333
ENSG00000006116,17.501290655653072
ENSG00000006118,39.3723725938491
