gen_name,circulating tumor cell
ENSG00000000003,86.92783314876338
ENSG00000000419,77.29789590254707
ENSG00000000457,80.98006644518271
ENSG00000000460,89.34569952011813
ENSG00000000938,56.09080841638981
ENSG00000000971,26.079734219269103
ENSG00000001036,79.2220376522702
ENSG00000001084,83.83167220376522
ENSG00000001167,72.08840900701365
ENSG00000001460,55.00184569952011
ENSG00000001461,64.02270210409745
ENSG00000001497,79.00055370985604
ENSG00000001561,66.61129568106313
ENSG00000001617,44.07991878922112
ENSG00000001626,51.82724252491694
ENSG00000001629,75.46142488002953
ENSG00000001630,83.22259136212624
ENSG00000001631,67.234219269103
ENSG00000002016,44.93816906607604
ENSG00000002079,7.802694721299372
ENSG00000002330,84.42229605020303
ENSG00000002549,84.38999630860096
ENSG00000002586,97.937430786268
ENSG00000002587,31.47379106681432
ENSG00000002726,22.07456626061277
ENSG00000002746,42.34496124031008
ENSG00000002822,49.49704688076781
ENSG00000002834,83.37947582133629
ENSG00000002919,51.702657807308974
ENSG00000002933,30.98468069398302
ENSG00000003056,94.04300479881876
ENSG00000003096,50.8813215208564
ENSG00000003147,88.20136581764488
ENSG00000003249,65.67460317460318
ENSG00000003393,80.97545219638242
ENSG00000003400,75.4983388704319
ENSG00000003402,98.83720930232558
ENSG00000003436,97.0422665190107
ENSG00000003509,50.410668143226275
ENSG00000003756,96.97305278700628
ENSG00000003987,44.50904392764858
ENSG00000003989,41.98043558508675
ENSG00000004059,94.47212993724622
ENSG00000004139,52.8608342561831
ENSG00000004142,85.44665928386858
ENSG00000004399,39.396456256921375
ENSG00000004455,78.32687338501292
ENSG00000004468,41.78663713547435
ENSG00000004478,92.78792912513842
ENSG00000004487,70.49649317091178
ENSG00000004534,84.60225175341455
ENSG00000004660,41.791251384274645
ENSG00000004700,84.01162790697676
ENSG00000004766,69.6843853820598
ENSG00000004777,33.379475821336285
ENSG00000004779,89.79789590254707
ENSG00000004799,52.399409376153564
ENSG00000004809,58.52713178294574
ENSG00000004838,28.751384274640092
ENSG00000004846,42.28959025470653
ENSG00000004848,29.392764857881136
ENSG00000004864,70.09043927648578
ENSG00000004866,80.38021410114433
ENSG00000004897,94.28755998523441
ENSG00000004939,98.51882613510521
ENSG00000004948,13.621262458471762
ENSG00000004961,59.88833517903286
ENSG00000004975,51.92414174972314
ENSG00000005001,38.565891472868216
ENSG00000005007,67.17423403469915
ENSG00000005020,89.05038759689923
ENSG00000005022,98.8233665559247
ENSG00000005059,71.91306755260244
ENSG00000005075,88.45976375046143
ENSG00000005100,57.81192321889996
ENSG00000005108,49.68623108157992
ENSG00000005156,74.28940568475451
ENSG00000005175,71.70542635658916
ENSG00000005187,59.68069398301956
ENSG00000005189,57.5765965300849
ENSG00000005194,68.9922480620155
ENSG00000005206,46.96843853820598
ENSG00000005238,82.06902916205242
ENSG00000005243,23.21889996308601
ENSG00000005249,99.62163159837579
ENSG00000005302,69.55057216685123
ENSG00000005339,89.1749723145072
ENSG00000005379,47.36526393503138
ENSG00000005421,29.964931709117753
ENSG00000005436,63.65817644887413
ENSG00000005448,46.26707272056109
ENSG00000005469,70.02583979328165
ENSG00000005471,20.376522702104097
ENSG00000005483,96.61775562938354
ENSG00000005486,90.78073089700996
ENSG00000005513,3.5437430786267994
ENSG00000005700,80.23717238833518
ENSG00000005801,76.75341454411222
ENSG00000005810,95.32576596530085
ENSG00000005812,88.12292358803987
ENSG00000005844,68.28165374677002
ENSG00000005882,54.734219269102994
ENSG00000005884,64.29955703211517
ENSG00000005889,85.08674787744556
ENSG00000005893,95.44112218530823
ENSG00000005961,99.72775932078257
ENSG00000005981,48.26042820228867
ENSG00000006007,91.61129568106313
ENSG00000006015,77.21945367294204
ENSG00000006016,26.333517903285347
ENSG00000006025,47.66980435585087
ENSG00000006042,60.37744555186416
ENSG00000006047,26.407345884090073
ENSG00000006062,17.506459948320412
ENSG00000006071,42.515688445921
ENSG00000006116,18.115540789959393
ENSG00000006118,67.18346253229974
ENSG00000006125,88.33056478405315
ENSG00000006194,71.2532299741602
ENSG00000006210,76.90568475452196
ENSG00000006282,54.91417497231451
ENSG00000006283,34.56533776301218
ENSG00000006327,93.42930970837948
ENSG00000006377,4.826504245108897
ENSG00000006432,62.601513473606495
ENSG00000006451,83.91934293097084
ENSG00000006453,72.53599114064231
ENSG00000006459,96.87153931339978
ENSG00000006468,31.85215946843854
ENSG00000006530,78.3361018826135
ENSG00000006534,55.32945736434108
ENSG00000006555,29.15282392026578
ENSG00000006576,94.84588409007013
ENSG00000006607,58.97009966777409
ENSG00000006625,96.29937246216316
ENSG00000006634,72.3468069398302
ENSG00000006638,87.05703211517165
