gen_name,peripheral blood mononuclear cell
ENSG00000000003,28.649122807017548
ENSG00000000419,76.69736842105263
ENSG00000000457,59.390350877192986
ENSG00000000460,47.583333333333336
ENSG00000000938,96.28070175438597
ENSG00000000971,45.21491228070175
ENSG00000001036,71.73684210526315
ENSG00000001084,70.51754385964912
ENSG00000001167,58.09649122807018
ENSG00000001460,79.51754385964912
ENSG00000001461,72.56140350877193
ENSG00000001497,70.25877192982456
ENSG00000001561,61.60526315789474
ENSG00000001617,17.890350877192983
ENSG00000001629,72.81140350877193
ENSG00000001630,65.4780701754386
ENSG00000001631,72.68859649122807
ENSG00000002016,46.135964912280706
ENSG00000002330,78.03947368421052
ENSG00000002549,92.17105263157895
ENSG00000002586,98.74561403508771
ENSG00000002587,42.82017543859649
ENSG00000002726,9.644736842105264
ENSG00000002745,22.92543859649123
ENSG00000002746,23.539473684210527
ENSG00000002822,70.23684210526315
ENSG00000002834,89.32456140350877
ENSG00000002919,69.12280701754386
ENSG00000002933,86.41228070175438
ENSG00000003056,92.84210526315789
ENSG00000003096,20.978070175438596
ENSG00000003147,47.473684210526315
ENSG00000003249,38.026315789473685
ENSG00000003393,48.69736842105263
ENSG00000003400,69.17105263157895
ENSG00000003402,98.07456140350878
ENSG00000003436,78.12280701754386
ENSG00000003509,66.50438596491229
ENSG00000003756,93.89912280701755
ENSG00000003987,30.539473684210527
ENSG00000004059,96.98684210526316
ENSG00000004139,52.473684210526315
ENSG00000004142,75.79824561403508
ENSG00000004399,73.90350877192982
ENSG00000004455,77.55701754385966
ENSG00000004468,75.44298245614036
ENSG00000004478,69.64912280701753
ENSG00000004487,71.82894736842104
ENSG00000004534,93.01315789473684
ENSG00000004660,69.33771929824562
ENSG00000004700,79.5701754385965
ENSG00000004766,59.127192982456144
ENSG00000004776,6.780701754385965
ENSG00000004777,47.53070175438596
ENSG00000004779,92.87719298245614
ENSG00000004799,59.166666666666664
ENSG00000004809,44.56140350877193
ENSG00000004838,36.8859649122807
ENSG00000004846,54.39912280701754
ENSG00000004848,11.68859649122807
ENSG00000004864,65.62280701754386
ENSG00000004866,54.32017543859649
ENSG00000004897,72.53947368421053
ENSG00000004939,59.557017543859644
ENSG00000004948,6.298245614035087
ENSG00000004961,64.21929824561403
ENSG00000004975,61.58771929824562
ENSG00000005001,31.048245614035086
ENSG00000005007,74.69298245614036
ENSG00000005020,89.46491228070175
ENSG00000005022,98.0482456140351
ENSG00000005059,91.55701754385966
ENSG00000005073,15.355263157894736
ENSG00000005075,93.14912280701755
ENSG00000005100,58.91228070175438
ENSG00000005102,30.122807017543863
ENSG00000005156,78.86842105263158
ENSG00000005175,67.82456140350878
ENSG00000005187,51.76315789473684
ENSG00000005189,36.32456140350877
ENSG00000005194,72.71052631578947
ENSG00000005206,74.10964912280701
ENSG00000005238,76.24561403508771
ENSG00000005243,53.328947368421055
ENSG00000005249,87.30263157894737
ENSG00000005302,85.39035087719297
ENSG00000005339,90.10526315789474
ENSG00000005379,66.10526315789474
ENSG00000005381,48.578947368421055
ENSG00000005421,3.0964912280701755
ENSG00000005436,60.60526315789474
ENSG00000005448,69.6842105263158
ENSG00000005469,55.26315789473685
ENSG00000005471,47.1578947368421
ENSG00000005483,97.98245614035088
ENSG00000005486,81.54824561403508
ENSG00000005513,28.22368421052632
ENSG00000005700,76.4517543859649
ENSG00000005801,75.33333333333333
ENSG00000005810,95.50438596491229
ENSG00000005812,81.7982456140351
ENSG00000005844,93.86842105263158
ENSG00000005882,63.622807017543856
ENSG00000005884,78.73684210526316
ENSG00000005889,86.66666666666667
ENSG00000005893,88.76315789473685
ENSG00000005961,86.22368421052632
ENSG00000006007,80.34210526315789
ENSG00000006015,93.80701754385964
ENSG00000006016,28.407894736842103
ENSG00000006025,68.92543859649123
ENSG00000006042,49.434210526315795
ENSG00000006047,2.394736842105263
ENSG00000006062,64.86842105263158
ENSG00000006071,1.5657894736842106
ENSG00000006118,24.95614035087719
ENSG00000006125,75.21929824561403
ENSG00000006194,64.54385964912281
ENSG00000006210,39.79385964912281
ENSG00000006282,62.434210526315795
ENSG00000006283,6.8157894736842115
ENSG00000006327,57.85526315789473
ENSG00000006432,54.07017543859649
ENSG00000006451,76.4298245614035
ENSG00000006453,29.8859649122807
ENSG00000006459,81.33333333333333
ENSG00000006468,17.684210526315788
ENSG00000006530,67.51315789473684
ENSG00000006534,72.73684210526315
ENSG00000006555,49.09649122807018
ENSG00000006576,80.35526315789474
ENSG00000006606,19.271929824561404
ENSG00000006607,71.34649122807018
ENSG00000006625,71.51315789473685
ENSG00000006634,83.09649122807018
ENSG00000006638,67.10087719298245
ENSG00000006652,90.50877192982456
ENSG00000006659,17.86842105263158
ENSG00000006695,59.80701754385965
ENSG00000006704,71.6359649122807
ENSG00000006712,69.57894736842105
ENSG00000006715,74.37719298245614
ENSG00000006740,33.21052631578947
ENSG00000006744,66.80701754385964
ENSG00000006747,51.938596491228076
ENSG00000006756,66.73245614035088
ENSG00000006757,51.517543859649116
ENSG00000006831,77.57894736842104
ENSG00000006837,38.3640350877193
ENSG00000007038,46.635964912280706
ENSG00000007047,66.15350877192982
ENSG00000007062,19.736842105263158
ENSG00000007080,86.5657894736842
ENSG00000007129,48.78508771929825
ENSG00000007168,92.03947368421052
ENSG00000007171,9.951754385964913
ENSG00000007174,44.19736842105263
ENSG00000007202,82.46929824561403
ENSG00000007237,91.93859649122807
ENSG00000007255,85.37280701754386
ENSG00000007264,90.84649122807018
ENSG00000007312,91.43421052631578
ENSG00000007314,22.55701754385965
