gen_name,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta memory T cell"
ENSMUSG00000000440,32.24423337856174,27.55495251017639
ENSMUSG00000000441,88.0651289009498,90.2415196743555
ENSMUSG00000000486,98.32835820895522,98.58344640434193
ENSMUSG00000000489,38.040705563093624,33.1831750339213
ENSMUSG00000000530,47.028493894165535,42.957937584803254
ENSMUSG00000000531,49.70963364993216,58.13839891451832
ENSMUSG00000000532,46.38805970149254,44.62415196743555
ENSMUSG00000000538,49.25373134328358,42.73541383989145
ENSMUSG00000000552,16.119402985074625,8.189959294436907
ENSMUSG00000000555,38.089552238805965,27.696065128900948
ENSMUSG00000000560,40.640434192673,36.694708276797826
ENSMUSG00000000561,68.84124830393488,68.48303934871099
ENSMUSG00000000562,13.118046132971505,10.57259158751696
ENSMUSG00000000563,96.9606512890095,97.50339213025781
ENSMUSG00000000568,89.60651289009498,92.04884667571235
ENSMUSG00000000579,76.95522388059702,79.38127544097694
ENSMUSG00000000581,87.09362279511534,87.38670284938942
ENSMUSG00000000594,95.02306648575305,92.62415196743555
ENSMUSG00000000600,96.05427408412484,95.98914518317503
ENSMUSG00000000605,84.05427408412484,86.30664857530529
ENSMUSG00000000606,18.73541383989145,18.860244233378562
ENSMUSG00000000617,14.219810040705564,6.4151967435549535
ENSMUSG00000000627,40.58616010854817,56.298507462686565
ENSMUSG00000000628,44.42876526458616,62.751696065128904
ENSMUSG00000000631,68.77611940298507,67.11533242876526
ENSMUSG00000000673,21.237449118046133,27.918588873812755
ENSMUSG00000000682,99.49525101763908,99.66892808683853
ENSMUSG00000000686,18.442333785617368,40.9932157394844
ENSMUSG00000000693,11.191316146540027,7.099050203527815
ENSMUSG00000000708,68.89009497964722,61.378561736770685
ENSMUSG00000000711,73.921302578019,72.8303934871099
ENSMUSG00000000731,9.60651289009498,2.2360922659430122
ENSMUSG00000000732,45.492537313432834,45.99728629579376
ENSMUSG00000000738,77.6336499321574,80.00542740841249
ENSMUSG00000000739,40.17367706919946,38.55088195386703
ENSMUSG00000000740,99.95658073270015,99.94572591587517
ENSMUSG00000000743,89.90502035278155,90.58887381275441
ENSMUSG00000000751,87.98371777476255,89.75848032564451
ENSMUSG00000000753,37.06377204884668,32.74898236092266
ENSMUSG00000000759,60.8303934871099,60.34735413839891
ENSMUSG00000000766,19.706919945725915,24.17910447761194
ENSMUSG00000000776,69.54138398914517,70.16553595658074
ENSMUSG00000000782,92.76526458616011,97.921302578019
ENSMUSG00000000787,88.01628222523745,88.52645861601086
ENSMUSG00000000791,64.48846675712348,67.7774762550882
ENSMUSG00000000804,60.07598371777476,58.757123473541384
ENSMUSG00000000811,39.60922659430122,34.040705563093624
ENSMUSG00000000817,43.104477611940304,81.39484396200814
ENSMUSG00000000823,46.143826322930806,49.83446404341927
ENSMUSG00000000826,88.52103120759837,88.97150610583446
ENSMUSG00000000827,85.16146540027137,85.3459972862958
ENSMUSG00000000838,77.22116689280868,78.35006784260516
ENSMUSG00000000869,21.98100407055631,67.79375848032565
ENSMUSG00000000876,77.8561736770692,83.17503392130257
ENSMUSG00000000881,34.306648575305296,33.61736770691995
ENSMUSG00000000884,46.98507462686567,46.06241519674356
ENSMUSG00000000889,2.5834464043419265,16.33649932157395
ENSMUSG00000000901,52.928086838534604,33.05834464043419
ENSMUSG00000000902,88.01085481682497,87.98371777476255
ENSMUSG00000000903,21.10719131614654,3.940298507462687
ENSMUSG00000000915,66.6865671641791,66.44233378561736
ENSMUSG00000000916,63.24016282225238,59.76119402985075
ENSMUSG00000000934,46.74084124830393,46.795115332428765
ENSMUSG00000000948,57.237449118046136,57.45454545454546
ENSMUSG00000000957,60.341926729986426,57.8561736770692
ENSMUSG00000000958,29.850746268656714,25.05291723202171
ENSMUSG00000000959,88.64586160108549,88.79240162822254
ENSMUSG00000000976,70.68113975576662,71.4572591587517
ENSMUSG00000000982,35.386702849389415,36.14654002713704
ENSMUSG00000001014,34.26322930800543,36.846675712347356
ENSMUSG00000001016,99.98914518317503,99.98371777476255
ENSMUSG00000001017,89.68249660786974,89.35142469470829
ENSMUSG00000001018,79.0067842605156,78.67028493894166
ENSMUSG00000001020,97.06919945725916,97.86160108548168
ENSMUSG00000001021,34.909090909090914,38.33921302578019
ENSMUSG00000001023,22.72998643147897,13.633649932157397
ENSMUSG00000001025,98.6919945725916,98.4640434192673
ENSMUSG00000001029,87.71777476255089,86.1438263229308
ENSMUSG00000001034,54.38263229308006,54.957937584803254
ENSMUSG00000001036,23.440976933514246,21.87788331071913
ENSMUSG00000001039,37.3459972862958,36.0
ENSMUSG00000001052,64.53731343283582,63.16417910447761
ENSMUSG00000001053,53.47625508819539,56.17367706919946
ENSMUSG00000001054,76.27679782903664,79.47354138398914
ENSMUSG00000001056,90.0135685210312,89.78561736770692
ENSMUSG00000001062,68.07055630936229,67.01763907734058
ENSMUSG00000001065,54.44233378561737,54.208955223880594
ENSMUSG00000001082,78.24694708276797,80.09226594301221
ENSMUSG00000001089,43.1370420624152,58.702849389416556
ENSMUSG00000001098,83.59294436906377,84.74898236092267
ENSMUSG00000001100,68.94979647218453,70.93080054274084
ENSMUSG00000001105,89.70963364993216,90.63772048846675
ENSMUSG00000001120,44.31478968792402,44.385345997286294
ENSMUSG00000001123,88.30393487109906,88.07598371777476
ENSMUSG00000001127,84.8955223880597,86.13297150610583
ENSMUSG00000001128,38.7516960651289,37.443690637720486
ENSMUSG00000001131,17.590230664857533,26.230664857530527
ENSMUSG00000001134,72.8955223880597,72.91180461329715
ENSMUSG00000001138,55.07734056987788,54.8819538670285
ENSMUSG00000001143,81.0203527815468,80.10854816824965
ENSMUSG00000001150,58.2089552238806,57.791044776119406
ENSMUSG00000001151,66.86024423337857,68.35820895522387
ENSMUSG00000001156,90.27951153324287,82.22523744911805
ENSMUSG00000001157,82.078697421981,78.81139755766623
ENSMUSG00000001158,87.70149253731343,88.56445047489824
ENSMUSG00000001166,48.67842605156038,48.52103120759837
ENSMUSG00000001173,79.21845318860244,74.50746268656717
ENSMUSG00000001175,99.11533242876527,99.19674355495252
ENSMUSG00000001211,87.38127544097694,85.87245590230664
ENSMUSG00000001225,4.434192672998643,2.8276797829036635
ENSMUSG00000001227,4.884667571234735,12.309362279511534
ENSMUSG00000001228,41.2157394843962,49.242876526458616
ENSMUSG00000001229,71.07734056987788,72.3202170963365
ENSMUSG00000001240,73.29715061058344,75.43012211668928
ENSMUSG00000001247,44.53731343283582,39.84260515603799
ENSMUSG00000001248,91.30529172320217,95.81546811397558
ENSMUSG00000001249,33.35142469470828,37.61736770691995
ENSMUSG00000001270,78.59972862957937,92.24966078697422
ENSMUSG00000001280,65.20488466757124,66.31207598371778
ENSMUSG00000001281,98.63772048846677,98.23609226594301
ENSMUSG00000001285,76.2279511533243,76.96607869742198
ENSMUSG00000001288,82.1763907734057,70.33378561736771
ENSMUSG00000001289,98.97421981004071,99.05563093622796
ENSMUSG00000001300,13.014925373134329,21.91044776119403
ENSMUSG00000001305,67.4246947082768,72.86838534599728
ENSMUSG00000001313,17.579375848032562,16.097693351424695
ENSMUSG00000001323,43.18046132971506,44.79240162822252
ENSMUSG00000001334,37.97557666214383,35.91858887381276
ENSMUSG00000001348,93.4436906377205,92.77611940298507
ENSMUSG00000001366,78.72998643147898,79.5875169606513
ENSMUSG00000001376,65.60651289009498,63.96200814111261
ENSMUSG00000001380,80.3799185888738,80.63500678426053
ENSMUSG00000001383,90.2035278154681,91.0067842605156
ENSMUSG00000001403,45.324287652645864,50.41519674355496
ENSMUSG00000001415,86.0135685210312,85.06377204884667
ENSMUSG00000001416,95.4898236092266,94.91994572591588
ENSMUSG00000001418,92.36906377204885,92.47761194029852
ENSMUSG00000001419,79.3270013568521,73.37856173677069
ENSMUSG00000001420,35.25101763907734,35.47896879240163
ENSMUSG00000001424,78.67571234735415,77.49253731343285
ENSMUSG00000001435,32.66757123473541,10.626865671641792
ENSMUSG00000001436,64.14111261872456,60.320217096336506
ENSMUSG00000001440,82.26865671641791,83.04477611940298
ENSMUSG00000001441,98.45861601085481,98.42062415196744
ENSMUSG00000001444,42.12754409769335,77.48168249660787
ENSMUSG00000001445,72.62957937584802,73.00407055630936
ENSMUSG00000001467,74.2740841248304,73.7584803256445
ENSMUSG00000001472,94.74626865671641,94.86024423337857
ENSMUSG00000001473,52.30936227951153,39.316146540027134
ENSMUSG00000001482,45.8236092265943,47.59837177747626
ENSMUSG00000001493,0.0,8.30393487109905
ENSMUSG00000001496,37.791044776119406,35.12618724559023
ENSMUSG00000001497,16.705563093622793,15.782903663500678
ENSMUSG00000001506,22.567164179104477,22.241519674355494
ENSMUSG00000001507,37.215739484396195,33.45454545454545
ENSMUSG00000001517,28.021709633649934,31.522388059701495
ENSMUSG00000001518,74.51289009497964,71.92944369063771
ENSMUSG00000001520,17.95929443690638,26.01899592944369
ENSMUSG00000001521,84.24966078697422,81.69335142469471
ENSMUSG00000001524,60.74898236092265,61.93215739484397
ENSMUSG00000001525,98.2740841248304,98.21981004070557
ENSMUSG00000001542,63.9674355495251,68.02170963364993
ENSMUSG00000001552,41.280868385346,38.6540027137042
ENSMUSG00000001555,0.0,19.864314789687924
ENSMUSG00000001558,15.343283582089553,20.379918588873814
ENSMUSG00000001569,95.2293080054274,95.60379918588873
ENSMUSG00000001576,72.15196743554952,63.07734056987788
ENSMUSG00000001583,3.620081411126187,4.635006784260516
ENSMUSG00000001588,93.36227951153325,94.08955223880598
ENSMUSG00000001604,28.325644504748983,21.05291723202171
ENSMUSG00000001622,34.312075983717776,34.98507462686567
ENSMUSG00000001627,95.83717774762552,97.07462686567165
ENSMUSG00000001630,43.88059701492537,42.236092265943014
ENSMUSG00000001632,61.32428765264586,63.01763907734057
ENSMUSG00000001642,95.62550881953868,96.21709633649932
ENSMUSG00000001661,13.763907734056987,8.135685210312076
ENSMUSG00000001663,23.989145183175033,18.30122116689281
ENSMUSG00000001665,37.94301221166893,37.69877883310719
ENSMUSG00000001666,83.81546811397558,84.4504748982361
ENSMUSG00000001674,89.67706919945726,89.17232021709634
ENSMUSG00000001687,95.24016282225237,93.54681139755766
ENSMUSG00000001700,89.59565807327002,95.66350067842605
ENSMUSG00000001707,84.34735413839891,84.3853459972863
ENSMUSG00000001729,66.59972862957937,67.12075983717774
ENSMUSG00000001741,96.21709633649932,96.6078697421981
ENSMUSG00000001750,79.3921302578019,79.07734056987789
ENSMUSG00000001751,58.01356852103121,50.88738127544098
ENSMUSG00000001755,61.291723202170964,59.47896879240163
ENSMUSG00000001761,30.170963364993213,27.09362279511533
ENSMUSG00000001763,5.677069199457259,6.729986431478968
ENSMUSG00000001767,79.56580732700135,79.62550881953867
ENSMUSG00000001768,50.91994572591587,47.90773405698779
ENSMUSG00000001774,87.91858887381275,87.9023066485753
ENSMUSG00000001783,90.86024423337857,90.30122116689282
ENSMUSG00000001785,67.48439620081412,65.81818181818181
ENSMUSG00000001786,68.5753052917232,69.59023066485753
ENSMUSG00000001794,95.73948439620081,97.16689280868385
ENSMUSG00000001829,69.98100407055631,79.69606512890095
ENSMUSG00000001833,97.51967435549525,97.19945725915875
ENSMUSG00000001844,68.97693351424695,67.76662143826323
ENSMUSG00000001847,97.81818181818181,97.280868385346
ENSMUSG00000001855,70.63229308005428,71.01763907734056
ENSMUSG00000001865,16.689280868385346,19.712347354138398
ENSMUSG00000001870,49.28629579375848,43.90773405698779
ENSMUSG00000001891,82.70827679782904,83.91858887381275
ENSMUSG00000001901,37.41655359565807,33.68792401628223
ENSMUSG00000001909,78.93622795115333,77.16689280868385
ENSMUSG00000001910,62.61058344640434,63.907734056987785
ENSMUSG00000001911,50.594301221166894,46.72998643147897
ENSMUSG00000001918,93.40027137042063,93.280868385346
ENSMUSG00000001924,90.9145183175034,92.16824966078697
ENSMUSG00000001930,43.934871099050206,41.15061058344641
ENSMUSG00000001942,54.47489823609226,53.400271370420626
ENSMUSG00000001948,31.46811397557666,32.651289009497965
ENSMUSG00000001962,82.35549525101764,83.34328358208955
ENSMUSG00000001964,92.77611940298507,93.50881953867028
ENSMUSG00000001983,41.89416553595658,43.46268656716418
ENSMUSG00000001986,5.8833107191316145,15.261872455902306
ENSMUSG00000001995,45.06377204884667,40.575305291723204
ENSMUSG00000001998,72.53188602442334,71.83717774762552
ENSMUSG00000001999,79.30529172320217,80.56445047489824
ENSMUSG00000002006,18.39348710990502,15.956580732700134
ENSMUSG00000002010,89.66621438263229,89.24287652645862
ENSMUSG00000002012,32.23337856173677,30.12211668928087
ENSMUSG00000002014,95.86974219810041,95.98371777476255
ENSMUSG00000002015,95.08819538670285,95.57123473541384
ENSMUSG00000002017,55.549525101763905,57.62279511533242
ENSMUSG00000002028,89.13432835820896,87.8751696065129
ENSMUSG00000002031,69.3731343283582,66.04070556309362
ENSMUSG00000002032,17.96472184531886,10.778833107191316
ENSMUSG00000002033,99.24016282225237,99.31614654002713
ENSMUSG00000002043,87.32157394843962,82.37177747625509
ENSMUSG00000002052,69.4708276797829,69.7259158751696
ENSMUSG00000002055,57.74762550881953,53.06377204884668
ENSMUSG00000002058,80.51560379918588,82.1763907734057
ENSMUSG00000002059,79.51153324287652,76.04884667571234
ENSMUSG00000002064,86.54002713704206,87.79375848032565
ENSMUSG00000002068,39.95658073270014,49.12347354138399
ENSMUSG00000002076,30.80597014925373,24.363636363636363
ENSMUSG00000002083,76.43419267299865,64.78154681139756
ENSMUSG00000002102,94.12754409769335,93.74219810040707
ENSMUSG00000002103,49.03120759837178,51.95115332428766
ENSMUSG00000002104,60.75440976933514,45.449118046132966
ENSMUSG00000002105,53.850746268656714,49.926729986431475
ENSMUSG00000002107,96.65671641791045,97.24287652645862
ENSMUSG00000002108,26.024423337856174,27.7123473541384
ENSMUSG00000002109,72.14654002713704,69.94843962008142
ENSMUSG00000002111,9.134328358208956,2.7788331071913164
ENSMUSG00000002129,76.19538670284939,77.32971506105835
ENSMUSG00000002147,86.29579375848031,84.24423337856174
ENSMUSG00000002190,2.029850746268657,11.571234735413839
ENSMUSG00000002204,24.906377204884667,25.677069199457257
ENSMUSG00000002205,86.77883310719132,85.68792401628222
ENSMUSG00000002210,79.25101763907733,78.91994572591588
ENSMUSG00000002221,70.87109905020353,68.08683853459972
ENSMUSG00000002222,68.0976933514247,67.1967435549525
ENSMUSG00000002227,68.4179104477612,66.90366350067842
ENSMUSG00000002228,71.56580732700135,68.55359565807328
ENSMUSG00000002233,65.42198100407056,63.17503392130258
ENSMUSG00000002249,11.023066485753052,11.082767978290367
ENSMUSG00000002250,55.9674355495251,56.95522388059702
ENSMUSG00000002257,92.72184531886025,93.31886024423338
ENSMUSG00000002265,3.582089552238806,5.134328358208955
ENSMUSG00000002274,62.664857530529176,70.70284938941656
ENSMUSG00000002279,55.92401628222524,54.77340569877883
ENSMUSG00000002280,60.021709633649934,62.41519674355496
ENSMUSG00000002289,38.87652645861601,43.38670284938942
ENSMUSG00000002297,93.59023066485753,93.25373134328359
ENSMUSG00000002307,84.18453188602443,83.13161465400272
ENSMUSG00000002308,63.40841248303934,58.57801899592945
ENSMUSG00000002319,53.54681139755767,51.582089552238806
ENSMUSG00000002320,69.81275440976934,69.5685210312076
ENSMUSG00000002324,45.725915875169605,35.99457259158751
ENSMUSG00000002325,91.4246947082768,88.81953867028494
ENSMUSG00000002326,76.23880597014924,73.26458616010855
ENSMUSG00000002329,89.00407055630937,89.16689280868385
ENSMUSG00000002332,65.62279511533244,64.60244233378562
ENSMUSG00000002342,66.01899592944369,66.78968792401628
ENSMUSG00000002343,44.689280868385346,48.5427408412483
ENSMUSG00000002345,83.9674355495251,86.13839891451832
ENSMUSG00000002346,47.185888738127545,47.92944369063772
ENSMUSG00000002365,69.95929443690638,47.24559023066486
ENSMUSG00000002372,81.6336499321574,81.7584803256445
ENSMUSG00000002379,94.96879240162822,94.30122116689282
ENSMUSG00000002393,42.350067842605156,45.687924016282224
ENSMUSG00000002395,96.61329715061059,96.60244233378562
ENSMUSG00000002396,64.81953867028494,63.305291723202174
ENSMUSG00000002409,50.67571234735414,49.215739484396195
ENSMUSG00000002413,59.782903663500676,57.9538670284939
ENSMUSG00000002416,91.7123473541384,91.95115332428765
ENSMUSG00000002428,74.88738127544097,72.640434192673
ENSMUSG00000002455,76.68928086838534,77.03663500678427
ENSMUSG00000002458,87.86974219810041,87.32700135685211
ENSMUSG00000002475,10.008141112618725,15.837177747625509
ENSMUSG00000002477,92.86838534599728,92.91180461329715
ENSMUSG00000002486,51.92401628222524,51.01763907734057
ENSMUSG00000002489,81.6010854816825,72.61329715061058
ENSMUSG00000002496,61.16689280868385,62.94165535956581
ENSMUSG00000002504,18.328358208955223,18.05698778833107
ENSMUSG00000002524,95.73405698778834,96.23337856173677
ENSMUSG00000002546,57.91044776119403,58.76255088195387
ENSMUSG00000002550,76.14654002713705,76.4179104477612
ENSMUSG00000002565,31.25101763907734,25.17232021709634
ENSMUSG00000002578,84.5753052917232,45.525101763907735
ENSMUSG00000002580,94.63772048846675,94.92537313432837
ENSMUSG00000002602,59.06648575305292,47.066485753052916
ENSMUSG00000002603,97.0909090909091,96.63500678426051
ENSMUSG00000002608,63.79918588873813,63.734056987788335
ENSMUSG00000002617,41.75305291723202,39.36499321573949
ENSMUSG00000002625,84.29850746268657,84.19538670284939
ENSMUSG00000002635,64.0325644504749,63.67435549525102
ENSMUSG00000002658,81.00949796472185,81.25373134328359
ENSMUSG00000002660,85.61194029850746,85.02035278154682
ENSMUSG00000002661,70.99592944369064,71.5223880597015
ENSMUSG00000002664,0.0,12.727272727272727
ENSMUSG00000002668,92.24966078697422,93.31343283582089
ENSMUSG00000002679,61.99185888738128,64.0976933514247
ENSMUSG00000002699,92.81411126187245,94.72998643147898
ENSMUSG00000002718,72.49932157394844,72.17910447761194
ENSMUSG00000002728,85.25915875169606,83.81546811397558
ENSMUSG00000002731,54.57259158751696,55.35413839891452
ENSMUSG00000002732,39.26187245590231,38.02442333785617
ENSMUSG00000002733,68.22795115332428,68.5753052917232
ENSMUSG00000002741,70.84938941655359,71.89687924016283
ENSMUSG00000002748,83.52781546811397,84.48303934871099
ENSMUSG00000002763,71.57666214382633,71.2618724559023
ENSMUSG00000002767,74.95793758480326,73.27001356852104
ENSMUSG00000002768,88.94979647218453,87.24016282225237
ENSMUSG00000002769,10.512890094979648,16.347354138398913
ENSMUSG00000002771,15.880597014925375,18.328358208955223
ENSMUSG00000002778,89.27001356852104,87.73405698778834
ENSMUSG00000002781,51.51153324287653,54.10040705563094
ENSMUSG00000002791,15.685210312075984,14.328358208955224
ENSMUSG00000002797,65.67164179104478,73.64993215739484
ENSMUSG00000002799,32.689280868385346,20.130257801899592
ENSMUSG00000002803,64.0,67.84803256445048
ENSMUSG00000002804,74.81139755766621,72.1628222523745
ENSMUSG00000002808,30.27408412483039,27.28358208955224
ENSMUSG00000002812,80.34735413839891,82.24151967435549
ENSMUSG00000002814,46.13297150610583,46.708276797829036
ENSMUSG00000002820,77.47625508819539,76.67842605156038
ENSMUSG00000002825,73.81275440976933,77.06377204884667
ENSMUSG00000002831,5.4382632293080055,4.759837177747626
ENSMUSG00000002833,81.41112618724559,82.16553595658074
ENSMUSG00000002835,68.3853459972863,67.85888738127545
ENSMUSG00000002844,89.21031207598372,85.9484396200814
ENSMUSG00000002845,59.891451831750345,61.6336499321574
ENSMUSG00000002846,53.71506105834464,51.56037991858887
ENSMUSG00000002847,35.00678426051561,5.497964721845318
ENSMUSG00000002870,78.39891451831751,82.51831750339214
ENSMUSG00000002871,64.02170963364993,65.53052917232021
ENSMUSG00000002881,82.80054274084124,87.31614654002713
ENSMUSG00000002885,92.35820895522389,94.49118046132972
ENSMUSG00000002897,87.00135685210311,88.23880597014926
ENSMUSG00000002900,0.0,12.097693351424695
ENSMUSG00000002910,51.98914518317503,54.48575305291723
ENSMUSG00000002944,9.389416553595659,13.530529172320216
ENSMUSG00000002948,74.83853459972863,74.24694708276797
ENSMUSG00000002949,77.76390773405699,79.20217096336499
ENSMUSG00000002957,79.02306648575306,77.23744911804613
ENSMUSG00000002963,80.0651289009498,79.49525101763908
ENSMUSG00000002968,83.99457259158751,83.2293080054274
ENSMUSG00000002980,50.38263229308006,29.275440976933513
ENSMUSG00000002981,85.82903663500679,85.50339213025781
ENSMUSG00000002983,90.87652645861601,92.13568521031208
ENSMUSG00000002984,85.46540027137041,84.95522388059702
ENSMUSG00000002985,63.147896879240164,41.27001356852103
ENSMUSG00000002992,4.135685210312076,5.541383989145183
ENSMUSG00000002996,86.7516960651289,85.35685210312076
ENSMUSG00000002997,36.90094979647218,36.52103120759837
ENSMUSG00000003031,93.31886024423338,91.86431478968792
ENSMUSG00000003032,72.04341926729987,79.64179104477613
ENSMUSG00000003033,84.59701492537313,81.38941655359567
ENSMUSG00000003037,92.32021709633649,93.42198100407056
ENSMUSG00000003038,93.83446404341926,94.88195386702849
ENSMUSG00000003039,94.53459972862957,94.41519674355496
ENSMUSG00000003062,74.45318860244234,78.13839891451832
ENSMUSG00000003068,88.41248303934871,89.63907734056987
ENSMUSG00000003070,21.270013568521033,23.84260515603799
ENSMUSG00000003072,98.078697421981,97.89416553595657
ENSMUSG00000003099,78.06241519674356,80.2550881953867
