gen_name,hematopoietic stem cell
ENSMUSG00000000001,93.22047997338102
ENSMUSG00000000028,97.96614399201431
ENSMUSG00000000037,56.42390716632699
ENSMUSG00000000056,70.09108680281163
ENSMUSG00000000058,63.012103314894155
ENSMUSG00000000078,98.56091169987107
ENSMUSG00000000085,79.0001247764422
ENSMUSG00000000088,91.877053612278
ENSMUSG00000000093,32.870274092251385
ENSMUSG00000000094,31.52684773114836
ENSMUSG00000000120,35.51553466705486
ENSMUSG00000000127,63.04121781807594
ENSMUSG00000000131,86.03751611695711
ENSMUSG00000000134,60.67046541612944
ENSMUSG00000000142,31.127563116083685
ENSMUSG00000000148,61.82256789918063
ENSMUSG00000000149,69.2509254252797
ENSMUSG00000000154,60.40843488749324
ENSMUSG00000000157,20.409266730441292
ENSMUSG00000000167,45.08172856964605
ENSMUSG00000000168,65.3703780726199
ENSMUSG00000000171,93.16641018175768
ENSMUSG00000000182,24.069375701867486
ENSMUSG00000000183,13.450900469991264
ENSMUSG00000000184,99.40107307740298
ENSMUSG00000000194,66.43513704612569
ENSMUSG00000000197,42.24514411679075
ENSMUSG00000000202,15.725990932911865
ENSMUSG00000000204,37.5161169571185
ENSMUSG00000000214,8.99222226843572
ENSMUSG00000000216,3.198436135257663
ENSMUSG00000000223,36.67595557958657
ENSMUSG00000000244,98.71480264526058
ENSMUSG00000000247,5.165744707399243
ENSMUSG00000000248,16.73252090005407
ENSMUSG00000000253,83.74994800981574
ENSMUSG00000000266,55.421536413925054
ENSMUSG00000000275,85.17239945098365
ENSMUSG00000000276,67.81599633989103
ENSMUSG00000000278,63.18263111924469
ENSMUSG00000000282,72.19564946138169
ENSMUSG00000000290,68.08218608326749
ENSMUSG00000000295,84.37798943559456
ENSMUSG00000000296,43.40972424406272
ENSMUSG00000000301,57.11849602794993
ENSMUSG00000000303,21.07058187414216
ENSMUSG00000000305,36.58445285530092
ENSMUSG00000000308,37.628415755105436
ENSMUSG00000000317,52.035935615355825
ENSMUSG00000000318,31.085970968681114
ENSMUSG00000000320,53.34192904379653
ENSMUSG00000000325,51.81965644886245
ENSMUSG00000000326,95.72016803227551
ENSMUSG00000000339,72.43272470157635
ENSMUSG00000000340,62.57122655242691
ENSMUSG00000000346,99.1182464750655
ENSMUSG00000000355,83.8913613109845
ENSMUSG00000000359,6.629788295969721
ENSMUSG00000000365,47.1779727987356
ENSMUSG00000000374,59.730482884831346
ENSMUSG00000000378,89.24842989643555
ENSMUSG00000000384,69.52959281287693
ENSMUSG00000000385,7.648795907332695
ENSMUSG00000000386,47.43168489789128
ENSMUSG00000000392,51.70319843613525
ENSMUSG00000000399,92.6423491244853
ENSMUSG00000000402,31.601713596472987
ENSMUSG00000000409,64.21411637482844
ENSMUSG00000000416,43.84644179178971
ENSMUSG00000000420,88.93232957617602
ENSMUSG00000000435,35.98968514744416
ENSMUSG00000000439,70.12020130599342
ENSMUSG00000000440,35.124568481470696
ENSMUSG00000000441,88.19614856715052
ENSMUSG00000000486,82.31085970968681
ENSMUSG00000000489,56.7815996339891
ENSMUSG00000000530,27.29692634030695
ENSMUSG00000000531,63.20342719294597
ENSMUSG00000000532,62.180260366842745
ENSMUSG00000000538,70.87717838872021
ENSMUSG00000000544,29.742544607578093
ENSMUSG00000000552,49.66518321340931
ENSMUSG00000000555,83.12190658403694
ENSMUSG00000000560,58.05431934450775
ENSMUSG00000000561,93.04579295429023
ENSMUSG00000000562,44.39545813750364
ENSMUSG00000000563,97.64588445701452
ENSMUSG00000000567,37.952834504845484
ENSMUSG00000000568,91.91448654494032
ENSMUSG00000000579,82.1278542611155
ENSMUSG00000000581,97.17173397662522
ENSMUSG00000000594,95.63698373747036
ENSMUSG00000000600,95.66193902591192
ENSMUSG00000000605,87.94243646799484
ENSMUSG00000000606,48.31759763756603
ENSMUSG00000000617,29.58449444744832
ENSMUSG00000000627,54.527305244769785
ENSMUSG00000000628,96.8722705153267
ENSMUSG00000000631,89.35241026494198
ENSMUSG00000000632,55.17614274424989
ENSMUSG00000000673,40.68543858919436
ENSMUSG00000000682,49.74004907873393
ENSMUSG00000000686,67.46246308696918
ENSMUSG00000000690,56.394792663145196
ENSMUSG00000000693,60.62055483924635
ENSMUSG00000000706,19.54415006446783
ENSMUSG00000000708,78.23482926423492
ENSMUSG00000000711,77.32812045085888
ENSMUSG00000000724,33.22796655991349
ENSMUSG00000000731,36.779935948093
ENSMUSG00000000732,42.41567192114129
ENSMUSG00000000738,66.3186790333985
ENSMUSG00000000739,49.80659651457805
ENSMUSG00000000740,99.90849727571435
ENSMUSG00000000743,86.97333943351495
ENSMUSG00000000751,76.11362974670382
ENSMUSG00000000753,92.12244728195317
ENSMUSG00000000759,76.53786965021004
ENSMUSG00000000766,39.32953458387057
ENSMUSG00000000776,80.91336355696045
ENSMUSG00000000782,33.33194692841992
ENSMUSG00000000787,98.76471322214367
ENSMUSG00000000791,58.97766501684482
ENSMUSG00000000792,38.70149315809176
ENSMUSG00000000794,23.37894605498482
ENSMUSG00000000804,80.30611820488292
ENSMUSG00000000811,68.04475315060516
ENSMUSG00000000823,88.46233831052697
ENSMUSG00000000826,95.88237740714554
ENSMUSG00000000827,95.13371875389926
ENSMUSG00000000838,83.83729151936114
ENSMUSG00000000861,98.72312107474109
ENSMUSG00000000869,61.993095703531175
ENSMUSG00000000876,81.04229921390841
ENSMUSG00000000881,69.00553175560454
ENSMUSG00000000884,68.10298215696876
ENSMUSG00000000889,17.01118828765129
ENSMUSG00000000901,42.32000998211537
ENSMUSG00000000902,90.20920850143493
ENSMUSG00000000915,80.24372998377906
ENSMUSG00000000916,81.77848022293391
ENSMUSG00000000934,55.562949715093794
ENSMUSG00000000938,71.40123944599259
ENSMUSG00000000942,51.27895853262904
ENSMUSG00000000948,44.41209499646467
ENSMUSG00000000957,67.39591565112507
ENSMUSG00000000958,65.65736388969763
ENSMUSG00000000959,84.80638855384103
ENSMUSG00000000976,77.90209208501435
ENSMUSG00000000982,61.20700411762259
