gen_name,granulocyte macrophage progenitor,lymphoid-primed multipotent progenitor,multi-lymphoid progenitor
ENSG00000000003,34.96986194827921,40.47734785144857,46.757728951973554
ENSG00000000419,81.92689091969667,86.6566206494264,70.67859226132607
ENSG00000000457,74.93680731090802,71.6896752867976,91.15788450320824
ENSG00000000460,68.80711646898698,66.94536262881586,49.82014388489209
ENSG00000000971,82.04841532179663,80.8477542290492,41.34260159440016
ENSG00000001036,86.79272797977833,81.94633482403266,71.02858253937391
ENSG00000001084,56.64009333074082,82.03383239354463,83.02547151468015
ENSG00000001167,85.00874975695119,35.72817421738285,88.20727202022167
ENSG00000001460,63.498930585261526,62.16216216216216,55.05055415127358
ENSG00000001461,82.7046470931363,86.98716702313824,88.88780867198133
ENSG00000001497,86.49620843865449,88.70795255687341,70.89733618510597
ENSG00000001561,76.75967334240715,85.73303519346685,38.246159828893646
ENSG00000001626,37.35174022943807,50.938168384211544,52.44993194633483
ENSG00000001629,66.00719424460432,82.16507874781256,83.35601788839199
ENSG00000001630,93.78767256465098,95.814699591678,94.41473847948669
ENSG00000001631,80.22068831421349,78.00408321991056,78.61170523041027
ENSG00000002016,86.2580206105386,86.2531596344546,90.32665759284464
ENSG00000002079,19.769589733618513,19.429321407738673,26.78883919891114
ENSG00000002330,68.04880419988334,63.503791561345516,66.99397238965584
ENSG00000002549,92.01341629399184,90.98775034026832,90.68150884697647
ENSG00000002586,98.12852420766089,98.91600233326852,99.09099747229244
ENSG00000002587,61.52051331907447,33.749756951195806,41.88703091580789
ENSG00000002726,21.752867975889558,19.370989694730703,30.259576122885473
ENSG00000002746,32.83589344740424,39.80167217577289,54.66167606455377
ENSG00000002822,64.67042582150496,60.927474236826754,66.22107719230021
ENSG00000002834,66.56134551818005,59.1678008944196,52.27007583122691
ENSG00000002919,30.517207855337354,28.888780867198133,36.55454015166245
ENSG00000002933,22.827143690453042,0.0,36.40384989305853
ENSG00000003056,92.0766089830838,95.36748979195022,93.14116274547929
ENSG00000003096,63.450320824421546,73.24518763367685,31.246354267937004
ENSG00000003147,91.14816255104024,93.57378961695508,86.4719035582345
ENSG00000003249,21.85008749756951,29.10266381489403,28.83531013027416
ENSG00000003393,75.29651954112386,78.90822477153412,78.91794672370212
ENSG00000003400,78.5339296130663,89.51001361073303,74.18335601788839
ENSG00000003402,93.21893836282325,93.31129690841921,91.40093330740812
ENSG00000003436,97.2924363212133,99.02294380711648,98.1188022554929
ENSG00000003509,62.541318296713975,56.217188411433014,69.88625315963446
ENSG00000003756,87.89130857476182,91.4592650204161,95.23624343768229
ENSG00000003987,65.12735757340073,25.296519541123857,19.7938946140385
ENSG00000003989,28.281158856698426,31.99980556095664,34.60528874197939
ENSG00000004059,84.09488625315964,87.54131829671398,84.07058137273965
ENSG00000004139,38.173245187633675,45.50845809838616,47.45284853198522
ENSG00000004142,77.58117830060276,77.44507097025082,67.58215049581956
ENSG00000004399,55.298463931557464,47.909780283881005,66.74606260937196
ENSG00000004455,95.71261909391406,92.88839198911141,93.1168578650593
ENSG00000004468,93.19949445848727,58.90044720979972,57.267159245576515
ENSG00000004478,83.37546179272798,79.20474431265798,68.82169939723897
ENSG00000004487,90.5988722535485,86.33093525179856,89.10655259576123
ENSG00000004534,96.58273381294964,97.26327046470932,98.57573400738869
ENSG00000004660,65.25860392766867,47.593816838421155,35.04763756562318
ENSG00000004700,76.35621232743534,64.582928251993,86.98230604705425
