gen_name,embryonic stem cell,epiblast cell,induced pluripotent stem cell
ENSMUSG00000000001,94.17345685902444,97.45879376418499,96.26074338653868
ENSMUSG00000000028,94.4785504334561,92.80797708077539,93.5632697101611
ENSMUSG00000000037,61.5916955017301,48.59917401495702,64.12173977750493
ENSMUSG00000000049,0.0,0.0,18.703724374000075
ENSMUSG00000000056,75.38043680470291,86.51635227145886,78.26394314841686
ENSMUSG00000000058,0.0,57.74081928786695,58.81608810507125
ENSMUSG00000000078,74.30888864084532,86.54983815157942,90.4453622056033
ENSMUSG00000000085,72.36298694050676,67.94285076459427,70.24965583956543
ENSMUSG00000000088,98.90984856940878,97.28392305688878,98.8986866093686
ENSMUSG00000000093,0.0,43.148416862000964,35.97499720950999
ENSMUSG00000000094,54.52617479629423,56.34557428284407,41.64527290992298
ENSMUSG00000000103,21.241209956468357,30.684228150463223,25.702273319194852
ENSMUSG00000000120,88.41016482494327,60.46805819101835,92.26476169215314
ENSMUSG00000000125,42.91773635450385,75.97202068683261,65.66953156974364
ENSMUSG00000000126,0.0,57.952896528630426,57.83011496818842
ENSMUSG00000000127,86.06243256315808,72.31833910034602,81.96599322841091
ENSMUSG00000000131,89.65658369609703,90.34118391189493,88.2129701975667
ENSMUSG00000000134,92.05268445138967,93.44048814971909,91.04810804777318
ENSMUSG00000000142,72.89876102243554,50.53391375525542,62.96461658667262
ENSMUSG00000000148,75.63344123228039,76.2547903411839,76.78684376976597
ENSMUSG00000000149,65.1784053279756,74.32005060088551,69.35297838300406
ENSMUSG00000000154,59.08025449268892,44.785504334561146,70.78915057484095
ENSMUSG00000000159,0.0,0.0,28.671354689883543
ENSMUSG00000000167,52.82211556349294,56.66555047066265,56.22651337574878
ENSMUSG00000000168,90.32630129850801,91.49830710272724,90.6053502995126
ENSMUSG00000000171,95.70636603787625,95.31569743646985,95.97797373218737
ENSMUSG00000000182,48.048517319641334,20.091528072329503,25.873423373144323
ENSMUSG00000000183,25.438106931577188,30.152174721881163,18.171670945418015
ENSMUSG00000000184,57.792908434721134,95.68776277114262,78.73646612345128
ENSMUSG00000000194,90.64255683297986,82.97801093872084,84.86438218551177
ENSMUSG00000000197,55.54563381329761,54.77173791717826,44.25345090597909
ENSMUSG00000000202,0.0,74.63258548201064,41.88339472411356
ENSMUSG00000000204,32.16504818246084,0.0,33.839342188488295
ENSMUSG00000000214,0.0,0.0,31.372549019607842
ENSMUSG00000000215,45.12036313576664,35.97499720950999,36.36938646426312
ENSMUSG00000000216,0.0,20.85054135506195,47.434609517431255
ENSMUSG00000000223,53.13092979127134,47.41600625069762,47.54250846448637
ENSMUSG00000000244,68.77627711426126,52.65840681623693,57.342709379767086
ENSMUSG00000000247,24.24005655393087,30.055437734866242,39.83703538341333
ENSMUSG00000000248,33.83190088179484,48.6363805484243,40.919745507311085
ENSMUSG00000000253,68.11400081854374,61.66982922201139,58.99095881236745
ENSMUSG00000000263,26.494772482047846,0.0,21.017970755664695
ENSMUSG00000000266,26.691967109424414,33.69423670796592,49.7116493656286
ENSMUSG00000000275,84.28023961007553,39.84819734345351,67.05733526807307
ENSMUSG00000000276,73.82148305242401,64.27800721806749,66.51411987945083
ENSMUSG00000000278,97.35089481712988,91.81084198385237,96.85232726866838
ENSMUSG00000000282,65.8109163969193,63.18413513412955,65.99694906425569
ENSMUSG00000000290,0.0,57.056219072069055,49.23540573724746
ENSMUSG00000000295,83.42820999367488,87.71812330245191,88.39156155820962
ENSMUSG00000000296,83.92305688878967,73.11455891654575,79.5066413662239
ENSMUSG00000000301,64.21475611117312,70.17524277263088,77.91792238717119
ENSMUSG00000000303,96.97138817576366,95.19291587602783,92.52148677307736
ENSMUSG00000000305,46.66815492800536,68.71674666071362,54.95777058451464
ENSMUSG00000000308,84.410462477211,80.98746139822153,83.49146110056927
ENSMUSG00000000317,48.5284816013692,62.023291289950514,46.78349518175391
ENSMUSG00000000318,43.085165755106594,18.558618893477693,47.15556051642669
ENSMUSG00000000320,64.15894631097221,55.333556572534135,61.76656620902631
ENSMUSG00000000325,78.98202924433531,77.83234736019645,86.62425121851398
ENSMUSG00000000326,89.44450645533357,91.18577222160211,90.58302637943223
ENSMUSG00000000339,90.37094913866875,93.1056293485136,91.34203966216468
ENSMUSG00000000340,75.38787811139636,72.40019347397403,72.40763478066748
ENSMUSG00000000346,95.31941808981658,92.47683893291662,94.74271682107378
ENSMUSG00000000355,82.27852810953603,86.18893477694684,87.50976671503517
ENSMUSG00000000359,0.0,0.0,36.912601852885366
ENSMUSG00000000365,93.2656174424229,48.74800014882613,70.4617330803289
ENSMUSG00000000374,60.021579789411014,64.73564757971499,64.40450943185624
ENSMUSG00000000378,84.53696469099974,89.72355545633813,85.96941622948991
ENSMUSG00000000381,0.0,0.0,15.277002641663875
ENSMUSG00000000384,92.77821185400155,91.24902332849648,90.2965360717342
ENSMUSG00000000385,0.0,0.0,30.85909885775942
ENSMUSG00000000386,53.555084272798304,50.347881087919035,52.01473378725304
ENSMUSG00000000392,43.48699631655319,30.234029095509175,34.36023365703018
ENSMUSG00000000399,96.60676414778435,96.24214011980504,97.13509692301969
ENSMUSG00000000402,66.35041113219481,40.12352569111136,45.935186218700004
