gen_name,blood cell
ENSDARG00000000001,58.49580838323353
ENSDARG00000000018,88.40239520958085
ENSDARG00000000019,88.74251497005989
ENSDARG00000000068,83.27185628742515
ENSDARG00000000069,92.12934131736526
ENSDARG00000000086,57.52814371257485
ENSDARG00000000103,70.04550898203593
ENSDARG00000000142,24.100598802395208
ENSDARG00000000151,73.19281437125748
ENSDARG00000000161,26.45748502994012
ENSDARG00000000175,0.9053892215568862
ENSDARG00000000183,49.691017964071854
ENSDARG00000000189,34.38083832335329
ENSDARG00000000229,47.688622754491014
ENSDARG00000000241,82.84071856287424
ENSDARG00000000324,49.135329341317366
ENSDARG00000000349,5.034730538922156
ENSDARG00000000370,9.81556886227545
ENSDARG00000000380,7.746107784431137
ENSDARG00000000394,86.20838323353294
ENSDARG00000000423,79.90898203592815
ENSDARG00000000442,34.02634730538922
ENSDARG00000000460,38.91736526946108
ENSDARG00000000472,2.332934131736527
ENSDARG00000000476,52.867065868263474
ENSDARG00000000489,73.06826347305389
ENSDARG00000000503,25.978443113772453
ENSDARG00000000516,2.6491017964071855
ENSDARG00000000529,39.38203592814371
ENSDARG00000000540,77.61916167664671
ENSDARG00000000542,69.11616766467066
ENSDARG00000000551,44.68023952095808
ENSDARG00000000563,8.095808383233532
ENSDARG00000000567,44.4934131736527
ENSDARG00000000568,78.90778443113773
ENSDARG00000000588,86.43832335329341
ENSDARG00000000606,14.50059880239521
ENSDARG00000000631,81.61437125748503
ENSDARG00000000638,25.120958083832335
ENSDARG00000000651,28.694610778443113
ENSDARG00000000656,89.27425149700599
ENSDARG00000000666,80.56526946107785
ENSDARG00000000690,95.27185628742515
ENSDARG00000000729,75.74131736526945
ENSDARG00000000730,73.58562874251497
ENSDARG00000000747,41.06826347305389
ENSDARG00000000760,59.61197604790419
ENSDARG00000000767,98.88383233532933
ENSDARG00000000779,82.97005988023952
ENSDARG00000000796,91.26706586826347
ENSDARG00000000804,18.879041916167665
ENSDARG00000000830,56.364071856287424
ENSDARG00000000837,71.63592814371258
ENSDARG00000000853,74.34251497005988
ENSDARG00000000857,91.62634730538922
ENSDARG00000000861,64.04311377245509
ENSDARG00000000887,20.507784431137726
ENSDARG00000000906,96.50778443113772
ENSDARG00000000935,88.56526946107785
ENSDARG00000000943,4.320958083832335
ENSDARG00000000966,94.72574850299401
ENSDARG00000001014,84.30658682634731
ENSDARG00000001015,82.14610778443114
ENSDARG00000001057,93.36526946107784
ENSDARG00000001129,87.91377245508983
ENSDARG00000001162,87.81317365269462
ENSDARG00000001169,48.378443113772455
ENSDARG00000001210,66.55808383233533
ENSDARG00000001220,94.35209580838323
ENSDARG00000001234,32.033532934131735
ENSDARG00000001241,93.01077844311378
ENSDARG00000001244,95.26706586826347
ENSDARG00000001249,59.92335329341317
ENSDARG00000001303,96.46946107784431
ENSDARG00000001313,65.29820359281437
ENSDARG00000001354,52.85748502994012
ENSDARG00000001414,22.855089820359282
ENSDARG00000001431,28.26826347305389
ENSDARG00000001442,27.017964071856287
ENSDARG00000001447,54.285029940119756
ENSDARG00000001452,96.7808383233533
ENSDARG00000001463,41.307784431137726
ENSDARG00000001470,95.09940119760479
ENSDARG00000001498,73.26946107784431
ENSDARG00000001549,44.297005988023955
ENSDARG00000001557,74.4
ENSDARG00000001558,82.43832335329341
ENSDARG00000001572,37.24071856287425
ENSDARG00000001578,92.6562874251497
ENSDARG00000001621,61.31736526946108
ENSDARG00000001634,41.55688622754491
ENSDARG00000001656,93.29820359281436
ENSDARG00000001676,56.75688622754491
ENSDARG00000001710,39.18562874251497
ENSDARG00000001712,47.568862275449106
ENSDARG00000001721,6.888622754491018
ENSDARG00000001729,86.17005988023952
ENSDARG00000001733,33.67664670658683
ENSDARG00000001734,66.10299401197605
ENSDARG00000001754,84.82874251497006
ENSDARG00000001760,39.046706586826346
ENSDARG00000001767,81.15449101796408
ENSDARG00000001769,41.38922155688623
ENSDARG00000001776,37.293413173652695
ENSDARG00000001777,61.63353293413174
ENSDARG00000001781,26.409580838323354
ENSDARG00000001782,90.9556886227545
ENSDARG00000001785,37.06347305389222
ENSDARG00000001788,98.74970059880239
ENSDARG00000001803,27.91377245508982
ENSDARG00000001804,37.20239520958084
ENSDARG00000001807,81.92574850299401
ENSDARG00000001817,32.6562874251497
ENSDARG00000001818,19.07544910179641
ENSDARG00000001825,30.931736526946107
ENSDARG00000001829,77.58562874251497
ENSDARG00000001835,65.74850299401199
ENSDARG00000001857,58.428742514970054
ENSDARG00000001870,57.17844311377246
ENSDARG00000001873,8.85748502994012
ENSDARG00000001879,40.9437125748503
ENSDARG00000001880,73.99760479041916
ENSDARG00000001881,23.559281437125748
ENSDARG00000001888,81.83952095808384
ENSDARG00000001889,20.45988023952096
ENSDARG00000001890,78.92694610778443
ENSDARG00000001891,28.464670658682635
ENSDARG00000001897,83.3437125748503
ENSDARG00000001898,68.15808383233532
ENSDARG00000001906,28.38323353293413
ENSDARG00000001909,22.294610778443115
ENSDARG00000001910,78.0119760479042
ENSDARG00000001912,22.864670658682634
ENSDARG00000001913,55.67904191616766
ENSDARG00000001929,41.17365269461078
ENSDARG00000001930,68.94371257485031
ENSDARG00000001933,66.15089820359282
ENSDARG00000001937,69.78203592814371
ENSDARG00000001939,65.55688622754491
ENSDARG00000001940,91.1185628742515
ENSDARG00000001950,94.39041916167665
ENSDARG00000001953,62.09820359281437
ENSDARG00000001968,54.37125748502994
ENSDARG00000001969,55.875449101796406
ENSDARG00000001971,25.623952095808384
ENSDARG00000001975,14.553293413173652
ENSDARG00000001993,28.852694610778446
ENSDARG00000001999,29.25508982035928
ENSDARG00000002002,51.9377245508982
ENSDARG00000002006,61.94491017964072
ENSDARG00000002013,62.22275449101796
ENSDARG00000002016,77.62874251497006
ENSDARG00000002020,63.29101796407186
ENSDARG00000002021,90.1940119760479
ENSDARG00000002026,24.613173652694613
ENSDARG00000002031,63.817964071856295
ENSDARG00000002037,20.076646706586825
ENSDARG00000002060,51.98562874251497
ENSDARG00000002071,35.10898203592814
ENSDARG00000002077,59.774850299401194
ENSDARG00000002082,95.58802395209581
ENSDARG00000002097,39.91856287425149
ENSDARG00000002127,79.25269461077843
ENSDARG00000002128,66.9940119760479
ENSDARG00000002131,94.95568862275448
ENSDARG00000002165,94.6059880239521
ENSDARG00000002167,22.491017964071855
ENSDARG00000002168,81.50419161676646
ENSDARG00000002172,39.00838323353293
ENSDARG00000002174,71.87065868263474
ENSDARG00000002184,73.71017964071856
ENSDARG00000002190,89.77724550898203
ENSDARG00000002194,96.15808383233532
ENSDARG00000002196,82.21796407185629
ENSDARG00000002210,33.90658682634731
ENSDARG00000002213,64.61317365269461
ENSDARG00000002215,74.03592814371257
ENSDARG00000002216,21.868263473053894
ENSDARG00000002217,76.8191616766467
ENSDARG00000002219,35.00359281437126
ENSDARG00000002220,72.03353293413174
ENSDARG00000002230,38.58682634730539
ENSDARG00000002231,4.244311377245509
ENSDARG00000002235,29.307784431137723
ENSDARG00000002240,93.88263473053892
ENSDARG00000002249,73.08742514970061
ENSDARG00000002255,0.2155688622754491
ENSDARG00000002264,62.91257485029939
ENSDARG00000002267,82.38083832335329
ENSDARG00000002271,81.38443113772456
ENSDARG00000002285,71.80359281437126
ENSDARG00000002293,28.153293413173653
ENSDARG00000002298,67.2622754491018
ENSDARG00000002299,27.252694610778445
ENSDARG00000002300,61.01077844311378
ENSDARG00000002304,77.6814371257485
ENSDARG00000002305,85.5185628742515
ENSDARG00000002332,37.944910179640715
ENSDARG00000002333,54.773652694610774
ENSDARG00000002336,35.880239520958085
ENSDARG00000002339,72.92455089820359
ENSDARG00000002344,99.48263473053892
ENSDARG00000002353,69.71976047904191
ENSDARG00000002355,25.609580838323353
ENSDARG00000002362,77.44191616766467
ENSDARG00000002365,70.24191616766467
ENSDARG00000002369,96.6562874251497
ENSDARG00000002377,27.21437125748503
ENSDARG00000002385,69.30299401197605
ENSDARG00000002396,78.74491017964071
ENSDARG00000002401,70.71616766467066
ENSDARG00000002402,64.85269461077844
ENSDARG00000002403,82.77365269461077
ENSDARG00000002405,76.96766467065869
ENSDARG00000002406,12.37365269461078
ENSDARG00000002411,71.33892215568862
ENSDARG00000002445,31.003592814371256
ENSDARG00000002463,12.004790419161676
ENSDARG00000002467,66.82155688622754
ENSDARG00000002479,50.97964071856288
ENSDARG00000002483,10.682634730538922
ENSDARG00000002487,75.02754491017964
ENSDARG00000002494,46.52455089820359
ENSDARG00000002506,73.08263473053891
ENSDARG00000002507,64.48383233532934
ENSDARG00000002508,24.25389221556886
ENSDARG00000002509,28.799999999999997
ENSDARG00000002523,88.28263473053892
ENSDARG00000002533,47.82754491017964
ENSDARG00000002536,81.19760479041916
ENSDARG00000002538,87.25748502994011
ENSDARG00000002546,5.72934131736527
ENSDARG00000002549,69.75329341317365
ENSDARG00000002552,92.35928143712574
ENSDARG00000002571,69.22634730538923
ENSDARG00000002576,30.42395209580838
ENSDARG00000002582,53.66227544910179
