gen_name,extra thymic aire-expressing cells
ENSG00000000003,54.386923688394276
ENSG00000000419,64.13950715421304
ENSG00000000457,79.3918918918919
ENSG00000000460,58.96263910969793
ENSG00000000938,97.83386327503975
ENSG00000000971,18.21343402225755
ENSG00000001036,77.33505564387917
ENSG00000001084,84.33028616852147
ENSG00000001167,66.3702305246423
ENSG00000001460,57.934220985691574
ENSG00000001461,68.2283386327504
ENSG00000001497,72.1681240063593
ENSG00000001561,51.669316375198726
ENSG00000001617,17.423489666136724
ENSG00000001626,46.83525437201908
ENSG00000001629,76.89288553259142
ENSG00000001630,53.42309220985692
ENSG00000001631,74.87579491255963
ENSG00000002016,82.59638314785374
ENSG00000002079,13.195548489666137
ENSG00000002330,67.49304451510334
ENSG00000002549,98.47476152623211
ENSG00000002586,71.31359300476947
ENSG00000002587,78.43302861685216
ENSG00000002726,97.6599761526232
ENSG00000002745,13.096184419713833
ENSG00000002746,26.7587440381558
ENSG00000002822,69.84797297297297
ENSG00000002834,92.8358505564388
ENSG00000002919,94.0381558028617
ENSG00000002933,99.36406995230524
ENSG00000003056,97.35691573926869
ENSG00000003137,20.33485691573927
ENSG00000003147,38.38930842607313
ENSG00000003249,35.661764705882355
ENSG00000003393,77.57849761526232
ENSG00000003400,56.33445945945946
ENSG00000003402,99.32432432432432
ENSG00000003436,93.91891891891892
ENSG00000003509,49.79630365659777
ENSG00000003756,96.21422893481717
ENSG00000003987,43.30286168521463
ENSG00000003989,17.905405405405407
ENSG00000004059,96.75576311605724
ENSG00000004139,47.5258346581876
ENSG00000004142,83.34161367249602
ENSG00000004399,94.93243243243244
ENSG00000004455,90.14308426073131
ENSG00000004468,83.1379173290938
ENSG00000004478,57.81498410174881
ENSG00000004487,62.18700317965023
ENSG00000004534,95.4441573926868
ENSG00000004660,39.93938791732909
ENSG00000004700,68.18859300476947
ENSG00000004766,66.6981319554849
ENSG00000004777,36.158585055643876
ENSG00000004779,74.62241653418124
ENSG00000004799,65.70945945945947
ENSG00000004809,25.193759936406995
ENSG00000004846,43.80961844197138
ENSG00000004848,34.6681240063593
ENSG00000004864,71.99920508744037
ENSG00000004866,62.94217011128775
ENSG00000004897,88.5383545310016
ENSG00000004939,37.57949125596184
ENSG00000004961,63.05147058823529
ENSG00000004975,56.63751987281399
ENSG00000005001,25.134141494435614
ENSG00000005007,72.71462639109699
ENSG00000005020,88.3445945945946
ENSG00000005022,97.29232909379968
ENSG00000005059,66.65838632750398
ENSG00000005073,7.636128775834658
ENSG00000005075,66.12678855325915
ENSG00000005100,50.80484896661367
ENSG00000005108,85.63195548489666
ENSG00000005156,68.9785373608903
ENSG00000005175,69.71879968203497
ENSG00000005187,84.31538155802862
ENSG00000005189,20.91116852146264
ENSG00000005194,78.75099364069952
ENSG00000005206,55.45011923688394
ENSG00000005238,81.39407790143083
ENSG00000005243,26.251987281399046
ENSG00000005249,48.430047694753576
ENSG00000005302,80.84757551669315
