gen_name,fibroblast,mouse embryonic stem cell
ENSMUSG00000000001,93.06100308770759,83.0885421013102
ENSMUSG00000000028,86.50171075690561,88.03304681632312
ENSMUSG00000000037,39.376616873904695,32.93415672202287
ENSMUSG00000000049,37.090044229324874,27.43469915713928
ENSMUSG00000000056,64.44963698572978,63.978135692230666
ENSMUSG00000000058,78.66143703580072,44.45881665693065
ENSMUSG00000000078,93.87882834014854,80.76858883418176
ENSMUSG00000000085,77.40549111240924,66.1395310022532
ENSMUSG00000000088,97.03329717099224,98.9777184344488
ENSMUSG00000000093,33.213719435867475,0.0
ENSMUSG00000000094,38.92180589167988,30.86038554619044
ENSMUSG00000000103,0.0,42.77726779604439
ENSMUSG00000000120,26.333138613035135,76.77125928398564
ENSMUSG00000000125,0.0,39.94826003504966
ENSMUSG00000000126,47.32955019611116,42.33080196945673
ENSMUSG00000000127,80.48485354251856,71.84344488024702
ENSMUSG00000000131,82.97170992239006,85.75899190519904
ENSMUSG00000000134,75.28582158057247,79.90486522573646
ENSMUSG00000000142,51.948593841275134,97.10423099390803
ENSMUSG00000000148,66.56930651756655,67.7751815071351
ENSMUSG00000000149,85.91337728448636,76.62939163815406
ENSMUSG00000000154,49.5243261286823,57.44387882834015
ENSMUSG00000000167,65.40098472836519,71.50546607694234
ENSMUSG00000000168,85.52115496954018,83.81457064174246
ENSMUSG00000000171,96.06108653926397,97.37127597429692
ENSMUSG00000000182,7.944588166569306,12.830676792122173
ENSMUSG00000000183,16.268880914629058,14.800133522490194
ENSMUSG00000000184,99.33238754902779,58.224150880413916
ENSMUSG00000000194,84.76174580655929,85.25828256696988
ENSMUSG00000000197,33.78536259701244,40.532420929650335
ENSMUSG00000000204,10.698489526829675,26.053575899190516
ENSMUSG00000000214,0.0,44.47133439038638
ENSMUSG00000000215,22.569473420679294,32.59200534089961
ENSMUSG00000000223,35.73812901610615,37.198531252607864
ENSMUSG00000000244,31.231744972043728,66.06442460151882
ENSMUSG00000000247,31.60310439789702,41.325210715179836
ENSMUSG00000000248,45.376783777017444,13.802887423850455
ENSMUSG00000000253,68.98105649670366,61.115747308687304
ENSMUSG00000000266,57.009930735208215,18.60969707085037
ENSMUSG00000000275,60.443962279896525,84.06075273303847
ENSMUSG00000000276,65.65551197529834,85.87999666193774
ENSMUSG00000000278,94.10414754235167,94.08745723107737
ENSMUSG00000000282,54.80680964699992,64.88775765668031
ENSMUSG00000000290,39.86898105649671,30.46816323124426
ENSMUSG00000000295,81.19836434949512,80.27205207377118
ENSMUSG00000000296,55.495284987065006,75.06050237836935
ENSMUSG00000000301,59.480096803805395,52.0070099307352
ENSMUSG00000000303,13.010097638320955,93.92472669615289
ENSMUSG00000000305,46.14453809563548,64.31194191771677
ENSMUSG00000000308,51.731619794709175,77.05082199783025
ENSMUSG00000000317,45.53534173412334,48.193273804556455
ENSMUSG00000000320,43.615955937578235,61.558040557456394
ENSMUSG00000000325,59.392472669615294,76.13285487774347
ENSMUSG00000000326,99.86647750980556,99.63698572978386
ENSMUSG00000000339,79.40832846532588,79.1746641074856
ENSMUSG00000000340,64.31194191771677,73.68355169823917
ENSMUSG00000000346,96.64942001168322,93.04431277643329
ENSMUSG00000000355,89.88984394558959,82.01618960193608
ENSMUSG00000000359,61.69573562546942,22.381707418843362
ENSMUSG00000000365,35.91337728448635,87.3487440540766
ENSMUSG00000000374,60.260368855879165,54.518901777518145
ENSMUSG00000000378,94.63406492531085,83.23040974714179
ENSMUSG00000000384,80.47233580906283,92.87740966369023
ENSMUSG00000000386,44.834348660602515,47.054160060085124
ENSMUSG00000000392,39.030292914962864,35.696403237920386
ENSMUSG00000000399,96.1069848952683,97.57573228740716
ENSMUSG00000000402,30.68096469999165,76.48335141450387
