gen_name,embryonic stem cell,induced pluripotent stem cell,neuron
ENSG00000000003,90.25085964363863,98.76523913723038,83.41278524538919
ENSG00000000005,80.21647389809316,20.354016880275086,0.0
ENSG00000000419,72.94467020944046,82.45545482963425,74.26148796498906
ENSG00000000457,74.05439199749921,73.05017192872772,71.73335417317912
ENSG00000000460,77.0709596748984,71.15114098155674,70.65489215379806
ENSG00000000938,0.0,9.885901844326352,0.0
ENSG00000000971,41.85683025945608,42.03266645826821,36.03079087214754
ENSG00000001036,79.75539231009691,74.84370115661144,66.59893716786496
ENSG00000001084,60.96827133479212,72.51094091903721,64.56314473272899
ENSG00000001167,78.39949984370116,73.98405751797436,85.57752422632072
ENSG00000001460,61.10503282275711,60.796342607064716,68.75195373554236
ENSG00000001461,73.25336042513285,78.82150672085027,89.0121913097843
ENSG00000001497,79.63426070647077,80.84948421381681,74.05829946858393
ENSG00000001561,61.8552672710222,70.27195998749609,62.99624882775867
ENSG00000001617,0.0,33.268208815254766,35.36261331666146
ENSG00000001626,66.25507971241012,52.98530790872148,67.732103782432
ENSG00000001629,93.49796811503595,90.12191309784308,93.51359799937481
ENSG00000001630,98.63629259143482,97.89778055642388,98.55814316974055
ENSG00000001631,82.13894967177244,86.50750234448266,81.13472960300093
ENSG00000002016,93.45107846201938,90.18443263519849,91.92325726789622
ENSG00000002079,45.06877149109096,27.17646139418568,33.776180056267584
ENSG00000002330,65.66505157861832,63.47296030009378,66.92716473898092
ENSG00000002549,72.01859956236324,80.96670834635825,76.94201312910285
ENSG00000002586,91.94279462331978,84.1434823382307,80.81040950296968
ENSG00000002587,48.550328227571114,47.202250703344795,64.34432635198499
ENSG00000002726,29.642075648640198,24.652235073460457,28.36433260393873
ENSG00000002745,35.70647077211629,15.39152860268834,0.0
ENSG00000002746,88.07439824945295,64.45373554235698,89.30915911222257
ENSG00000002822,75.5001562988434,69.13879337292904,67.43904345107846
ENSG00000002834,75.57439824945295,75.30478274460769,77.00844013754298
ENSG00000002919,69.77571115973743,65.04767114723352,70.08440137542982
ENSG00000002933,47.11237886839638,53.96608315098468,40.977649265395435
ENSG00000003056,90.61034698343232,94.92419506095655,87.6953735542357
ENSG00000003096,77.12957174116912,80.86902156924039,39.82494529540481
ENSG00000003137,44.162238199437326,24.042669584245075,26.844326351984993
ENSG00000003147,61.8279149734292,61.16755236011253,60.22585182869646
ENSG00000003249,62.03501094091904,49.476398874648325,70.71350422006877
ENSG00000003393,85.765082838387,84.42872772741482,84.20990934667083
ENSG00000003400,65.99327914973429,61.35901844326352,65.05548608940293
ENSG00000003402,96.62003751172242,95.13129102844638,96.87011566114411
ENSG00000003436,96.92872772741482,97.32728977805564,95.68615192247577
ENSG00000003509,76.00422006877149,73.37058455767426,73.70271959987497
ENSG00000003756,98.30806502031885,97.69068458893403,98.63238512035011
ENSG00000003987,68.29477961863081,67.54454517036575,77.00062519537354
ENSG00000003989,44.396686464520165,51.34807752422632,33.416692716473904
ENSG00000004059,75.0,76.44185683025945,76.23476086276962
ENSG00000004139,69.04110659581119,67.40387621131603,68.4002813379181
ENSG00000004142,81.39653016567678,75.54313848077524,80.13441700531416
ENSG00000004399,50.01953735542357,46.498905908096276,62.160050015629885
ENSG00000004455,77.64926539543607,84.15520475148483,79.65379806189435
ENSG00000004468,54.72413254141919,54.825726789621754,56.716942794623314
ENSG00000004478,62.48046264457643,69.02156924038762,70.75257893091592
ENSG00000004487,93.75976867771179,92.99390434510785,95.93623007189747
ENSG00000004534,98.82385120350109,98.26899030947172,98.81994373241638
ENSG00000004660,60.50328227571116,47.424976555173494,52.8524538918412
ENSG00000004700,79.39590497030322,85.60096905282902,81.33791809940605
ENSG00000004766,78.32135042200687,78.09471709909347,85.3469834323226
ENSG00000004776,0.0,26.645045326664587,0.0
ENSG00000004777,52.98140043763676,41.704438887152236,52.41481713035323
ENSG00000004779,86.41763050953422,88.0626758361988,84.97968115035948
ENSG00000004799,28.09471709909347,38.63707408565177,0.0
ENSG00000004809,51.53172866520788,52.28587058455767,58.197874335729914
ENSG00000004838,0.0,47.66723976242576,44.939824945295406
ENSG00000004846,47.139731165989375,45.377461706783365,46.29571741169115
ENSG00000004848,77.70006251953735,67.5601750547046,69.22866520787746
ENSG00000004864,60.76899030947172,80.63457330415756,60.77289778055642
ENSG00000004866,88.68396373866834,87.03110346983432,93.73241638011879
ENSG00000004897,87.51562988433885,91.33322913410441,93.88090028133792
ENSG00000004939,58.27993122850891,48.50343857455455,52.516411378555794
ENSG00000004948,0.0,15.055486089402939,0.0
ENSG00000004961,65.45795561112848,75.33994998437011,42.53673022819631
ENSG00000004975,49.351359799937484,56.798999687402315,57.525789309159116
ENSG00000005007,42.6734917161613,60.59315411065958,41.43873085339169
ENSG00000005020,37.80478274460769,56.51375429821819,41.2199124726477
ENSG00000005022,97.67114723351047,98.08924663957487,97.63597999374805
ENSG00000005059,59.69443576117537,58.01031572366364,53.356517661769296
ENSG00000005073,25.984682713347922,35.737730540794,0.0
ENSG00000005075,81.36917786808378,85.3196311347296,79.91559862457018
ENSG00000005100,81.46295717411691,89.46545795561113,88.77383557361675
ENSG00000005108,98.59331040950296,86.89043451078462,98.5464207564864
ENSG00000005156,77.18427633635511,84.85073460456393,71.9795248515161
ENSG00000005175,81.90450140668959,86.54657705532979,71.07299155986246
ENSG00000005187,58.46358236949046,62.691466083150985,61.261331666145665
ENSG00000005189,70.97921225382933,66.12222569552986,62.61331666145671
ENSG00000005194,91.45826820881526,93.07596123788684,91.95842450765865
ENSG00000005206,39.89527977492966,53.403407314785866,57.060800250078145
ENSG00000005238,51.48483901219131,57.47108471397312,69.53735542356986
ENSG00000005243,32.439824945295406,38.25023444826508,0.0
ENSG00000005249,79.00515786183182,79.43888715223507,92.14989059080962
ENSG00000005302,82.3577680525164,81.14254454517037,78.98952797749297
ENSG00000005339,90.37980618943419,92.45467333541731,94.3497968115036
ENSG00000005379,69.0450140668959,63.62144420131292,70.56892778993435
ENSG00000005421,38.72303844951547,48.67536730228196,48.116598937167865
ENSG00000005436,83.3619881212879,71.0026570803376,77.77821194123163
ENSG00000005448,80.38840262582056,87.93372929040325,78.75898718349484
ENSG00000005469,66.55986245701781,79.69287277274148,65.55173491716161
ENSG00000005471,61.831822444513904,46.620037511722416,38.71913097843076
ENSG00000005483,98.265082838387,97.81572366364489,98.85901844326352
ENSG00000005486,89.68818380743983,89.08252578930916,87.82822757111597
ENSG00000005513,28.00875273522976,29.993748046264457,33.799624882775866
ENSG00000005700,92.40778368240075,94.72882150672085,91.64973429196624
