gen_name,neural crest-derived cell
ENSMUSG00000000001,94.02947024932443
ENSMUSG00000000028,86.12145005863458
ENSMUSG00000000037,26.793453321776372
ENSMUSG00000000056,79.90108601437822
ENSMUSG00000000078,96.49212257176363
ENSMUSG00000000085,82.34844235965942
ENSMUSG00000000088,83.44465405598328
ENSMUSG00000000093,65.12007342069036
ENSMUSG00000000094,35.761994595421406
ENSMUSG00000000120,82.43511956355478
ENSMUSG00000000127,81.32871054912559
ENSMUSG00000000131,91.60250854025391
ENSMUSG00000000134,67.93963187681639
ENSMUSG00000000142,46.30092285728853
ENSMUSG00000000148,60.587365522867486
ENSMUSG00000000149,93.4890123897415
ENSMUSG00000000167,37.96461530617448
ENSMUSG00000000168,66.15510120838219
ENSMUSG00000000171,94.65660531280274
ENSMUSG00000000182,11.573956049558966
ENSMUSG00000000183,19.15566206087799
ENSMUSG00000000184,99.43914750420639
ENSMUSG00000000194,82.13939733849998
ENSMUSG00000000197,91.09774129403966
ENSMUSG00000000202,23.23458930301331
ENSMUSG00000000204,12.507010656197421
ENSMUSG00000000214,45.14352725233264
ENSMUSG00000000223,38.372508030388005
ENSMUSG00000000244,30.10248304695865
ENSMUSG00000000247,6.735328608575944
ENSMUSG00000000248,8.351603528272063
ENSMUSG00000000253,48.67179931677968
ENSMUSG00000000266,66.59358588691174
ENSMUSG00000000275,47.63167287003518
ENSMUSG00000000276,76.92346912761944
ENSMUSG00000000278,82.99087340029571
ENSMUSG00000000282,54.36190281955846
ENSMUSG00000000295,82.10880538418395
ENSMUSG00000000296,48.90633763320247
ENSMUSG00000000301,49.818997603630244
ENSMUSG00000000303,9.310151430173864
ENSMUSG00000000305,43.57823892316321
ENSMUSG00000000308,33.01381736603273
ENSMUSG00000000320,36.837811655534594
ENSMUSG00000000325,96.19130168765615
ENSMUSG00000000326,78.5142507520522
ENSMUSG00000000339,76.58695763014327
ENSMUSG00000000340,64.74787130984551
ENSMUSG00000000346,97.03767909039922
ENSMUSG00000000355,72.41115586600723
ENSMUSG00000000365,39.463621067659204
ENSMUSG00000000374,47.81522459593127
ENSMUSG00000000378,65.71151787079998
ENSMUSG00000000384,80.57920766838322
ENSMUSG00000000386,31.48931830928466
ENSMUSG00000000392,44.868199663488504
ENSMUSG00000000399,93.03013307500127
ENSMUSG00000000402,43.15505022179167
ENSMUSG00000000409,41.14107989598735
ENSMUSG00000000416,65.67072859837863
ENSMUSG00000000420,84.79579870494061
ENSMUSG00000000439,80.52822107785651
ENSMUSG00000000440,16.325906286646614
ENSMUSG00000000441,84.98444908988935
ENSMUSG00000000486,35.77729057257941
ENSMUSG00000000489,59.49625248559629
ENSMUSG00000000530,24.137051955335746
ENSMUSG00000000531,34.19670626625197
ENSMUSG00000000532,49.98215469331566
ENSMUSG00000000538,67.89374394534238
ENSMUSG00000000552,8.397491459746087
ENSMUSG00000000555,48.27920256972416
ENSMUSG00000000560,45.87263549686432
ENSMUSG00000000561,90.24116657319125
ENSMUSG00000000562,39.65737011166063
ENSMUSG00000000563,98.5621781471473
ENSMUSG00000000567,55.3969306072503
ENSMUSG00000000568,91.99000662825676
ENSMUSG00000000579,71.95737521031968
