gen_name,"effector memory CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
ENSMUSG00000000673,49.05244784307206,50.403125259745664
ENSMUSG00000000682,99.57609508769013,98.96932923281523
ENSMUSG00000000686,50.3283185105145,30.25933006400133
ENSMUSG00000000690,39.68082453661375,33.097830604272296
ENSMUSG00000000693,52.331477017704266,36.68024270634195
ENSMUSG00000000706,17.974399468040893,41.46787465713573
ENSMUSG00000000708,75.56312858449007,74.64882387166487
ENSMUSG00000000711,67.50062338957693,69.12143628958523
ENSMUSG00000000724,33.704596459147204,46.513174299725705
ENSMUSG00000000731,39.14886543096999,43.1634943063752
ENSMUSG00000000732,54.15593051284182,68.0741418003491
ENSMUSG00000000738,81.28168897016042,71.5027844734436
ENSMUSG00000000739,58.40329149696617,55.99700773003076
ENSMUSG00000000740,99.82129498794781,99.76311196076801
ENSMUSG00000000743,91.36813232482753,89.93849222840994
ENSMUSG00000000751,89.38575347020198,92.28659296816556
ENSMUSG00000000753,22.109550328318512,14.250685728534618
ENSMUSG00000000759,89.91771257584573,82.13781065580584
ENSMUSG00000000766,61.416341118776494,58.79394896517331
ENSMUSG00000000776,67.5172471116283,78.98761532707174
ENSMUSG00000000782,98.89867841409692,99.2934918128169
ENSMUSG00000000787,98.81140387332724,99.01088853794364
ENSMUSG00000000791,65.63045465879812,55.90142132823539
ENSMUSG00000000792,0.0,4.837503116947885
ENSMUSG00000000794,15.771756296234726,12.52181863519242
ENSMUSG00000000804,73.12775330396477,80.8827196409276
ENSMUSG00000000811,55.805834926440035,61.919208710830354
ENSMUSG00000000817,90.52447843072063,88.82470285096832
ENSMUSG00000000823,66.33280691546838,94.05286343612335
ENSMUSG00000000826,95.09184606433381,94.69703266561383
ENSMUSG00000000827,88.86626215609675,93.27154849970908
ENSMUSG00000000838,84.3196741750478,91.22267475687806
ENSMUSG00000000861,39.564458482254174,67.57127420829524
ENSMUSG00000000869,71.11628293574933,11.765439281855206
ENSMUSG00000000876,70.73393732856786,72.0887706757543
ENSMUSG00000000881,26.755880641675674,45.76510680741418
ENSMUSG00000000884,60.16125010389827,69.32092095420165
ENSMUSG00000000901,21.826947053445267,43.62895852381348
ENSMUSG00000000902,78.38500540270967,84.22408777325244
ENSMUSG00000000903,13.240794613914057,47.40254342947386
ENSMUSG00000000915,87.36181531044801,86.20646662787799
ENSMUSG00000000916,76.60211121270052,87.02518493890781
ENSMUSG00000000934,57.900423904912316,61.78206300390657
ENSMUSG00000000948,40.91929182944061,42.606599617654396
ENSMUSG00000000957,42.2200980799601,46.56304546587981
ENSMUSG00000000958,45.35782561715568,45.665364475105974
ENSMUSG00000000959,81.08220430554401,82.76535616324495
ENSMUSG00000000976,79.6400964175879,89.31094672097083
ENSMUSG00000000982,90.1130413099493,80.88687557144044
ENSMUSG00000001014,13.157676003657217,34.91812816889702
ENSMUSG00000001016,90.04239049123099,94.8424902335633
ENSMUSG00000001017,92.33646413431967,91.34319674175048
ENSMUSG00000001018,89.53121103815144,84.20330812068822
ENSMUSG00000001020,94.298063336381,45.61133737843903
ENSMUSG00000001021,42.627379270218604,33.07289502119525
ENSMUSG00000001023,32.474441027346025,33.239132241708916
ENSMUSG00000001025,97.91787881306625,65.4018784805918
ENSMUSG00000001027,23.007231319092345,37.494805086858946
ENSMUSG00000001029,89.6766686061009,85.10098911146206
ENSMUSG00000001034,59.87449089851218,57.177291995677834
ENSMUSG00000001036,39.768099077383425,44.28143961432965
ENSMUSG00000001039,13.311445432632366,28.081622475272212
ENSMUSG00000001052,91.27254592303217,89.42315684481756
ENSMUSG00000001053,58.33264067824786,49.54700357410024
ENSMUSG00000001054,86.91713074557393,81.41052281605852
ENSMUSG00000001056,88.98262821045631,94.11104646330314
ENSMUSG00000001062,72.53345524062837,67.74997922034743
ENSMUSG00000001065,63.041309949297656,58.648491397223836
ENSMUSG00000001082,66.05020364059513,62.97481506109218
ENSMUSG00000001089,67.30113872496052,59.21785387748317
ENSMUSG00000001098,85.2256670268473,79.82295736015294
ENSMUSG00000001100,74.4742747901255,71.27005236472445
ENSMUSG00000001105,82.27080043221677,74.57817305294655
ENSMUSG00000001119,0.0,15.734352921619152
ENSMUSG00000001120,15.967085030338293,49.58856287922866
ENSMUSG00000001123,96.02277449921037,95.19574432715486
ENSMUSG00000001127,89.02834344609758,93.0845316266312
ENSMUSG00000001128,60.3441110464633,62.3514254841659
ENSMUSG00000001131,33.164325492477765,4.2806084282270795
ENSMUSG00000001134,81.03648906990276,72.8742415426814
ENSMUSG00000001138,60.51450419748981,72.84515002909151
ENSMUSG00000001143,70.0024935583077,72.59163826780816
ENSMUSG00000001150,79.83126922117863,78.82968996758373
ENSMUSG00000001151,74.69453910730613,77.54966336962846
ENSMUSG00000001155,50.00415593051284,47.62696367716732
ENSMUSG00000001156,62.33480176211453,74.40777990192004
ENSMUSG00000001157,82.12949879478015,81.64325492477765
ENSMUSG00000001158,81.8759870334968,77.35017870501206
ENSMUSG00000001166,68.76818219599369,46.39680824536614
ENSMUSG00000001173,63.3654725292993,63.71872662289086
ENSMUSG00000001175,99.75480009974234,99.50544426897181
ENSMUSG00000001211,84.4485080209459,82.64899010888539
ENSMUSG00000001225,50.79793865846563,61.711412185188266
ENSMUSG00000001227,24.353752805253094,36.917130745573935
ENSMUSG00000001228,62.67558806416756,60.7306125841576
ENSMUSG00000001229,73.82179369960934,71.77291995677832
ENSMUSG00000001240,33.46770841991522,17.774914803424487
ENSMUSG00000001247,49.61765439281855,23.239963427811485
ENSMUSG00000001248,96.085113456903,96.42174382844318
ENSMUSG00000001249,12.688055855706093,14.944726124179203
ENSMUSG00000001260,31.57676003657219,30.1969911063087
ENSMUSG00000001270,74.96467459064084,59.458897847228
ENSMUSG00000001280,84.67708419915219,95.60302551741336
ENSMUSG00000001281,98.24204139306791,94.3063751974067
ENSMUSG00000001285,72.91164491729698,73.52256670268473
ENSMUSG00000001288,67.54633862521818,56.275455074391154
ENSMUSG00000001289,96.49239464716149,96.18901171972405
ENSMUSG00000001300,50.6358573684648,56.711827778239545
ENSMUSG00000001305,74.61142049704928,87.41999833762779
ENSMUSG00000001313,20.758872911644918,23.09450585986202
ENSMUSG00000001323,64.88238716648658,80.55855706092593
ENSMUSG00000001333,49.28102402127836,48.246197323580745
ENSMUSG00000001334,48.840495386917134,62.1020696533954
ENSMUSG00000001348,94.32299891945807,90.05485828276952
ENSMUSG00000001349,0.0,6.499875322084615
ENSMUSG00000001366,80.48790624220763,75.77923697115784
ENSMUSG00000001376,84.81422990607597,84.20746405120106
ENSMUSG00000001380,87.73169312609093,88.50885213199236
ENSMUSG00000001383,89.11146205635441,87.46571357326906
ENSMUSG00000001403,47.26124179203724,55.377774083617325
ENSMUSG00000001415,77.57459895270551,85.8407447427479
ENSMUSG00000001416,97.20305876485746,98.39165489153021
ENSMUSG00000001418,86.63868340121354,78.1896766686061
ENSMUSG00000001419,89.50627545507439,88.82885878148117
ENSMUSG00000001420,0.0,25.238966004488404
ENSMUSG00000001424,73.98387498961017,81.161166985288
ENSMUSG00000001435,39.58523813481838,40.682403790208625
ENSMUSG00000001436,69.20455489984208,81.0406450004156
