gen_name,epithelial cell
ENSMUSG00000000001,97.81740035593164
ENSMUSG00000000028,83.82525771465028
ENSMUSG00000000037,59.08465128773379
ENSMUSG00000000049,60.99526543769518
ENSMUSG00000000056,85.81310231355562
ENSMUSG00000000058,46.63040193411907
ENSMUSG00000000078,88.00913334004903
ENSMUSG00000000085,81.16248614888687
ENSMUSG00000000088,98.67029313992143
ENSMUSG00000000093,20.251166851348177
ENSMUSG00000000094,32.322621805849366
ENSMUSG00000000120,38.9577247238172
ENSMUSG00000000125,67.7378194150633
ENSMUSG00000000126,32.36963164433699
ENSMUSG00000000127,73.86252980087976
ENSMUSG00000000131,83.4223162418992
ENSMUSG00000000134,77.30767939290152
ENSMUSG00000000142,85.82653369598066
ENSMUSG00000000148,79.8730734360834
ENSMUSG00000000149,66.38124979013465
ENSMUSG00000000154,86.14888687418153
ENSMUSG00000000157,63.22487492025116
ENSMUSG00000000159,83.48275746281186
ENSMUSG00000000167,59.997985292636244
ENSMUSG00000000168,93.69396595144556
ENSMUSG00000000171,98.81468050099056
ENSMUSG00000000182,30.670561767569925
ENSMUSG00000000183,36.77848292535509
ENSMUSG00000000184,98.84490111144689
ENSMUSG00000000194,87.2166817769719
ENSMUSG00000000197,51.90221953594574
ENSMUSG00000000202,48.12800107451059
ENSMUSG00000000204,60.85423592223229
ENSMUSG00000000214,61.1900204828582
ENSMUSG00000000215,1.5681138981229643
ENSMUSG00000000216,2.4008596084752023
ENSMUSG00000000223,46.31812229273698
ENSMUSG00000000244,48.07091769920419
ENSMUSG00000000247,20.257882542560694
ENSMUSG00000000248,58.85631778650817
ENSMUSG00000000253,63.10399247842584
ENSMUSG00000000263,15.694570363654679
ENSMUSG00000000266,65.582082535845
ENSMUSG00000000275,88.49266310735032
ENSMUSG00000000276,68.06688828447668
ENSMUSG00000000278,91.31996910782043
ENSMUSG00000000282,63.003257110238074
ENSMUSG00000000290,23.961586246264396
ENSMUSG00000000295,76.01826668009805
ENSMUSG00000000296,66.70360296833552
ENSMUSG00000000301,63.94009603438434
ENSMUSG00000000303,99.54669084315503
ENSMUSG00000000305,31.281689667909067
ENSMUSG00000000308,99.28142104026057
ENSMUSG00000000317,59.423793693965955
ENSMUSG00000000320,54.11168194486417
ENSMUSG00000000325,70.48789496658944
ENSMUSG00000000326,96.4037473556966
ENSMUSG00000000339,84.89976830865317
ENSMUSG00000000340,82.9219972465666
ENSMUSG00000000346,98.50575870521473
ENSMUSG00000000355,79.75554883986435
ENSMUSG00000000359,29.93183573419294
ENSMUSG00000000365,45.39471475101575
ENSMUSG00000000374,73.22789698129681
ENSMUSG00000000378,77.3177529297203
ENSMUSG00000000381,14.814814814814813
ENSMUSG00000000384,92.66646519593029
ENSMUSG00000000385,99.33178872435445
ENSMUSG00000000386,55.105604244316844
ENSMUSG00000000392,49.91437493704039
ENSMUSG00000000394,97.66965514925624
ENSMUSG00000000399,97.6159296195561
ENSMUSG00000000402,51.06611597998724
ENSMUSG00000000409,57.13038514489104
ENSMUSG00000000411,24.455189550384475
ENSMUSG00000000416,81.51505993754408
ENSMUSG00000000420,82.6197911420033
ENSMUSG00000000435,18.605822504281253
ENSMUSG00000000439,80.45062288035996
ENSMUSG00000000440,62.526443034149295
ENSMUSG00000000441,95.59786441019442
ENSMUSG00000000486,57.27141466035391
ENSMUSG00000000489,46.13344078439273
ENSMUSG00000000530,54.326584063664754
ENSMUSG00000000531,60.79043685571337
ENSMUSG00000000532,77.12299788455726
ENSMUSG00000000538,84.60092004969611
ENSMUSG00000000544,87.14952486484671
ENSMUSG00000000552,37.86642490178301
ENSMUSG00000000555,65.33695980658808
ENSMUSG00000000560,57.264698969141406
ENSMUSG00000000561,95.5172761156442
ENSMUSG00000000562,56.324502199388874
ENSMUSG00000000563,99.50639669587993
ENSMUSG00000000567,96.26943353144623
ENSMUSG00000000568,74.95382962291394
ENSMUSG00000000579,75.12507974883314
ENSMUSG00000000581,87.17638762969678
ENSMUSG00000000594,79.6279507068265
ENSMUSG00000000600,92.20308250226654
ENSMUSG00000000605,93.24401464020684
ENSMUSG00000000606,55.34401128236124
ENSMUSG00000000617,27.00715221114133
ENSMUSG00000000627,29.68335515932977
ENSMUSG00000000628,85.05087136093482
ENSMUSG00000000631,88.70420738054464
ENSMUSG00000000632,50.770625566636454
ENSMUSG00000000673,50.07555152614083
ENSMUSG00000000682,40.391524797689804
ENSMUSG00000000686,55.75366844632483
ENSMUSG00000000690,49.71961989187737
ENSMUSG00000000693,45.065645881602364
ENSMUSG00000000701,13.49518149155502
ENSMUSG00000000706,38.57493032470367
ENSMUSG00000000708,66.320808569222
ENSMUSG00000000711,86.2899163896444
ENSMUSG00000000724,48.28581981800477
ENSMUSG00000000731,48.92045263758772
ENSMUSG00000000732,59.598401665491416
ENSMUSG00000000738,79.56415164030759
ENSMUSG00000000739,61.07585373224539
ENSMUSG00000000740,99.75823511634935
ENSMUSG00000000743,96.43732581175918
ENSMUSG00000000751,92.44148954031094
ENSMUSG00000000753,27.83654007588731
ENSMUSG00000000759,85.8970484537121
ENSMUSG00000000766,40.190054061314264
ENSMUSG00000000776,77.48564521003324
ENSMUSG00000000782,61.76421208152849
ENSMUSG00000000787,95.58779087337564
ENSMUSG00000000791,46.58003425002518
ENSMUSG00000000792,47.842584197978574
ENSMUSG00000000794,38.803263825929285
ENSMUSG00000000804,70.99828749874081
ENSMUSG00000000805,95.52399180685673
ENSMUSG00000000811,74.44343709076257
ENSMUSG00000000823,71.85453812833687
ENSMUSG00000000826,94.05997112252778
ENSMUSG00000000827,92.01168530270978
ENSMUSG00000000838,76.13579127631711
ENSMUSG00000000861,75.37020247809005
ENSMUSG00000000869,19.30425439038313
ENSMUSG00000000876,79.58765655955139
ENSMUSG00000000881,70.24277223733253
ENSMUSG00000000884,71.34078775057922
ENSMUSG00000000889,5.23152345455156
ENSMUSG00000000901,49.20251166851348
ENSMUSG00000000902,94.4192606023975
ENSMUSG00000000903,53.14126456465532
ENSMUSG00000000915,91.2561700413015
ENSMUSG00000000916,81.49491286390652
ENSMUSG00000000934,73.54017662267889
ENSMUSG00000000938,45.1529498673651
ENSMUSG00000000942,45.754004230885464
ENSMUSG00000000948,62.197374164735905
ENSMUSG00000000957,82.18662905879587
ENSMUSG00000000958,89.54031093650315
ENSMUSG00000000959,96.21570800174608
ENSMUSG00000000976,82.97908062187301
ENSMUSG00000000982,12.759813303784293
ENSMUSG00000000983,35.84835969242135
ENSMUSG00000001014,34.73355495114335
ENSMUSG00000001016,94.64423625801686
ENSMUSG00000001017,95.21171216547462
ENSMUSG00000001018,85.22883717806656
ENSMUSG00000001020,5.278533293039186
ENSMUSG00000001025,68.01987844598905
ENSMUSG00000001027,26.171048655182833
ENSMUSG00000001034,73.53681877707263
ENSMUSG00000001036,73.15738222356536
ENSMUSG00000001039,68.32544239615862
ENSMUSG00000001052,88.95604580101407
ENSMUSG00000001053,72.33806789563816
ENSMUSG00000001054,80.47076995399752
ENSMUSG00000001056,95.09754541486183
ENSMUSG00000001062,73.99012793391759
ENSMUSG00000001065,77.14314495819482
ENSMUSG00000001076,32.79607803633189
ENSMUSG00000001082,90.99761592961956
ENSMUSG00000001089,92.06876867801618
ENSMUSG00000001095,64.29938551425406
ENSMUSG00000001098,93.31117155233203
ENSMUSG00000001100,94.84906483999865
ENSMUSG00000001103,24.391390483865553
ENSMUSG00000001105,85.91719552734965
ENSMUSG00000001119,6.410127262348478
ENSMUSG00000001120,45.273832309190425
ENSMUSG00000001123,99.48624962224237
ENSMUSG00000001127,92.47171015076728
ENSMUSG00000001128,60.088647124005234
ENSMUSG00000001131,39.35059265974951
ENSMUSG00000001134,73.52002954904134
ENSMUSG00000001138,68.11725596857056
ENSMUSG00000001143,79.59437225076391
ENSMUSG00000001150,81.95829555757027
ENSMUSG00000001151,87.37114267485981
ENSMUSG00000001155,22.423692958597762
ENSMUSG00000001156,84.78224371243411
ENSMUSG00000001157,81.52177562875659
ENSMUSG00000001158,77.08606158288842
ENSMUSG00000001166,55.30035928947987
ENSMUSG00000001168,36.392330680635304
ENSMUSG00000001173,72.465666028676
ENSMUSG00000001175,99.76495080756187
ENSMUSG00000001211,77.58638057822101
ENSMUSG00000001225,89.94325240925423
ENSMUSG00000001227,44.79366038749538
ENSMUSG00000001228,95.76911453611363
ENSMUSG00000001229,87.36106913804103
ENSMUSG00000001240,37.016889963399485
ENSMUSG00000001247,98.85497464826567
ENSMUSG00000001248,67.39867700883113
ENSMUSG00000001249,62.16715355427957
ENSMUSG00000001260,38.33316544105302
ENSMUSG00000001270,97.64615023001242
ENSMUSG00000001280,82.00866324166415
ENSMUSG00000001281,55.71337429904973
ENSMUSG00000001285,86.91783351801485
ENSMUSG00000001288,48.78278096773111
ENSMUSG00000001289,92.96195560928109
ENSMUSG00000001300,65.39740102750076
ENSMUSG00000001305,81.47476579026896
ENSMUSG00000001313,59.255901413653
ENSMUSG00000001323,74.35613310499983
ENSMUSG00000001333,54.4709714247339
ENSMUSG00000001334,49.89087001779658
ENSMUSG00000001348,93.21043618414426
ENSMUSG00000001349,39.86434303750713
ENSMUSG00000001366,89.32876666330883
ENSMUSG00000001376,86.78687753937075
ENSMUSG00000001380,92.01504314831604
ENSMUSG00000001383,88.31469729021859
ENSMUSG00000001403,96.2224236929586
ENSMUSG00000001415,92.13256774453511
ENSMUSG00000001416,99.00607770054732
ENSMUSG00000001418,93.2137940297505
ENSMUSG00000001419,79.61787717000772
ENSMUSG00000001420,80.464054262785
ENSMUSG00000001424,97.85097881199422
ENSMUSG00000001435,58.80930794802055
ENSMUSG00000001436,90.043987777442
ENSMUSG00000001440,92.94852422685605
ENSMUSG00000001441,96.20227661932105
ENSMUSG00000001444,10.859272690641685
ENSMUSG00000001445,91.97474900104093
ENSMUSG00000001467,94.2883046237534
ENSMUSG00000001472,97.90806218730063
ENSMUSG00000001473,59.02421006682113
ENSMUSG00000001482,75.47093784627783
ENSMUSG00000001493,11.319297538699171
ENSMUSG00000001496,23.232933749706188
ENSMUSG00000001497,43.43037507135422
ENSMUSG00000001504,11.299150465061617
ENSMUSG00000001506,35.35811423390752
ENSMUSG00000001507,88.838521204795
ENSMUSG00000001508,28.97820758201538
ENSMUSG00000001510,31.22124844699641
ENSMUSG00000001517,74.9236090124576
ENSMUSG00000001518,78.68103824586146
ENSMUSG00000001520,64.1314932339411
ENSMUSG00000001521,71.44152311876701
ENSMUSG00000001524,84.04687552466338
ENSMUSG00000001525,99.56683791679258
ENSMUSG00000001542,70.72630200463382
ENSMUSG00000001552,97.78046405426278
ENSMUSG00000001558,40.680299519828075
ENSMUSG00000001566,56.15660991907592
ENSMUSG00000001569,91.49121923373963
ENSMUSG00000001576,94.10698096101541
ENSMUSG00000001583,83.39881132265539
ENSMUSG00000001588,38.000738726033376
ENSMUSG00000001604,80.29616198247204
ENSMUSG00000001622,57.37550787414795
ENSMUSG00000001627,85.5276854370236
ENSMUSG00000001630,79.02018065209361
ENSMUSG00000001632,78.10013095597864
ENSMUSG00000001642,91.59531244753366
ENSMUSG00000001655,19.216950404620395
ENSMUSG00000001657,33.7295591148719
ENSMUSG00000001661,11.94385682146335
ENSMUSG00000001663,84.84604277895302
ENSMUSG00000001665,93.9357308350962
ENSMUSG00000001666,76.25331587253618
ENSMUSG00000001670,35.67375172089587
ENSMUSG00000001672,88.09979517141801
ENSMUSG00000001674,82.36459487592761
ENSMUSG00000001687,87.52224572714147
ENSMUSG00000001700,85.85675430643698
ENSMUSG00000001707,84.12074812800108
ENSMUSG00000001729,80.8737114267486
ENSMUSG00000001739,99.20754843692286
ENSMUSG00000001741,57.49974816157953
ENSMUSG00000001750,91.08827776098855
ENSMUSG00000001751,74.39642725227495
ENSMUSG00000001755,90.68533628823747
ENSMUSG00000001761,73.94647594103623
ENSMUSG00000001763,60.14573049931165
ENSMUSG00000001767,81.41096672375005
ENSMUSG00000001768,88.71763876296967
ENSMUSG00000001773,14.156677075988048
ENSMUSG00000001774,91.73634196299653
ENSMUSG00000001783,98.31771935126423
ENSMUSG00000001785,90.52415969913703
ENSMUSG00000001786,80.70246130082938
ENSMUSG00000001794,75.72277626674726
ENSMUSG00000001802,46.5296665659313
ENSMUSG00000001804,39.81061750780699
ENSMUSG00000001815,22.05432994190927
ENSMUSG00000001827,57.09009099761593
ENSMUSG00000001829,91.96131761861591
ENSMUSG00000001833,95.01359927470536
ENSMUSG00000001844,82.35787918471509
ENSMUSG00000001847,97.79389543668782
ENSMUSG00000001855,87.79087337564219
ENSMUSG00000001864,51.432121151069474
ENSMUSG00000001865,16.983983076458145
ENSMUSG00000001870,63.352473053289
ENSMUSG00000001891,87.80094691246096
ENSMUSG00000001901,61.54595211712165
ENSMUSG00000001909,96.20899231053356
ENSMUSG00000001910,74.1277996037742
ENSMUSG00000001911,72.26083744669421
ENSMUSG00000001918,96.66901715859105
ENSMUSG00000001924,99.12696014237265
ENSMUSG00000001930,61.834726839259936
ENSMUSG00000001942,84.35579732043921
ENSMUSG00000001943,63.91323326953427
ENSMUSG00000001946,72.57311708807629
ENSMUSG00000001948,59.60175951109768
ENSMUSG00000001962,79.44998488969478
ENSMUSG00000001964,71.52882710452974
ENSMUSG00000001983,70.4408851281018
ENSMUSG00000001985,52.08690104428998
ENSMUSG00000001986,43.99113528759948
ENSMUSG00000001988,44.30677277458783
ENSMUSG00000001995,71.82431751788053
ENSMUSG00000001998,70.86397367449044
ENSMUSG00000001999,82.42167825123401
ENSMUSG00000002006,56.227124676807364
ENSMUSG00000002007,50.559081293442134
ENSMUSG00000002010,98.51583224203351
ENSMUSG00000002012,27.517544743292703
ENSMUSG00000002014,96.82347805647896
ENSMUSG00000002015,96.55149256237198
ENSMUSG00000002017,77.58973842382727
ENSMUSG00000002020,49.07155568986938
ENSMUSG00000002028,89.22803129512104
ENSMUSG00000002031,84.07709613511972
ENSMUSG00000002032,68.1071824317518
ENSMUSG00000002033,34.404486081729964
ENSMUSG00000002043,87.44501527819752
ENSMUSG00000002052,90.14808099123603
ENSMUSG00000002055,81.58221684966925
ENSMUSG00000002057,37.34595883281287
ENSMUSG00000002058,53.40653436754978
ENSMUSG00000002059,74.2520398912058
ENSMUSG00000002064,85.55454820187369
ENSMUSG00000002068,75.91081562069776
ENSMUSG00000002076,47.647829152815554
ENSMUSG00000002083,59.20889157516538
ENSMUSG00000002100,28.04472650347537
ENSMUSG00000002102,97.6394345387999
ENSMUSG00000002103,80.42040226990363
ENSMUSG00000002104,27.715657634061984
ENSMUSG00000002105,65.96151908935227
ENSMUSG00000002107,56.66364460562103
ENSMUSG00000002108,78.3083173835667
ENSMUSG00000002109,79.0134649608811
ENSMUSG00000002111,7.481280010745106
ENSMUSG00000002129,94.29837816057217
ENSMUSG00000002147,95.89335482354522
ENSMUSG00000002190,32.54759746146872
ENSMUSG00000002204,44.575400423088546
ENSMUSG00000002205,92.42134246667338
ENSMUSG00000002210,75.45079077264027
ENSMUSG00000002221,85.42695006883584
ENSMUSG00000002222,82.1026829186394
ENSMUSG00000002227,78.74483731238038
ENSMUSG00000002228,55.47832510661161
ENSMUSG00000002233,69.11117826802324
ENSMUSG00000002249,62.99989926463181
ENSMUSG00000002250,74.1445888318055
ENSMUSG00000002257,52.0936167355025
ENSMUSG00000002265,64.23558644773514
ENSMUSG00000002266,43.071085591484504
ENSMUSG00000002274,56.8382525771465
ENSMUSG00000002279,85.92726906416843
ENSMUSG00000002280,84.87626338940936
ENSMUSG00000002289,67.38860347201235
ENSMUSG00000002297,74.40985863469997
ENSMUSG00000002307,80.4237601155099
ENSMUSG00000002308,85.45717067929218
ENSMUSG00000002319,89.6175413854471
ENSMUSG00000002320,96.4104630469091
ENSMUSG00000002324,71.21654746314763
ENSMUSG00000002325,83.09660521809207
ENSMUSG00000002326,82.11947214667069
ENSMUSG00000002329,91.48786138813337
ENSMUSG00000002332,92.69668580638663
ENSMUSG00000002341,57.637419831436155
ENSMUSG00000002342,86.78016184815822
ENSMUSG00000002343,74.14794667741177
ENSMUSG00000002345,77.12635573016354
ENSMUSG00000002346,75.83358517175381
ENSMUSG00000002365,82.71045297337228
ENSMUSG00000002372,90.25888989624256
ENSMUSG00000002379,92.51200429804237
ENSMUSG00000002384,55.246633759779726
ENSMUSG00000002393,84.06702259830094
ENSMUSG00000002395,90.45700278701186
ENSMUSG00000002396,74.80608441623853
ENSMUSG00000002409,64.53107686108592
ENSMUSG00000002413,76.74691917665626
ENSMUSG00000002416,90.47379201504316
ENSMUSG00000002428,76.70662502938114
ENSMUSG00000002455,91.73298411739029
ENSMUSG00000002458,67.5162016050502
ENSMUSG00000002459,51.23065041469393
ENSMUSG00000002475,77.91209160202814
ENSMUSG00000002477,90.95732178234445
ENSMUSG00000002486,68.187770726302
ENSMUSG00000002489,73.31184312145328
ENSMUSG00000002496,92.13592559014137
ENSMUSG00000002500,26.134112353513984
ENSMUSG00000002504,62.78163930022498
ENSMUSG00000002524,97.22641952923004
ENSMUSG00000002546,86.21940163191296
ENSMUSG00000002550,91.06141499613848
ENSMUSG00000002565,96.81340451966018
ENSMUSG00000002578,56.34800711863268
ENSMUSG00000002580,83.73459588328129
ENSMUSG00000002588,16.856384943420302
ENSMUSG00000002602,25.71102380712535
ENSMUSG00000002603,55.535408481918004
ENSMUSG00000002608,75.62875658977201
ENSMUSG00000002617,61.52244719787784
ENSMUSG00000002625,85.59820019475505
ENSMUSG00000002633,51.43883684228199
ENSMUSG00000002635,78.65753332661765
ENSMUSG00000002658,91.6087438299587
ENSMUSG00000002660,92.10234713407878
ENSMUSG00000002661,74.28561834726838
ENSMUSG00000002664,34.605956818105504
ENSMUSG00000002668,66.68681374030422
ENSMUSG00000002679,73.29841173902824
ENSMUSG00000002688,40.6299318357342
ENSMUSG00000002699,48.66525637151204
ENSMUSG00000002718,94.8860011416675
ENSMUSG00000002728,92.6328867398677
ENSMUSG00000002731,86.05486719720628
ENSMUSG00000002732,58.050434841006016
ENSMUSG00000002733,76.55887982270575
ENSMUSG00000002741,83.27121318961754
ENSMUSG00000002748,93.36825492763843
ENSMUSG00000002763,73.88939256572982
ENSMUSG00000002767,92.27359725999798
ENSMUSG00000002768,88.27104529733722
ENSMUSG00000002769,44.01128236123703
ENSMUSG00000002771,52.6913132534166
ENSMUSG00000002778,94.46291259527887
ENSMUSG00000002781,67.95272153386387
ENSMUSG00000002791,45.377925522984455
ENSMUSG00000002797,68.30193747691482
ENSMUSG00000002799,59.84016654914207
ENSMUSG00000002803,76.17272757798597
ENSMUSG00000002804,84.27520902588898
ENSMUSG00000002808,64.82992512004297
ENSMUSG00000002812,95.72546254323227
ENSMUSG00000002814,72.75108290520802
ENSMUSG00000002820,92.16950404620395
ENSMUSG00000002825,80.0779020180652
ENSMUSG00000002831,60.53524058963768
ENSMUSG00000002833,88.48930526174406
ENSMUSG00000002835,85.42359222322958
ENSMUSG00000002844,82.72052651019106
ENSMUSG00000002845,85.2657734797354
ENSMUSG00000002846,76.92152714818172
ENSMUSG00000002847,24.512272925690876
ENSMUSG00000002870,96.96450757194184
ENSMUSG00000002871,84.8393270877405
ENSMUSG00000002881,66.91514724152984
ENSMUSG00000002885,81.45126087102516
ENSMUSG00000002897,74.8430207179074
ENSMUSG00000002900,61.01205466572647
ENSMUSG00000002908,34.394412544911184
ENSMUSG00000002910,68.2213491823646
ENSMUSG00000002930,25.25435680467412
ENSMUSG00000002944,64.1482824619724
ENSMUSG00000002948,75.2761828011148
ENSMUSG00000002949,95.27551123199355
ENSMUSG00000002957,94.23793693965952
ENSMUSG00000002963,77.93223867566569
ENSMUSG00000002968,94.16070649071557
ENSMUSG00000002980,64.11134616030355
ENSMUSG00000002981,97.13575769786105
ENSMUSG00000002983,87.89832443504247
ENSMUSG00000002984,97.0081595648232
ENSMUSG00000002985,65.87085725798327
ENSMUSG00000002992,68.70823679527214
ENSMUSG00000002996,91.68261643329639
ENSMUSG00000002997,52.89278398979215
ENSMUSG00000003031,78.50643027433598
ENSMUSG00000003032,71.14939055102246
ENSMUSG00000003033,84.17783150330747
ENSMUSG00000003037,96.8939928142104
ENSMUSG00000003038,98.98928847251604
ENSMUSG00000003039,94.60394211074174
ENSMUSG00000003051,99.49968100466741
ENSMUSG00000003053,38.799905980323025
ENSMUSG00000003062,91.03119438568214
ENSMUSG00000003068,77.56959135018971
ENSMUSG00000003070,44.065007890937174
ENSMUSG00000003072,99.33514656996071
ENSMUSG00000003099,94.31852523420973
ENSMUSG00000003119,76.62267888922467
ENSMUSG00000003123,76.35740908633021
ENSMUSG00000003131,92.47506799637353
ENSMUSG00000003134,75.83694301736006
ENSMUSG00000003135,63.604311473758436
ENSMUSG00000003153,49.269668580638665
ENSMUSG00000003154,63.21144353782613
ENSMUSG00000003161,98.74416574325913
ENSMUSG00000003166,97.3204392062053
ENSMUSG00000003184,90.238742822605
ENSMUSG00000003190,68.19448641751453
ENSMUSG00000003198,74.39306940666867
ENSMUSG00000003199,73.29169604781572
ENSMUSG00000003200,90.11114468956717
ENSMUSG00000003206,39.63936738188778
ENSMUSG00000003208,72.16010207850643
ENSMUSG00000003226,89.67798260635976
ENSMUSG00000003227,44.41422383398812
ENSMUSG00000003228,59.205533729559114
ENSMUSG00000003233,85.4135186864108
ENSMUSG00000003234,87.41479466774118
ENSMUSG00000003235,86.69285786239548
ENSMUSG00000003269,86.9950639669588
ENSMUSG00000003271,74.8665256371512
ENSMUSG00000003273,25.05288606829858
ENSMUSG00000003279,66.56257345287264
ENSMUSG00000003282,62.5499479533931
ENSMUSG00000003283,98.12967999731373
ENSMUSG00000003299,93.18021557368792
ENSMUSG00000003308,88.01584903126154
ENSMUSG00000003309,97.19619891877372
ENSMUSG00000003316,90.42678217655552
ENSMUSG00000003341,24.36452771901548
ENSMUSG00000003344,72.71750444914544
ENSMUSG00000003345,73.73828951344818
ENSMUSG00000003346,74.00020147073637
ENSMUSG00000003348,79.83949498002082
ENSMUSG00000003352,76.6126053524059
ENSMUSG00000003354,42.05030052718176
ENSMUSG00000003355,71.85789597394312
ENSMUSG00000003360,80.30959336489708
ENSMUSG00000003363,83.54319868372451
ENSMUSG00000003378,57.89597394311809
ENSMUSG00000003379,23.622443840032233
ENSMUSG00000003380,84.9131996910782
ENSMUSG00000003382,81.68966790906954
ENSMUSG00000003402,96.76975252677882
ENSMUSG00000003410,51.20714549545012
ENSMUSG00000003411,57.731439508411405
ENSMUSG00000003418,40.87169671938484
ENSMUSG00000003420,83.40888485947417
ENSMUSG00000003421,80.48755918202882
ENSMUSG00000003423,85.43366576004836
ENSMUSG00000003429,99.56012222558007
ENSMUSG00000003435,92.21315603908532
ENSMUSG00000003436,58.399650784056945
ENSMUSG00000003437,86.01793089553742
ENSMUSG00000003438,96.06796279507068
ENSMUSG00000003444,75.11500621201436
ENSMUSG00000003452,81.18263322252443
ENSMUSG00000003458,96.39367381887782
ENSMUSG00000003464,94.53342735301031
ENSMUSG00000003469,33.68590712199053
ENSMUSG00000003476,7.592088915751654
ENSMUSG00000003477,22.168496692522076
ENSMUSG00000003484,24.49884154326584
ENSMUSG00000003500,73.10365669386522
ENSMUSG00000003505,30.754507907726403
ENSMUSG00000003518,68.43960914677143
ENSMUSG00000003526,90.74913535475638
ENSMUSG00000003527,80.91064772841744
ENSMUSG00000003528,96.70931130586615
ENSMUSG00000003531,82.16983983076457
ENSMUSG00000003534,78.63402840737382
ENSMUSG00000003541,61.5660991907592
ENSMUSG00000003545,41.82196702595615
ENSMUSG00000003546,94.07676035055908
ENSMUSG00000003549,71.94519995970585
ENSMUSG00000003555,57.62398844901111
ENSMUSG00000003559,91.37033679191431
ENSMUSG00000003573,64.0744098586347
ENSMUSG00000003575,77.20358617910749
ENSMUSG00000003581,64.42362580168563
ENSMUSG00000003585,57.7482287364427
ENSMUSG00000003604,62.899163896444044
ENSMUSG00000003617,43.7762331687989
ENSMUSG00000003623,93.12649004398777
ENSMUSG00000003644,91.26288573251402
ENSMUSG00000003657,6.897014875256035
ENSMUSG00000003660,96.2627178402337
ENSMUSG00000003662,82.40153117759645
ENSMUSG00000003665,31.2380376750277
ENSMUSG00000003680,70.59870387159599
ENSMUSG00000003721,77.01890467076323
ENSMUSG00000003731,78.9228031295121
ENSMUSG00000003746,79.40297505120715
ENSMUSG00000003752,68.46311406601524
ENSMUSG00000003762,74.22181928074947
ENSMUSG00000003778,94.09354957859037
ENSMUSG00000003779,89.31869312649005
ENSMUSG00000003808,92.5925925925926
ENSMUSG00000003809,90.82636580370036
ENSMUSG00000003810,83.03952184278567
ENSMUSG00000003812,65.80705819146435
ENSMUSG00000003813,93.60666196568282
ENSMUSG00000003814,98.79117558174674
ENSMUSG00000003824,69.30593331318626
ENSMUSG00000003847,85.92391121856217
ENSMUSG00000003848,88.74450152781975
ENSMUSG00000003849,74.51059400288774
ENSMUSG00000003863,54.202343776233164
ENSMUSG00000003865,76.57231120513079
ENSMUSG00000003868,95.50384473321917
ENSMUSG00000003872,24.105973607333535
ENSMUSG00000003873,85.15832242033511
ENSMUSG00000003882,48.352976730129946
ENSMUSG00000003923,94.74832947181089
ENSMUSG00000003929,71.12588563177866
ENSMUSG00000003934,51.07954736241228
ENSMUSG00000003948,84.66136127060878
ENSMUSG00000003949,41.10674591182297
ENSMUSG00000003955,85.71236694536786
ENSMUSG00000003970,99.80524495483698
ENSMUSG00000003974,29.78073268191129
ENSMUSG00000003992,72.23061683623787
ENSMUSG00000004018,75.40042308854639
ENSMUSG00000004031,48.19851583224203
ENSMUSG00000004032,83.45589469796178
ENSMUSG00000004035,71.5556898693798
ENSMUSG00000004038,93.79134347402707
ENSMUSG00000004040,87.90839797186125
ENSMUSG00000004043,72.1298814680501
ENSMUSG00000004044,53.530774654981364
ENSMUSG00000004054,89.05006547798932
ENSMUSG00000004056,80.43719149793492
ENSMUSG00000004069,96.74624760753501
ENSMUSG00000004070,89.93317887243545
ENSMUSG00000004071,95.4434035123065
ENSMUSG00000004085,88.26768745173096
ENSMUSG00000004096,87.11594640878413
