gen_name,endothelial cell
ENSMUSG00000000001,95.74341714511978
ENSMUSG00000000028,90.8879429815878
ENSMUSG00000000037,55.71174024945555
ENSMUSG00000000056,81.86992674717878
ENSMUSG00000000058,81.42447040190062
ENSMUSG00000000078,98.2825183132053
ENSMUSG00000000085,70.60978024153633
ENSMUSG00000000088,90.31874876262125
ENSMUSG00000000094,30.40981983765591
ENSMUSG00000000120,36.3937834092259
ENSMUSG00000000127,80.19699069491189
ENSMUSG00000000131,90.06137398534943
ENSMUSG00000000134,62.6757077806375
ENSMUSG00000000142,5.216788754702039
ENSMUSG00000000148,59.4090279152643
ENSMUSG00000000149,91.77390615719659
ENSMUSG00000000167,56.127499505048505
ENSMUSG00000000168,70.85725598891308
ENSMUSG00000000171,95.05048505246486
ENSMUSG00000000182,9.587210453375569
ENSMUSG00000000183,25.75232627202534
ENSMUSG00000000184,98.75767174816869
ENSMUSG00000000194,72.51039398138983
ENSMUSG00000000197,38.3389427836072
ENSMUSG00000000204,22.89150663235003
ENSMUSG00000000223,31.61255196990695
ENSMUSG00000000244,37.87368837853891
ENSMUSG00000000248,8.795288061769947
ENSMUSG00000000253,72.29756483864581
ENSMUSG00000000263,8.478519105127697
ENSMUSG00000000266,73.94575331617501
ENSMUSG00000000275,69.61492773708177
ENSMUSG00000000276,75.18808156800634
ENSMUSG00000000278,72.13423084537716
ENSMUSG00000000282,49.302118392397546
ENSMUSG00000000290,34.879231835280144
ENSMUSG00000000295,76.71253217184716
ENSMUSG00000000296,46.76301722431202
ENSMUSG00000000301,47.099584240744406
ENSMUSG00000000303,5.914670362304494
ENSMUSG00000000305,27.86081963967531
ENSMUSG00000000317,82.29063551771927
ENSMUSG00000000320,46.30766184913879
ENSMUSG00000000325,59.423876460106904
ENSMUSG00000000326,90.75430607800435
ENSMUSG00000000339,76.07899425856266
ENSMUSG00000000340,61.1958028113245
ENSMUSG00000000346,97.61928331023559
ENSMUSG00000000355,76.62344090279153
ENSMUSG00000000365,51.781825381112654
ENSMUSG00000000374,40.71470995842407
ENSMUSG00000000378,78.43001385864186
ENSMUSG00000000384,75.6483864581271
ENSMUSG00000000386,43.83785389031875
ENSMUSG00000000392,8.948723025143536
ENSMUSG00000000399,95.8176598693328
ENSMUSG00000000402,38.0419718867551
ENSMUSG00000000409,91.88774500098991
ENSMUSG00000000416,64.2100574143734
ENSMUSG00000000420,86.63630964165512
ENSMUSG00000000439,80.46426450207879
ENSMUSG00000000441,78.0835478123144
ENSMUSG00000000486,44.228865571174026
ENSMUSG00000000489,73.75767174816869
ENSMUSG00000000530,76.81152247079787
ENSMUSG00000000531,43.402296574935654
ENSMUSG00000000532,52.529202138190456
ENSMUSG00000000538,57.14215006929321
ENSMUSG00000000552,27.148089487230255
ENSMUSG00000000555,80.79588200356365
ENSMUSG00000000560,45.5206889724807
ENSMUSG00000000561,93.73886359136804
ENSMUSG00000000562,64.03187487626212
ENSMUSG00000000563,98.66363096416552
ENSMUSG00000000567,60.44842605424668
ENSMUSG00000000568,93.92199564442684
ENSMUSG00000000579,64.18036032468818
ENSMUSG00000000581,94.11997624232825
ENSMUSG00000000594,58.255790932488615
ENSMUSG00000000600,96.30271233419126
ENSMUSG00000000605,78.71708572559889
ENSMUSG00000000606,31.365076222530192
ENSMUSG00000000617,19.342704414967333
ENSMUSG00000000627,18.605226687784597
ENSMUSG00000000628,95.37715303900218
ENSMUSG00000000631,91.58087507424273
ENSMUSG00000000632,23.50029697089685
ENSMUSG00000000673,20.00593941793704
ENSMUSG00000000686,29.98911106711542
ENSMUSG00000000690,43.981389823797265
ENSMUSG00000000693,43.88239952484657
ENSMUSG00000000706,42.81330429617897
ENSMUSG00000000708,50.87606414571372
ENSMUSG00000000711,66.83824985151455
ENSMUSG00000000724,32.98851712532172
ENSMUSG00000000731,34.07246089883191
ENSMUSG00000000732,35.76519501088893
