gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000000594,97.28510788822072,74.5136186770428
ENSMUSG00000000600,82.92359391581181,82.6096568800849
ENSMUSG00000000605,94.1811107180757,89.98496639547223
ENSMUSG00000000606,64.44110364343827,51.97647683056243
ENSMUSG00000000617,21.58648744251857,10.231694375663247
ENSMUSG00000000627,25.69419879731164,38.331269897417755
ENSMUSG00000000628,65.3961796957906,69.59232401839405
ENSMUSG00000000631,74.22178988326849,70.00353731871242
ENSMUSG00000000632,51.98089847895295,58.77697205518218
ENSMUSG00000000673,33.18004952246197,34.70551821719137
ENSMUSG00000000682,15.586310576582951,16.31588256101875
ENSMUSG00000000686,40.19278386982667,47.293951185001774
ENSMUSG00000000690,22.78475415634949,6.455606650159179
ENSMUSG00000000693,6.362752033958259,34.17934205871949
ENSMUSG00000000706,14.025468694729396,16.072691899540146
ENSMUSG00000000708,66.29819596745666,68.90254686947294
ENSMUSG00000000711,96.45825963919349,95.22461973823842
ENSMUSG00000000724,26.065617262115314,34.95313052706049
ENSMUSG00000000731,39.144853201273435,33.53378139370357
ENSMUSG00000000732,52.210824195259995,52.67951892465511
ENSMUSG00000000738,81.14609126282278,81.57941280509374
ENSMUSG00000000739,45.54297842235586,44.667492041032894
ENSMUSG00000000740,99.57552175451008,99.7125928546162
ENSMUSG00000000743,94.87973116377786,95.56066501591793
ENSMUSG00000000751,85.50141492748496,89.3570923240184
ENSMUSG00000000753,34.40484612663601,40.75433321542271
ENSMUSG00000000759,79.4702865228157,75.27856384860276
ENSMUSG00000000766,19.866466218606295,12.093208348072162
ENSMUSG00000000776,71.40519985850725,74.38981252210824
ENSMUSG00000000782,47.76706756278741,43.19508312698974
ENSMUSG00000000787,96.44057304563141,96.51131941987973
ENSMUSG00000000791,46.100106119561374,47.74053767244429
ENSMUSG00000000792,92.5672090555359,94.57021577644146
ENSMUSG00000000794,17.195790590732223,18.5178634594977
ENSMUSG00000000804,84.05553590378493,78.45772904138663
ENSMUSG00000000805,35.607534488857446,5.107003891050583
ENSMUSG00000000811,71.86062964273081,67.54952246197382
ENSMUSG00000000823,82.77767951892466,61.84117438981252
