gen_name,mix of stromal fibroblasts and epithelial tumour cells
ENSG00000000003,72.36363636363636
ENSG00000000419,85.28883774453395
ENSG00000000457,55.014959723820475
ENSG00000000460,55.75143843498274
ENSG00000000938,1.2059838895281934
ENSG00000000971,70.7571921749137
ENSG00000001036,81.33026467203682
ENSG00000001084,83.3463751438435
ENSG00000001167,58.53624856156502
ENSG00000001460,59.27733026467203
ENSG00000001461,79.4108170310702
ENSG00000001497,79.18987341772153
ENSG00000001561,45.13233601841197
ENSG00000001617,65.40391254315306
ENSG00000001629,89.47295742232451
ENSG00000001630,80.10586881472958
ENSG00000001631,81.79976985040275
ENSG00000002016,46.982738780207136
ENSG00000002079,14.126582278481012
ENSG00000002330,87.78365937859608
ENSG00000002549,82.53164556962025
ENSG00000002586,93.87802071346375
ENSG00000002587,38.90448791714615
ENSG00000002726,16.423475258918295
ENSG00000002745,25.077100115074796
ENSG00000002746,46.78941311852704
ENSG00000002822,53.896432681242814
ENSG00000002834,89.70771001150749
ENSG00000002919,55.373993095512084
ENSG00000002933,20.69965477560414
ENSG00000003056,90.70195627157652
ENSG00000003096,36.07364787111623
ENSG00000003137,66.26467203682394
ENSG00000003147,52.58457997698503
ENSG00000003249,42.32911392405063
ENSG00000003393,62.71116225546606
ENSG00000003400,44.11967779056386
ENSG00000003402,93.53279631760645
ENSG00000003436,97.44073647871116
ENSG00000003509,66.3337169159954
ENSG00000003756,77.82738780207134
ENSG00000003987,29.05868814729574
ENSG00000003989,61.83659378596087
ENSG00000004059,90.24626006904488
ENSG00000004139,50.70655926352129
ENSG00000004142,85.91944764096662
ENSG00000004399,75.83889528193326
ENSG00000004455,90.90448791714614
ENSG00000004468,41.109321058688145
ENSG00000004478,93.83659378596087
ENSG00000004487,89.97008055235904
ENSG00000004534,87.00575373993095
ENSG00000004660,48.313003452243954
ENSG00000004700,91.18527042577675
ENSG00000004766,57.712313003452245
ENSG00000004776,56.44649021864212
ENSG00000004777,40.2945914844649
ENSG00000004779,97.39010356731875
ENSG00000004799,85.97008055235904
ENSG00000004838,26.522439585730723
ENSG00000004846,32.15650172612198
ENSG00000004864,75.99539700805524
ENSG00000004866,58.223245109321056
ENSG00000004897,87.06559263521288
ENSG00000004939,14.481012658227849
ENSG00000004948,20.51553509781358
ENSG00000004961,82.50863060989643
ENSG00000004975,59.0517836593786
ENSG00000005001,21.86421173762946
ENSG00000005007,79.7698504027618
ENSG00000005020,95.99079401611047
ENSG00000005022,97.70771001150747
ENSG00000005059,67.8711162255466
ENSG00000005073,39.25891829689298
ENSG00000005075,96.39585730724971
ENSG00000005100,80.02301495972381
ENSG00000005102,4.336018411967779
ENSG00000005108,34.91369390103568
ENSG00000005156,69.81357882623705
ENSG00000005175,73.2428078250863
ENSG00000005187,31.986191024165706
ENSG00000005189,40.570771001150746
ENSG00000005194,75.25891829689299
ENSG00000005206,65.23360184119677
ENSG00000005238,60.57537399309552
ENSG00000005243,80.75949367088607
ENSG00000005249,47.502876869965476
ENSG00000005302,75.56271576524742
ENSG00000005339,77.97928653624857
ENSG00000005379,30.043728423475258
ENSG00000005421,28.197928653624853
ENSG00000005436,67.62715765247411
ENSG00000005448,87.96777905638665
ENSG00000005469,55.622554660529346
ENSG00000005471,18.692750287686994
ENSG00000005483,89.77215189873418
ENSG00000005486,63.327963176064436
ENSG00000005513,7.166858457997699
ENSG00000005700,88.32220943613349
ENSG00000005801,61.56962025316456
ENSG00000005810,91.24971231300346
ENSG00000005812,66.91829689298044
ENSG00000005844,7.691599539700805
ENSG00000005882,57.60644418872267
ENSG00000005884,96.7180667433832
ENSG00000005889,80.89298043728424
ENSG00000005893,91.53509781357883
ENSG00000005961,33.555811277330264
ENSG00000005981,9.035673187571922
ENSG00000006007,83.96777905638665
ENSG00000006015,92.70425776754891
ENSG00000006016,72.26697353279631
ENSG00000006025,56.971231300345224
ENSG00000006042,72.71346375143844
ENSG00000006047,34.214039125431526
ENSG00000006062,58.38434982738781
ENSG00000006071,17.68469505178366
ENSG00000006118,71.86651323360184
ENSG00000006125,88.85615650172612
ENSG00000006128,20.193325661680092
ENSG00000006194,55.08400460299194
ENSG00000006210,31.07940161104718
ENSG00000006282,61.21518987341772
ENSG00000006283,36.86536248561565
ENSG00000006327,97.24741081703107
ENSG00000006377,40.58457997698504
ENSG00000006432,62.95051783659379
ENSG00000006451,95.32796317606444
ENSG00000006453,78.36133486766398
ENSG00000006459,47.88952819332566
ENSG00000006468,53.210586881472956
ENSG00000006530,59.811277330264666
ENSG00000006534,82.84464902186421
ENSG00000006555,35.23590333716916
ENSG00000006576,72.53394706559263
ENSG00000006606,54.47180667433832
ENSG00000006607,65.2566168009206
ENSG00000006611,22.586881472957423
ENSG00000006625,94.15880322209435
ENSG00000006634,83.83429228998848
ENSG00000006638,38.34752589182969
ENSG00000006652,80.40966628308401
ENSG00000006659,0.41887226697353275
ENSG00000006695,64.63521288837745
ENSG00000006704,62.16340621403913
ENSG00000006712,77.95627157652474
ENSG00000006715,78.95512082853855
ENSG00000006740,48.800920598388956
ENSG00000006744,75.58112773302646
ENSG00000006747,47.87571921749137
ENSG00000006756,71.102416570771
ENSG00000006757,65.97008055235904
ENSG00000006831,79.97698504027618
ENSG00000006837,47.76064441887227
ENSG00000007038,82.78481012658227
ENSG00000007047,67.41542002301496
ENSG00000007062,13.307249712313004
ENSG00000007080,89.89643268124281
ENSG00000007168,92.25776754890678
ENSG00000007171,20.69505178365938
ENSG00000007174,24.289988492520138
ENSG00000007202,81.01726121979287
ENSG00000007237,46.27387802071347
ENSG00000007255,73.00345224395858
ENSG00000007264,23.41542002301496
ENSG00000007312,22.379746835443036
ENSG00000007314,2.3429228998849254
ENSG00000007341,64.65822784810126
ENSG00000007350,13.38089758342923
ENSG00000007372,46.909090909090914
ENSG00000007376,59.2819332566168
ENSG00000007384,54.19102416570772
ENSG00000007392,72.93901035673187
ENSG00000007402,24.156501726121977
ENSG00000007516,31.84349827387802
ENSG00000007520,87.24510932105869
ENSG00000007541,54.623705408515534
ENSG00000007545,51.765247410817025
ENSG00000007866,51.875719217491365
ENSG00000007923,69.0909090909091
ENSG00000007933,16.105868814729575
ENSG00000007944,43.86191024165708
ENSG00000007968,42.20943613348677
ENSG00000008018,97.92865362485615
ENSG00000008056,42.36593785960874
ENSG00000008083,84.13808975834293
ENSG00000008086,66.18181818181819
ENSG00000008118,5.468354430379747
ENSG00000008128,83.42462600690449
ENSG00000008130,70.25086306098964
ENSG00000008226,21.16915995397008
ENSG00000008256,63.1162255466053
ENSG00000008277,35.44303797468354
ENSG00000008282,91.2174913693901
ENSG00000008283,74.77100115074798
ENSG00000008294,94.18181818181817
ENSG00000008300,32.105868814729575
ENSG00000008311,59.37859608745685
ENSG00000008323,34.36593785960875
ENSG00000008324,81.36248561565017
ENSG00000008382,58.964326812428084
ENSG00000008394,99.07479861910241
ENSG00000008405,54.53624856156502
ENSG00000008441,85.53279631760644
ENSG00000008513,81.1921749136939
ENSG00000008516,21.772151898734176
ENSG00000008517,64.20713463751439
ENSG00000008710,69.46835443037975
ENSG00000008735,30.922899884925204
ENSG00000008838,50.35673187571922
ENSG00000008853,53.68469505178366
ENSG00000008869,55.50747986191025
ENSG00000008952,97.39930955120829
ENSG00000008988,99.65017261219793
ENSG00000009307,98.23245109321059
ENSG00000009335,87.38780207134637
ENSG00000009413,85.39010356731876
ENSG00000009724,24.487917146144994
ENSG00000009765,46.49021864211738
ENSG00000009780,61.81357882623706
ENSG00000009790,1.70771001150748
ENSG00000009830,51.74223245109321
ENSG00000009844,82.09896432681244
ENSG00000009950,42.0897583429229
ENSG00000009954,94.57307249712314
ENSG00000010017,72.92520138089759
ENSG00000010030,32.469505178365935
ENSG00000010072,71.40161104718067
ENSG00000010165,74.84004602991945
ENSG00000010219,65.82278481012658
ENSG00000010244,93.37629459148447
ENSG00000010256,91.15765247410818
ENSG00000010270,87.09321058688147
ENSG00000010278,94.43958573072497
ENSG00000010292,86.68814729574224
ENSG00000010295,40.6674338319908
ENSG00000010310,35.59953970080552
ENSG00000010318,54.177215189873415
ENSG00000010319,8.128883774453396
ENSG00000010322,62.89067894131185
ENSG00000010327,12.174913693901036
ENSG00000010361,63.392405063291136
ENSG00000010379,8.161104718066744
ENSG00000010404,78.23705408515535
ENSG00000010438,74.16800920598389
ENSG00000010539,54.9873417721519
ENSG00000010610,36.46490218642117
ENSG00000010626,67.08860759493672
ENSG00000010671,8.699654775604143
ENSG00000010704,53.693901035673186
ENSG00000010803,57.67548906789413
ENSG00000010810,83.76524741081704
ENSG00000010818,71.15304948216341
ENSG00000010932,9.445339470655927
ENSG00000011007,84.47871116225546
ENSG00000011009,78.5776754890679
ENSG00000011021,57.09551208285385
ENSG00000011028,80.15650172612197
ENSG00000011052,99.50747986191024
ENSG00000011105,62.54545454545455
ENSG00000011114,87.5397008055236
ENSG00000011132,44.81012658227848
ENSG00000011143,48.9620253164557
ENSG00000011198,64.85155350978135
ENSG00000011201,39.502876869965476
ENSG00000011243,80.53855005753739
ENSG00000011258,62.2554660529344
ENSG00000011260,84.3590333716916
ENSG00000011275,87.3970080552359
ENSG00000011295,82.60989643268124
ENSG00000011304,90.52704257767549
ENSG00000011332,46.11737629459148
ENSG00000011347,29.611047180667434
ENSG00000011376,54.398158803222096
ENSG00000011405,89.24741081703107
ENSG00000011422,84.58457997698504
ENSG00000011426,90.25086306098964
ENSG00000011451,76.88377445339471
ENSG00000011454,84.2577675489068
ENSG00000011465,63.364787111622555
ENSG00000011478,42.59148446490219
ENSG00000011485,70.25546605293441
ENSG00000011523,78.614499424626
ENSG00000011566,69.83199079401611
ENSG00000011590,9.855005753739931
ENSG00000011638,62.10817031070196
ENSG00000011677,32.74108170310702
ENSG00000012048,82.78941311852705
ENSG00000012061,90.13578826237054
ENSG00000012124,50.70195627157652
ENSG00000012171,67.71001150747986
ENSG00000012174,63.97238204833141
ENSG00000012211,51.73762945914845
ENSG00000012223,1.8504027617951668
ENSG00000012232,52.82853855005754
ENSG00000012504,53.36708860759494
ENSG00000012660,94.82623705408515
ENSG00000012779,16.879171461449943
ENSG00000012822,68.86536248561566
ENSG00000012963,61.712313003452245
ENSG00000012983,78.06674338319908
ENSG00000013016,59.475258918296895
ENSG00000013275,93.74453394706559
ENSG00000013288,62.17261219792866
ENSG00000013293,50.78941311852704
ENSG00000013297,81.2566168009206
ENSG00000013306,89.28883774453395
ENSG00000013364,74.59608745684694
ENSG00000013374,87.52128883774454
ENSG00000013375,90.78941311852704
ENSG00000013392,50.20023014959724
ENSG00000013441,66.20943613348676
ENSG00000013503,51.93555811277331
ENSG00000013523,57.822784810126585
ENSG00000013561,78.48561565017262
ENSG00000013563,68.64441887226698
ENSG00000013573,76.49252013808976
ENSG00000013583,86.12658227848101
ENSG00000013588,97.77675489067894
ENSG00000013619,34.53624856156502
ENSG00000013725,19.226697353279633
ENSG00000013810,79.72842347525891
ENSG00000014123,86.55926352128884
ENSG00000014138,61.70771001150748
ENSG00000014164,44.87917146144994
ENSG00000014216,83.2681242807825
ENSG00000014257,30.683544303797465
ENSG00000014641,94.95512082853855
ENSG00000014824,79.85730724971232
ENSG00000014914,44.27617951668585
ENSG00000014919,69.99309551208286
ENSG00000015133,50.01611047180668
ENSG00000015153,75.79746835443038
ENSG00000015171,80.00920598388953
ENSG00000015285,5.017261219792865
ENSG00000015413,27.397008055235904
ENSG00000015475,89.68469505178366
ENSG00000015479,93.62025316455697
ENSG00000015520,15.466052934407365
ENSG00000015532,64.31760644418873
ENSG00000015568,70.82623705408515
ENSG00000015676,72.49712313003452
ENSG00000016082,31.309551208285384
ENSG00000016391,53.33486766398159
ENSG00000016402,31.323360184119675
ENSG00000016864,79.1668584579977
ENSG00000017260,83.10701956271576
ENSG00000017427,19.15765247410817
ENSG00000017483,46.52243958573072
ENSG00000017797,95.65017261219792
ENSG00000018189,82.14959723820483
ENSG00000018236,35.958573072497124
ENSG00000018280,30.467203682393556
ENSG00000018408,82.45339470655927
ENSG00000018510,85.15074798619102
ENSG00000018610,52.41887226697354
ENSG00000018625,42.35673187571922
ENSG00000018699,58.089758342922906
ENSG00000018869,37.15995397008055
ENSG00000019102,17.376294591484466
ENSG00000019144,81.25201380897583
ENSG00000019169,26.77560414269275
ENSG00000019186,31.677790563866516
ENSG00000019485,37.89182968929804
ENSG00000019505,33.92405063291139
ENSG00000019549,85.0909090909091
ENSG00000019582,71.53049482163406
ENSG00000019991,51.84810126582279
ENSG00000019995,81.23360184119677
ENSG00000020129,32.34522439585731
ENSG00000020181,25.334867663981587
ENSG00000020256,70.53164556962025
ENSG00000020426,82.13578826237054
ENSG00000020577,77.30264672036824
ENSG00000020633,61.92865362485615
ENSG00000020922,77.53279631760644
ENSG00000021300,39.06559263521289
ENSG00000021355,87.36478711162256
ENSG00000021461,20.14729574223245
ENSG00000021488,8.57537399309551
ENSG00000021574,68.40046029919448
ENSG00000021645,43.15304948216341
ENSG00000021762,42.82163406214039
ENSG00000021776,82.72497123130034
ENSG00000021826,71.01956271576525
ENSG00000022267,75.24050632911393
ENSG00000022277,94.74798619102417
ENSG00000022556,53.965477560414264
ENSG00000022567,45.93325661680092
ENSG00000022840,88.93440736478712
ENSG00000022976,50.87686996547755
ENSG00000023041,67.49827387802071
ENSG00000023171,56.29919447640967
ENSG00000023191,95.58112773302648
ENSG00000023228,90.27387802071345
ENSG00000023287,96.01841196777906
ENSG00000023318,83.55350978135789
ENSG00000023330,71.21288837744534
ENSG00000023445,88.53394706559263
ENSG00000023516,76.33601841196777
ENSG00000023572,87.180667433832
ENSG00000023608,90.66973532796318
