gen_name,plant protoplast
AT1G01010,79.6093135212702
AT1G01020,72.61028560848031
AT1G01030,29.264454011016987
AT1G01040,53.270379114011945
AT1G01050,91.78817756793039
AT1G01060,85.5390455029394
AT1G01070,23.381011896495856
AT1G01080,23.62171920566588
AT1G01090,94.86182474656297
AT1G01100,99.51858538165995
AT1G01110,62.68110910521687
AT1G01120,74.05452946350044
AT1G01130,20.126834235985744
AT1G01140,53.381474795167335
AT1G01150,0.7822987548025737
AT1G01160,71.31879831504884
AT1G01170,32.24089246863861
AT1G01180,30.91237328148868
AT1G01190,3.9855575614497987
AT1G01200,36.29125584409573
AT1G01210,71.14752580660092
AT1G01220,57.468870064342916
AT1G01225,29.755126602786653
AT1G01230,76.31347498032682
AT1G01240,46.4148497893811
AT1G01260,44.965976947646155
AT1G01290,52.33995278433551
AT1G01300,72.28625653844374
AT1G01310,8.267370272647318
AT1G01320,36.82358931629866
AT1G01340,36.286626857380924
AT1G01350,85.43720779521364
AT1G01360,61.699763921677544
AT1G01370,51.705781604406795
AT1G01380,49.32648243299542
AT1G01430,49.79401009119104
AT1G01440,43.98463176410684
AT1G01450,7.258251168819145
AT1G01453,8.156274591491924
AT1G01470,93.31574318381706
AT1G01480,30.356894875711703
AT1G01490,87.42304309586632
AT1G01500,34.08785816784706
AT1G01510,79.8407628570106
AT1G01520,17.854001759014952
AT1G01540,75.04976160718418
AT1G01550,93.1676156089432
AT1G01560,36.61991390084711
AT1G01570,30.505022450585567
AT1G01580,31.305837152247374
AT1G01600,36.21256306994399
AT1G01610,47.48877470721659
AT1G01620,98.47706337082812
AT1G01630,80.23422672776928
AT1G01640,31.509512567698934
AT1G01650,88.59417673471278
AT1G01660,27.986853677729943
AT1G01670,27.43137527195297
AT1G01680,29.57922510762394
AT1G01690,47.06753691616905
AT1G01695,1.217423505994538
AT1G01710,58.5983428227561
AT1G01715,45.07707262880156
AT1G01720,99.46303754108226
AT1G01725,31.865944544739154
AT1G01730,86.80275887608202
AT1G01740,27.223070869786604
AT1G01750,92.713974910892
AT1G01760,27.769291302133965
AT1G01770,56.52918576123687
AT1G01780,71.85113178725176
AT1G01790,64.47252696384761
AT1G01800,92.41309077442948
AT1G01810,31.384529926399114
AT1G01820,77.53552747303615
AT1G01830,48.79877794750729
AT1G01840,26.47317502198769
AT1G01860,29.23205110401333
AT1G01880,20.14072119613017
AT1G01900,20.64990973475906
AT1G01910,81.54422996806
AT1G01920,64.03277322594084
AT1G01930,52.145535342313565
AT1G01940,68.84229042262649
AT1G01950,71.11049391288246
AT1G01960,83.93741609961579
AT1G01970,36.518076193121324
AT1G01990,42.86441697912327
AT1G02000,86.76572698236356
AT1G02010,41.66088043327316
AT1G02020,26.130630005091888
AT1G02030,18.30301347035134
AT1G02050,27.135120122205247
AT1G02060,21.66365782530204
AT1G02070,8.346063046799056
AT1G02080,93.3990649446836
AT1G02090,90.28375688561773
AT1G02100,72.51307688746932
AT1G02110,60.48234041568301
AT1G02120,87.34435032171459
AT1G02130,78.84553071332685
AT1G02140,95.48210896634727
AT1G02145,66.35652455677452
AT1G02150,50.886450955885756
AT1G02160,72.38809424616952
AT1G02170,80.13238902004352
AT1G02180,24.68175716335694
AT1G02190,14.539647271212331
AT1G02205,29.4403555061797
AT1G02220,53.32592695458964
AT1G02230,89.74216543998519
AT1G02250,18.90015275656159
AT1G02260,69.05985279822247
AT1G02270,73.65643660602694
AT1G02280,51.88168309956951
AT1G02290,28.111836319029766
AT1G02300,8.7117529972689
AT1G02305,87.53876776373652
AT1G02310,51.455816321807156
AT1G02330,80.53973985094662
AT1G02335,54.34430403184742
AT1G02340,37.23094014720178
AT1G02350,16.4004999305652
AT1G02360,78.5955654307272
AT1G02370,50.358746470397634
AT1G02380,18.52057584594732
AT1G02390,43.20233300930426
AT1G02400,86.58982548720086
AT1G02410,65.10669814377633
AT1G02420,15.928343285654769
AT1G02430,49.840299958339116
AT1G02440,31.926121372031663
AT1G02450,28.935795954265615
AT1G02460,22.67740591584502
AT1G02470,9.702356154237837
AT1G02475,26.450030088413644
AT1G02490,6.374114706290793
AT1G02500,97.75494144331806
AT1G02520,79.15104383650419
AT1G02530,19.552839883349534
AT1G02560,85.28908022033977
AT1G02570,11.054020274961811
AT1G02575,4.763227329537564
AT1G02580,19.36768041475721
AT1G02590,2.1478498356709714
AT1G02610,71.56876359764848
AT1G02640,38.02249687543397
AT1G02650,22.788501597000415
AT1G02660,53.61755311762255
AT1G02670,27.94982178401148
AT1G02680,53.23797620700829
AT1G02690,76.04036476415313
AT1G02700,5.290931815025691
AT1G02705,7.9155672823219
AT1G02720,58.75109938434476
AT1G02730,55.501550710549466
AT1G02740,45.4983104198491
AT1G02750,45.2761190575383
AT1G02770,7.846132481599779
AT1G02780,99.97222607971115
AT1G02800,12.771374346155625
AT1G02810,86.19173262972735
AT1G02813,6.809239457482757
AT1G02816,80.60917465166875
AT1G02820,35.10160625839004
AT1G02840,95.8431699301023
AT1G02850,42.20710086562052
AT1G02860,46.05378882562607
AT1G02870,88.54325788084988
AT1G02880,85.5344165162246
AT1G02890,87.50173587001805
