gen_name,Un-cryopreserved peripheral blood mononuclear cells (PBMCs)
ENSG00000000003,94.23111537769245
ENSG00000000005,32.29435411291774
ENSG00000000419,75.34649307013859
ENSG00000000457,78.06443871122578
ENSG00000000460,68.19463610727784
ENSG00000000938,97.26705465890683
ENSG00000000971,64.34571308573828
ENSG00000001036,77.82144357112858
ENSG00000001084,88.60922781544369
ENSG00000001167,79.62440751184975
ENSG00000001460,84.93730125397492
ENSG00000001461,91.66016679666407
ENSG00000001497,83.63532729345413
ENSG00000001561,78.82942341153178
ENSG00000001617,33.00233995320094
ENSG00000001626,45.989080218395635
ENSG00000001629,92.51514969700607
ENSG00000001630,75.4484910301794
ENSG00000001631,83.77932441351173
ENSG00000002016,64.75070498590028
ENSG00000002079,48.26303473930522
ENSG00000002330,69.84160316793664
ENSG00000002549,92.48815023699525
ENSG00000002586,95.68908621827563
ENSG00000002587,95.46409071818563
ENSG00000002726,51.199976000479985
ENSG00000002745,47.86104277914442
ENSG00000002746,71.19757604847902
ENSG00000002822,72.79054418911622
ENSG00000002834,97.13505729885402
ENSG00000002919,73.882522349553
ENSG00000002933,69.35561288774224
ENSG00000003056,97.21005579888401
ENSG00000003096,50.668986620267596
ENSG00000003137,39.27521449571009
ENSG00000003147,75.232495350093
ENSG00000003249,75.6584868302634
ENSG00000003393,69.61060778784424
ENSG00000003400,87.4302513949721
ENSG00000003402,99.535009299814
ENSG00000003436,96.95206095878083
ENSG00000003509,81.49037019259615
ENSG00000003756,96.91306173876522
ENSG00000003987,50.88798224035519
ENSG00000003989,50.52798944021119
ENSG00000004059,75.2804943901122
ENSG00000004139,73.7085258294834
ENSG00000004142,80.16439671206575
ENSG00000004399,79.97540049199016
ENSG00000004455,91.39917201655967
ENSG00000004468,88.3782324353513
ENSG00000004478,78.75742485150296
ENSG00000004487,88.29123417531649
ENSG00000004534,97.81904361912763
ENSG00000004660,86.7762644747105
ENSG00000004700,93.70912581748365
ENSG00000004766,76.16547669046619
ENSG00000004776,19.316613667726646
ENSG00000004777,54.04391912161757
ENSG00000004779,85.24629507409853
ENSG00000004799,64.54970900581989
ENSG00000004809,53.71092578148438
ENSG00000004838,52.507949841003175
ENSG00000004846,74.26951460970781
ENSG00000004848,34.11231775364493
ENSG00000004864,66.04067918641627
ENSG00000004866,63.5417291654167
ENSG00000004897,89.07721845563088
ENSG00000004939,87.9732405351893
ENSG00000004948,37.05225895482091
ENSG00000004961,66.78766424671507
ENSG00000004975,73.14153716925661
ENSG00000005001,29.588408231835363
ENSG00000005007,86.72826543469131
ENSG00000005020,94.24611507769845
ENSG00000005022,93.69412611747765
ENSG00000005059,91.95416091678167
ENSG00000005073,33.77332453350933
ENSG00000005075,81.80536389272216
ENSG00000005100,79.55840883182337
ENSG00000005102,51.643967120657585
ENSG00000005108,54.586908261834765
ENSG00000005156,83.70432591348172
ENSG00000005175,82.76234475310493
ENSG00000005187,66.02867942641147
ENSG00000005189,63.799724005519884
ENSG00000005194,79.54040919181617
ENSG00000005206,83.25733485330294
ENSG00000005238,71.26657466850664
ENSG00000005243,55.87088258234836
ENSG00000005249,79.24641507169856
ENSG00000005302,90.76018479630407
ENSG00000005339,97.9090418191636
ENSG00000005379,82.29435411291774
ENSG00000005381,69.02261954760904
ENSG00000005421,49.910001799964
ENSG00000005436,75.5894882102358
ENSG00000005448,78.45143097138057
ENSG00000005469,69.98860022799545
ENSG00000005471,62.566748665026694
ENSG00000005483,98.8270234595308
ENSG00000005486,70.69358612827743
ENSG00000005513,49.55600887982241
ENSG00000005700,91.52216955660887
ENSG00000005801,81.73036539269215
ENSG00000005810,99.21701565968681
ENSG00000005812,87.3582528349433
ENSG00000005844,99.2680146397072
ENSG00000005882,63.919721605567894
ENSG00000005884,94.47411051778964
ENSG00000005889,84.74230515389692
ENSG00000005893,94.87910241795164
ENSG00000005961,82.27935441291174
ENSG00000005981,53.93892122157556
ENSG00000006007,86.06527869442611
ENSG00000006015,90.58918821623567
ENSG00000006016,55.51688966220676
ENSG00000006025,72.43355132897342
ENSG00000006042,81.58936821263575
ENSG00000006047,39.54520909581809
ENSG00000006059,15.386692266154679
ENSG00000006062,77.68044639107218
ENSG00000006071,61.29177416451671
ENSG00000006116,38.960220795584085
ENSG00000006118,49.02501949961
ENSG00000006125,93.77212455750885
ENSG00000006128,24.9415011699766
ENSG00000006194,80.54538909221816
ENSG00000006210,77.06545869082618
ENSG00000006282,70.66058678826424
ENSG00000006283,55.741885162296754
ENSG00000006327,34.97930041399172
ENSG00000006377,44.45611087778244
ENSG00000006432,89.32621347573048
ENSG00000006451,80.43739125217496
ENSG00000006453,62.749745005099896
ENSG00000006459,90.63418731625367
ENSG00000006468,52.705945881082386
ENSG00000006530,76.79846403071939
ENSG00000006534,90.49319013619727
ENSG00000006555,66.18467630647386
ENSG00000006576,82.01835963280735
ENSG00000006606,10.640787184256315
ENSG00000006607,75.16649667006659
ENSG00000006611,33.25133497330054
ENSG00000006625,69.61660766784664
ENSG00000006634,78.38843223135538
ENSG00000006638,65.40469190616187
ENSG00000006652,83.52432951340974
ENSG00000006659,29.549409011819765
ENSG00000006695,75.45449091018179
ENSG00000006704,82.21035579288414
ENSG00000006712,86.3202735945281
ENSG00000006715,89.77320453590927
ENSG00000006740,82.97834043319133
ENSG00000006744,85.57028859422812
ENSG00000006747,81.32837343253135
ENSG00000006756,80.52738945221095
ENSG00000006757,63.517729645407094
ENSG00000006788,43.94612107757845
ENSG00000006831,87.7032459350813
ENSG00000006837,59.52780944381112
ENSG00000007001,39.980200395992085
ENSG00000007038,55.15389692206156
ENSG00000007047,75.7154856902862
ENSG00000007062,52.85594288114238
ENSG00000007080,75.6494870102598
ENSG00000007129,70.96358072838544
ENSG00000007168,96.04607907841843
ENSG00000007171,38.77122457550849
ENSG00000007174,75.87148257034859
ENSG00000007202,93.65212695746085
ENSG00000007216,30.16739665206696
ENSG00000007237,93.42413151736966
ENSG00000007255,78.74542509149816
ENSG00000007264,89.29921401571968
ENSG00000007306,39.917201655966885
ENSG00000007312,86.26027479450411
ENSG00000007314,46.53206935861283
ENSG00000007341,68.77662446751064
ENSG00000007350,63.661726765464685
ENSG00000007372,63.58672826543469
ENSG00000007376,69.41261174776504
ENSG00000007384,37.091258174836504
ENSG00000007392,92.14015719685607
ENSG00000007402,69.57760844783104
ENSG00000007516,58.912821743565125
ENSG00000007520,84.58630827383452
ENSG00000007541,67.39665206695867
ENSG00000007545,80.79438411231776
ENSG00000007866,45.70708585828284
ENSG00000007908,35.04529909401812
ENSG00000007923,78.47843043139137
ENSG00000007933,50.791984160316794
ENSG00000007944,94.01811963760724
ENSG00000007952,28.499430011399774
ENSG00000007968,72.02555948881022
ENSG00000008018,96.37007259854803
ENSG00000008056,31.718365632687345
ENSG00000008083,91.55216895662087
ENSG00000008086,94.27311453770925
ENSG00000008118,26.51946961060779
ENSG00000008128,93.19013619727605
ENSG00000008130,92.34115317693646
ENSG00000008196,54.079918401631964
ENSG00000008197,41.63016739665207
ENSG00000008226,64.65470690586189
ENSG00000008256,66.38867222655547
ENSG00000008277,57.71584568308634
ENSG00000008282,80.41939161216776
ENSG00000008283,80.27539449211015
ENSG00000008294,93.44213115737685
ENSG00000008300,59.68080638387232
ENSG00000008311,70.90958180836382
ENSG00000008323,57.00485990280194
ENSG00000008324,79.70240595188096
ENSG00000008382,67.44165116697665
ENSG00000008394,72.61654766904661
ENSG00000008405,69.88360232795344
ENSG00000008438,51.61396772064558
ENSG00000008441,60.29579408411831
ENSG00000008513,96.89506209875802
ENSG00000008516,69.13961720765585
ENSG00000008517,97.7710445791084
ENSG00000008710,89.92320153596928
ENSG00000008735,77.04445911081778
ENSG00000008838,77.61144777104458
ENSG00000008853,71.82156356872864
ENSG00000008869,84.64630707385852
ENSG00000008952,97.17405651886962
ENSG00000008988,99.81400371992561
ENSG00000009307,99.26201475970481
