gen_name,luminal epithelial cell of mammary gland,myoepithelial cell of mammary gland
ENSG00000006125,89.86165336954677,79.9397385842811
ENSG00000006128,60.33355966728908,6.968256662705823
ENSG00000006194,66.74588355117976,67.69224240366661
ENSG00000006210,90.17144797148192,75.28857579358343
ENSG00000006282,66.69495841113563,56.80699371923272
ENSG00000006283,54.33712442709218,47.194873535902225
ENSG00000006327,84.32778815141742,89.18689526396197
ENSG00000006377,25.80207095569513,31.5566117806824
ENSG00000006432,81.93006280767273,63.02834832795791
ENSG00000006451,89.55185876761162,80.04158886436937
ENSG00000006453,81.27652351043966,78.6920726531998
ENSG00000006459,85.80037345102699,76.9988117467323
ENSG00000006468,40.218129349855715,60.59667289085044
ENSG00000006530,90.11203530809709,85.91919877779664
ENSG00000006534,48.87115939568834,51.162790697674424
ENSG00000006555,66.14326939399083,61.975895433712445
ENSG00000006576,71.88932269563742,76.62111695807164
ENSG00000006607,65.88864369377015,76.93091156000679
ENSG00000006611,9.19198777796639,7.371414021388559
ENSG00000006625,90.76557460533017,82.9570531318961
ENSG00000006634,70.82838227805127,74.30826684773383
ENSG00000006638,44.28789679171617,49.88966219657104
ENSG00000006652,98.38312680359871,96.40553386521813
ENSG00000006659,35.40570361568494,31.425055168901718
ENSG00000006695,71.13393311831608,76.76116109319301
ENSG00000006704,72.7635375997284,64.63673400101851
ENSG00000006712,68.15905618740452,61.69156340179936
ENSG00000006715,83.54269224240367,87.98591071125446
ENSG00000006740,54.574775080631476,50.84026481072823
ENSG00000006744,67.4248854184349,71.84264131726363
ENSG00000006747,66.93260906467493,64.93379731794262
ENSG00000006756,80.91580376846036,74.09183500254626
ENSG00000006757,60.231709387200816,60.04074011203531
ENSG00000006788,0.0,20.166355457477508
ENSG00000006831,84.87947716856222,80.03734510269904
ENSG00000006837,59.535732473264304,74.55864878628417
ENSG00000007001,27.126124596842644,23.468002037005604
ENSG00000007038,39.46698353420472,41.792564929553556
ENSG00000007047,53.58597861144118,63.2278051264641
ENSG00000007062,98.7735528772704,85.57969784416906
ENSG00000007080,73.23459514513665,69.96265489730096
ENSG00000007168,93.1675437107452,87.43422169410965
ENSG00000007171,61.475131556611785,96.6304532337464
ENSG00000007174,44.65710405703616,43.92717704973689
ENSG00000007202,75.60261415718892,73.03089458496011
ENSG00000007216,23.175182481751825,14.280258020709557
ENSG00000007237,54.43048718383976,56.74758105584791
ENSG00000007255,61.40298760821592,37.71006620268206
ENSG00000007264,44.95416737396028,41.61857070106943
ENSG00000007306,0.0,27.08793074180954
ENSG00000007312,25.742658292310306,57.94007808521473
ENSG00000007314,7.8170089967747405,52.77117637073502
ENSG00000007341,72.26277372262774,71.71108470548295
ENSG00000007372,50.36496350364964,48.70140892887456
ENSG00000007376,54.48565608555423,44.44915973518927
ENSG00000007384,72.95450687489391,70.70955695128161
ENSG00000007392,85.5160414191139,82.49872687149889
ENSG00000007402,19.3855033101341,30.93277881514174
ENSG00000007516,39.92530979460194,30.54235274147004
ENSG00000007520,50.00424376167034,60.36750976065184
ENSG00000007541,40.230860634866744,50.43286369037515
ENSG00000007545,48.00967577660838,77.02851807842471
ENSG00000007866,67.42912918010524,74.46952979120692
