gen_name,embryonic stem cell
ENSMUSG00000000001,94.05049973698054
ENSMUSG00000000028,89.71593897948448
ENSMUSG00000000037,63.4823776959495
ENSMUSG00000000056,61.888479747501314
ENSMUSG00000000078,94.61862177801157
ENSMUSG00000000085,44.17674907943188
ENSMUSG00000000088,98.17990531299317
ENSMUSG00000000094,25.675960021041554
ENSMUSG00000000103,15.86533403471857
ENSMUSG00000000120,59.61599158337717
ENSMUSG00000000125,25.092056812204106
ENSMUSG00000000127,82.51972645975802
ENSMUSG00000000131,91.84113624408207
ENSMUSG00000000134,67.22777485533929
ENSMUSG00000000142,63.382430299842184
ENSMUSG00000000148,54.013677012098896
ENSMUSG00000000149,57.99579168858495
ENSMUSG00000000154,51.13624408206208
ENSMUSG00000000157,7.196212519726459
ENSMUSG00000000167,38.0326144134666
ENSMUSG00000000168,74.95528669121515
ENSMUSG00000000171,92.5881115202525
ENSMUSG00000000183,11.457127827459232
ENSMUSG00000000184,29.573908469226723
ENSMUSG00000000194,76.86480799579168
ENSMUSG00000000197,26.97527617043661
ENSMUSG00000000204,7.711730668069437
ENSMUSG00000000215,13.80326144134666
ENSMUSG00000000223,18.8374539715939
ENSMUSG00000000244,30.694371383482377
ENSMUSG00000000247,7.532877432930037
ENSMUSG00000000248,3.6244082062072596
ENSMUSG00000000253,47.70647027880063
ENSMUSG00000000266,15.402419779063651
ENSMUSG00000000275,75.73908469226723
ENSMUSG00000000276,65.63913729615992
ENSMUSG00000000278,96.12309310889006
ENSMUSG00000000282,55.13413992635455
ENSMUSG00000000295,84.06628090478695
ENSMUSG00000000296,74.57653866386113
ENSMUSG00000000301,48.85323513940031
ENSMUSG00000000303,94.68700683850605
ENSMUSG00000000305,20.804839558127302
ENSMUSG00000000308,81.0678590215676
ENSMUSG00000000317,22.87743293003682
ENSMUSG00000000318,30.27880063124671
ENSMUSG00000000320,51.320357706470276
ENSMUSG00000000325,89.39505523408732
ENSMUSG00000000326,75.69174118884797
ENSMUSG00000000339,93.00894266175696
ENSMUSG00000000340,71.49395055234086
ENSMUSG00000000346,97.40662809047869
ENSMUSG00000000355,69.27932667017359
ENSMUSG00000000365,70.84166228300894
ENSMUSG00000000374,38.079957916885846
ENSMUSG00000000378,59.40557601262494
ENSMUSG00000000384,90.36296685954761
ENSMUSG00000000386,47.93792740662809
ENSMUSG00000000392,23.824302998421885
ENSMUSG00000000399,95.96002104155707
ENSMUSG00000000402,39.1109942135718
ENSMUSG00000000409,66.69121514992109
ENSMUSG00000000411,10.783798001052078
ENSMUSG00000000416,68.41662283008942
ENSMUSG00000000420,67.55391899000526
ENSMUSG00000000439,78.3114150447133
ENSMUSG00000000441,81.84639663335088
ENSMUSG00000000486,89.34771173066807
ENSMUSG00000000489,49.458179905312996
ENSMUSG00000000531,28.29563387690689
ENSMUSG00000000532,49.40031562335613
ENSMUSG00000000538,36.54918463966334
ENSMUSG00000000544,85.13940031562336
ENSMUSG00000000552,38.06417674907943
