gen_name,intestinal epithelial cell
ENSG00000000003,88.53661109938805
ENSG00000000005,24.873391010761765
ENSG00000000419,82.98691707111206
ENSG00000000457,59.733066047689384
ENSG00000000460,34.216079341633254
ENSG00000000938,23.322430892593374
ENSG00000001036,85.87254695083351
ENSG00000001084,65.48322430892594
ENSG00000001167,46.02236758809875
ENSG00000001460,60.79869170711121
ENSG00000001461,73.0639375395653
ENSG00000001497,58.86790462122811
ENSG00000001561,61.605824013504964
ENSG00000001617,44.41337834986284
ENSG00000001626,84.20025321797847
ENSG00000001629,69.69824857564888
ENSG00000001630,78.34986284026166
ENSG00000001631,73.96075121333615
ENSG00000002016,41.823169445030594
ENSG00000002330,93.23169445030597
ENSG00000002549,83.12407680945347
ENSG00000002586,96.13315045368222
ENSG00000002587,42.287402405570795
ENSG00000002726,97.25152985861996
ENSG00000002746,30.027431947668287
ENSG00000002822,41.94450305971724
ENSG00000002834,93.37940493775058
ENSG00000002919,53.017514243511286
ENSG00000002933,98.24857564887107
ENSG00000003056,78.97763241190124
ENSG00000003096,37.85608778223254
ENSG00000003137,21.892804389111628
ENSG00000003147,83.88373074488288
ENSG00000003249,27.041569951466553
ENSG00000003393,45.320742772736864
ENSG00000003400,72.2198776113104
ENSG00000003402,89.07997467820216
ENSG00000003436,64.24351128930154
ENSG00000003509,48.797214602236764
ENSG00000003756,81.90018991348386
ENSG00000003987,17.42456214391222
ENSG00000003989,36.568896391643804
ENSG00000004059,95.97488921713442
ENSG00000004139,44.55053808820426
ENSG00000004142,87.79278328761342
ENSG00000004399,27.36864317366533
ENSG00000004455,93.76978265456847
ENSG00000004468,32.00569740451572
ENSG00000004478,89.665541253429
ENSG00000004487,69.77210381937118
ENSG00000004534,83.43004853344588
ENSG00000004660,33.69381726102553
ENSG00000004700,48.2221987761131
ENSG00000004766,51.96771470774425
ENSG00000004776,8.651614264612787
ENSG00000004777,34.30576070901034
ENSG00000004779,97.30428360413589
ENSG00000004799,95.0675247942604
ENSG00000004838,15.541253428993459
ENSG00000004848,35.02321164802701
ENSG00000004864,74.20869381726104
ENSG00000004866,44.23929098966027
ENSG00000004897,63.088204262502636
ENSG00000004939,15.018991348385736
ENSG00000004948,4.563198987128086
ENSG00000004961,79.13589364844904
ENSG00000004975,64.01667018358303
ENSG00000005001,36.183794049377504
ENSG00000005007,67.93099810086515
ENSG00000005020,84.55897868748681
ENSG00000005022,99.09263557712598
ENSG00000005059,57.00569740451572
ENSG00000005073,35.898923823591474
ENSG00000005075,94.5294365899979
ENSG00000005100,54.294154884996836
ENSG00000005108,34.08947035239502
ENSG00000005156,55.12238868959696
ENSG00000005175,55.61299852289513
ENSG00000005187,66.92340156151087
ENSG00000005189,35.582401350495886
ENSG00000005194,72.65773369909263
ENSG00000005206,84.84384891327285
ENSG00000005238,60.075965393542944
ENSG00000005243,24.70457902511078
ENSG00000005249,38.43637898290779
ENSG00000005302,60.7195610888373
ENSG00000005339,71.31778856298797
ENSG00000005379,30.665752268411055
ENSG00000005421,19.371175353450095
ENSG00000005436,55.043258071323066
ENSG00000005448,40.58873179995779
ENSG00000005469,73.1483435323908
ENSG00000005471,15.620384047267354
ENSG00000005483,93.11036083561933
ENSG00000005486,80.60244777379194
ENSG00000005513,17.79383836252374
ENSG00000005700,78.81409580080185
ENSG00000005801,61.595273264401776
ENSG00000005810,70.08862629246676
ENSG00000005812,73.43848913272842
ENSG00000005844,25.717450939016672
ENSG00000005882,85.75121333614688
ENSG00000005884,83.58830976999367
ENSG00000005889,61.9645494830133
ENSG00000005893,85.4927199831188
ENSG00000005961,9.791095167756911
ENSG00000005981,19.24456636421186
ENSG00000006007,90.35661531968769
ENSG00000006015,94.46613209537877
ENSG00000006016,11.79046212281072
ENSG00000006025,71.8400506435957
ENSG00000006042,94.82485756488711
ENSG00000006047,59.03671660687909
ENSG00000006062,48.71808398396286
ENSG00000006071,26.60371386368432
ENSG00000006118,32.965815572905676
ENSG00000006125,81.06140535978055
ENSG00000006128,30.428360413589367
ENSG00000006194,55.63937539565309
ENSG00000006210,23.628402616585777
ENSG00000006282,75.76492930998101
ENSG00000006283,12.518463810930577
ENSG00000006327,73.44376450728002
ENSG00000006432,43.35830343954421
ENSG00000006451,87.77695716395864
ENSG00000006453,81.75247942603924
ENSG00000006459,77.73791939227685
ENSG00000006468,40.01371597383414
ENSG00000006530,43.4374340578181
ENSG00000006534,59.09474572694662
ENSG00000006555,76.59316311458113
ENSG00000006576,44.07575437856088
ENSG00000006606,28.04916649082085
ENSG00000006607,73.77611310403039
ENSG00000006611,95.15720616163748
ENSG00000006625,91.65435745937963
ENSG00000006634,60.75121333614687
ENSG00000006652,94.1337834986284
ENSG00000006695,68.96497151297743
ENSG00000006704,44.508335091791515
ENSG00000006712,65.04009284659212
ENSG00000006715,62.02785397763241
ENSG00000006740,71.96138425828234
ENSG00000006744,64.95041147921502
ENSG00000006747,91.98670605612999
ENSG00000006756,86.16269255117113
ENSG00000006757,80.80291200675248
ENSG00000006831,77.463599915594
ENSG00000006837,31.414855454737285
ENSG00000007001,5.8240135049588515
ENSG00000007038,38.4996834775269
ENSG00000007047,41.96032918337202
ENSG00000007062,75.65414644439755
ENSG00000007080,88.45220510656256
ENSG00000007168,84.22663009073645
ENSG00000007171,55.380882042625025
ENSG00000007174,12.951044524161215
ENSG00000007202,61.7271576281916
ENSG00000007216,88.99029331082507
ENSG00000007237,15.07702046845326
ENSG00000007255,89.56003376239713
ENSG00000007264,38.1937117535345
ENSG00000007306,96.26503481747204
ENSG00000007312,41.87592319054653
ENSG00000007341,54.41548849968348
ENSG00000007372,34.17915171977211
ENSG00000007376,65.75226841105717
