gen_name,protoplast
AT1G01010,87.97080555054964
AT1G01020,64.32690574878357
AT1G01030,34.2719408902505
AT1G01040,66.71472337358082
AT1G01050,90.74608037484231
AT1G01060,76.7030095512705
AT1G01070,26.11731843575419
AT1G01080,21.49486393944855
AT1G01090,85.76770589295369
AT1G01100,96.9453955667688
AT1G01110,55.88394305280231
AT1G01120,84.51522796900342
AT1G01130,29.24851324562984
AT1G01140,81.12723013155524
AT1G01160,65.43070823571814
AT1G01170,22.436475040547847
AT1G01180,46.566948999819786
AT1G01200,39.079113353757435
AT1G01210,51.46873310506398
AT1G01220,43.95386556136241
AT1G01225,39.2097675256803
AT1G01230,82.9563885384754
AT1G01240,71.34168318615967
AT1G01260,50.45503694359345
AT1G01290,38.95746981438097
AT1G01300,68.16092989727879
AT1G01305,8.168138403315913
AT1G01310,9.398089745900162
AT1G01320,38.86736348891692
AT1G01340,50.86952604072806
AT1G01350,89.84952243647504
AT1G01355,2.2076049738691657
AT1G01360,87.79059289962156
AT1G01370,37.57884303478104
AT1G01380,43.25103622274284
AT1G01420,7.037304018742116
AT1G01430,57.5734366552532
AT1G01440,49.36475040547846
AT1G01450,3.8475400973148313
AT1G01453,35.222562623896195
AT1G01460,0.22977112993332133
AT1G01470,98.98630383852947
AT1G01480,67.74193548387096
AT1G01490,88.51594881960713
AT1G01500,43.89529644981078
AT1G01510,70.36402955487475
AT1G01520,21.233555595602812
AT1G01540,74.02685168498829
AT1G01550,95.53973688952965
AT1G01560,33.86646242566228
AT1G01570,50.66228149216075
AT1G01580,45.80555054964858
AT1G01600,7.1814741394845925
AT1G01610,19.3142908632186
AT1G01620,99.84231393043792
AT1G01630,90.66948999819788
AT1G01640,30.56857091367814
AT1G01650,80.74878356460623
AT1G01660,43.62047215714543
AT1G01670,13.403315912777078
AT1G01680,42.52568030275725
AT1G01690,34.8441160569472
AT1G01695,2.793296089385475
AT1G01700,10.145972247251757
AT1G01710,58.40241484952243
AT1G01715,27.149035862317533
AT1G01720,99.68462786087584
AT1G01725,42.336457019282754
AT1G01730,81.78500630744279
AT1G01740,27.725716345287438
AT1G01750,95.90016219138585
AT1G01760,25.63975491079474
AT1G01770,52.162551811137135
AT1G01780,86.07857271580464
AT1G01790,53.9781942692377
AT1G01800,92.30942512164354
AT1G01810,36.19571093890791
AT1G01820,76.3290683005947
AT1G01830,55.95152279690034
AT1G01840,22.684267435573975
AT1G01860,21.639034060191026
AT1G01880,13.313209587313029
AT1G01900,30.482969904487295
AT1G01910,76.97332852766264
AT1G01920,48.52225626238962
AT1G01930,54.699044872950076
AT1G01940,62.82213011353397
AT1G01950,70.22887006667868
AT1G01960,72.58515047756352
AT1G01970,23.324022346368714
AT1G01980,1.4507118399711658
AT1G01990,50.937105784826095
AT1G02000,83.5150477563525
AT1G02010,40.1558839430528
AT1G02020,31.739953144710757
AT1G02030,35.67759956748964
AT1G02040,2.950982158947558
AT1G02050,21.0173004144891
AT1G02060,7.343665525319877
AT1G02070,21.882321138943954
AT1G02080,83.19066498468193
AT1G02090,88.6330870427104
AT1G02100,68.49882861776896
AT1G02110,45.97675256803028
AT1G02120,85.51991349792756
AT1G02130,78.50063074427824
AT1G02140,92.88610560461345
AT1G02145,49.801766083979096
AT1G02150,36.05604613443864
AT1G02160,69.701748062714
AT1G02170,80.35682104883762
AT1G02180,23.932240043251035
AT1G02190,17.530185619030455
AT1G02205,32.650027031897636
AT1G02220,42.9987385114435
AT1G02230,77.67165255000901
AT1G02250,5.383852946476843
AT1G02260,56.04162912236439
AT1G02270,79.1809335015318
AT1G02280,40.05226166876915
AT1G02290,18.44476482249054
AT1G02300,8.177149035862318
AT1G02305,92.16525500090106
AT1G02310,79.88376284015138
AT1G02330,78.91061452513966
AT1G02335,47.42746440800144
AT1G02340,54.92881600288341
AT1G02350,12.240944314290864
AT1G02360,91.43539376464228
AT1G02370,33.07352676157866
AT1G02380,33.20418093350153
AT1G02390,61.05604613443864
AT1G02400,94.24220580284735
AT1G02405,9.956748963777256
AT1G02410,72.03099657595963
AT1G02420,18.814200756893136
AT1G02430,45.62984321499369
AT1G02440,28.69886466029915
AT1G02450,44.5170300955127
AT1G02460,35.200036042530186
AT1G02470,1.8606956208325822
AT1G02475,23.720490178410525
AT1G02500,99.33771850783924
AT1G02510,13.096954406199316
AT1G02520,84.40259506217338
AT1G02530,17.660839790953325
AT1G02560,72.60767705892953
AT1G02570,34.100738871868806
AT1G02575,15.930798342043612
AT1G02580,23.508740313570012
AT1G02610,85.82627500450532
AT1G02620,8.1411065056767
AT1G02640,62.3130293746621
AT1G02650,25.364930618129396
AT1G02660,74.96846278608758
AT1G02670,30.068480807352678
AT1G02680,58.86646242566228
AT1G02690,54.18994413407822
AT1G02700,19.854928816002886
AT1G02705,16.49846819246711
AT1G02720,67.6293025770409
AT1G02730,37.295008109569295
AT1G02740,52.15804649486394
AT1G02750,64.62876193908812
AT1G02770,10.326184898179852
AT1G02780,98.90070282933861
AT1G02800,4.604433231212831
