gen_name,embryonic stem cell,retinal cell
ENSG00000000003,91.16087453091858,82.25240659161364
ENSG00000000419,78.71594061021374,75.9871104584761
ENSG00000000457,70.31734377549355,91.81758851362376
ENSG00000000460,66.43008647413934,70.31326480665687
ENSG00000000971,43.10654266601403,66.31587534671235
ENSG00000001036,72.38130200685266,58.57807146353402
ENSG00000001084,82.08924783814652,68.35535976505139
ENSG00000001167,72.68722466960352,70.83537281775168
ENSG00000001460,63.81546744982868,80.27410670582476
ENSG00000001461,86.81269375101974,95.29694893131017
ENSG00000001497,72.06314243759178,63.67270354054495
ENSG00000001561,77.21895904715288,88.20770109316365
ENSG00000001617,51.03197911567956,50.738293359438735
ENSG00000001626,33.89623103279491,38.80730951215533
ENSG00000001629,88.47283406754772,82.12187958883995
ENSG00000001630,97.09169521944852,95.83945178658834
ENSG00000001631,88.89704682656225,68.62049273943546
ENSG00000002016,74.44526023821177,73.03801598955783
ENSG00000002079,21.65116658508729,34.98123674335128
ENSG00000002330,59.173600913689015,64.6516560613477
ENSG00000002549,81.88529939631262,83.8799151574482
ENSG00000002586,71.09642682329907,62.24914341654429
ENSG00000002587,44.003915810083214,54.074889867841414
ENSG00000002726,20.125632240169686,31.110295317343777
ENSG00000002745,40.818241148637625,35.046500244738134
ENSG00000002746,72.36090716266928,67.23364333496492
ENSG00000002822,48.12367433512808,53.93212595855768
ENSG00000002834,79.84581497797357,67.33561755588188
ENSG00000002919,66.87877304617392,79.168706151085
ENSG00000002933,41.629955947136565,63.96638929678578
ENSG00000003056,93.70207211616903,91.49942894436288
ENSG00000003096,69.8237885462555,44.77076195137869
ENSG00000003137,41.727851199216836,42.75167237722304
ENSG00000003147,54.951868167727206,48.303148963941915
ENSG00000003249,59.577418828520145,52.59422418012727
ENSG00000003393,85.7236090716267,88.330070158264
ENSG00000003400,48.13591124163811,60.87453091858378
ENSG00000003402,92.15206395823135,94.03246859193996
ENSG00000003436,94.15891662587697,94.90536792298907
ENSG00000003509,78.60172948278675,91.75640398107359
ENSG00000003756,96.04747919725894,97.8422254853973
ENSG00000003987,63.48099200522108,91.91548376570402
ENSG00000003989,49.60434002284222,78.30396475770925
ENSG00000004059,70.63958231359112,73.10327949094469
ENSG00000004139,79.65818241148638,76.56632403328439
ENSG00000004142,79.2625224343286,74.80013052700278
ENSG00000004399,44.59128732256485,25.57921357480829
ENSG00000004455,79.98042094958394,89.25599608418992
ENSG00000004468,40.93245227606461,43.294175232501225
ENSG00000004478,77.59014521129059,85.91124163811389
ENSG00000004487,88.19138521781693,76.34605971610377
ENSG00000004534,96.02708435307554,96.7980094632077
